"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","...8","...9","...10"
"TEX19",16.2358692954915,2.69947022427364,0.78611111382561,3.43395504375541,0.000594842843502839,0.0246514714438557,"up",NA,"'TEX19',"
"KISS1",10.400174754691,2.55016824620433,0.733946509619729,3.47459687154261,0.000511621594895506,0.0229926226516987,"up",NA,"'KISS1',"
"C20orf204",108.197880355543,2.45223252345097,0.580838917612499,4.22188054053044,2.42272508152363e-05,0.00576151451462714,"up",NA,"'C20orf204',"
"LCN2",29.2495457684635,2.21088436390726,0.736353265657134,3.00247784184705,0.00267791467546916,0.0434954079505325,"up",NA,"'LCN2',"
"SLC6A16",23.9050058617938,2.06868973796902,0.700571041053016,2.95286218919299,0.00314842484411688,0.0467540762387382,"up",NA,"'SLC6A16',"
"FKBP6",18.4275729481446,1.99844098157486,0.649917989061565,3.07491255082887,0.00210564282963781,0.039151490094271,"up",NA,"'FKBP6',"
"LTB4R",460.553859070189,1.98471775733581,0.477498538985797,4.15648969639014,3.23174739845979e-05,0.00636452253284174,"up",NA,"'LTB4R',"
"DENND2A",24.6312868293863,1.89766767802577,0.535819437421956,3.54161783894257,0.000397681182395397,0.0206587234767224,"up",NA,"'DENND2A',"
"AXDND1",23.8135043745195,1.87285594999156,0.55945825439049,3.3476241261861,0.000815074775738748,0.0268548597210832,"up",NA,"'AXDND1',"
"CALML6",26.8670576393946,1.87231278491876,0.559250641959432,3.34789563827552,0.000814276684831524,0.0268548597210832,"up",NA,"'CALML6',"
"C19orf18",31.9500454860615,1.6933751673392,0.377826876984491,4.48188117492953,7.39879382369955e-06,0.00282589082890634,"up",NA,"'C19orf18',"
"C1QTNF12",42.3270611132976,1.66003658346715,0.48171907960171,3.44606774728474,0.000568807740747589,0.0242204485283196,"up",NA,"'C1QTNF12',"
"SPATA6L",40.0710354660914,1.60884135924204,0.533649988412978,3.01478758394913,0.00257159287465238,0.0424245505132443,"up",NA,"'SPATA6L',"
"EFHB",48.147810375539,1.56892978547689,0.530493893553014,2.95748886941731,0.0031015594650873,0.0463176013009008,"up",NA,"'EFHB',"
"TSGA13",21.9842916478921,1.50601475941555,0.400181894109911,3.76332558164642,0.000167668681197742,0.0140886403854423,"up",NA,"'TSGA13',"
"VAMP5",44.1914914085161,1.3589709407033,0.431703629886946,3.14792567544356,0.00164433497069347,0.0360294194396829,"up",NA,"'VAMP5',"
"MUC1",29.6268124719378,1.34653549353062,0.4023626162816,3.34657206967812,0.000818174082267213,0.0268548597210832,"up",NA,"'MUC1',"
"NDUFC2",2666.47531752389,1.32693599819435,0.404496369966873,3.28046453989939,0.00103636291557051,0.0290920226900908,"up",NA,"'NDUFC2',"
