"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","...9","...10"
"TOMM6",7.31234950634923,3.94737451227702,77.2681765275965,2.75930167320573e-99,5.0404163664449e-95,184.099961190518,"Up",NA,"'TOMM6',"
"PYURF",5.55449269589049,2.9984429597285,54.136167473878,2.26173021846351e-82,2.06575129503365e-78,160.187553752085,"Up",NA,"'PYURF',"
"ADIRF",4.65703953578026,2.51397709453624,16.9053878764683,1.17312471022589e-32,1.64842069859202e-29,62.7565239721669,"Up",NA,"'ADIRF',"
"TREX1",4.04070347987575,2.1812647103754,38.7761797333567,6.53297120199547e-67,3.97792616489504e-63,133.248915618061,"Up",NA,"'TREX1',"
"EVA1B",3.91628613828308,2.11410136668378,24.8399735266641,1.80368167553527e-47,3.66087257411142e-44,94.5087022012445,"Up",NA,"'EVA1B',"
"ZNF593",3.3349166771947,1.8002647549458,27.1129720698509,3.86724348273178e-51,1.00918480998659e-47,102.127352775059,"Up",NA,"'ZNF593',"
"SERINC4",3.22549048767995,1.74119398007502,31.8700888256358,3.95523751518359e-58,1.20417206149764e-54,116.283430846687,"Up",NA,"'SERINC4',"
"PGAM2",3.20954935417071,1.73258858941959,17.2146636488014,2.68315634444303e-33,4.0844347453284e-30,64.1559432346562,"Up",NA,"'PGAM2',"
"PTPRCAP",2.88916005078617,1.55963507166332,16.7528137610797,2.43969922542763e-32,2.97106571672577e-29,62.0612625926944,"Up",NA,"'PTPRCAP',"
"UTP14C",2.69320672378359,1.45385495708672,36.5466215301698,3.13310959872518e-64,1.43081282599782e-60,128.179326269172,"Up",NA,"'UTP14C',"
"GP1BB",2.69166237706715,1.45302128319553,16.3458072925038,1.744895953059e-31,1.99212589840804e-28,60.1908851204642,"Up",NA,"'GP1BB',"
"CPLX3",2.51499099124056,1.35765000412101,8.34489163220618,2.03949052428056e-13,1.77406540033491e-10,20.1158366876486,"Up",NA,"'CPLX3',"
"CMC4",2.45835465520013,1.32707640678944,25.970566591493,2.52660277974324e-49,5.76918162219622e-46,98.3727159700487,"Up",NA,"'CMC4',"
"ABHD16B",2.32399500439679,1.25454597582481,19.1066482283484,4.20280424721702e-37,6.97932956217393e-34,72.4253326667899,"Up",NA,"'ABHD16B',"
"OVCA2",2.26923023973764,1.22498269578758,15.578709141956,7.51872447357245e-30,8.0790905858087e-27,56.6045201453907,"Up",NA,"'OVCA2',"
