"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","...9","...10"
"TOMM6",7.31234950634923,3.94737451227702,77.2457592335346,3.98147893679127e-99,7.27256942594293e-95,200.702843898952,"Up",NA,"'TOMM6',"
"PYURF",5.55449269589049,2.9984429597285,54.1148292056748,3.06087913567696e-82,2.79550091461377e-78,170.032781878318,"Up",NA,"'PYURF',"
"ADIRF",4.65703953578026,2.51397709453624,16.8900982938303,1.34207058794117e-32,1.88391860022205e-29,63.5105249430765,"Up",NA,"'ADIRF',"
"TREX1",4.04070347987575,2.1812647103754,38.7601936355146,8.27554017520829e-67,3.77902542100886e-63,138.705013188121,"Up",NA,"'TREX1',"
"EVA1B",3.91628613828308,2.11410136668378,24.821696691132,2.16899606186625e-47,4.40209800733877e-44,96.6329371903529,"Up",NA,"'EVA1B',"
"ZNF593",3.3349166771947,1.8002647549458,27.0973968112083,4.65191202664805e-51,1.21388321541076e-47,104.734999794845,"Up",NA,"'ZNF593',"
"SERINC4",3.22549048767995,1.74119398007502,31.8580513672545,4.80694224894422e-58,1.46339345198692e-54,119.987314402599,"Up",NA,"'SERINC4',"
"PGAM2",3.20954935417071,1.73258858941959,17.2007671864307,3.05393549656337e-33,4.64859881501888e-30,64.9616196237727,"Up",NA,"'PGAM2',"
"KLK2",3.16881474285737,8.34953890334176,4.90667373385833,3.16135732508433e-06,1.64845426491551e-05,3.85021841257356,"Up",NA,"'KLK2',"
"KLK3",3.14089664430259,10.214323517573,4.4383189969961,2.13032891038318e-05,9.10235973732377e-05,2.01826200651743,"Up",NA,"'KLK3',"
"HPN",2.89686864570481,4.53534553090316,11.6687761905186,4.39515740164596e-21,2.05851141278116e-18,37.4218209556443,"Up",NA,"'HPN',"
"PTPRCAP",2.88916005078617,1.55963507166332,16.7397971500189,2.75869209501628e-32,3.3593513205045e-29,62.8039500588857,"Up",NA,"'PTPRCAP',"
"DLX1",2.82778208089865,2.12651141374669,10.8134989764434,4.18336048034234e-19,1.12372444902843e-16,32.9291609814397,"Up",NA,"'DLX1',"
"UTP14C",2.69320672378359,1.45385495708672,36.5525695375635,3.69597002227744e-64,1.35021176853839e-60,133.102586713945,"Up",NA,"'UTP14C',"
"GP1BB",2.69166237706715,1.45302128319553,16.3334387033846,1.96273081219299e-31,2.24070256346983e-28,60.8789298896822,"Up",NA,"'GP1BB',"
"OR51E2",2.67254878956469,4.335465794871,5.38898791091032,3.95806533917075e-07,2.5574114427058e-06,5.85817437930047,"Up",NA,"'OR51E2',"
"CPLX3",2.51499099124056,1.35765000412101,8.33723159873489,2.14708280906363e-13,8.93362519142514e-12,19.9732524610191,"Up",NA,"'CPLX3',"
"FOLH1",2.49267829248594,5.10001695856911,5.96084658552479,2.95876259746674e-08,2.58587356963289e-07,8.37788746652277,"Up",NA,"'FOLH1',"
"SPDEF",2.48554204358848,7.01771026956567,5.36280067917415,4.44282813776402e-07,2.82466755184119e-06,5.74624074622415,"Up",NA,"'SPDEF',"
"PRAC1",2.46526688259187,6.40568934541596,5.34853675993792,4.73080852318607e-07,2.99421165920016e-06,5.68540657071927,"Up",NA,"'PRAC1',"
"CMC4",2.45835465520013,1.32707640678944,25.9630230211321,2.93432884516833e-49,6.69980633573059e-46,100.767061858695,"Up",NA,"'CMC4',"
"SPON2",2.40928640452803,5.79741801212951,5.92222809557684,3.53933521807872e-08,3.02949845798622e-07,8.2034378749354,"Up",NA,"'SPON2',"
"GDF15",2.40833039643149,5.85021604762186,6.86820583484994,3.80846265068946e-10,5.80194985633809e-09,12.629051180686,"Up",NA,"'GDF15',"
"ACSM1",2.37765872543822,2.80003492140677,6.66302339207295,1.0418062134435e-09,1.3941122560263e-08,11.6442832785276,"Up",NA,"'ACSM1',"
"AMACR",2.34027263131794,2.52091517108075,9.95280051870921,4.15112790097054e-17,6.26648778835768e-15,28.3959587423899,"Up",NA,"'AMACR',"
"KLK4",2.33940576914347,7.36362198860714,4.96395014499684,2.48430902555642e-06,1.3225994946317e-05,4.08251643546531,"Up",NA,"'KLK4',"
"ABHD16B",2.32399500439679,1.25454597582481,19.0958504747653,4.76254878312338e-37,7.90842873386652e-34,73.536765263039,"Up",NA,"'ABHD16B',"
"FASN",2.30400633497224,6.55230618667842,9.61664115971336,2.49299594139256e-16,2.86396628084758e-14,26.6288798412205,"Up",NA,"'FASN',"
"OVCA2",2.26923023973764,1.22498269578758,15.5679169311744,8.35817766601162e-30,8.9806160733746e-27,57.1950532479037,"Up",NA,"'OVCA2',"
"NKX3-1",2.2361744205809,7.45073609581917,4.30256706598366,3.62266451477845e-05,0.000145752400940404,1.51102982850747,"Up",NA,"'NKX3-1',"
"HOXB13",2.12038496425706,6.48709824349671,4.68711364890262,7.84322245585366e-06,3.73084118173497e-05,2.97607523429246,"Up",NA,"'HOXB13',"
"STEAP1",2.09367306171117,5.85980660715337,5.49396408963844,2.48342561981788e-07,1.68821184858926e-06,6.31005595117303,"Up",NA,"'STEAP1',"
"LRRC26",2.08917326115556,4.10842714741657,6.43308205409201,3.17170376388255e-09,3.66209487680649e-08,10.5560401539173,"Up",NA,"'LRRC26',"
"SIM2",2.05440639486855,2.19639121940142,10.4245300748182,3.34107721057004e-18,7.09629259631074e-16,30.8802513137896,"Up",NA,"'SIM2',"
"TNFRSF6B",2.04533313424365,1.1041178866271,13.9962607106194,2.29152483752629e-26,1.81986924705457e-23,49.4088527402082,"Up",NA,"'TNFRSF6B',"
"GOLM1",2.03469225533102,6.70491915132522,7.41461985943229,2.47865499458926e-11,5.48789237953544e-10,15.307081870182,"Up",NA,"'GOLM1',"
"PDLIM5",2.01974300426257,5.63585091233296,8.72059875100404,2.87765677124598e-14,1.5880144587184e-12,21.9510580356179,"Up",NA,"'PDLIM5',"
"PODXL2",2.00191846699811,4.94944505379808,8.79948785754066,1.89919955551264e-14,1.10480188156031e-12,22.3601729364583,"Up",NA,"'PODXL2',"
"CLDN3",1.97806742141793,6.66110865603394,7.21281335891314,6.85482021260732e-11,1.30836098227257e-09,14.3092928840758,"Up",NA,"'CLDN3',"
"TRPM4",1.93790537584753,4.82394996141095,9.63803754776165,2.22442905247888e-16,2.58798860334899e-14,26.7412221887455,"Up",NA,"'TRPM4',"
"FOXA1",1.92593731464511,6.12491243807033,5.83007610094771,5.41527785904812e-08,4.43169647730165e-07,7.78956007712716,"Up",NA,"'FOXA1',"
"ABCC4",1.91679239366796,4.42874222998852,6.62348468439325,1.2630261128429e-09,1.64829967607792e-08,11.4559678410537,"Up",NA,"'ABCC4',"
"PHGR1",1.88892629088744,1.28080241930727,7.46828954507582,1.88835306891924e-11,4.31697836756931e-10,15.5740152062761,"Up",NA,"'PHGR1',"
"NPFF",1.85739900124468,1.00266671748606,16.8748113899679,1.44393191739345e-32,1.88391860022205e-29,63.4387951050799,"Up",NA,"'NPFF',"
"CGREF1",1.84560109380834,2.31810990151079,10.9269045753604,2.28355994369593e-19,6.83795179205736e-17,33.5261599736763,"Up",NA,"'CGREF1',"
