"Gene","Botox_Aver","MPG_Aver","...4","...5","...6"
"TNFRSF4",2.7355,1.443,"Up",NA,"'TNFRSF4',"
"SGK1",2.223,1.30386666666667,"Up",NA,"'SGK1',"
"EPS8L3",2.071,0.940366666666667,"Up",NA,"'EPS8L3',"
"SERINC2",1.8745,1.00836666666667,"Up",NA,"'SERINC2',"
"KIF6",1.8645,1.28443333333333,"Up",NA,"'KIF6',"
"PRRG3",1.863,1.15473333333333,"Up",NA,"'PRRG3',"
"CFTR",1.849,0.682533333333333,"Up",NA,"'CFTR',"
"COL3A1",1.844,0.7419,"Up",NA,"'COL3A1',"
"ANXA3",1.8265,1.48446666666667,"Up",NA,"'ANXA3',"
"MYO15A",1.825,1.21893333333333,"Up",NA,"'MYO15A',"
"FBXL17",1.799,1.07223333333333,"Up",NA,"'FBXL17',"
"B2M",1.79725,1.92766666666667,"Up",NA,"'B2M',"
"SYT5",1.7555,0.725466666666667,"Up",NA,"'SYT5',"
"BTN3A2",1.7255,1.21496666666667,"Up",NA,"'BTN3A2',"
"DCSTAMP",1.7206,0.7465,"Up",NA,"'DCSTAMP',"
"GSX1",1.719,0.822833333333333,"Up",NA,"'GSX1',"
"SENP2",1.6745,0.945666666666667,"Up",NA,"'SENP2',"
"CSE1L",1.6675,1.09033333333333,"Up",NA,"'CSE1L',"
"KLK15",1.6365,1.40966666666667,"Up",NA,"'KLK15',"
"TYROBP",1.624,0.900633333333333,"Up",NA,"'TYROBP',"
"CST3",1.616,1.4722,"Up",NA,"'CST3',"
"EDNRB",1.5875,0.976233333333333,"Up",NA,"'EDNRB',"
"HTR1A",1.576,0.785733333333333,"Up",NA,"'HTR1A',"
"CAV3",1.573,0.670533333333333,"Up",NA,"'CAV3',"
"VPS37B",1.518,0.7601,"Up",NA,"'VPS37B',"
"YIF1B",1.507,0.758633333333333,"Up",NA,"'YIF1B',"
"SYNE1",1.5066,0.797333333333333,"Up",NA,"'SYNE1',"
"FASLG",1.504,0.6772,"Up",NA,"'FASLG',"
"EYA4",1.483,1.18216666666667,"Up",NA,"'EYA4',"
"CCT3",1.43025,0.768033333333333,"Up",NA,"'CCT3',"
"SLC13A5",1.4195,1.10036666666667,"Up",NA,"'SLC13A5',"
"INSIG1",1.411,1.33253333333333,"Up",NA,"'INSIG1',"
"SEL1L2",1.388,0.672433333333333,"Up",NA,"'SEL1L2',"
"UBA6",1.37165,0.7112,"Up",NA,"'UBA6',"
"TUBA1C",1.345,1.3466,"Up",NA,"'TUBA1C',"
"IFITM2",1.3355,1.2176,"Up",NA,"'IFITM2',"
"TRMT112",1.3208,0.625,"Up",NA,"'TRMT112',"
"SMARCB1",1.3025,1.0191,"Up",NA,"'SMARCB1',"
"PATL1",1.298,1.06523333333333,"Up",NA,"'PATL1',"
"SLC6A6",1.296,0.853866666666667,"Up",NA,"'SLC6A6',"
"VPS54",1.293,0.781033333333333,"Up",NA,"'VPS54',"
"PHB2",1.283,1.04886666666667,"Up",NA,"'PHB2',"
"RABGGTA",1.2705,1.00486666666667,"Up",NA,"'RABGGTA',"
"ACP4",1.2669,1.06156666666667,"Up",NA,"'ACP4',"
"RNF217",1.2535,1.01156666666667,"Up",NA,"'RNF217',"
"LEP",1.2455,0.922466666666667,"Up",NA,"'LEP',"
"CDH22",1.2455,0.8592,"Up",NA,"'CDH22',"
"MRGPRF",1.24265,0.906266666666667,"Up",NA,"'MRGPRF',"
"HTR2A",1.2370375,0.765708333333333,"Up",NA,"'HTR2A',"
"SPPL2B",1.2345,0.9276,"Up",NA,"'SPPL2B',"
"ZDHHC24",1.212,0.975166666666667,"Up",NA,"'ZDHHC24',"
"TSPAN17",1.21045,0.746433333333333,"Up",NA,"'TSPAN17',"
"CES5A",1.19725,0.661966666666667,"Up",NA,"'CES5A',"
"TRAM1L1",1.186,1.01796666666667,"Up",NA,"'TRAM1L1',"
"AARS1",1.1723,0.725466666666667,"Up",NA,"'AARS1',"
"GLT6D1",1.1634,0.712,"Up",NA,"'GLT6D1',"
"NHS",1.13995,0.657533333333333,"Up",NA,"'NHS',"
"DYNLT2",1.1331,1.43876666666667,"Up",NA,"'DYNLT2',"
"CDC25C",1.10475,0.712233333333333,"Up",NA,"'CDC25C',"
"HBS1L",1.099,0.6261,"Up",NA,"'HBS1L',"
"TSPAN11",1.0853,0.695433333333333,"Up",NA,"'TSPAN11',"
"OTOG",1.06775,0.790633333333333,"Up",NA,"'OTOG',"
"NPHP1",1.0612,0.7863,"Up",NA,"'NPHP1',"
"SLC28A2",1.0571,0.828,"Up",NA,"'SLC28A2',"
"MAOA",1.04685,0.5969,"Up",NA,"'MAOA',"
"TAAR9",1.0335,0.796833333333333,"Up",NA,"'TAAR9',"
"PHLDA1",1.01205,0.837866666666667,"Up",NA,"'PHLDA1',"
"TUBAL3",1.0082,0.795333333333333,"Up",NA,"'TUBAL3',"
"TFRC",1.00675,0.8983,"Up",NA,"'TFRC',"
"EDNRA",0.97945,0.702511111111111,"Up",NA,"'EDNRA',"
"BIRC5",0.9656,0.807566666666667,"Up",NA,"'BIRC5',"
"SERINC4",0.9568,1.03153333333333,"Up",NA,"'SERINC4',"
"COLEC12",0.9451,0.755933333333333,"Up",NA,"'COLEC12',"
"HSPB1",0.942205555555555,0.984674074074074,"Up",NA,"'HSPB1',"
"GABBR1",0.939416666666666,0.6683,"Up",NA,"'GABBR1',"
"REG3A",0.937,1.362,"Up",NA,"'REG3A',"
"CPAMD8",0.9271,0.8833,"Up",NA,"'CPAMD8',"
"ADPRHL1",0.8835,0.6115,"Up",NA,"'ADPRHL1',"
"KIF27",0.86185,0.651666666666667,"Up",NA,"'KIF27',"
"DENND6A",0.86155,0.654666666666667,"Up",NA,"'DENND6A',"
"LAPTM5",0.8595,0.828733333333333,"Up",NA,"'LAPTM5',"
"HDAC1",0.85355,0.6873,"Up",NA,"'HDAC1',"
"VEGFA",0.84965,0.667666666666667,"Up",NA,"'VEGFA',"
"SREBF1",0.84955,0.938433333333333,"Up",NA,"'SREBF1',"
"NR6A1",0.8367,0.643533333333333,"Up",NA,"'NR6A1',"
"FBP1",0.8223,0.614266666666667,"Up",NA,"'FBP1',"
