"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category","GeneRatioNum","BgRatioNum"
"BP","GO:0016236","macroautophagy","14/156","374/18805",0.0374331550802139,4.51237488002194,6.27511746674009,2.94037576002963e-06,0.00698339243007038,0.00664834435004595,"TBC1D14/SQSTM1/HK2/EXOC7/HGS/TBC1D5/TRIM32/FYCO1/ATG9A/SMCR8/RNF31/SPG11/KAT5/STX17",14,"BP",0.0897435897435897,0.0198883275724541
"BP","GO:0010506","regulation of autophagy","12/156","359/18805",0.0334261838440111,4.02935504606814,5.30036703824054,4.67165605861537e-05,0.0381176004402393,0.0362888003304749,"TBC1D14/ACER2/SQSTM1/HK2/RAB8A/EXOC7/TRIM32/FYCO1/SMCR8/RNF31/KAT5/EP300",12,"BP",0.0769230769230769,0.019090667375698
"BP","GO:0007030","Golgi organization","8/156","156/18805",0.0512820512820513,6.18178829717291,5.94393205679461,4.81485479245128e-05,0.0381176004402393,0.0362888003304749,"BHLHA15/PRMT5/RAB8A/ZFP69B/CSNK1A1/MYO18A/STX17/EHD3",8,"BP",0.0512820512820513,0.00829566604626429
"BP","GO:0007163","establishment or maintenance of cell polarity","9/156","228/18805",0.0394736842105263,4.75835020242915,5.22199587043051,0.000123313740025174,0.0458949825749645,0.043693040474692,"DLG5/CAP1/CDC42BPB/SIPA1L3/PKD1/FERMT1/MYO18A/KAT5/SAPCD2",9,"BP",0.0576923076923077,0.012124434990694
"BP","GO:0006913","nucleocytoplasmic transport","11/156","340/18805",0.0323529411764706,3.89998114630468,4.93536893220404,0.000129787912336296,0.0458949825749645,0.043693040474692,"SQSTM1/FAM53C/SDAD1/POM121/SMG6/PKD1/FERMT1/NEMF/SPG11/EP300/KPNB1",11,"BP",0.0705128205128205,0.0180802977931401
"BP","GO:0051169","nuclear transport","11/156","340/18805",0.0323529411764706,3.89998114630468,4.93536893220404,0.000129787912336296,0.0458949825749645,0.043693040474692,"SQSTM1/FAM53C/SDAD1/POM121/SMG6/PKD1/FERMT1/NEMF/SPG11/EP300/KPNB1",11,"BP",0.0705128205128205,0.0180802977931401
"BP","GO:0016239","positive regulation of macroautophagy","6/156","96/18805",0.0625,7.53405448717949,5.87019768350229,0.000148352694955601,0.0458949825749645,0.043693040474692,"HK2/TRIM32/FYCO1/SMCR8/RNF31/KAT5",6,"BP",0.0384615384615385,0.00510502525923956
"BP","GO:0090162","establishment of epithelial cell polarity","4/156","33/18805",0.121212121212121,14.6114996114996,7.15759825127542,0.00015459362551567,0.0458949825749645,0.043693040474692,"SIPA1L3/PKD1/FERMT1/MYO18A",4,"BP",0.0256410256410256,0.0017548524328636
"BP","GO:0098698","postsynaptic specialization assembly","4/156","36/18805",0.111111111111111,13.3938746438746,6.80765327663872,0.00021827973385081,0.0576015964328526,0.0548379962937473,"SLITRK3/PTPRS/CASKIN1/SPTBN2",4,"BP",0.0256410256410256,0.00191438447221484
"BP","GO:0010508","positive regulation of autophagy","7/156","156/18805",0.0448717948717949,5.4090647600263,5.05755539683123,0.000327594088699779,0.0778035960661975,0.0740707476344342,"SQSTM1/HK2/TRIM32/FYCO1/SMCR8/RNF31/KAT5",7,"BP",0.0448717948717949,0.00829566604626429
