"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category","GeneRatioNum","BgRatioNum"
"BP","GO:0009141","nucleoside triphosphate metabolic process","29/725","277/18805",0.104693140794224,2.71552346570397,5.75992976636856,1.13365210478112e-06,0.00519099298779273,0.00500000244108724,"ATP5MC2/DCTPP1/SIRT6/MLST8/NDUFS6/NDUFB10/DTYMK/GALK1/NDUFB11/MT-ATP6/GUK1/ATP5MC1/NDUFB9/ITPA/ARL2/UQCC3/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3/SLC25A25/APP/ALDOA/DHTKD1/EP300/EFL1/PGAM4",29,"BP",0.04,0.0147301249667642
"BP","GO:0009144","purine nucleoside triphosphate metabolic process","27/725","261/18805",0.103448275862069,2.68323424494649,5.48350209841564,3.31490026123311e-06,0.00596683498469264,0.00574729913124266,"ATP5MC2/SIRT6/MLST8/NDUFS6/NDUFB10/GALK1/NDUFB11/MT-ATP6/GUK1/ATP5MC1/NDUFB9/ITPA/ARL2/UQCC3/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3/SLC25A25/APP/ALDOA/DHTKD1/EP300/EFL1/PGAM4",27,"BP",0.0372413793103448,0.0138792874235576
"BP","GO:0006163","purine nucleotide metabolic process","38/725","448/18805",0.0848214285714286,2.20009236453202,5.14810904202278,4.94553388581508e-06,0.00596683498469264,0.00574729913124266,"ATP5MC2/SLC25A11/DCXR/APRT/SIRT6/NAPRT/NNMT/MLST8/NDUFS6/SULT2B1/NDUFB10/GALK1/NDUFB11/FDXR/MT-ATP6/GUK1/ATP5MC1/NDUFB9/ITPA/ARL2/UQCC3/NDUFB7/PARP10/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3/NT5C2/SLC25A25/APP/ALDOA/DHTKD1/H6PD/EP300/GUCY1A1/EFL1/PGAM4",38,"BP",0.0524137931034483,0.0238234512097846
"BP","GO:0009205","purine ribonucleoside triphosphate metabolic process","26/725","254/18805",0.102362204724409,2.65506380667934,5.31793284321057,6.07950414516851e-06,0.00596683498469264,0.00574729913124266,"ATP5MC2/SIRT6/MLST8/NDUFS6/NDUFB10/GALK1/NDUFB11/MT-ATP6/ATP5MC1/NDUFB9/ITPA/ARL2/UQCC3/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3/SLC25A25/APP/ALDOA/DHTKD1/EP300/EFL1/PGAM4",26,"BP",0.0358620689655172,0.0135070459984047
"BP","GO:0002181","cytoplasmic translation","20/725","169/18805",0.118343195266272,3.06957763721689,5.41182364569528,8.46826012505479e-06,0.00596683498469264,0.00574729913124266,"RPL26L1/RPL27A/RPL24/RPL28/RPS15/RPL35/RPS19/FAU/RPS18/RPL13/RPS12/RPS27A/RPS16/RPL34/RPL36/RPL18/RPS28/RPS9/RPLP1/CPEB4",20,"BP",0.0275862068965517,0.00898697155011965
"BP","GO:0022613","ribonucleoprotein complex biogenesis","40/725","494/18805",0.0809716599190283,2.10023733072735,4.96236529613173,8.54447260396066e-06,0.00596683498469264,0.00574729913124266,"TRMT112/RPL26L1/RPL24/RPS15/FBLL1/RPL35/SNRPD2/RPS19/FAU/NOC4L/PIH1D1/TXNL4A/RPS12/SIRT7/PES1/POP7/RPS27A/RPS16/ISY1/LUC7L3/LUC7L/IMP3/LSM4/CDKN2A/WDR18/LSM2/BOP1/RPS28/SF3B5/RPS9/TARBP2/PRPF31/SNRPB/EIF5B/RPS19BP1/EXOSC4/GNL3L/HEATR1/EFL1/NGRN",40,"BP",0.0551724137931034,0.0262696091465036
"BP","GO:0009199","ribonucleoside triphosphate metabolic process","26/725","261/18805",0.0996168582375479,2.58385519883736,5.15975321467351,9.9174388528088e-06,0.00596683498469264,0.00574729913124266,"ATP5MC2/SIRT6/MLST8/NDUFS6/NDUFB10/GALK1/NDUFB11/MT-ATP6/ATP5MC1/NDUFB9/ITPA/ARL2/UQCC3/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3/SLC25A25/APP/ALDOA/DHTKD1/EP300/EFL1/PGAM4",26,"BP",0.0358620689655172,0.0138792874235576
"BP","GO:0009060","aerobic respiration","22/725","201/18805",0.109452736318408,2.83897752616229,5.2488745922707,1.08508704255877e-05,0.00596683498469264,0.00574729913124266,"NDUFS6/MT-CO3/NDUFB10/NDUFB11/SDHAF2/MT-ATP6/CHCHD10/NDUFB9/ARL2/UQCC3/NDUFB7/MT-CYB/MT-CO1/MT-ND2/MT-CO2/MT-ND1/ATP5F1D/UCN/MT-ND6/ACO2/IDH3A/IREB2",22,"BP",0.0303448275862069,0.0106886466365328
"BP","GO:0006091","generation of precursor metabolites and energy","39/725","484/18805",0.0805785123966942,2.09003989740667,4.86502861600223,1.23696736704391e-05,0.00596683498469264,0.00574729913124266,"PHKG2/SIRT6/MLST8/NDUFS6/MT-CO3/NDUFB10/GALK1/NDUFB11/SDHAF2/FDXR/MT-ATP6/CHCHD10/SLC27A5/NDUFB9/ETFB/ARL2/UQCC3/NDUFB7/MT-CYB/PHLDA2/MT-CO1/MT-ND2/MT-CO2/MT-ND1/ATP5F1D/UCN/MT-ND6/SLC25A25/APP/ACO2/ALDOA/IRS1/IDH3A/RB1CC1/DHTKD1/H6PD/EP300/IREB2/PGAM4",39,"BP",0.0537931034482759,0.0257378356819995
"BP","GO:0140053","mitochondrial gene expression","20/725","176/18805",0.113636363636364,2.9474921630094,5.19795113802738,1.55493773020352e-05,0.00596683498469264,0.00574729913124266,"MRPL51/TSFM/MRPL14/MRPL24/CHCHD1/MRPL27/CHCHD10/AURKAIP1/MRPL55/GADD45GIP1/MRPS12/FASTK/MRPL54/MRPS34/MRPL41/MRPL23/MRPL12/POLR1A/FOXO3/NGRN",20,"BP",0.0275862068965517,0.00935921297527253
