"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category","GeneRatioNum","BgRatioNum"
"BP","GO:0022613","ribonucleoprotein complex biogenesis","36/457","494/18805",0.0728744939271255,2.99869772056804,7.10466190876865,4.98164798189458e-09,1.72066121294639e-05,1.66124850596232e-05,"TRMT112/RPL26L1/RPL24/RPS15/FBLL1/RPL35/SNRPD2/RPS19/FAU/NOC4L/PIH1D1/TXNL4A/RPS12/SIRT7/PES1/POP7/RPS27A/RPS16/ISY1/LUC7L3/LUC7L/IMP3/LSM4/CDKN2A/WDR18/LSM2/BOP1/RPS28/SF3B5/RPS9/TARBP2/PRPF31/SNRPB/EIF5B/RPS19BP1/EXOSC4",36,"BP",0.0787746170678337,0.0262696091465036
"BP","GO:0002181","cytoplasmic translation","19/457","169/18805",0.112426035502959,4.62619605609001,7.47320917294072,3.14089803826072e-08,5.42433091207626e-05,5.23703420274208e-05,"RPL26L1/RPL27A/RPL24/RPL28/RPS15/RPL35/RPS19/FAU/RPS18/RPL13/RPS12/RPS27A/RPS16/RPL34/RPL36/RPL18/RPS28/RPS9/RPLP1",19,"BP",0.0415754923413567,0.00898697155011965
"BP","GO:0006119","oxidative phosphorylation","17/457","151/18805",0.112582781456954,4.63264596345298,7.07317521926109,1.63813908975524e-07,0.000142139967678467,0.000137232017068047,"NDUFS6/MT-CO3/NDUFB10/NDUFB11/SDHAF2/MT-ATP6/CHCHD10/NDUFB9/UQCC3/NDUFB7/MT-CYB/MT-CO1/MT-ND2/MT-CO2/MT-ND1/ATP5F1D/MT-ND6",17,"BP",0.037199124726477,0.00802977931401223
"BP","GO:0007005","mitochondrion organization","31/457","445/18805",0.0696629213483146,2.86654537408109,6.28884765639269,1.64609111382127e-07,0.000142139967678467,0.000137232017068047,"ATAD3A/BCL2L1/BAX/SIRT7/CLPP/ZNF205/IFI6/NDUFB10/SFN/NDUFB11/SDHAF2/FZD9/CHCHD10/GPX1/RHOT2/HIGD2A/ENDOG/NDUFB9/UQCC3/NDUFB7/TIMM13/ATAD3B/NDUFAF8/BIK/SIVA1/MT-ND2/PARL/MT-ND1/ATP5F1D/MT-ND6/NME3",31,"BP",0.0678336980306346,0.0236639191704334
"BP","GO:0042254","ribosome biogenesis","25/457","317/18805",0.0788643533123028,3.24517322546577,6.36243523979373,2.69440861160083e-07,0.000149879218966808,0.000144704039766814,"TRMT112/RPL26L1/RPL24/RPS15/FBLL1/RPL35/RPS19/FAU/NOC4L/PIH1D1/RPS12/SIRT7/PES1/POP7/RPS27A/RPS16/IMP3/CDKN2A/WDR18/BOP1/RPS28/RPS9/EIF5B/RPS19BP1/EXOSC4",25,"BP",0.0547045951859956,0.0168572188247806
"BP","GO:0015986","proton motive force-driven ATP synthesis","12/457","77/18805",0.155844155844156,6.41279945437495,7.51121951623672,3.23025751922704e-07,0.000149879218966808,0.000144704039766814,"ATP5MC2/NDUFS6/NDUFB10/NDUFB11/MT-ATP6/ATP5MC1/NDUFB9/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6",12,"BP",0.0262582056892779,0.00409465567668173
"BP","GO:0009142","nucleoside triphosphate biosynthetic process","15/457","125/18805",0.12,4.93785557986871,6.97132308537518,3.81100446452701e-07,0.000149879218966808,0.000144704039766814,"ATP5MC2/NDUFS6/NDUFB10/DTYMK/NDUFB11/MT-ATP6/ATP5MC1/NDUFB9/UQCC3/NDUFB7/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3",15,"BP",0.0328227571115974,0.00664716830630152
"BP","GO:0019646","aerobic electron transport chain","13/457","93/18805",0.139784946236559,5.75198230629868,7.25011742100862,3.856049364416e-07,0.000149879218966808,0.000144704039766814,"NDUFS6/MT-CO3/NDUFB10/SDHAF2/NDUFB9/UQCC3/NDUFB7/MT-CYB/MT-CO1/MT-ND2/MT-CO2/MT-ND1/MT-ND6",13,"BP",0.0284463894967177,0.00494549321988833
"BP","GO:0006164","purine nucleotide biosynthetic process","19/457","198/18805",0.095959595959596,3.94862188625865,6.58267413658145,3.90536470961572e-07,0.000149879218966808,0.000144704039766814,"ATP5MC2/APRT/NAPRT/NNMT/NDUFS6/NDUFB10/NDUFB11/MT-ATP6/GUK1/ATP5MC1/NDUFB9/UQCC3/NDUFB7/PARP10/MT-ND2/MT-ND1/ATP5F1D/MT-ND6/NME3",19,"BP",0.0415754923413567,0.0105291145971816
"BP","GO:0009060","aerobic respiration","19/457","201/18805",0.0945273631840796,3.88968723123986,6.50031732084342,4.92762964252436e-07,0.000158061061043145,0.000152603371037297,"NDUFS6/MT-CO3/NDUFB10/NDUFB11/SDHAF2/MT-ATP6/CHCHD10/NDUFB9/ARL2/UQCC3/NDUFB7/MT-CYB/MT-CO1/MT-ND2/MT-CO2/MT-ND1/ATP5F1D/UCN/MT-ND6",19,"BP",0.0415754923413567,0.0106886466365328
