"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category","GeneRatioNum","BgRatioNum"
"BP","GO:0006119","oxidative phosphorylation","18/474","151/18805",0.119205298013245,4.72923128510353,7.398488783847,5.05958052338254e-08,0.000199752239063143,0.000193968339643781,"ATP5F1E/ATP5IF1/ATP5MG/ATP5PD/COX6A1/COX7C/COX8A/DGUOK/ISCU/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2/UQCR11/UQCRQ/SLC25A23",18,"BP",0.0379746835443038,0.00802977931401223
"BP","GO:0009060","aerobic respiration","20/474","201/18805",0.0995024875621891,3.94756176921301,6.75583433922024,1.916779973362e-07,0.000378372366741659,0.000367416455946548,"ATP5F1E/ATP5IF1/ATP5MG/ATP5PD/BLOC1S1/COX6A1/COX7C/COX8A/DGUOK/IDH3B/ISCU/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2/UQCR11/UQCRQ/SLC25A23",20,"BP",0.0421940928270042,0.0106886466365328
"BP","GO:0042773","ATP synthesis coupled electron transport","13/474","101/18805",0.128712871287129,5.10642519948197,6.65393523965723,1.52575667477179e-06,0.00150592183799976,0.00146231731829444,"COX6A1/COX7C/COX8A/DGUOK/ISCU/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2/UQCR11/UQCRQ",13,"BP",0.0274261603375527,0.00537091199149162
"BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","13/474","101/18805",0.128712871287129,5.10642519948197,6.65393523965723,1.52575667477179e-06,0.00150592183799976,0.00146231731829444,"COX6A1/COX7C/COX8A/DGUOK/ISCU/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2/UQCR11/UQCRQ",13,"BP",0.0274261603375527,0.00537091199149162
"BP","GO:0019646","aerobic electron transport chain","12/474","93/18805",0.129032258064516,5.11909622975364,6.40330990665303,3.75095768630827e-06,0.00285207105095112,0.00276948828655788,"COX6A1/COX7C/COX8A/ISCU/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2/UQCR11/UQCRQ",12,"BP",0.0253164556962025,0.00494549321988833
"BP","GO:0045333","cellular respiration","20/474","245/18805",0.0816326530612245,3.23861190045639,5.67144960968554,4.33445448472814e-06,0.00285207105095112,0.00276948828655788,"ATP5F1E/ATP5IF1/ATP5MG/ATP5PD/BLOC1S1/COX6A1/COX7C/COX8A/DGUOK/IDH3B/ISCU/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2/UQCR11/UQCRQ/SLC25A23",20,"BP",0.0421940928270042,0.013028449880351
"BP","GO:0045945","positive regulation of transcription by RNA polymerase III","6/474","19/18805",0.315789473684211,12.5283144570286,8.08437907026582,5.10023615447898e-06,0.00287653319112614,0.00279324211648307,"AR/DDX21/ERCC6/MYO1C/RPTOR/ZNF143",6,"BP",0.0126582278481013,0.00101036958255783
"BP","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","10/474","68/18805",0.147058823529412,5.83426408538099,6.42178871511499,7.3944586962784e-06,0.00352239386541444,0.00342040165782525,"ATP5F1E/ATP5IF1/ATP5MG/ATP5PD/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2",10,"BP",0.0210970464135021,0.00361605955862802
"BP","GO:0022904","respiratory electron transport chain","13/474","117/18805",0.111111111111111,4.40811064228786,5.94629453330119,8.02977324942501e-06,0.00352239386541444,0.00342040165782525,"COX6A1/COX7C/COX8A/DGUOK/ISCU/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2/UQCR11/UQCRQ",13,"BP",0.0274261603375527,0.00622174953469822
"BP","GO:0022900","electron transport chain","13/474","127/18805",0.102362204724409,4.06101531612346,5.56574610399196,1.9640577598921e-05,0.007754100036054,0.00752957722266002,"COX6A1/COX7C/COX8A/DGUOK/ISCU/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2/UQCR11/UQCRQ",13,"BP",0.0274261603375527,0.00675352299920234
"BP","GO:0015986","proton motive force-driven ATP synthesis","10/474","77/18805",0.12987012987013,5.15233711436243,5.87101893185729,2.27918607601126e-05,0.0081802060255386,0.007943345156778,"ATP5F1E/ATP5IF1/ATP5MG/ATP5PD/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2",10,"BP",0.0210970464135021,0.00409465567668173
