"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category","GeneRatioNum","BgRatioNum"
"BP","GO:0045945","positive regulation of transcription by RNA polymerase III","6/257","19/18805",0.315789473684211,23.1066967028466,11.3481909200702,1.4366398525685e-07,0.000448806289942399,0.000421464765169306,"AR/DDX21/ERCC6/MYO1C/RPTOR/ZNF143",6,"BP",0.0233463035019455,0.00101036958255783
"BP","GO:0006359","regulation of transcription by RNA polymerase III","6/257","31/18805",0.193548387096774,14.162168946906,8.63322461818292,3.39739646238602e-06,0.00530673327424697,0.00498344417929992,"AR/DDX21/ERCC6/MYO1C/RPTOR/ZNF143",6,"BP",0.0233463035019455,0.00164849773996278
"BP","GO:0086013","membrane repolarization during cardiac muscle cell action potential","5/257","28/18805",0.178571428571429,13.0662868260145,7.52112309249067,3.4845244949074e-05,0.0362855150736357,0.0340749816396734,"DLG1/FLNA/KCND3/KCNH2/NOS1AP",5,"BP",0.0194552529182879,0.00148896570061154
"BP","GO:0098915","membrane repolarization during ventricular cardiac muscle cell action potential","4/257","17/18805",0.235294117647059,17.2167544060426,7.87392482012257,7.05038046503762e-05,0.0497240786808493,0.0466948605982637,"DLG1/KCND3/KCNH2/NOS1AP",4,"BP",0.0155642023346304,0.000904014889657006
"BP","GO:0086011","membrane repolarization during action potential","5/257","33/18805",0.151515151515152,11.0865463978304,6.8263307524935,7.95839927670444e-05,0.0497240786808493,0.0466948605982637,"DLG1/FLNA/KCND3/KCNH2/NOS1AP",5,"BP",0.0194552529182879,0.0017548524328636
"BP","GO:0042254","ribosome biogenesis","14/257","317/18805",0.0441640378548896,3.23153592163891,4.71662866837332,0.000125411004354918,0.0652973296007938,0.0613193805503782,"DDX18/DDX21/DDX3X/EIF2A/FASTKD2/GEMIN4/NOL8/NOP9/NUP88/PRKDC/RIOX2/UTP14A/UTP25/WDR43",14,"BP",0.0544747081712062,0.0168572188247806
"BP","GO:0022613","ribonucleoprotein complex biogenesis","18/257","494/18805",0.0364372469635627,2.66615731186692,4.41739856543556,0.000163634114809889,0.0710361732156824,0.0667086106719141,"ADAR/DDX18/DDX21/DDX3X/EIF2A/FASTKD2/GEMIN4/GEMIN5/HSP90AA1/NCBP1/NOL8/NOP9/NUP88/PRKDC/RIOX2/UTP14A/UTP25/WDR43",18,"BP",0.0700389105058366,0.0262696091465036
"BP","GO:0060612","adipose tissue development","6/257","61/18805",0.0983606557377049,7.19716782547681,5.70650466271394,0.000181910814892913,0.0710361732156824,0.0667086106719141,"AMER1/DGAT2/EBF2/LRP5/RORC/SH3PXD2B",6,"BP",0.0233463035019455,0.00324381813347514
"BP","GO:0099622","cardiac muscle cell membrane repolarization","5/257","42/18805",0.119047619047619,8.71085788400964,5.88869883886634,0.000258063045816173,0.0787443238153074,0.0739471765190585,"DLG1/FLNA/KCND3/KCNH2/NOS1AP",5,"BP",0.0194552529182879,0.00223344855091731
"BP","GO:0006383","transcription by RNA polymerase III","6/257","66/18805",0.0909090909090909,6.65192783869827,5.41425255082962,0.000281217522050273,0.0787443238153074,0.0739471765190585,"AR/DDX21/ERCC6/MYO1C/RPTOR/ZNF143",6,"BP",0.0233463035019455,0.0035097048657272
"BP","GO:0043268","positive regulation of potassium ion transport","5/257","43/18805",0.116279069767442,8.50827979368383,5.80200701272206,0.000288792043357075,0.0787443238153074,0.0739471765190585,"ADRA2A/DLG1/FLNA/KCNH2/NOS1AP",5,"BP",0.0194552529182879,0.00228662589736772
"BP","GO:0016072","rRNA metabolic process","12/257","265/18805",0.0452830188679245,3.31341311210631,4.46441341176952,0.000302474995449324,0.0787443238153074,0.0739471765190585,"DDX18/DDX21/DIS3L/ERCC6/GEMIN4/MAPT/NOL8/NOP9/PRKDC/UTP14A/UTP25/WDR43",12,"BP",0.0466926070038911,0.0140919968093592
"BP","GO:0042789","mRNA transcription by RNA polymerase II","5/257","47/18805",0.106382978723404,7.78417087507244,5.48145156062258,0.000440211812932743,0.105786284892453,0.0993417265298426,"CREB1/FLNA/HLTF/NCBP1/TAF4B",5,"BP",0.0194552529182879,0.00249933528316937
"BP","GO:0006356","regulation of transcription by RNA polymerase I","5/257","48/18805",0.104166666666667,7.62200064850843,5.40718573550713,0.000485978008369548,0.108442521296176,0.101836143558341,"DDX21/ERCC6/FLNA/MYO1C/WDR43",5,"BP",0.0194552529182879,0.00255251262961978
"BP","GO:0001822","kidney development","13/257","325/18805",0.04,2.92684824902724,4.12459536155306,0.000560874330151605,0.113152839935383,0.106259507008529,"AMER1/BMP6/DCHS1/DLG1/DYNC2H1/GCNT1/GDF11/INVS/PODXL/PRDM1/PRKX/TIPARP/ZBTB16",13,"BP",0.0505836575875486,0.0172826375963839
"BP","GO:0030705","cytoskeleton-dependent intracellular transport","10/257","207/18805",0.0483091787439614,3.53484088046768,4.31664061750484,0.000579527989425777,0.113152839935383,0.106259507008529,"BICD2/CCDC88C/DYNC2H1/KIF3B/MAPT/MECP2/MYO1C/SPG11/TANC2/WDR35",10,"BP",0.0389105058365759,0.0110077107152353
"BP","GO:0030048","actin filament-based movement","8/257","139/18805",0.0575539568345324,4.21129244464351,4.4730604380354,0.000658961198004785,0.116092518517743,0.10902009876304,"CCDC88C/DLG1/FLNA/KCND3/KCNH2/MYO1C/NOS1AP/WASF2",8,"BP",0.0311284046692607,0.00739165115660729
"BP","GO:0009299","mRNA transcription","5/257","52/18805",0.0961538461538462,7.03569290631547,5.13022684933042,0.000705633636620221,0.116092518517743,0.10902009876304,"CREB1/FLNA/HLTF/NCBP1/TAF4B",5,"BP",0.0194552529182879,0.00276522201542143
"BP","GO:0099625","ventricular cardiac muscle cell membrane repolarization","4/257","30/18805",0.133333333333333,9.75616083009079,5.64972779294205,0.000706068454493316,0.116092518517743,0.10902009876304,"DLG1/KCND3/KCNH2/NOS1AP",4,"BP",0.0155642023346304,0.00159532039351236
"BP","GO:0072001","renal system development","13/257","336/18805",0.0386904761904762,2.83102881230313,3.98644948835469,0.000763756534647245,0.1192987707119,0.112031024319046,"AMER1/BMP6/DCHS1/DLG1/DYNC2H1/GCNT1/GDF11/INVS/PODXL/PRDM1/PRKX/TIPARP/ZBTB16",13,"BP",0.0505836575875486,0.0178675884073385
"BP","GO:0086009","membrane repolarization","5/257","59/18805",0.0847457627118644,6.20094968014245,4.70974605186192,0.00125795673636069,0.175685919829269,0.16498303745676,"DLG1/FLNA/KCND3/KCNH2/NOS1AP",5,"BP",0.0194552529182879,0.00313746344057432
"BP","GO:0086005","ventricular cardiac muscle cell action potential","4/257","35/18805",0.114285714285714,8.36242356864925,5.13175394046122,0.00127877576147332,0.175685919829269,0.16498303745676,"DLG1/KCND3/KCNH2/NOS1AP",4,"BP",0.0155642023346304,0.00186120712576442
"BP","GO:0015868","purine ribonucleotide transport","4/257","36/18805",0.111111111111111,8.13013402507566,5.04047559016446,0.00142334031319491,0.175685919829269,0.16498303745676,"ABCC4/ANKH/PANX1/SLC25A23",4,"BP",0.0155642023346304,0.00191438447221484
"BP","GO:0045943","positive regulation of transcription by RNA polymerase I","4/257","36/18805",0.111111111111111,8.13013402507566,5.04047559016446,0.00142334031319491,0.175685919829269,0.16498303745676,"DDX21/ERCC6/MYO1C/WDR43",4,"BP",0.0155642023346304,0.00191438447221484
"BP","GO:0043113","receptor clustering","5/257","61/18805",0.0819672131147541,5.99763985456401,4.60194978347876,0.00146217474889916,0.175685919829269,0.16498303745676,"DLG1/FARP1/FLNA/GPHN/SHANK3",5,"BP",0.0194552529182879,0.00324381813347514
"BP","GO:0086002","cardiac muscle cell action potential involved in contraction","5/257","61/18805",0.0819672131147541,5.99763985456401,4.60194978347876,0.00146217474889916,0.175685919829269,0.16498303745676,"DLG1/FLNA/KCND3/KCNH2/NOS1AP",5,"BP",0.0194552529182879,0.00324381813347514
"BP","GO:0099518","vesicle cytoskeletal trafficking","5/257","62/18805",0.0806451612903226,5.90090372787749,4.54983453550434,0.00157296875581246,0.181998310857708,0.170910874169564,"KIF3B/MECP2/MYO1C/SPG11/TANC2",5,"BP",0.0194552529182879,0.00329699547992555
"BP","GO:0071391","cellular response to estrogen stimulus","3/257","18/18805",0.166666666666667,12.1952010376135,5.59348620066684,0.00176853938487699,0.190514380632956,0.178908140314054,"AR/BCAS3/SP1",3,"BP",0.0116731517509728,0.000957192236107418
"BP","GO:0098974","postsynaptic actin cytoskeleton organization","3/257","18/18805",0.166666666666667,12.1952010376135,5.59348620066684,0.00176853938487699,0.190514380632956,0.178908140314054,"FARP1/NOS1AP/WASF2",3,"BP",0.0116731517509728,0.000957192236107418
"BP","GO:0007613","memory","7/257","129/18805",0.0542635658914729,3.97053057038579,3.98501617014477,0.00199462827983146,0.204201640328681,0.191761564659355,"BTBD9/CREB1/LDLR/MAPT/MECP2/SHANK3/SPG11",7,"BP",0.0272373540856031,0.00685987769210316
"BP","GO:0051650","establishment of vesicle localization","9/257","204/18805",0.0441176470588235,3.22814145113298,3.76645544838744,0.00202632869724363,0.204201640328681,0.191761564659355,"ATP13A2/CADPS2/EXOC4/KIF3B/MECP2/MYO1C/SPG11/TANC2/TRAPPC10",9,"BP",0.0350194552529183,0.0108481786758841
"BP","GO:0051503","adenine nucleotide transport","4/257","40/18805",0.1,7.31712062256809,4.7078001698195,0.00211603924928304,0.206578331711257,0.193993466702363,"ABCC4/ANKH/PANX1/SLC25A23",4,"BP",0.0155642023346304,0.00212709385801649
"BP","GO:0006893","Golgi to plasma membrane transport","5/257","67/18805",0.0746268656716418,5.46053777803589,4.30532702505127,0.00222158955226323,0.210310477614253,0.197498248234693,"ACSL3/ATP2C1/EXOC4/PREPL/RAB10",5,"BP",0.0194552529182879,0.00356288221217761
"BP","GO:0035337","fatty-acyl-CoA metabolic process","4/257","41/18805",0.0975609756097561,7.13865426592009,4.63175447496313,0.00231994812700171,0.213162292610393,0.200176329100736,"ACACA/ACSL3/DGAT2/FASN",4,"BP",0.0155642023346304,0.0021802712044669
"BP","GO:0006541","glutamine metabolic process","3/257","20/18805",0.15,10.9756809338521,5.25406071959379,0.00242144137388928,0.216130938629432,0.202964123579832,"GLYATL1B/MECP2/PFAS",3,"BP",0.0116731517509728,0.00106354692900824
"BP","GO:0015865","purine nucleotide transport","4/257","42/18805",0.0952380952380952,6.96868630720771,4.558221232387,0.00253698866186335,0.22015423832392,0.206742321655355,"ABCC4/ANKH/PANX1/SLC25A23",4,"BP",0.0155642023346304,0.00223344855091731
"BP","GO:0043001","Golgi to plasma membrane protein transport","4/257","43/18805",0.0930232558139535,6.80662383494706,4.48705604164391,0.0027675729304281,0.22991901242628,0.215912220376051,"ACSL3/ATP2C1/PREPL/RAB10",4,"BP",0.0155642023346304,0.00228662589736772
"BP","GO:0097623","potassium ion export across plasma membrane","3/257","21/18805",0.142857142857143,10.4530294608116,5.10187434738588,0.00279671013834784,0.22991901242628,0.215912220376051,"DLG1/KCND3/KCNH2",3,"BP",0.0116731517509728,0.00111672427545865
"BP","GO:0051222","positive regulation of protein transport","10/257","257/18805",0.0389105058365759,2.84712864691366,3.5096054932256,0.00291804088724367,0.232938088335866,0.218747372529166,"ACSL3/ATP13A2/ATP2C1/BMP6/FLNA/GPR27/HSP90AA1/IPO5/TM7SF3/TM9SF4",10,"BP",0.0389105058365759,0.0136665780377559
"BP","GO:0051656","establishment of organelle localization","15/257","487/18805",0.0308008213552361,2.25373325130434,3.29969453042056,0.00298647276732944,0.232938088335866,0.218747372529166,"ATP13A2/BICD2/CADPS2/DLG1/EXOC4/KIF3B/MAPT/MECP2/MYO1C/NOP9/NUP88/SAPCD2/SPG11/TANC2/TRAPPC10",15,"BP",0.0583657587548638,0.0258973677213507
"BP","GO:0045727","positive regulation of translation","7/257","140/18805",0.05,3.65856031128405,3.71654740843722,0.00315979730572713,0.232938088335866,0.218747372529166,"CSDE1/CTIF/DDX3X/EEF2/FASTKD2/PLXNB2/PRKDC",7,"BP",0.0272373540856031,0.0074448285030577
"BP","GO:0071379","cellular response to prostaglandin stimulus","3/257","22/18805",0.136363636363636,9.9778917580474,4.95959673581649,0.00320587228730373,0.232938088335866,0.218747372529166,"ACACA/PTGER4/TNC",3,"BP",0.0116731517509728,0.00116990162190907
"BP","GO:0060348","bone development","9/257","219/18805",0.0410958904109589,3.00703587228826,3.51663557454968,0.00326000286383004,0.232938088335866,0.218747372529166,"AMER1/ATG9A/BMP6/DCHS1/LRP5/MEGF8/PTGER4/SH3PXD2B/ZBTB16",9,"BP",0.0350194552529183,0.0116458388726403
"BP","GO:0008361","regulation of cell size","8/257","179/18805",0.0446927374301676,3.270221507293,3.59234541880679,0.00328081814557558,0.232938088335866,0.218747372529166,"CREB1/HSP90AA1/MAPT/MEGF8/RB1CC1/RPTOR/SHANK3/SLC12A8",8,"BP",0.0311284046692607,0.00951874501462377
"BP","GO:0002064","epithelial cell development","9/257","221/18805",0.0407239819004525,2.97982287796891,3.4849457048862,0.00346150622737603,0.237545334959962,0.223073943167806,"AR/ATRX/BMP6/CCDC88C/FASN/FLNA/GDF11/PODXL/PRDM1",9,"BP",0.0350194552529183,0.0117521935655411
"BP","GO:0006364","rRNA processing","9/257","222/18805",0.0405405405405405,2.96640025239247,3.46923432241301,0.003565864382762,0.237545334959962,0.223073943167806,"DDX18/DDX21/GEMIN4/NOL8/NOP9/PRKDC/UTP14A/UTP25/WDR43",9,"BP",0.0350194552529183,0.0118053709119915
"BP","GO:0032253","dense core granule localization","3/257","23/18805",0.130434782608696,9.54407037726273,4.82615155840465,0.00364986430156152,0.237545334959962,0.223073943167806,"CADPS2/MECP2/TANC2",3,"BP",0.0116731517509728,0.00122307896835948
"BP","GO:0099188","postsynaptic cytoskeleton organization","3/257","23/18805",0.130434782608696,9.54407037726273,4.82615155840465,0.00364986430156152,0.237545334959962,0.223073943167806,"FARP1/NOS1AP/WASF2",3,"BP",0.0116731517509728,0.00122307896835948
"BP","GO:0051648","vesicle localization","9/257","224/18805",0.0401785714285714,2.93991453585325,3.4380738732213,0.00378198949248554,0.241121126010711,0.226431895071046,"ATP13A2/CADPS2/EXOC4/KIF3B/MECP2/MYO1C/SPG11/TANC2/TRAPPC10",9,"BP",0.0350194552529183,0.0119117256048923
"BP","GO:0015867","ATP transport","3/257","24/18805",0.125,9.14640077821012,4.70062034639452,0.00412956506096102,0.248407840959914,0.233274699358205,"ANKH/PANX1/SLC25A23",3,"BP",0.0116731517509728,0.00127625631480989
"BP","GO:0006862","nucleotide transport","4/257","48/18805",0.0833333333333333,6.09760051880675,4.16243885702641,0.00413773559324094,0.248407840959914,0.233274699358205,"ABCC4/ANKH/PANX1/SLC25A23",4,"BP",0.0155642023346304,0.00255251262961978
"BP","GO:0071526","semaphorin-plexin signaling pathway","4/257","48/18805",0.0833333333333333,6.09760051880675,4.16243885702641,0.00413773559324094,0.248407840959914,0.233274699358205,"FLNA/PLXNA1/PLXNB2/PLXNB3",4,"BP",0.0155642023346304,0.00255251262961978
"BP","GO:1901655","cellular response to ketone","6/257","111/18805",0.0540540540540541,3.95520033652329,3.67570320583539,0.00421434557326359,0.248407840959914,0.233274699358205,"ACACA/AR/CREB1/PTGER4/SP1/TNC",6,"BP",0.0233463035019455,0.00590268545599575
"BP","GO:0006360","transcription by RNA polymerase I","5/257","80/18805",0.0625,4.57320038910506,3.76994133619972,0.00479326676640027,0.272325509612886,0.25573529054893,"DDX21/ERCC6/FLNA/MYO1C/WDR43",5,"BP",0.0194552529182879,0.00425418771603297
