"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category","GeneRatioNum","BgRatioNum"
"BP","GO:0006119","oxidative phosphorylation","17/217","151/18805",0.112582781456954,9.75630970183416,11.6724563206233,1.89468198757014e-12,2.4942043409062e-09,2.36315559788846e-09,"ATP5F1E/ATP5IF1/ATP5MG/ATP5PD/COX6A1/COX7C/COX8A/DGUOK/ISCU/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2/UQCR11/UQCRQ",17,"BP",0.0783410138248848,0.00802977931401223
"BP","GO:0009060","aerobic respiration","19/217","201/18805",0.0945273631840796,8.19164545933925,11.0754603982939,2.13911178465368e-12,2.4942043409062e-09,2.36315559788846e-09,"ATP5F1E/ATP5IF1/ATP5MG/ATP5PD/BLOC1S1/COX6A1/COX7C/COX8A/DGUOK/IDH3B/ISCU/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2/UQCR11/UQCRQ",19,"BP",0.0875576036866359,0.0106886466365328
"BP","GO:0045333","cellular respiration","19/217","245/18805",0.0775510204081633,6.7204928054171,9.73791896610924,6.93090164918794e-11,5.38762088196876e-08,5.10454826724403e-08,"ATP5F1E/ATP5IF1/ATP5MG/ATP5PD/BLOC1S1/COX6A1/COX7C/COX8A/DGUOK/IDH3B/ISCU/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2/UQCR11/UQCRQ",19,"BP",0.0875576036866359,0.013028449880351
"BP","GO:0042773","ATP synthesis coupled electron transport","13/217","101/18805",0.128712871287129,11.1541269334307,11.0554056957909,1.49848175494078e-10,6.98891890504381e-08,6.62171200762253e-08,"COX6A1/COX7C/COX8A/DGUOK/ISCU/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2/UQCR11/UQCRQ",13,"BP",0.0599078341013825,0.00537091199149162
"BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","13/217","101/18805",0.128712871287129,11.1541269334307,11.0554056957909,1.49848175494078e-10,6.98891890504381e-08,6.62171200762253e-08,"COX6A1/COX7C/COX8A/DGUOK/ISCU/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2/UQCR11/UQCRQ",13,"BP",0.0599078341013825,0.00537091199149162
"BP","GO:0019646","aerobic electron transport chain","12/217","93/18805",0.129032258064516,11.1818046677568,10.6351785924403,7.53629856375108e-10,2.92910804177792e-07,2.77520889216027e-07,"COX6A1/COX7C/COX8A/ISCU/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2/UQCR11/UQCRQ",12,"BP",0.0552995391705069,0.00494549321988833
"BP","GO:0022904","respiratory electron transport chain","13/217","117/18805",0.111111111111111,9.62877624167947,10.1157801386072,9.6662667380204e-10,3.22024771900908e-07,3.05105171174509e-07,"COX6A1/COX7C/COX8A/DGUOK/ISCU/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2/UQCR11/UQCRQ",13,"BP",0.0599078341013825,0.00622174953469822
"BP","GO:0022900","electron transport chain","13/217","127/18805",0.102362204724409,8.87060488406691,9.61575616337166,2.68417513979671e-09,7.8243705325074e-07,7.41326791899117e-07,"COX6A1/COX7C/COX8A/DGUOK/ISCU/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2/UQCR11/UQCRQ",13,"BP",0.0599078341013825,0.00675352299920234
"BP","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","10/217","68/18805",0.147058823529412,12.743968555164,10.4823332856635,5.51856843858667e-09,1.4299223998649e-06,1.354792415508e-06,"ATP5F1E/ATP5IF1/ATP5MG/ATP5PD/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2",10,"BP",0.0460829493087558,0.00361605955862802
"BP","GO:0015986","proton motive force-driven ATP synthesis","10/217","77/18805",0.12987012987013,11.254413788976,9.74202313876375,1.90227346821105e-08,4.43610172786818e-06,4.20302316818421e-06,"ATP5F1E/ATP5IF1/ATP5MG/ATP5PD/NDUFAB1/NDUFB1/NDUFB3/NDUFB6/NDUFC1/NDUFC2",10,"BP",0.0460829493087558,0.00409465567668173
