"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category","GeneRatioNum","BgRatioNum"
"BP","GO:0046434","organophosphate catabolic process","3/19","242/18805",0.012396694214876,12.269464984776,5.6114056085693,0.00175128590655532,0.144371592992971,0.109452148062903,"TREX1/ABHD16B/PGAM2",3,"BP",0.157894736842105,0.0128689178409997
"BP","GO:0006096","glycolytic process","2/19","97/18805",0.0206185567010309,20.4069451980467,6.09416387927997,0.00425287286810467,0.144371592992971,0.109452148062903,"TREX1/PGAM2",2,"BP",0.105263157894737,0.00515820260568998
"BP","GO:0046032","ADP catabolic process","2/19","99/18805",0.0202020202020202,19.9946836788942,6.02620582081742,0.00442566804697341,0.144371592992971,0.109452148062903,"TREX1/PGAM2",2,"BP",0.105263157894737,0.0052645572985908
"BP","GO:0019364","pyridine nucleotide catabolic process","2/19","101/18805",0.0198019801980198,19.5987493486191,5.96021524930104,0.00460168738139299,0.144371592992971,0.109452148062903,"TREX1/PGAM2",2,"BP",0.105263157894737,0.00537091199149162
"BP","GO:0009137","purine nucleoside diphosphate catabolic process","2/19","102/18805",0.0196078431372549,19.406604747162,5.92792770250219,0.00469090225557867,0.144371592992971,0.109452148062903,"TREX1/PGAM2",2,"BP",0.105263157894737,0.00542408933794204
"BP","GO:0009181","purine ribonucleoside diphosphate catabolic process","2/19","102/18805",0.0196078431372549,19.406604747162,5.92792770250219,0.00469090225557867,0.144371592992971,0.109452148062903,"TREX1/PGAM2",2,"BP",0.105263157894737,0.00542408933794204
"BP","GO:0072526","pyridine-containing compound catabolic process","2/19","104/18805",0.0192307692307692,19.0334008097166,5.86471149663184,0.0048717347327653,0.144371592992971,0.109452148062903,"TREX1/PGAM2",2,"BP",0.105263157894737,0.00553044403084286
"BP","GO:0009191","ribonucleoside diphosphate catabolic process","2/19","105/18805",0.019047619047619,18.8521303258145,5.83376133406567,0.00496334926772694,0.144371592992971,0.109452148062903,"TREX1/PGAM2",2,"BP",0.105263157894737,0.00558362137729327
"BP","GO:0046031","ADP metabolic process","2/19","105/18805",0.019047619047619,18.8521303258145,5.83376133406567,0.00496334926772694,0.144371592992971,0.109452148062903,"TREX1/PGAM2",2,"BP",0.105263157894737,0.00558362137729327
"BP","GO:0009134","nucleoside diphosphate catabolic process","2/19","108/18805",0.0185185185185185,18.3284600389864,5.74342091852272,0.00524296769187457,0.144371592992971,0.109452148062903,"TREX1/PGAM2",2,"BP",0.105263157894737,0.00574315341664451
