"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category","GeneRatioNum","BgRatioNum"
"BP","GO:0046434","organophosphate catabolic process","3/18","242/18805",0.012396694214876,12.9511019283747,5.79194203964478,0.00148883111309499,0.132904135006538,0.0986823605684445,"TREX1/ABHD16B/PGAM2",3,"BP",0.166666666666667,0.0128689178409997
"BP","GO:0006096","glycolytic process","2/18","97/18805",0.0206185567010309,21.5406643757159,6.27797134558595,0.00381798269949432,0.132904135006538,0.0986823605684445,"TREX1/PGAM2",2,"BP",0.111111111111111,0.00515820260568998
"BP","GO:0046032","ADP catabolic process","2/18","99/18805",0.0202020202020202,21.1054994388328,6.20832800921365,0.00397338717142925,0.132904135006538,0.0986823605684445,"TREX1/PGAM2",2,"BP",0.111111111111111,0.0052645572985908
"BP","GO:0019364","pyridine nucleotide catabolic process","2/18","101/18805",0.0198019801980198,20.6875687568757,6.14070428785688,0.00413170824961018,0.132904135006538,0.0986823605684445,"TREX1/PGAM2",2,"BP",0.111111111111111,0.00537091199149162
"BP","GO:0009137","purine nucleoside diphosphate catabolic process","2/18","102/18805",0.0196078431372549,20.4847494553377,6.1076189072204,0.00421195924679242,0.132904135006538,0.0986823605684445,"TREX1/PGAM2",2,"BP",0.111111111111111,0.00542408933794204
"BP","GO:0009181","purine ribonucleoside diphosphate catabolic process","2/18","102/18805",0.0196078431372549,20.4847494553377,6.1076189072204,0.00421195924679242,0.132904135006538,0.0986823605684445,"TREX1/PGAM2",2,"BP",0.111111111111111,0.00542408933794204
"BP","GO:0072526","pyridine-containing compound catabolic process","2/18","104/18805",0.0192307692307692,20.090811965812,6.04284299767466,0.00437463563281284,0.132904135006538,0.0986823605684445,"TREX1/PGAM2",2,"BP",0.111111111111111,0.00553044403084286
"BP","GO:0009191","ribonucleoside diphosphate catabolic process","2/18","105/18805",0.019047619047619,19.8994708994709,6.01113038856134,0.00445705841662312,0.132904135006538,0.0986823605684445,"TREX1/PGAM2",2,"BP",0.111111111111111,0.00558362137729327
"BP","GO:0046031","ADP metabolic process","2/18","105/18805",0.019047619047619,19.8994708994709,6.01113038856134,0.00445705841662312,0.132904135006538,0.0986823605684445,"TREX1/PGAM2",2,"BP",0.111111111111111,0.00558362137729327
"BP","GO:0009134","nucleoside diphosphate catabolic process","2/18","108/18805",0.0185185185185185,19.34670781893,5.91856899203808,0.00470864953450824,0.132904135006538,0.0986823605684445,"TREX1/PGAM2",2,"BP",0.111111111111111,0.00574315341664451
