"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0001865","NK T cell differentiation","2/63","11/18805",0.0317460317460317,54.2712842712843,NA,0.000595821958159061,0.212857394552325,0.194112522158136,"ZBTB16/PRDM1",2,"BP"
"GO:2000048","negative regulation of cell-cell adhesion mediated by cadherin","2/63","11/18805",0.0317460317460317,54.2712842712843,NA,0.000595821958159061,0.212857394552325,0.194112522158136,"NEXMIF/BMP6",2,"BP"
"GO:0071379","cellular response to prostaglandin stimulus","3/63","22/18805",0.0476190476190476,40.7034632034632,NA,5.2732744805351e-05,0.0753550923268466,0.0687190927042364,"ACACA/PTGER4/TNC",3,"BP"
"GO:0034497","protein localization to phagophore assembly site","2/63","16/18805",0.0317460317460317,37.3115079365079,NA,0.00128601364128757,0.272604480128299,0.248598096864818,"STX17/ATG9A",2,"BP"
"GO:0071380","cellular response to prostaglandin E stimulus","2/63","17/18805",0.0317460317460317,35.1167133520075,NA,0.00145434016575549,0.272604480128299,0.248598096864818,"ACACA/PTGER4",2,"BP"
"GO:0032332","positive regulation of chondrocyte differentiation","2/63","20/18805",0.0317460317460317,29.8492063492063,NA,0.00201869307240801,0.272604480128299,0.248598096864818,"ZBTB16/BMP6",2,"BP"
"GO:0032253","dense core granule localization","2/63","23/18805",0.0317460317460317,25.9558316080055,NA,0.00267072268845079,0.272604480128299,0.248598096864818,"TANC2/CADPS2",2,"BP"
"GO:2000047","regulation of cell-cell adhesion mediated by cadherin","2/63","23/18805",0.0317460317460317,25.9558316080055,NA,0.00267072268845079,0.272604480128299,0.248598096864818,"NEXMIF/BMP6",2,"BP"
"GO:0034694","response to prostaglandin","3/63","37/18805",0.0476190476190476,24.2020592020592,NA,0.000256695908240554,0.183409226437876,0.167257649685161,"ACACA/PTGER4/TNC",3,"BP"
"GO:0032252","secretory granule localization","2/63","26/18805",0.0317460317460317,22.960927960928,NA,0.0034086719307688,0.286528952298154,0.261296337479367,"TANC2/CADPS2",2,"BP"
"GO:0043931","ossification involved in bone maturation","2/63","26/18805",0.0317460317460317,22.960927960928,NA,0.0034086719307688,0.286528952298154,0.261296337479367,"ZBTB16/DCHS1",2,"BP"
"GO:0034695","response to prostaglandin E","2/63","29/18805",0.0317460317460317,20.5856595511768,NA,0.004230809155601,0.289278396843349,0.263803657538998,"ACACA/PTGER4",2,"BP"
"GO:0070977","bone maturation","2/63","29/18805",0.0317460317460317,20.5856595511768,NA,0.004230809155601,0.289278396843349,0.263803657538998,"ZBTB16/DCHS1",2,"BP"
"GO:0061036","positive regulation of cartilage development","2/63","32/18805",0.0317460317460317,18.655753968254,NA,0.00513542783820616,0.301552100754684,0.274996501590585,"ZBTB16/BMP6",2,"BP"
"GO:0048799","animal organ maturation","2/63","33/18805",0.0317460317460317,18.0904280904281,NA,0.00545500523541051,0.301552100754684,0.274996501590585,"ZBTB16/DCHS1",2,"BP"
"GO:0090630","activation of GTPase activity","2/63","36/18805",0.0317460317460317,16.5828924162257,NA,0.00646698742419735,0.310881191470899,0.283504044080125,"RALGAPA1/RALGAPA2",2,"BP"
"GO:0043268","positive regulation of potassium ion transport","2/63","43/18805",0.0317460317460317,13.8833517903285,NA,0.00913112297002489,0.341154290192014,0.311111201250571,"ADRA2A/NOS1AP",2,"BP"
"GO:0050892","intestinal absorption","2/63","44/18805",0.0317460317460317,13.5678210678211,NA,0.00954544818872709,0.341154290192014,0.311111201250571,"ADRA2A/LDLR",2,"BP"
"GO:0061001","regulation of dendritic spine morphogenesis","2/63","45/18805",0.0317460317460317,13.2663139329806,NA,0.00996803040089678,0.341154290192014,0.311111201250571,"TANC2/SHANK3",2,"BP"
"GO:0043114","regulation of vascular permeability","2/63","50/18805",0.0317460317460317,11.9396825396825,NA,0.0122027711347464,0.341154290192014,0.311111201250571,"AKAP12/BMP6",2,"BP"
"GO:0060976","coronary vasculature development","2/63","50/18805",0.0317460317460317,11.9396825396825,NA,0.0122027711347464,0.341154290192014,0.311111201250571,"SPRED1/PRDM1",2,"BP"
