"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0033148","positive regulation of intracellular estrogen receptor signaling pathway","1/20","10/18805",0.05,94.025,NA,0.0105872340761041,0.148250828787881,0.112358522870815,"AR",1,"BP"
"GO:0060768","regulation of epithelial cell proliferation involved in prostate gland development","1/20","10/18805",0.05,94.025,NA,0.0105872340761041,0.148250828787881,0.112358522870815,"AR",1,"BP"
"GO:0033145","positive regulation of intracellular steroid hormone receptor signaling pathway","1/20","11/18805",0.05,85.4772727272727,NA,0.0116400808608058,0.148250828787881,0.112358522870815,"AR",1,"BP"
"GO:0033327","Leydig cell differentiation","1/20","11/18805",0.05,85.4772727272727,NA,0.0116400808608058,0.148250828787881,0.112358522870815,"AR",1,"BP"
"GO:0044571","[2Fe-2S] cluster assembly","1/20","11/18805",0.05,85.4772727272727,NA,0.0116400808608058,0.148250828787881,0.112358522870815,"BOLA2",1,"BP"
"GO:0046689","response to mercury ion","1/20","11/18805",0.05,85.4772727272727,NA,0.0116400808608058,0.148250828787881,0.112358522870815,"PGAM2",1,"BP"
"GO:0060601","lateral sprouting from an epithelium","1/20","11/18805",0.05,85.4772727272727,NA,0.0116400808608058,0.148250828787881,0.112358522870815,"AR",1,"BP"
"GO:0060736","prostate gland growth","1/20","11/18805",0.05,85.4772727272727,NA,0.0116400808608058,0.148250828787881,0.112358522870815,"AR",1,"BP"
"GO:0060742","epithelial cell differentiation involved in prostate gland development","1/20","11/18805",0.05,85.4772727272727,NA,0.0116400808608058,0.148250828787881,0.112358522870815,"AR",1,"BP"
"GO:0060767","epithelial cell proliferation involved in prostate gland development","1/20","11/18805",0.05,85.4772727272727,NA,0.0116400808608058,0.148250828787881,0.112358522870815,"AR",1,"BP"
"GO:0072711","cellular response to hydroxyurea","1/20","11/18805",0.05,85.4772727272727,NA,0.0116400808608058,0.148250828787881,0.112358522870815,"TREX1",1,"BP"
"GO:0035112","genitalia morphogenesis","1/20","12/18805",0.05,78.3541666666667,NA,0.0126918632585281,0.148250828787881,0.112358522870815,"AR",1,"BP"
"GO:0071394","cellular response to testosterone stimulus","1/20","12/18805",0.05,78.3541666666667,NA,0.0126918632585281,0.148250828787881,0.112358522870815,"AR",1,"BP"
"GO:0072710","response to hydroxyurea","1/20","12/18805",0.05,78.3541666666667,NA,0.0126918632585281,0.148250828787881,0.112358522870815,"TREX1",1,"BP"
"GO:0010572","positive regulation of platelet activation","1/20","13/18805",0.05,72.3269230769231,NA,0.0137425822887429,0.148250828787881,0.112358522870815,"GP1BB",1,"BP"
"GO:0031571","mitotic G1 DNA damage checkpoint signaling","1/20","13/18805",0.05,72.3269230769231,NA,0.0137425822887429,0.148250828787881,0.112358522870815,"TREX1",1,"BP"
"GO:0043568","positive regulation of insulin-like growth factor receptor signaling pathway","1/20","13/18805",0.05,72.3269230769231,NA,0.0137425822887429,0.148250828787881,0.112358522870815,"AR",1,"BP"
"GO:0070914","UV-damage excision repair","1/20","13/18805",0.05,72.3269230769231,NA,0.0137425822887429,0.148250828787881,0.112358522870815,"TREX1",1,"BP"
"GO:1905671","regulation of lysosome organization","1/20","13/18805",0.05,72.3269230769231,NA,0.0137425822887429,0.148250828787881,0.112358522870815,"TREX1",1,"BP"
"GO:0007008","outer mitochondrial membrane organization","1/20","14/18805",0.05,67.1607142857143,NA,0.014792238970002,0.148250828787881,0.112358522870815,"TOMM6",1,"BP"
"GO:0030238","male sex determination","1/20","14/18805",0.05,67.1607142857143,NA,0.014792238970002,0.148250828787881,0.112358522870815,"AR",1,"BP"
"GO:0044819","mitotic G1/S transition checkpoint signaling","1/20","14/18805",0.05,67.1607142857143,NA,0.014792238970002,0.148250828787881,0.112358522870815,"TREX1",1,"BP"
"GO:0045040","protein insertion into mitochondrial outer membrane","1/20","14/18805",0.05,67.1607142857143,NA,0.014792238970002,0.148250828787881,0.112358522870815,"TOMM6",1,"BP"
"GO:0060572","morphogenesis of an epithelial bud","1/20","15/18805",0.05,62.6833333333333,NA,0.0158408343199358,0.148250828787881,0.112358522870815,"AR",1,"BP"
