"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0030539","male genitalia development","2/55","24/18805",0.0363636363636364,28.4924242424242,NA,0.00222437503372234,0.411768962867911,0.392048283738673,"AR/HSD17B3",2,"BP"
"GO:0034505","tooth mineralization","2/55","35/18805",0.0363636363636364,19.5376623376623,NA,0.0046976241790897,0.411768962867911,0.392048283738673,"DMP1/SP7",2,"BP"
"GO:0048806","genitalia development","2/55","48/18805",0.0363636363636364,14.2462121212121,NA,0.00869227038464624,0.411768962867911,0.392048283738673,"AR/HSD17B3",2,"BP"
"GO:0006094","gluconeogenesis","2/55","89/18805",0.0363636363636364,7.68335035750766,NA,0.0279651695638534,0.411768962867911,0.392048283738673,"PGAM2/FBP2",2,"BP"
"GO:0019319","hexose biosynthetic process","2/55","92/18805",0.0363636363636364,7.43280632411067,NA,0.0297280765324078,0.411768962867911,0.392048283738673,"PGAM2/FBP2",2,"BP"
"GO:0046364","monosaccharide biosynthetic process","2/55","94/18805",0.0363636363636364,7.27466150870406,NA,0.0309274737441794,0.411768962867911,0.392048283738673,"PGAM2/FBP2",2,"BP"
"GO:0006096","glycolytic process","2/55","97/18805",0.0363636363636364,7.04967197750703,NA,0.03276211750492,0.411768962867911,0.392048283738673,"TREX1/PGAM2",2,"BP"
"GO:0046032","ADP catabolic process","2/55","99/18805",0.0363636363636364,6.90725436179982,NA,0.0340085421950754,0.411768962867911,0.392048283738673,"TREX1/PGAM2",2,"BP"
"GO:0019364","pyridine nucleotide catabolic process","2/55","101/18805",0.0363636363636364,6.77047704770477,NA,0.0352733370551073,0.411768962867911,0.392048283738673,"TREX1/PGAM2",2,"BP"
"GO:0009137","purine nucleoside diphosphate catabolic process","2/55","102/18805",0.0363636363636364,6.70409982174688,NA,0.0359125455293345,0.411768962867911,0.392048283738673,"TREX1/PGAM2",2,"BP"
"GO:0009181","purine ribonucleoside diphosphate catabolic process","2/55","102/18805",0.0363636363636364,6.70409982174688,NA,0.0359125455293345,0.411768962867911,0.392048283738673,"TREX1/PGAM2",2,"BP"
"GO:0072526","pyridine-containing compound catabolic process","2/55","104/18805",0.0363636363636364,6.57517482517482,NA,0.0372044302231352,0.411768962867911,0.392048283738673,"TREX1/PGAM2",2,"BP"
"GO:0009191","ribonucleoside diphosphate catabolic process","2/55","105/18805",0.0363636363636364,6.51255411255411,NA,0.0378570451130585,0.411768962867911,0.392048283738673,"TREX1/PGAM2",2,"BP"
"GO:0046031","ADP metabolic process","2/55","105/18805",0.0363636363636364,6.51255411255411,NA,0.0378570451130585,0.411768962867911,0.392048283738673,"TREX1/PGAM2",2,"BP"
"GO:0009134","nucleoside diphosphate catabolic process","2/55","108/18805",0.0363636363636364,6.33164983164983,NA,0.0398412148109413,0.411768962867911,0.392048283738673,"TREX1/PGAM2",2,"BP"
"GO:0007218","neuropeptide signaling pathway","2/55","114/18805",0.0363636363636364,5.99840510366826,NA,0.0439253143370482,0.411768962867911,0.392048283738673,"NPFF/PMCH",2,"BP"
"GO:0009135","purine nucleoside diphosphate metabolic process","2/55","117/18805",0.0363636363636364,5.84459984459984,NA,0.0460236458600087,0.411768962867911,0.392048283738673,"TREX1/PGAM2",2,"BP"
"GO:0009179","purine ribonucleoside diphosphate metabolic process","2/55","117/18805",0.0363636363636364,5.84459984459984,NA,0.0460236458600087,0.411768962867911,0.392048283738673,"TREX1/PGAM2",2,"BP"
"GO:0031214","biomineral tissue development","3/55","182/18805",0.0545454545454545,5.63586413586413,NA,0.016188046487991,0.411768962867911,0.392048283738673,"OC90/DMP1/SP7",3,"BP"
"GO:0046434","organophosphate catabolic process","3/55","242/18805",0.0545454545454545,4.23854244928625,NA,0.0338300114846365,0.411768962867911,0.392048283738673,"TREX1/PGAM2/ABHD16B",3,"BP"
"GO:0007608","sensory perception of smell","5/55","465/18805",0.0909090909090909,3.67644183773216,NA,0.0114131169074476,0.411768962867911,0.392048283738673,"OR14I1/OR4N4/OR10R2/OR10G7/GFY",5,"BP"
"GO:0050907","detection of chemical stimulus involved in sensory perception","5/55","480/18805",0.0909090909090909,3.56155303030303,NA,0.0129531182560653,0.411768962867911,0.392048283738673,"OR14I1/OR4N4/OR10R2/OR10G7/GNAT2",5,"BP"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","4/55","433/18805",0.0727272727272727,3.15851354188537,NA,0.0376544234037537,0.411768962867911,0.392048283738673,"OR14I1/OR4N4/OR10R2/OR10G7",4,"BP"
"GO:0043679","axon terminus","3/58","115/19880",0.0517241379310345,8.94152923538231,NA,0.0046170049461056,0.331281595885728,0.313845722418058,"CPLX3/NPFF/KCNA6",3,"CC"
"GO:0044306","neuron projection terminus","3/58","131/19880",0.0517241379310345,7.84943406159516,NA,0.00662563191771456,0.331281595885728,0.313845722418058,"CPLX3/NPFF/KCNA6",3,"CC"
"GO:0034705","potassium channel complex","2/58","100/19880",0.0344827586206897,6.8551724137931,NA,0.0345040732000918,0.406420687215631,0.385030124730597,"KCNK4/KCNA6",2,"CC"
