"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0033631","cell-cell adhesion mediated by integrin","2/15","18/18805",0.133333333333333,139.296296296296,NA,9.01953274306431e-05,0.0116671916227525,0.00762844432556505,"NPNT/DPP4",2,"BP"
"GO:0014820","tonic smooth muscle contraction","1/15","10/18805",0.0666666666666667,125.366666666667,NA,0.00794992676747985,0.115904449587586,0.0757826449888691,"CD38",1,"BP"
"GO:0044650","adhesion of symbiont to host cell","1/15","10/18805",0.0666666666666667,125.366666666667,NA,0.00794992676747985,0.115904449587586,0.0757826449888691,"DPP4",1,"BP"
"GO:0048263","determination of dorsal identity","1/15","10/18805",0.0666666666666667,125.366666666667,NA,0.00794992676747985,0.115904449587586,0.0757826449888691,"GREM2",1,"BP"
"GO:0048874","host-mediated regulation of intestinal microbiota composition","1/15","10/18805",0.0666666666666667,125.366666666667,NA,0.00794992676747985,0.115904449587586,0.0757826449888691,"ST6GALNAC1",1,"BP"
"GO:0051964","negative regulation of synapse assembly","1/15","10/18805",0.0666666666666667,125.366666666667,NA,0.00794992676747985,0.115904449587586,0.0757826449888691,"PTPN13",1,"BP"
"GO:0019065","receptor-mediated endocytosis of virus by host cell","1/15","11/18805",0.0666666666666667,113.969696969697,NA,0.00874166665034692,0.115904449587586,0.0757826449888691,"DPP4",1,"BP"
"GO:0033632","regulation of cell-cell adhesion mediated by integrin","1/15","11/18805",0.0666666666666667,113.969696969697,NA,0.00874166665034692,0.115904449587586,0.0757826449888691,"DPP4",1,"BP"
"GO:0035581","sequestering of extracellular ligand from receptor","1/15","11/18805",0.0666666666666667,113.969696969697,NA,0.00874166665034692,0.115904449587586,0.0757826449888691,"GREM2",1,"BP"
"GO:0048262","determination of dorsal/ventral asymmetry","1/15","11/18805",0.0666666666666667,113.969696969697,NA,0.00874166665034692,0.115904449587586,0.0757826449888691,"GREM2",1,"BP"
"GO:0098903","regulation of membrane repolarization during action potential","1/15","11/18805",0.0666666666666667,113.969696969697,NA,0.00874166665034692,0.115904449587586,0.0757826449888691,"CACNA2D1",1,"BP"
"GO:0010172","embryonic body morphogenesis","1/15","12/18805",0.0666666666666667,104.472222222222,NA,0.00953281675145634,0.115904449587586,0.0757826449888691,"GREM2",1,"BP"
"GO:0021979","hypothalamus cell differentiation","1/15","13/18805",0.0666666666666667,96.4358974358974,NA,0.010323377478787,0.115904449587586,0.0757826449888691,"NDNF",1,"BP"
"GO:0044406","adhesion of symbiont to host","1/15","13/18805",0.0666666666666667,96.4358974358974,NA,0.010323377478787,0.115904449587586,0.0757826449888691,"DPP4",1,"BP"
"GO:0075509","endocytosis involved in viral entry into host cell","1/15","13/18805",0.0666666666666667,96.4358974358974,NA,0.010323377478787,0.115904449587586,0.0757826449888691,"DPP4",1,"BP"
"GO:1900115","extracellular regulation of signal transduction","1/15","13/18805",0.0666666666666667,96.4358974358974,NA,0.010323377478787,0.115904449587586,0.0757826449888691,"GREM2",1,"BP"
"GO:1900116","extracellular negative regulation of signal transduction","1/15","13/18805",0.0666666666666667,96.4358974358974,NA,0.010323377478787,0.115904449587586,0.0757826449888691,"GREM2",1,"BP"
"GO:0034116","positive regulation of heterotypic cell-cell adhesion","1/15","14/18805",0.0666666666666667,89.547619047619,NA,0.0111133492400589,0.115904449587586,0.0757826449888691,"GCNT2",1,"BP"
"GO:1905809","negative regulation of synapse organization","1/15","14/18805",0.0666666666666667,89.547619047619,NA,0.0111133492400589,0.115904449587586,0.0757826449888691,"PTPN13",1,"BP"
"GO:0086069","bundle of His cell to Purkinje myocyte communication","1/15","15/18805",0.0666666666666667,83.5777777777778,NA,0.0119027324427302,0.115904449587586,0.0757826449888691,"CACNA2D1",1,"BP"
"GO:0045779","negative regulation of bone resorption","1/15","16/18805",0.0666666666666667,78.3541666666667,NA,0.0126915274939999,0.115904449587586,0.0757826449888691,"CD38",1,"BP"
"GO:1900120","regulation of receptor binding","1/15","16/18805",0.0666666666666667,78.3541666666667,NA,0.0126915274939999,0.115904449587586,0.0757826449888691,"GREM2",1,"BP"
"GO:0035641","locomotory exploration behavior","1/15","17/18805",0.0666666666666667,73.7450980392157,NA,0.013479734800807,0.115904449587586,0.0757826449888691,"DPP4",1,"BP"
"GO:0045198","establishment of epithelial cell apical/basal polarity","1/15","17/18805",0.0666666666666667,73.7450980392157,NA,0.013479734800807,0.115904449587586,0.0757826449888691,"FAT1",1,"BP"
"GO:0010715","regulation of extracellular matrix disassembly","1/15","18/18805",0.0666666666666667,69.6481481481481,NA,0.0142673547698289,0.115904449587586,0.0757826449888691,"DPP4",1,"BP"
"GO:0046851","negative regulation of bone remodeling","1/15","18/18805",0.0666666666666667,69.6481481481481,NA,0.0142673547698289,0.115904449587586,0.0757826449888691,"CD38",1,"BP"
"GO:1902514","regulation of calcium ion transmembrane transport via high voltage-gated calcium channel","1/15","19/18805",0.0666666666666667,65.9824561403509,NA,0.0150543878074857,0.115904449587586,0.0757826449888691,"CACNA2D1",1,"BP"
"GO:0033194","response to hydroperoxide","1/15","20/18805",0.0666666666666667,62.6833333333333,NA,0.0158408343199357,0.115904449587586,0.0757826449888691,"CD38",1,"BP"
"GO:0043171","peptide catabolic process","1/15","20/18805",0.0666666666666667,62.6833333333333,NA,0.0158408343199357,0.115904449587586,0.0757826449888691,"ANPEP",1,"BP"
"GO:0061577","calcium ion transmembrane transport via high voltage-gated calcium channel","1/15","21/18805",0.0666666666666667,59.6984126984127,NA,0.0166266947130788,0.115904449587586,0.0757826449888691,"CACNA2D1",1,"BP"
"GO:0034104","negative regulation of tissue remodeling","1/15","22/18805",0.0666666666666667,56.9848484848485,NA,0.0174119693925567,0.115904449587586,0.0757826449888691,"CD38",1,"BP"
"GO:0035089","establishment of apical/basal cell polarity","1/15","22/18805",0.0666666666666667,56.9848484848485,NA,0.0174119693925567,0.115904449587586,0.0757826449888691,"FAT1",1,"BP"
"GO:0060004","reflex","1/15","22/18805",0.0666666666666667,56.9848484848485,NA,0.0174119693925567,0.115904449587586,0.0757826449888691,"NPNT",1,"BP"
"GO:0086012","membrane depolarization during cardiac muscle cell action potential","1/15","22/18805",0.0666666666666667,56.9848484848485,NA,0.0174119693925567,0.115904449587586,0.0757826449888691,"CACNA2D1",1,"BP"
"GO:1903054","negative regulation of extracellular matrix organization","1/15","22/18805",0.0666666666666667,56.9848484848485,NA,0.0174119693925567,0.115904449587586,0.0757826449888691,"DPP4",1,"BP"
"GO:1904889","regulation of excitatory synapse assembly","1/15","22/18805",0.0666666666666667,56.9848484848485,NA,0.0174119693925567,0.115904449587586,0.0757826449888691,"PTPN13",1,"BP"
"GO:0002689","negative regulation of leukocyte chemotaxis","1/15","23/18805",0.0666666666666667,54.5072463768116,NA,0.0181966587637492,0.115904449587586,0.0757826449888691,"DPP4",1,"BP"
"GO:0007263","nitric oxide mediated signal transduction","1/15","24/18805",0.0666666666666667,52.2361111111111,NA,0.0189807632317792,0.115904449587586,0.0757826449888691,"NDNF",1,"BP"
"GO:0034114","regulation of heterotypic cell-cell adhesion","1/15","24/18805",0.0666666666666667,52.2361111111111,NA,0.0189807632317792,0.115904449587586,0.0757826449888691,"GCNT2",1,"BP"
"GO:0035335","peptidyl-tyrosine dephosphorylation","1/15","24/18805",0.0666666666666667,52.2361111111111,NA,0.0189807632317792,0.115904449587586,0.0757826449888691,"PTPN13",1,"BP"
"GO:0060307","regulation of ventricular cardiac muscle cell membrane repolarization","1/15","24/18805",0.0666666666666667,52.2361111111111,NA,0.0189807632317792,0.115904449587586,0.0757826449888691,"CACNA2D1",1,"BP"
"GO:0061162","establishment of monopolar cell polarity","1/15","24/18805",0.0666666666666667,52.2361111111111,NA,0.0189807632317792,0.115904449587586,0.0757826449888691,"FAT1",1,"BP"
"GO:0030859","polarized epithelial cell differentiation","1/15","25/18805",0.0666666666666667,50.1466666666667,NA,0.0197642832015107,0.115904449587586,0.0757826449888691,"FAT1",1,"BP"
"GO:0061042","vascular wound healing","1/15","25/18805",0.0666666666666667,50.1466666666667,NA,0.0197642832015107,0.115904449587586,0.0757826449888691,"NDNF",1,"BP"
"GO:0061339","establishment or maintenance of monopolar cell polarity","1/15","25/18805",0.0666666666666667,50.1466666666667,NA,0.0197642832015107,0.115904449587586,0.0757826449888691,"FAT1",1,"BP"
"GO:0014829","vascular associated smooth muscle contraction","1/15","26/18805",0.0666666666666667,48.2179487179487,NA,0.0205472190775478,0.115904449587586,0.0757826449888691,"CD38",1,"BP"
"GO:0009312","oligosaccharide biosynthetic process","1/15","27/18805",0.0666666666666667,46.4320987654321,NA,0.0213295712642371,0.115904449587586,0.0757826449888691,"ST6GALNAC1",1,"BP"
"GO:1904754","positive regulation of vascular associated smooth muscle cell migration","1/15","27/18805",0.0666666666666667,46.4320987654321,NA,0.0213295712642371,0.115904449587586,0.0757826449888691,"FAT1",1,"BP"
"GO:0021854","hypothalamus development","1/15","29/18805",0.0666666666666667,43.2298850574713,NA,0.0228925261856646,0.115904449587586,0.0757826449888691,"NDNF",1,"BP"
"GO:0061744","motor behavior","1/15","29/18805",0.0666666666666667,43.2298850574713,NA,0.0228925261856646,0.115904449587586,0.0757826449888691,"DPP4",1,"BP"
"GO:0060402","calcium ion transport into cytosol","1/15","30/18805",0.0666666666666667,41.7888888888889,NA,0.0236731297278048,0.115904449587586,0.0757826449888691,"CACNA2D1",1,"BP"
"GO:0086010","membrane depolarization during action potential","1/15","30/18805",0.0666666666666667,41.7888888888889,NA,0.0236731297278048,0.115904449587586,0.0757826449888691,"CACNA2D1",1,"BP"
"GO:0099623","regulation of cardiac muscle cell membrane repolarization","1/15","30/18805",0.0666666666666667,41.7888888888889,NA,0.0236731297278048,0.115904449587586,0.0757826449888691,"CACNA2D1",1,"BP"
"GO:0099625","ventricular cardiac muscle cell membrane repolarization","1/15","30/18805",0.0666666666666667,41.7888888888889,NA,0.0236731297278048,0.115904449587586,0.0757826449888691,"CACNA2D1",1,"BP"
"GO:0086019","cell-cell signaling involved in cardiac conduction","1/15","31/18805",0.0666666666666667,40.4408602150538,NA,0.0244531511953985,0.115904449587586,0.0757826449888691,"CACNA2D1",1,"BP"
"GO:0045987","positive regulation of smooth muscle contraction","1/15","32/18805",0.0666666666666667,39.1770833333333,NA,0.025232590991503,0.115904449587586,0.0757826449888691,"NPNT",1,"BP"
"GO:2000649","regulation of sodium ion transmembrane transporter activity","1/15","32/18805",0.0666666666666667,39.1770833333333,NA,0.025232590991503,0.115904449587586,0.0757826449888691,"UTRN",1,"BP"
"GO:0030511","positive regulation of transforming growth factor beta receptor signaling pathway","1/15","33/18805",0.0666666666666667,37.989898989899,NA,0.0260114495189167,0.115904449587586,0.0757826449888691,"NPNT",1,"BP"
"GO:0045907","positive regulation of vasoconstriction","1/15","33/18805",0.0666666666666667,37.989898989899,NA,0.0260114495189167,0.115904449587586,0.0757826449888691,"CD38",1,"BP"
