"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0007044","cell-substrate junction assembly","30/1321","96/18805",0.0227100681302044,4.44857115821348,NA,1.34870887219444e-12,2.56115164109474e-10,1.75209766010304e-10,"SDC4/ACVRL1/TLN1/KDR/PTEN/PEAK1/SFRP1/CORO2B/EFNA5/ACTN1/ITGA5/LAMA3/DST/CORO1C/EPHA3/AJUBA/BCL2/GPM6B/FN1/VCL/ITGA2/TRIP6/ITGB3/MMP14/FERMT2/SORBS1/ITGB4/TNS1/FAM107A/COL17A1",30,"BP"
"GO:0150115","cell-substrate junction organization","31/1321","103/18805",0.0234670704012112,4.28444911548327,NA,1.75409479928986e-12,3.01868751865289e-10,2.06510042324289e-10,"SDC4/ACVRL1/TLN1/KDR/PTEN/PEAK1/SFRP1/CORO2B/EFNA5/ACTN1/ITGA5/PIK3R1/LAMA3/DST/CORO1C/EPHA3/AJUBA/BCL2/GPM6B/FN1/VCL/ITGA2/TRIP6/ITGB3/MMP14/FERMT2/SORBS1/ITGB4/TNS1/FAM107A/COL17A1",31,"BP"
"GO:0022612","gland morphogenesis","38/1321","127/18805",0.0287660862982589,4.25941931369101,NA,6.81056079543133e-15,3.12547985837003e-12,2.13815763919726e-12,"IGFBP5/TBX2/NOTCH1/FGF10/SULF1/TWSG1/BMP4/SFRP1/HOXA13/SULF2/NTN1/STAT6/PERP/TGFBR2/GLI3/TGFB2/MSN/NR3C1/TNC/RARG/BCL2/MMP2/LIMS2/FGF7/PTN/FGFR1/BMP7/SOSTDC1/NTN4/TGFB3/EPHA2/HOXD13/SERPINB5/SNAI2/TP63/CAV1/FGFR2/ID4",38,"BP"
"GO:0001704","formation of primary germ layer","36/1321","132/18805",0.0272520817562453,3.88238937444085,NA,7.81271594264375e-13,1.72098506784557e-10,1.17733517299882e-10,"ITGB1/LAMB1/DUSP5/DUSP1/TWSG1/ATOH8/BMP4/COL6A1/EYA1/SOX7/FOXC1/FOXF1/SIX2/ITGA7/ITGA5/FZD7/LAMA3/DUSP2/DKK1/FN1/ITGA3/SOX2/MMP2/ITGA2/DUSP4/ETS2/ITGA8/FGFR1/ITGB3/BMP7/MMP14/ITGB4/EPHA2/LAMB3/FGFR2/GJA1",36,"BP"
"GO:0006939","smooth muscle contraction","30/1321","110/18805",0.0227100681302044,3.88238937444085,NA,6.28165913340572e-11,7.52023844514463e-09,5.1446357067412e-09,"P2RX2/DRD2/NMUR1/TBX2/SULF1/RGS2/GPER1/SULF2/PRKG1/KCNMA1/SLC8A1/APBB1/ADRA1A/SMTN/EDNRB/EDN3/ITGA2/P2RX1/MYOCD/KIT/EDNRA/ATP1A2/ATP2B4/CD38/ACTA2/PTGS2/CNN1/CAV1/MYLK/MYH11",30,"BP"
"GO:0048565","digestive tract development","34/1321","138/18805",0.0257380772142316,3.50727928995381,NA,7.22461933183556e-11,8.32491861629571e-09,5.69512175465147e-09,"PDGFRA/NOTCH1/DCHS1/FGF10/IL6ST/SFRP5/SFRP1/HOXA13/FOXF2/FOXF1/SIX2/GLI3/TGFB2/CLMP/GATA5/RCBTB2/YAP1/RBPMS2/BCL2/ID2/RARB/EDNRB/NPR2/RARRES2/PDGFC/MYOCD/KLF5/ASS1/KIT/ALDH1A2/TGFB3/HOXD13/TP63/FGFR2",34,"BP"
"GO:0007160","cell-matrix adhesion","59/1321","240/18805",0.044663133989402,3.49954264446127,NA,8.46517258560729e-18,1.55392351429798e-14,1.06304746259258e-14,"CCL28/ITGB1/SDC4/SEMA3E/CD44/ACVRL1/TLN1/KDR/TIAM1/L1CAM/COL13A1/PTEN/PEAK1/HOXA7/SFRP1/ITGA1/CORO2B/EFNA5/MUC4/EMILIN1/ACTN1/FERMT1/ITGA7/PLAU/ITGA5/PIK3R1/CX3CL1/CORO1C/NID1/EPHA3/AJUBA/ITGA9/BCL2/GPM6B/ITGB6/SGCE/LYVE1/FN1/ITGB8/ITGA3/VCL/CCL21/ITGA2/ITGA8/TRIP6/RRAS/ITGB3/MMP14/CEACAM6/FERMT2/PLEKHA2/SORBS1/JAM3/ITGB4/MSLN/ANXA2/EFEMP2/FAM107A/COL17A1",59,"BP"
"GO:0035107","appendage morphogenesis","37/1321","152/18805",0.0280090840272521,3.46520279692418,NA,1.5513785315992e-11,2.13586039337919e-09,1.46115362226145e-09,"RUNX2/TBX5/TBX2/PITX1/NOTCH1/FGF10/BMP4/RSPO2/CYP26B1/COL6A1/HOXA13/ZNF219/OSR2/PLXNA2/GLI3/TGFB2/PBX1/HOXD10/RARG/MAP3K20/PRRX1/CHST11/RARB/DKK1/LARGE1/NPR2/TBX4/FGFR1/ASPH/BMP7/LRP4/ALDH1A2/HOXD13/TP63/FGFR2/GJA1/CRABP2",37,"BP"
"GO:0035108","limb morphogenesis","37/1321","152/18805",0.0280090840272521,3.46520279692418,NA,1.5513785315992e-11,2.13586039337919e-09,1.46115362226145e-09,"RUNX2/TBX5/TBX2/PITX1/NOTCH1/FGF10/BMP4/RSPO2/CYP26B1/COL6A1/HOXA13/ZNF219/OSR2/PLXNA2/GLI3/TGFB2/PBX1/HOXD10/RARG/MAP3K20/PRRX1/CHST11/RARB/DKK1/LARGE1/NPR2/TBX4/FGFR1/ASPH/BMP7/LRP4/ALDH1A2/HOXD13/TP63/FGFR2/GJA1/CRABP2",37,"BP"
"GO:0031589","cell-substrate adhesion","87/1321","361/18805",0.0658591975775927,3.43069864389649,NA,4.85589561621774e-25,2.67414171585111e-21,1.82939478004666e-21,"ABI3BP/EGFL6/GCNT2/CCL28/ITGB1/LAMB1/SDC4/SEMA3E/NOTCH1/AXL/PARVA/CD44/ACVRL1/TLN1/KDR/TIAM1/ATP1B2/L1CAM/COL13A1/PTEN/PEAK1/HOXA7/KANK1/SFRP1/ITGA1/CORO2B/EFNA5/MUC4/EMILIN1/ACTN1/FOXF1/FERMT1/EPHB1/ITGA7/PLAU/ITGA5/GBP1/PIK3R1/HACD1/CX3CL1/FZD7/CORO1C/NID1/EPHA3/AJUBA/ITGA9/BCL2/FAT2/GPM6B/GAS6/ITGB6/SGCE/LYVE1/FN1/VIT/ITGB8/ITGA3/CCDC80/VCL/CCL21/LIMS2/PDPN/ITGA2/FBLN1/ITGA8/ANTXR1/TRIP6/EDIL3/RRAS/ITGB3/MMP14/CEACAM6/FERMT2/PLEKHA2/NTN4/SORBS1/JAM3/ITGB4/MSLN/ANXA2/EFEMP2/FAM107A/NDNF/FLNA/OLFM4/COL17A1/ANGPT1",87,"BP"
"GO:0010811","positive regulation of cell-substrate adhesion","30/1321","126/18805",0.0227100681302044,3.38938754911503,NA,2.2588910532855e-09,1.44647825935386e-07,9.89543583807685e-08,"ABI3BP/EGFL6/CCL28/SDC4/KDR/SFRP1/EMILIN1/FOXF1/FERMT1/ITGA5/HACD1/CX3CL1/NID1/FN1/VIT/ITGA3/CCDC80/CCL21/LIMS2/FBLN1/EDIL3/RRAS/ITGB3/CEACAM6/FERMT2/PLEKHA2/EFEMP2/NDNF/FLNA/OLFM4",30,"BP"
"GO:0010810","regulation of cell-substrate adhesion","53/1321","224/18805",0.0401211203633611,3.36820387693306,NA,2.27421941434653e-15,1.25241263148063e-12,8.56782240415392e-13,"ABI3BP/EGFL6/GCNT2/CCL28/SDC4/SEMA3E/NOTCH1/ACVRL1/TLN1/KDR/PTEN/PEAK1/HOXA7/KANK1/SFRP1/CORO2B/EFNA5/EMILIN1/FOXF1/FERMT1/PLAU/ITGA5/GBP1/PIK3R1/HACD1/CX3CL1/FZD7/CORO1C/NID1/EPHA3/BCL2/GPM6B/FN1/VIT/ITGA3/CCDC80/VCL/CCL21/LIMS2/PDPN/FBLN1/EDIL3/RRAS/ITGB3/MMP14/CEACAM6/FERMT2/PLEKHA2/EFEMP2/FAM107A/NDNF/FLNA/OLFM4",53,"BP"
"GO:0042476","odontogenesis","32/1321","136/18805",0.024224072672218,3.34951240147838,NA,9.1555896153757e-10,6.38225721669291e-08,4.36613660671947e-08,"RUNX2/LAMB1/PDGFRA/AQP5/FGF10/BMP4/WNT10A/RSPO2/BMP2/ODAM/DLX3/FOXC1/PERP/OSR2/GLI3/TGFB2/APCDD1/HACD1/TNC/ITGB6/NGFR/FST/SP6/FGFR1/BMP7/LRP4/SOSTDC1/PRKCB/TGFB3/ID3/TP63/FGFR2",32,"BP"
"GO:0030326","embryonic limb morphogenesis","29/1321","124/18805",0.0219530658591976,3.32925325388879,NA,6.45869528648284e-09,3.62939132067969e-07,2.48288619015275e-07,"RUNX2/TBX5/TBX2/PITX1/NOTCH1/BMP4/RSPO2/CYP26B1/HOXA13/OSR2/GLI3/TGFB2/PBX1/HOXD10/RARG/MAP3K20/PRRX1/CHST11/RARB/DKK1/TBX4/FGFR1/BMP7/LRP4/ALDH1A2/HOXD13/TP63/GJA1/CRABP2",29,"BP"
"GO:0035113","embryonic appendage morphogenesis","29/1321","124/18805",0.0219530658591976,3.32925325388879,NA,6.45869528648284e-09,3.62939132067969e-07,2.48288619015275e-07,"RUNX2/TBX5/TBX2/PITX1/NOTCH1/BMP4/RSPO2/CYP26B1/HOXA13/OSR2/GLI3/TGFB2/PBX1/HOXD10/RARG/MAP3K20/PRRX1/CHST11/RARB/DKK1/TBX4/FGFR1/BMP7/LRP4/ALDH1A2/HOXD13/TP63/GJA1/CRABP2",29,"BP"
"GO:0001952","regulation of cell-matrix adhesion","29/1321","125/18805",0.0219530658591976,3.30261922785768,NA,7.85295060840592e-09,4.23982343142072e-07,2.9004860915877e-07,"CCL28/SDC4/SEMA3E/ACVRL1/TLN1/KDR/PTEN/PEAK1/HOXA7/SFRP1/EFNA5/FERMT1/PLAU/PIK3R1/CX3CL1/CORO1C/EPHA3/BCL2/GPM6B/VCL/CCL21/RRAS/ITGB3/MMP14/CEACAM6/FERMT2/PLEKHA2/EFEMP2/FAM107A",29,"BP"
"GO:0055123","digestive system development","35/1321","151/18805",0.0264950794852385,3.29960244847622,NA,2.34128934026131e-10,2.1735022118129e-08,1.4869045934033e-08,"PDGFRA/NOTCH1/DCHS1/FGF10/IL6ST/SFRP5/SFRP1/HOXA13/FOXF2/FOXF1/SIX2/GLI3/TGFB2/CLMP/GATA5/RCBTB2/YAP1/CDKN1C/RBPMS2/BCL2/ID2/RARB/EDNRB/NPR2/RARRES2/PDGFC/MYOCD/KLF5/ASS1/KIT/ALDH1A2/TGFB3/HOXD13/TP63/FGFR2",35,"BP"
"GO:0061138","morphogenesis of a branching epithelium","44/1321","191/18805",0.0333080999242998,3.27936554490292,NA,1.45773943833699e-12,2.6759236956406e-10,1.83061384203792e-10,"PAX8/SEMA3E/TBX2/NOTCH1/DCHS1/FGF10/SULF1/PAK1/KDR/BMP4/FGF2/RSPO2/BMP2/EYA1/SFRP1/HOXA13/HOXD11/FOXF1/NFATC4/TGFBR2/SIX2/RSPO3/GLI3/HOXB7/SPRY2/TNC/PBX1/YAP1/SLIT2/SOCS3/BCL2/MET/CLIC4/FGF7/FGFR1/BMP7/MMP14/NTN4/EDNRA/EPHA2/HOXD13/SNAI2/TP63/FGFR2",44,"BP"
"GO:0048706","embryonic skeletal system development","31/1321","135/18805",0.0234670704012112,3.26887599181316,NA,3.14742684169458e-09,1.94751456373169e-07,1.3323052237049e-07,"RUNX2/PDGFRA/SULF1/BMP4/HOXB5/HOXA7/EYA1/DLX3/SULF2/HOXB9/HOXD11/TGFBR2/HOXB6/SIX2/OSR2/GLI3/ZEB1/HOXB3/HOXB7/PBX1/HOXD10/PRRX1/CHST11/HOXB8/HOXB2/BMP7/MMP14/EDNRA/RBP4/TGFB3/FGFR2",31,"BP"
"GO:0035924","cellular response to vascular endothelial growth factor stimulus","28/1321","122/18805",0.0211960635881908,3.26714734242563,NA,1.82398583952821e-08,8.73451305937554e-07,5.97532752372675e-07,"ITGB1/PDGFRA/NOTCH1/AXL/KDR/DAB2IP/FOXC1/EMILIN1/EPHB1/SPRY2/HSPB1/CCBE1/EPHA3/MET/NRP2/FGFR1/ROBO1/ADGRA2/DDR2/KIT/PGF/ANXA1/EPHA2/ATP2B4/GAS1/DCN/ROR2/FGFR2",28,"BP"
"GO:0001763","morphogenesis of a branching structure","47/1321","208/18805",0.0355791067373202,3.21665914516974,NA,5.34891373350496e-13,1.33893036047326e-10,9.15969485751878e-11,"PAX8/DRD2/SEMA3E/TBX2/NOTCH1/DCHS1/FGF10/SULF1/PAK1/KDR/BMP4/FGF2/RSPO2/COL13A1/BMP2/EYA1/SFRP1/LRRK2/HOXA13/HOXD11/FOXF1/NFATC4/TGFBR2/SIX2/RSPO3/GLI3/HOXB7/SPRY2/TNC/PBX1/YAP1/SLIT2/SOCS3/BCL2/MET/CLIC4/FGF7/FGFR1/BMP7/MMP14/NTN4/EDNRA/EPHA2/HOXD13/SNAI2/TP63/FGFR2",47,"BP"
