"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0070294","renal sodium ion absorption","3/94","13/18805",0.0319148936170213,46.1661211129296,NA,3.33606857384049e-05,0.0264550237905551,0.0223809232041509,"SGK1/EDNRB/EDNRA",3,"BP"
"GO:0014820","tonic smooth muscle contraction","2/94","10/18805",0.0212765957446809,40.0106382978723,NA,0.0010838344816551,0.102128563088285,0.0864006604388402,"HTR2A/EDNRA",2,"BP"
"GO:0097017","renal protein absorption","2/94","10/18805",0.0212765957446809,40.0106382978723,NA,0.0010838344816551,0.102128563088285,0.0864006604388402,"EDNRB/EDNRA",2,"BP"
"GO:0003096","renal sodium ion transport","3/94","16/18805",0.0319148936170213,37.5099734042553,NA,6.46144281864287e-05,0.0331237704749632,0.0280226761125327,"SGK1/EDNRB/EDNRA",3,"BP"
"GO:0009756","carbohydrate mediated signaling","2/94","12/18805",0.0212765957446809,33.3421985815603,NA,0.00157930301581966,0.107540534968129,0.090979183141551,"SMARCB1/COLEC12",2,"BP"
"GO:0048484","enteric nervous system development","2/94","12/18805",0.0212765957446809,33.3421985815603,NA,0.00157930301581966,0.107540534968129,0.090979183141551,"EDNRB/EDNRA",2,"BP"
"GO:0086100","endothelin receptor signaling pathway","2/94","12/18805",0.0212765957446809,33.3421985815603,NA,0.00157930301581966,0.107540534968129,0.090979183141551,"EDNRB/EDNRA",2,"BP"
"GO:0031650","regulation of heat generation","2/94","13/18805",0.0212765957446809,30.7774140752864,NA,0.0018603834394708,0.107947614695147,0.0913235721763331,"HTR2A/EDNRB",2,"BP"
"GO:0032905","transforming growth factor beta1 production","2/94","13/18805",0.0212765957446809,30.7774140752864,NA,0.0018603834394708,0.107947614695147,0.0913235721763331,"TYROBP/COL3A1",2,"BP"
"GO:0042045","epithelial fluid transport","2/94","13/18805",0.0212765957446809,30.7774140752864,NA,0.0018603834394708,0.107947614695147,0.0913235721763331,"CFTR/EDNRB",2,"BP"
"GO:0007210","serotonin receptor signaling pathway","2/94","14/18805",0.0212765957446809,28.5790273556231,NA,0.00216339647245288,0.111885221912292,0.0946547838748264,"HTR1A/HTR2A",2,"BP"
"GO:0044857","plasma membrane raft organization","2/94","14/18805",0.0212765957446809,28.5790273556231,NA,0.00216339647245288,0.111885221912292,0.0946547838748264,"CAV3/COLEC12",2,"BP"
"GO:0021819","layer formation in cerebral cortex","2/94","16/18805",0.0212765957446809,25.0066489361702,NA,0.00283433570098087,0.115411187708432,0.0976377473500683,"COL3A1/BMERB1",2,"BP"
"GO:0032933","SREBP signaling pathway","2/94","16/18805",0.0212765957446809,25.0066489361702,NA,0.00283433570098087,0.115411187708432,0.0976377473500683,"INSIG1/SREBF1",2,"BP"
"GO:0048148","behavioral response to cocaine","2/94","16/18805",0.0212765957446809,25.0066489361702,NA,0.00283433570098087,0.115411187708432,0.0976377473500683,"HTR2A/DRD4",2,"BP"
"GO:0097152","mesenchymal cell apoptotic process","2/94","16/18805",0.0212765957446809,25.0066489361702,NA,0.00283433570098087,0.115411187708432,0.0976377473500683,"SYNE1/EDNRA",2,"BP"
"GO:0030202","heparin proteoglycan metabolic process","2/94","17/18805",0.0212765957446809,23.5356695869837,NA,0.00320182361864502,0.115411187708432,0.0976377473500683,"EDNRB/EDNRA",2,"BP"
"GO:0071501","cellular response to sterol depletion","2/94","17/18805",0.0212765957446809,23.5356695869837,NA,0.00320182361864502,0.115411187708432,0.0976377473500683,"INSIG1/SREBF1",2,"BP"
"GO:0014829","vascular associated smooth muscle contraction","3/94","26/18805",0.0319148936170213,23.0830605564648,NA,0.000289319431019645,0.076476769599526,0.0646992692525802,"HTR2A/EDNRB/EDNRA",3,"BP"
"GO:0031649","heat generation","2/94","18/18805",0.0212765957446809,22.2281323877069,NA,0.00359036756906228,0.116041597689167,0.0981710735522165,"HTR2A/EDNRB",2,"BP"
"GO:0098664","G protein-coupled serotonin receptor signaling pathway","2/94","18/18805",0.0212765957446809,22.2281323877069,NA,0.00359036756906228,0.116041597689167,0.0981710735522165,"HTR1A/HTR2A",2,"BP"
"GO:0002283","neutrophil activation involved in immune response","2/94","19/18805",0.0212765957446809,21.0582306830907,NA,0.00399975242140045,0.116041597689167,0.0981710735522165,"TYROBP/ANXA3",2,"BP"
"GO:0006896","Golgi to vacuole transport","2/94","19/18805",0.0212765957446809,21.0582306830907,NA,0.00399975242140045,0.116041597689167,0.0981710735522165,"VPS54/LAPTM5",2,"BP"
"GO:0006991","response to sterol depletion","2/94","19/18805",0.0212765957446809,21.0582306830907,NA,0.00399975242140045,0.116041597689167,0.0981710735522165,"INSIG1/SREBF1",2,"BP"
"GO:0042053","regulation of dopamine metabolic process","2/94","19/18805",0.0212765957446809,21.0582306830907,NA,0.00399975242140045,0.116041597689167,0.0981710735522165,"HTR1A/DRD4",2,"BP"
"GO:0042069","regulation of catecholamine metabolic process","2/94","19/18805",0.0212765957446809,21.0582306830907,NA,0.00399975242140045,0.116041597689167,0.0981710735522165,"HTR1A/DRD4",2,"BP"
"GO:0045780","positive regulation of bone resorption","2/94","19/18805",0.0212765957446809,21.0582306830907,NA,0.00399975242140045,0.116041597689167,0.0981710735522165,"DCSTAMP/TFRC",2,"BP"
