"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","7/82","68/18805",0.0853658536585366,23.607424677188,NA,1.80670784000733e-08,5.93051848482407e-06,5.57226733812788e-06,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0015986","proton motive force-driven ATP synthesis","7/82","77/18805",0.0853658536585366,20.8481152993348,NA,4.34295345528562e-08,1.140459577358e-05,1.07156662096731e-05,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0019646","aerobic electron transport chain","7/82","93/18805",0.0853658536585366,17.2613427747181,NA,1.61785233198454e-07,3.54040018649283e-05,3.32653146155417e-05,"NDUFC2/NDUFB1/UQCR11/COX8A/COX6A1/NDUFS5/NDUFAB1",7,"BP"
"GO:0006754","ATP biosynthetic process","7/82","100/18805",0.0853658536585366,16.0530487804878,NA,2.6676331574485e-07,4.16700969131466e-05,3.91528869861769e-05,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0042773","ATP synthesis coupled electron transport","7/82","101/18805",0.0853658536585366,15.8941077034533,NA,2.85628996358202e-07,4.16700969131466e-05,3.91528869861769e-05,"NDUFC2/NDUFB1/UQCR11/COX8A/COX6A1/NDUFS5/NDUFAB1",7,"BP"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","7/82","101/18805",0.0853658536585366,15.8941077034533,NA,2.85628996358202e-07,4.16700969131466e-05,3.91528869861769e-05,"NDUFC2/NDUFB1/UQCR11/COX8A/COX6A1/NDUFS5/NDUFAB1",7,"BP"
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","7/82","111/18805",0.0853658536585366,14.4622061085476,NA,5.44660229131793e-07,6.33462263674243e-05,5.95196034013078e-05,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0009145","purine nucleoside triphosphate biosynthetic process","7/82","112/18805",0.0853658536585366,14.3330792682927,NA,5.78944947760161e-07,6.33462263674243e-05,5.95196034013078e-05,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0009201","ribonucleoside triphosphate biosynthetic process","7/82","117/18805",0.0853658536585366,13.7205545132374,NA,7.78833051843657e-07,7.30434140764801e-05,6.86310027639674e-05,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0022904","respiratory electron transport chain","7/82","117/18805",0.0853658536585366,13.7205545132374,NA,7.78833051843657e-07,7.30434140764801e-05,6.86310027639674e-05,"NDUFC2/NDUFB1/UQCR11/COX8A/COX6A1/NDUFS5/NDUFAB1",7,"BP"
"GO:0009142","nucleoside triphosphate biosynthetic process","7/82","125/18805",0.0853658536585366,12.8424390243902,NA,1.21773609599637e-06,0.000106592499602882,0.000100153452947912,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0022900","electron transport chain","7/82","127/18805",0.0853658536585366,12.6401958901479,NA,1.35508203730968e-06,0.000111201419686725,0.000104483957087299,"NDUFC2/NDUFB1/UQCR11/COX8A/COX6A1/NDUFS5/NDUFAB1",7,"BP"
