"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0009060","aerobic respiration","8/78","201/18805",0.102564102564103,9.59561168516392,NA,1.83151042065036e-06,0.000400490278648879,0.000371764483630257,"NDUFB1/NDUFAB1/COX6A1/UQCR11/COX8A/NDUFS5/BLOC1S1/NDUFC2",8,"BP"
"GO:0045333","cellular respiration","8/78","245/18805",0.102564102564103,7.87231815803244,NA,7.91197255004918e-06,0.00129756349820807,0.00120449371584301,"NDUFB1/NDUFAB1/COX6A1/UQCR11/COX8A/NDUFS5/BLOC1S1/NDUFC2",8,"BP"
"GO:0015980","energy derivation by oxidation of organic compounds","8/78","352/18805",0.102564102564103,5.47931235431235,NA,0.000104349237506142,0.0136906199608058,0.0127086387152217,"NDUFB1/NDUFAB1/COX6A1/UQCR11/COX8A/NDUFS5/BLOC1S1/NDUFC2",8,"BP"
"GO:0006091","generation of precursor metabolites and energy","8/78","484/18805",0.102564102564103,3.98495443949989,NA,0.000879811106088026,0.0679007159522053,0.0630304303246964,"NDUFB1/NDUFAB1/COX6A1/UQCR11/COX8A/NDUFS5/BLOC1S1/NDUFC2",8,"BP"
"GO:0019646","aerobic electron transport chain","7/78","93/18805",0.0897435897435897,18.1465398400882,NA,1.14243077697746e-07,8.83387226337204e-05,8.2002488837624e-05,"NDUFB1/NDUFAB1/COX6A1/UQCR11/COX8A/NDUFS5/NDUFC2",7,"BP"
"GO:0042773","ATP synthesis coupled electron transport","7/78","101/18805",0.0897435897435897,16.7091901497842,NA,2.01994030412471e-07,8.83387226337204e-05,8.2002488837624e-05,"NDUFB1/NDUFAB1/COX6A1/UQCR11/COX8A/NDUFS5/NDUFC2",7,"BP"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","7/78","101/18805",0.0897435897435897,16.7091901497842,NA,2.01994030412471e-07,8.83387226337204e-05,8.2002488837624e-05,"NDUFB1/NDUFAB1/COX6A1/UQCR11/COX8A/NDUFS5/NDUFC2",7,"BP"
"GO:0022904","respiratory electron transport chain","7/78","117/18805",0.0897435897435897,14.4241726934035,NA,5.52420678255706e-07,0.000181193982467872,0.000168197559142593,"NDUFB1/NDUFAB1/COX6A1/UQCR11/COX8A/NDUFS5/NDUFC2",7,"BP"
"GO:0022900","electron transport chain","7/78","127/18805",0.0897435897435897,13.2884110640016,NA,9.629332305165e-07,0.00025267367968753,0.000234550262675282,"NDUFB1/NDUFAB1/COX6A1/UQCR11/COX8A/NDUFS5/NDUFC2",7,"BP"
"GO:0006119","oxidative phosphorylation","7/78","151/18805",0.0897435897435897,11.1763457293259,NA,3.06991757571055e-06,0.000575390265618892,0.000534119493999566,"NDUFB1/NDUFAB1/COX6A1/UQCR11/COX8A/NDUFS5/NDUFC2",7,"BP"
"GO:0007005","mitochondrion organization","6/78","445/18805",0.0769230769230769,3.25064822817632,NA,0.0104031369016509,0.248162102090291,0.230362285075791,"NDUFB1/NDUFAB1/COX14/NDUFS5/NDUFC2/POLG2",6,"BP"
"GO:0033108","mitochondrial respiratory chain complex assembly","5/78","122/18805",0.0641025641025641,9.88072719630097,NA,0.000153082236971665,0.0154495303774481,0.0143413885162929,"NDUFB1/NDUFAB1/COX14/NDUFS5/NDUFC2",5,"BP"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","4/78","51/18805",0.0512820512820513,18.9089994972348,NA,5.90242078081802e-05,0.00860441784937026,0.00798725244842859,"NDUFB1/NDUFAB1/NDUFS5/NDUFC2",4,"BP"
"GO:0010257","NADH dehydrogenase complex assembly","4/78","63/18805",0.0512820512820513,15.3072853072853,NA,0.000135490315986847,0.0148136078812286,0.0137510785611213,"NDUFB1/NDUFAB1/NDUFS5/NDUFC2",4,"BP"
"GO:0032981","mitochondrial respiratory chain complex I assembly","4/78","63/18805",0.0512820512820513,15.3072853072853,NA,0.000135490315986847,0.0148136078812286,0.0137510785611213,"NDUFB1/NDUFAB1/NDUFS5/NDUFC2",4,"BP"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","4/78","68/18805",0.0512820512820513,14.1817496229261,NA,0.000182358363365968,0.0170895837668679,0.0158638064973252,"NDUFB1/NDUFAB1/NDUFS5/NDUFC2",4,"BP"
"GO:0015986","proton motive force-driven ATP synthesis","4/78","77/18805",0.0512820512820513,12.5241425241425,NA,0.000294599308341904,0.0257676195029718,0.0239193964737953,"NDUFB1/NDUFAB1/NDUFS5/NDUFC2",4,"BP"
"GO:0006754","ATP biosynthetic process","4/78","100/18805",0.0512820512820513,9.64358974358974,NA,0.000794346273834129,0.0651363944543986,0.0604643841332952,"NDUFB1/NDUFAB1/NDUFS5/NDUFC2",4,"BP"
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","4/78","111/18805",0.0512820512820513,8.68791868791869,NA,0.00117224576112593,0.0794988524869409,0.0737966722780733,"NDUFB1/NDUFAB1/NDUFS5/NDUFC2",4,"BP"
"GO:0009145","purine nucleoside triphosphate biosynthetic process","4/78","112/18805",0.0512820512820513,8.61034798534799,NA,0.00121187275132532,0.0794988524869409,0.0737966722780733,"NDUFB1/NDUFAB1/NDUFS5/NDUFC2",4,"BP"
