"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0031214","biomineral tissue development","3/24","182/18805",0.125,12.915521978022,NA,0.00155388518217374,0.170150427448025,0.131671323331564,"OC90/DMP1/SP7",3,"BP"
"GO:0007608","sensory perception of smell","3/24","465/18805",0.125,5.05510752688172,NA,0.0206775113378517,0.184305157892418,0.14262499601384,"OR10R2/OR10G7/GFY",3,"BP"
"GO:0050907","detection of chemical stimulus involved in sensory perception","3/24","480/18805",0.125,4.89713541666667,NA,0.0224666115895226,0.184305157892418,0.14262499601384,"OR10R2/OR10G7/GNAT2",3,"BP"
"GO:0034505","tooth mineralization","2/24","35/18805",0.0833333333333333,44.7738095238095,NA,0.000905231166152309,0.170150427448025,0.131671323331564,"DMP1/SP7",2,"BP"
"GO:0042476","odontogenesis","2/24","136/18805",0.0833333333333333,11.5226715686274,NA,0.0129129475926289,0.184305157892418,0.14262499601384,"DMP1/SP7",2,"BP"
"GO:0009581","detection of external stimulus","2/24","145/18805",0.0833333333333333,10.8074712643678,NA,0.0145833863638273,0.184305157892418,0.14262499601384,"KCNK4/GNAT2",2,"BP"
"GO:0009582","detection of abiotic stimulus","2/24","147/18805",0.0833333333333333,10.6604308390023,NA,0.0149667025026622,0.184305157892418,0.14262499601384,"KCNK4/GNAT2",2,"BP"
"GO:0007204","positive regulation of cytosolic calcium ion concentration","2/24","170/18805",0.0833333333333333,9.21813725490196,NA,0.0196820436297239,0.184305157892418,0.14262499601384,"GPR6/GNAT2",2,"BP"
"GO:0001508","action potential","2/24","177/18805",0.0833333333333333,8.85357815442561,NA,0.0212262241702689,0.184305157892418,0.14262499601384,"KCNK4/KCNA6",2,"BP"
"GO:0071805","potassium ion transmembrane transport","2/24","216/18805",0.0833333333333333,7.25501543209876,NA,0.0307056265967392,0.184305157892418,0.14262499601384,"KCNK4/KCNA6",2,"BP"
"GO:0006813","potassium ion transport","2/24","245/18805",0.0833333333333333,6.39625850340136,NA,0.0386536969358041,0.184305157892418,0.14262499601384,"KCNK4/KCNA6",2,"BP"
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","2/24","272/18805",0.0833333333333333,5.76133578431372,NA,0.0466839618704928,0.184305157892418,0.14262499601384,"GPR6/GNAT2",2,"BP"
"GO:0006702","androgen biosynthetic process","1/24","10/18805",0.0416666666666667,78.3541666666667,NA,0.0126925348587762,0.184305157892418,0.14262499601384,"HSD17B3",1,"BP"
