"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0006163","purine nucleotide metabolic process","11/99","448/18805",0.111111111111111,4.66393849206349,NA,2.37679863513731e-05,0.00526291126351833,0.0049394522011425,"TREX1/PGAM2/NME3/NUPR1/ALDOA/NDUFS6/NAPRT/TSPO/NDUFAB1/NDUFA1/CD38",11,"BP"
"GO:0007005","mitochondrion organization","10/99","445/18805",0.101010101010101,4.26852797639314,NA,0.000118498978612917,0.0153061180708351,0.0143654024950045,"TOMM6/NME3/NDUFAF8/ENDOG/CHCHD10/TOMM7/ALKBH7/JTB/NDUFAB1/NDUFA1",10,"BP"
"GO:0006091","generation of precursor metabolites and energy","10/99","484/18805",0.101010101010101,3.92457634193171,NA,0.000233829088611093,0.0201352826303997,0.018897766108803,"TREX1/PGAM2/NUPR1/ALDOA/CHCHD10/COX6C/NDUFS6/UQCRQ/NDUFAB1/NDUFA1",10,"BP"
"GO:0009205","purine ribonucleoside triphosphate metabolic process","9/99","254/18805",0.0909090909090909,6.73049391553329,NA,7.80395133553022e-06,0.00376189398517208,0.0035306875976284,"TREX1/PGAM2/NME3/NUPR1/ALDOA/NDUFS6/TSPO/NDUFAB1/NDUFA1",9,"BP"
"GO:0009144","purine nucleoside triphosphate metabolic process","9/99","261/18805",0.0909090909090909,6.54998258446534,NA,9.7081135101215e-06,0.00376189398517208,0.0035306875976284,"TREX1/PGAM2/NME3/NUPR1/ALDOA/NDUFS6/TSPO/NDUFAB1/NDUFA1",9,"BP"
"GO:0009199","ribonucleoside triphosphate metabolic process","9/99","261/18805",0.0909090909090909,6.54998258446534,NA,9.7081135101215e-06,0.00376189398517208,0.0035306875976284,"TREX1/PGAM2/NME3/NUPR1/ALDOA/NDUFS6/TSPO/NDUFAB1/NDUFA1",9,"BP"
"GO:0009141","nucleoside triphosphate metabolic process","9/99","277/18805",0.0909090909090909,6.1716442402363,NA,1.56032804590501e-05,0.00403084745192126,0.00378311115691354,"TREX1/PGAM2/NME3/NUPR1/ALDOA/NDUFS6/TSPO/NDUFAB1/NDUFA1",9,"BP"
"GO:0009150","purine ribonucleotide metabolic process","9/99","350/18805",0.0909090909090909,4.88441558441558,NA,9.60812355917063e-05,0.0135387195606495,0.0127066284772955,"TREX1/PGAM2/NME3/NUPR1/ALDOA/NDUFS6/TSPO/NDUFAB1/NDUFA1",9,"BP"
"GO:0009259","ribonucleotide metabolic process","9/99","371/18805",0.0909090909090909,4.60793923058074,NA,0.000149143639955708,0.0165123315665248,0.0154974819863751,"TREX1/PGAM2/NME3/NUPR1/ALDOA/NDUFS6/TSPO/NDUFAB1/NDUFA1",9,"BP"
"GO:0019693","ribose phosphate metabolic process","9/99","379/18805",0.0909090909090909,4.51067402254737,NA,0.000174946523444098,0.0176894120008485,0.0166022189372989,"TREX1/PGAM2/NME3/NUPR1/ALDOA/NDUFS6/TSPO/NDUFAB1/NDUFA1",9,"BP"
"GO:0022613","ribonucleoprotein complex biogenesis","9/99","494/18805",0.0909090909090909,3.46061832903938,NA,0.00118335086261042,0.0573185574076922,0.0537957530305132,"ZNF593/UTP14C/RPS3A/RSRP1/RPL26/RPS28/RPS15A/RPS21/TSR3",9,"BP"
"GO:0002181","cytoplasmic translation","8/99","169/18805",0.0808080808080808,8.99169206861515,NA,3.08096788397275e-06,0.00376189398517208,0.0035306875976284,"RPS3A/RPL30/RPL26/RPS28/RPS15A/RPS21/RPL36/RPL21",8,"BP"
"GO:0046034","ATP metabolic process","8/99","230/18805",0.0808080808080808,6.60693895476504,NA,2.91739384839468e-05,0.0056524505812647,0.00530505039273875,"TREX1/PGAM2/NUPR1/ALDOA/NDUFS6/TSPO/NDUFAB1/NDUFA1",8,"BP"
"GO:0045333","cellular respiration","8/99","245/18805",0.0808080808080808,6.20243248814677,NA,4.56868212016566e-05,0.00786828587361863,0.00738470022230285,"TREX1/NUPR1/CHCHD10/COX6C/NDUFS6/UQCRQ/NDUFAB1/NDUFA1",8,"BP"
"GO:0042254","ribosome biogenesis","8/99","317/18805",0.0808080808080808,4.79367810598095,NA,0.000270428716978782,0.0209582255658556,0.0196701308876145,"ZNF593/UTP14C/RPS3A/RPL26/RPS28/RPS15A/RPS21/TSR3",8,"BP"
"GO:0015980","energy derivation by oxidation of organic compounds","8/99","352/18805",0.0808080808080808,4.31703397612489,NA,0.000542693387895049,0.0288912136569596,0.0271155567225251,"TREX1/NUPR1/CHCHD10/COX6C/NDUFS6/UQCRQ/NDUFAB1/NDUFA1",8,"BP"
"GO:0006119","oxidative phosphorylation","7/99","151/18805",0.0707070707070707,8.80560572613553,NA,1.50317726687145e-05,0.00403084745192126,0.00378311115691354,"NUPR1/CHCHD10/COX6C/NDUFS6/UQCRQ/NDUFAB1/NDUFA1",7,"BP"
"GO:0009060","aerobic respiration","7/99","201/18805",0.0707070707070707,6.61515654052968,NA,9.31507895020406e-05,0.0135387195606495,0.0127066284772955,"NUPR1/CHCHD10/COX6C/NDUFS6/UQCRQ/NDUFAB1/NDUFA1",7,"BP"
"GO:0036293","response to decreased oxygen levels","7/99","330/18805",0.0707070707070707,4.02923171104989,NA,0.00180262093641634,0.0682700360807379,0.0640741527087129,"MB/ENDOG/AQP3/MAP1LC3A/NDNF/DPP4/CD38",7,"BP"
"GO:0070482","response to oxygen levels","7/99","358/18805",0.0707070707070707,3.71409626996219,NA,0.00284492334290301,0.0734328665521485,0.0689196750934256,"MB/ENDOG/AQP3/MAP1LC3A/NDNF/DPP4/CD38",7,"BP"
"GO:0006936","muscle contraction","7/99","359/18805",0.0707070707070707,3.70375059790102,NA,0.0028892194192429,0.0734328665521485,0.0689196750934256,"PGAM2/ALDOA/STUB1/CACNA2D1/UTRN/NPNT/CD38",7,"BP"
"GO:0006979","response to oxidative stress","7/99","408/18805",0.0707070707070707,3.25893741334918,NA,0.00579014379564325,0.11378708222682,0.106793716561946,"TREX1/MB/ENDOG/SDC1/MAP1LC3A/NAPRT/CD38",7,"BP"
"GO:0003012","muscle system process","7/99","467/18805",0.0707070707070707,2.84720870373975,NA,0.0116927995546736,0.164762175543127,0.154635875450324,"PGAM2/ALDOA/STUB1/CACNA2D1/UTRN/NPNT/CD38",7,"BP"
"GO:0019362","pyridine nucleotide metabolic process","6/99","180/18805",0.0606060606060606,6.33164983164983,NA,0.000379670827087017,0.0228975286667527,0.0214902442223784,"TREX1/PGAM2/NUPR1/ALDOA/NAPRT/CD38",6,"BP"
"GO:0046496","nicotinamide nucleotide metabolic process","6/99","180/18805",0.0606060606060606,6.33164983164983,NA,0.000379670827087017,0.0228975286667527,0.0214902442223784,"TREX1/PGAM2/NUPR1/ALDOA/NAPRT/CD38",6,"BP"
"GO:0072524","pyridine-containing compound metabolic process","6/99","187/18805",0.0606060606060606,6.09463620158807,NA,0.000464944813089098,0.0266912763069667,0.0250508277461651,"TREX1/PGAM2/NUPR1/ALDOA/NAPRT/CD38",6,"BP"
"GO:0006164","purine nucleotide biosynthetic process","6/99","198/18805",0.0606060606060606,5.75604530149985,NA,0.000628359326643573,0.0314179663321787,0.029487014920931,"NME3/ALDOA/NDUFS6/NAPRT/NDUFAB1/NDUFA1",6,"BP"
"GO:0009165","nucleotide biosynthetic process","6/99","234/18805",0.0606060606060606,4.87049987049987,NA,0.00148919146368915,0.0641179657977275,0.0601772690882577,"NME3/ALDOA/NDUFS6/NAPRT/NDUFAB1/NDUFA1",6,"BP"
"GO:0072522","purine-containing compound biosynthetic process","6/99","264/18805",0.0606060606060606,4.31703397612489,NA,0.00272802396442199,0.0729040887043808,0.068423395986047,"NME3/ALDOA/NDUFS6/NAPRT/NDUFAB1/NDUFA1",6,"BP"
"GO:0001666","response to hypoxia","6/99","316/18805",0.0606060606060606,3.6066359800537,NA,0.00651655690528825,0.12317881955118,0.115608236753637,"MB/ENDOG/AQP3/NDNF/DPP4/CD38",6,"BP"
"GO:1901293","nucleoside phosphate biosynthetic process","6/99","322/18805",0.0606060606060606,3.53943158290984,NA,0.00712107466040845,0.131400782424203,0.123324876950933,"NME3/ALDOA/NDUFS6/NAPRT/NDUFAB1/NDUFA1",6,"BP"
"GO:0010038","response to metal ion","6/99","347/18805",0.0606060606060606,3.28442930748406,NA,0.0100833886034628,0.149905210932803,0.140692021398393,"PGAM2/ENDOG/AQP3/SDC1/MAP1LC3A/TSPO",6,"BP"
"GO:0019646","aerobic electron transport chain","5/99","93/18805",0.0505050505050505,10.2123384381449,NA,0.000131589589973798,0.0156895280353374,0.0147252480440314,"COX6C/NDUFS6/UQCRQ/NDUFAB1/NDUFA1",5,"BP"
"GO:0042773","ATP synthesis coupled electron transport","5/99","101/18805",0.0505050505050505,9.4034403440344,NA,0.000194012905815758,0.0176894120008485,0.0166022189372989,"COX6C/NDUFS6/UQCRQ/NDUFAB1/NDUFA1",5,"BP"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","5/99","101/18805",0.0505050505050505,9.4034403440344,NA,0.000194012905815758,0.0176894120008485,0.0166022189372989,"COX6C/NDUFS6/UQCRQ/NDUFAB1/NDUFA1",5,"BP"
"GO:0042274","ribosomal small subunit biogenesis","5/99","108/18805",0.0505050505050505,8.79395809951365,NA,0.00026522837183818,0.0209582255658556,0.0196701308876145,"RPS3A/RPS28/RPS15A/RPS21/TSR3",5,"BP"
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","5/99","111/18805",0.0505050505050505,8.55628355628356,NA,0.000301189142452526,0.0221199827596865,0.0207604863659672,"NME3/ALDOA/NDUFS6/NDUFAB1/NDUFA1",5,"BP"
"GO:0009145","purine nucleoside triphosphate biosynthetic process","5/99","112/18805",0.0505050505050505,8.47988816738817,NA,0.000313961045621357,0.0221199827596865,0.0207604863659672,"NME3/ALDOA/NDUFS6/NDUFAB1/NDUFA1",5,"BP"
"GO:0009201","ribonucleoside triphosphate biosynthetic process","5/99","117/18805",0.0505050505050505,8.11749978416645,NA,0.000384087577635851,0.0228975286667527,0.0214902442223784,"NME3/ALDOA/NDUFS6/NDUFAB1/NDUFA1",5,"BP"
"GO:0022904","respiratory electron transport chain","5/99","117/18805",0.0505050505050505,8.11749978416645,NA,0.000384087577635851,0.0228975286667527,0.0214902442223784,"COX6C/NDUFS6/UQCRQ/NDUFAB1/NDUFA1",5,"BP"
"GO:0009142","nucleoside triphosphate biosynthetic process","5/99","125/18805",0.0505050505050505,7.5979797979798,NA,0.000520136319494156,0.0287932605434265,0.027023623817328,"NME3/ALDOA/NDUFS6/NDUFAB1/NDUFA1",5,"BP"
"GO:0022900","electron transport chain","5/99","127/18805",0.0505050505050505,7.47832657281476,NA,0.000559184780457283,0.0288912136569596,0.0271155567225251,"COX6C/NDUFS6/UQCRQ/NDUFAB1/NDUFA1",5,"BP"
"GO:0009152","purine ribonucleotide biosynthetic process","5/99","157/18805",0.0505050505050505,6.04934697291385,NA,0.00144853293913852,0.0641179657977275,0.0601772690882577,"NME3/ALDOA/NDUFS6/NDUFAB1/NDUFA1",5,"BP"
"GO:0009260","ribonucleotide biosynthetic process","5/99","173/18805",0.0505050505050505,5.48986979622818,NA,0.00221638019820194,0.0691617015996638,0.0649110163740138,"NME3/ALDOA/NDUFS6/NDUFAB1/NDUFA1",5,"BP"
"GO:0046390","ribose phosphate biosynthetic process","5/99","180/18805",0.0505050505050505,5.27637485970819,NA,0.00263185058975703,0.0715678669144456,0.067169298523439,"NME3/ALDOA/NDUFS6/NDUFAB1/NDUFA1",5,"BP"
"GO:0000302","response to reactive oxygen species","5/99","201/18805",0.0505050505050505,4.72511181466405,NA,0.00421665492743457,0.0961149284929939,0.0902076951968201,"TREX1/MB/ENDOG/SDC1/MAP1LC3A",5,"BP"
"GO:0006364","rRNA processing","5/99","222/18805",0.0505050505050505,4.27814177814178,NA,0.00638902138476394,0.122259051189927,0.114744997449562,"UTP14C/RPL26/RPS28/RPS21/TSR3",5,"BP"
"GO:0046434","organophosphate catabolic process","5/99","242/18805",0.0505050505050505,3.92457634193171,NA,0.00909599717544928,0.149905210932803,0.140692021398393,"TREX1/PGAM2/ABHD16B/NUPR1/ALDOA",5,"BP"
"GO:1903320","regulation of protein modification by small protein conjugation or removal","5/99","243/18805",0.0505050505050505,3.90842582200607,NA,0.00924921659528683,0.149905210932803,0.140692021398393,"ISG15/STUB1/COPS9/TSPO/BEX2",5,"BP"
"GO:1901873","regulation of post-translational protein modification","5/99","248/18805",0.0505050505050505,3.82962691430433,NA,0.0100421400716026,0.149905210932803,0.140692021398393,"ISG15/STUB1/COPS9/TSPO/BEX2",5,"BP"
"GO:0016072","rRNA metabolic process","5/99","265/18805",0.0505050505050505,3.58395273489613,NA,0.0130861235457666,0.179499924742816,0.168467841082901,"UTP14C/RPL26/RPS28/RPS21/TSR3",5,"BP"
"GO:0009636","response to toxic substance","5/99","272/18805",0.0505050505050505,3.49171865715983,NA,0.0145032678461939,0.194835074908132,0.182860491356902,"NUPR1/MB/SDC1/LTC4S/PTPN13",5,"BP"
"GO:0031400","negative regulation of protein modification process","5/99","321/18805",0.0505050505050505,2.95871487460272,NA,0.0273642711122385,0.311872207529188,0.29270450988478,"ISG15/COPS9/TSPO/BEX2/PTPN13",5,"BP"
"GO:0062197","cellular response to chemical stress","5/99","323/18805",0.0505050505050505,2.94039465866091,NA,0.0280052297460838,0.316847489827955,0.297374010826644,"TREX1/MB/ENDOG/MAP1LC3A/TSPO",5,"BP"
"GO:0010506","regulation of autophagy","5/99","359/18805",0.0505050505050505,2.64553614135787,NA,0.0412010271910078,0.406761733414408,0.381762115842928,"NUPR1/ENDOG/STUB1/TOMM7/TSPO",5,"BP"
"GO:0016236","macroautophagy","5/99","374/18805",0.0505050505050505,2.5394317506617,NA,0.047649272084125,0.428352879586935,0.402026267972254,"NUPR1/STUB1/TOMM7/MAP1LC3A/TSPO",5,"BP"
"GO:1903321","negative regulation of protein modification by small protein conjugation or removal","4/99","92/18805",0.0404040404040404,8.2586736934563,NA,0.0014166909447047,0.0641179657977275,0.0601772690882577,"ISG15/COPS9/TSPO/BEX2",4,"BP"
"GO:0000423","mitophagy","4/99","96/18805",0.0404040404040404,7.91456228956229,NA,0.00165754942126902,0.0676105684991313,0.0634552160718502,"STUB1/TOMM7/MAP1LC3A/TSPO",4,"BP"
"GO:1901874","negative regulation of post-translational protein modification","4/99","96/18805",0.0404040404040404,7.91456228956229,NA,0.00165754942126902,0.0676105684991313,0.0634552160718502,"ISG15/COPS9/TSPO/BEX2",4,"BP"
"GO:0006096","glycolytic process","4/99","97/18805",0.0404040404040404,7.8329688638967,NA,0.00172193899915342,0.0682700360807379,0.0640741527087129,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0046032","ADP catabolic process","4/99","99/18805",0.0404040404040404,7.67472706866646,NA,0.00185589459159168,0.0682700360807379,0.0640741527087129,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0006754","ATP biosynthetic process","4/99","100/18805",0.0404040404040404,7.5979797979798,NA,0.00192550794955659,0.0682700360807379,0.0640741527087129,"ALDOA/NDUFS6/NDUFAB1/NDUFA1",4,"BP"
"GO:0019364","pyridine nucleotide catabolic process","4/99","101/18805",0.0404040404040404,7.52275227522752,NA,0.00199690980703044,0.0682700360807379,0.0640741527087129,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0009137","purine nucleoside diphosphate catabolic process","4/99","102/18805",0.0404040404040404,7.44899980194098,NA,0.00207012367470624,0.0682700360807379,0.0640741527087129,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0009181","purine ribonucleoside diphosphate catabolic process","4/99","102/18805",0.0404040404040404,7.44899980194098,NA,0.00207012367470624,0.0682700360807379,0.0640741527087129,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0072526","pyridine-containing compound catabolic process","4/99","104/18805",0.0404040404040404,7.30574980574981,NA,0.00222208112788515,0.0691617015996638,0.0649110163740138,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0009191","ribonucleoside diphosphate catabolic process","4/99","105/18805",0.0404040404040404,7.23617123617124,NA,0.00230087136949729,0.0691617015996638,0.0649110163740138,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0046031","ADP metabolic process","4/99","105/18805",0.0404040404040404,7.23617123617124,NA,0.00230087136949729,0.0691617015996638,0.0649110163740138,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0009134","nucleoside diphosphate catabolic process","4/99","108/18805",0.0404040404040404,7.03516647961092,NA,0.0025487664102715,0.0705462131414432,0.0662104356953987,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0000422","autophagy of mitochondrion","4/99","116/18805",0.0404040404040404,6.54998258446534,NA,0.00329835776445914,0.0823805085181587,0.0773173940727303,"STUB1/TOMM7/MAP1LC3A/TSPO",4,"BP"
"GO:0009135","purine nucleoside diphosphate metabolic process","4/99","117/18805",0.0404040404040404,6.49399982733316,NA,0.00340151777107236,0.0823805085181587,0.0773173940727303,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0009179","purine ribonucleoside diphosphate metabolic process","4/99","117/18805",0.0404040404040404,6.49399982733316,NA,0.00340151777107236,0.0823805085181587,0.0773173940727303,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0007006","mitochondrial membrane organization","4/99","120/18805",0.0404040404040404,6.33164983164983,NA,0.00372414446546829,0.0888065218688593,0.0833484639882945,"TOMM6/CHCHD10/TOMM7/ALKBH7",4,"BP"
"GO:0006090","pyruvate metabolic process","4/99","127/18805",0.0404040404040404,5.98266125825181,NA,0.00455640197421792,0.0994707473244757,0.0933572650610699,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0009185","ribonucleoside diphosphate metabolic process","4/99","128/18805",0.0404040404040404,5.93592171717172,NA,0.00468468863734696,0.100850935942886,0.0946526271463962,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0009154","purine ribonucleotide catabolic process","4/99","130/18805",0.0404040404040404,5.84459984459984,NA,0.00494851453855042,0.105071199106208,0.098613512505792,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0009132","nucleoside diphosphate metabolic process","4/99","134/18805",0.0404040404040404,5.67013417759687,NA,0.00550574557635756,0.112935699137127,0.105994659563674,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0070585","protein localization to mitochondrion","4/99","135/18805",0.0404040404040404,5.62813318368874,NA,0.00565133253108837,0.113760589911519,0.106768852467042,"TOMM6/ISG15/TOMM7/TSPO",4,"BP"
"GO:0009261","ribonucleotide catabolic process","4/99","136/18805",0.0404040404040404,5.58674985145573,NA,0.00579947064252824,0.11378708222682,0.106793716561946,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0006195","purine nucleotide catabolic process","4/99","139/18805",0.0404040404040404,5.46617251653223,NA,0.00625938593662902,0.121275602522187,0.113821991637122,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0034614","cellular response to reactive oxygen species","4/99","149/18805",0.0404040404040404,5.09931530065758,NA,0.00796607249157604,0.138734970358909,0.130208304948056,"TREX1/MB/ENDOG/MAP1LC3A",4,"BP"
"GO:0072523","purine-containing compound catabolic process","4/99","156/18805",0.0404040404040404,4.87049987049987,NA,0.00932682621597357,0.149905210932803,0.140692021398393,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0009166","nucleotide catabolic process","4/99","162/18805",0.0404040404040404,4.69011098640728,NA,0.0106070912640108,0.155103693011479,0.145571004238956,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0036294","cellular response to decreased oxygen levels","4/99","163/18805",0.0404040404040404,4.66133729937411,NA,0.0108309500145555,0.156457390386576,0.146841503235483,"ENDOG/AQP3/MAP1LC3A/NDNF",4,"BP"
"GO:0016052","carbohydrate catabolic process","4/99","179/18805",0.0404040404040404,4.24468145138536,NA,0.014835108830119,0.194867954971903,0.182891350608604,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0071453","cellular response to oxygen levels","4/99","179/18805",0.0404040404040404,4.24468145138536,NA,0.014835108830119,0.194867954971903,0.182891350608604,"ENDOG/AQP3/MAP1LC3A/NDNF",4,"BP"
"GO:0006839","mitochondrial transport","4/99","183/18805",0.0404040404040404,4.15190152895071,NA,0.0159641155574392,0.206203159283589,0.193529892108605,"TOMM6/CHCHD10/TOMM7/ALKBH7",4,"BP"
"GO:1901292","nucleoside phosphate catabolic process","4/99","184/18805",0.0404040404040404,4.12933684672815,NA,0.0162545804928764,0.206513112819331,0.193820795868465,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:0016241","regulation of macroautophagy","4/99","191/18805",0.0404040404040404,3.97799989423026,NA,0.0183810575122569,0.230939662016876,0.216746086864056,"NUPR1/STUB1/TOMM7/TSPO",4,"BP"
"GO:0031396","regulation of protein ubiquitination","4/99","201/18805",0.0404040404040404,3.78008945173124,NA,0.0217069818281792,0.260820324292076,0.244790280591952,"ISG15/STUB1/TSPO/BEX2",4,"BP"
"GO:0010810","regulation of cell-substrate adhesion","4/99","224/18805",0.0404040404040404,3.39195526695527,NA,0.0306840520261444,0.334931553806506,0.314346626390894,"GCNT2/UTRN/NDNF/NPNT",4,"BP"
"GO:0051648","vesicle localization","4/99","224/18805",0.0404040404040404,3.39195526695527,NA,0.0306840520261444,0.334931553806506,0.314346626390894,"KIFC2/SDC1/BICDL2/TPGS1",4,"BP"
"GO:0042445","hormone metabolic process","4/99","240/18805",0.0404040404040404,3.16582491582492,NA,0.0380489966722053,0.387999637117883,0.364153139896037,"STUB1/SELENOM/TSPO/DPP4",4,"BP"
"GO:0034599","cellular response to oxidative stress","4/99","254/18805",0.0404040404040404,2.99133062912591,NA,0.0452580071712881,0.428352879586935,0.402026267972254,"TREX1/MB/ENDOG/MAP1LC3A",4,"BP"
"GO:1901136","carbohydrate derivative catabolic process","4/99","258/18805",0.0404040404040404,2.94495341006969,NA,0.0474490492032313,0.428352879586935,0.402026267972254,"TREX1/PGAM2/NUPR1/ALDOA",4,"BP"
"GO:1901524","regulation of mitophagy","3/99","46/18805",0.0303030303030303,12.3880105401845,NA,0.00182319129457232,0.0682700360807379,0.0640741527087129,"STUB1/TOMM7/TSPO",3,"BP"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","3/99","51/18805",0.0303030303030303,11.1734997029115,NA,0.00245412489547194,0.0691617015996638,0.0649110163740138,"NDUFS6/NDUFAB1/NDUFA1",3,"BP"
"GO:1903146","regulation of autophagy of mitochondrion","3/99","51/18805",0.0303030303030303,11.1734997029115,NA,0.00245412489547194,0.0691617015996638,0.0649110163740138,"STUB1/TOMM7/TSPO",3,"BP"
"GO:0030490","maturation of SSU-rRNA","3/99","54/18805",0.0303030303030303,10.5527497194164,NA,0.00288993861914907,0.0734328665521485,0.0689196750934256,"RPS28/RPS21/TSR3",3,"BP"
"GO:0097300","programmed necrotic cell death","3/99","61/18805",0.0303030303030303,9.3417784401391,NA,0.00408342220845742,0.0944672301956567,0.0886612646046842,"NUPR1/ALKBH7/TSPO",3,"BP"
"GO:0010257","NADH dehydrogenase complex assembly","3/99","63/18805",0.0303030303030303,9.04521404521405,NA,0.00447161083162648,0.0990142398431577,0.092928814576057,"NDUFAF8/NDUFAB1/NDUFA1",3,"BP"
"GO:0032981","mitochondrial respiratory chain complex I assembly","3/99","63/18805",0.0303030303030303,9.04521404521405,NA,0.00447161083162648,0.0990142398431577,0.092928814576057,"NDUFAF8/NDUFAB1/NDUFA1",3,"BP"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","3/99","68/18805",0.0303030303030303,8.3801247771836,NA,0.00553749234478818,0.112935699137127,0.105994659563674,"NDUFS6/NDUFAB1/NDUFA1",3,"BP"
"GO:1903578","regulation of ATP metabolic process","3/99","76/18805",0.0303030303030303,7.49800637958533,NA,0.00753643324138294,0.135521619793814,0.127192447236028,"TREX1/NUPR1/TSPO",3,"BP"
"GO:0015986","proton motive force-driven ATP synthesis","3/99","77/18805",0.0303030303030303,7.40062967335695,NA,0.00781242452193744,0.137605204647762,0.129147974752602,"NDUFS6/NDUFAB1/NDUFA1",3,"BP"
"GO:0031397","negative regulation of protein ubiquitination","3/99","79/18805",0.0303030303030303,7.2132719601074,NA,0.00838215695650364,0.142773003105282,0.133998159790492,"ISG15/TSPO/BEX2",3,"BP"
"GO:1900542","regulation of purine nucleotide metabolic process","3/99","87/18805",0.0303030303030303,6.54998258446534,NA,0.0109015472011292,0.156457390386576,0.146841503235483,"TREX1/NUPR1/TSPO",3,"BP"
"GO:0006140","regulation of nucleotide metabolic process","3/99","88/18805",0.0303030303030303,6.47555096418733,NA,0.0112439051840234,0.159890394818681,0.150063514865478,"TREX1/NUPR1/TSPO",3,"BP"
"GO:0034644","cellular response to UV","3/99","91/18805",0.0303030303030303,6.26207126207126,NA,0.0123080413301573,0.171869045601296,0.161305956550758,"TREX1/RPL26/COPS9",3,"BP"
"GO:0032526","response to retinoic acid","3/99","106/18805",0.0303030303030303,5.3759291023442,NA,0.0184751729613501,0.230939662016876,0.216746086864056,"OVCA2/AQP3/CD38",3,"BP"
"GO:0006626","protein targeting to mitochondrion","3/99","108/18805",0.0303030303030303,5.27637485970819,NA,0.0194052642638177,0.24062527687134,0.225836422842915,"TOMM6/TOMM7/TSPO",3,"BP"
"GO:0006939","smooth muscle contraction","3/99","110/18805",0.0303030303030303,5.18044077134986,NA,0.0203608953915128,0.24849911698303,0.233226335939252,"STUB1/NPNT/CD38",3,"BP"
"GO:0033108","mitochondrial respiratory chain complex assembly","3/99","122/18805",0.0303030303030303,4.67088922006955,NA,0.0266318403462848,0.305772981753641,0.286980143146711,"NDUFAF8/NDUFAB1/NDUFA1",3,"BP"
"GO:0071482","cellular response to light stimulus","3/99","122/18805",0.0303030303030303,4.67088922006955,NA,0.0266318403462848,0.305772981753641,0.286980143146711,"TREX1/RPL26/COPS9",3,"BP"
"GO:0010811","positive regulation of cell-substrate adhesion","3/99","126/18805",0.0303030303030303,4.52260702260702,NA,0.0289265749111122,0.324899935595826,0.304931552457339,"UTRN/NDNF/NPNT",3,"BP"
"GO:0072655","establishment of protein localization to mitochondrion","3/99","127/18805",0.0303030303030303,4.48699594368886,NA,0.0295161758692629,0.32913721293063,0.308908406295504,"TOMM6/TOMM7/TSPO",3,"BP"
"GO:0097237","cellular response to toxic substance","3/99","135/18805",0.0303030303030303,4.22109988776655,NA,0.0344611089954868,0.360910263128409,0.338728681591485,"MB/LTC4S/PTPN13",3,"BP"
"GO:0051592","response to calcium ion","3/99","139/18805",0.0303030303030303,4.09962938739917,NA,0.0370847281127622,0.384678627422584,0.361036239794914,"ENDOG/AQP3/SDC1",3,"BP"
"GO:0010508","positive regulation of autophagy","3/99","156/18805",0.0303030303030303,3.6528749028749,NA,0.0493383434598996,0.428352879586935,0.402026267972254,"ENDOG/STUB1/TOMM7",3,"BP"
"GO:0071456","cellular response to hypoxia","3/99","156/18805",0.0303030303030303,3.6528749028749,NA,0.0493383434598996,0.428352879586935,0.402026267972254,"ENDOG/AQP3/NDNF",3,"BP"
"GO:0044571","[2Fe-2S] cluster assembly","2/99","11/18805",0.0202020202020202,34.5362718089991,NA,0.00146303892717207,0.0641179657977275,0.0601772690882577,"BOLA2/NDUFAB1",2,"BP"
"GO:0035933","glucocorticoid secretion","2/99","13/18805",0.0202020202020202,29.2229992229992,NA,0.00206066131893831,0.0682700360807379,0.0640741527087129,"SELENOM/TSPO",2,"BP"
