"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0003012","muscle system process","112/2448","467/18805",0.0457516339869281,1.84231151418455,NA,4.84737997244976e-11,2.12453739363941e-08,1.57448732939722e-08,"PGAM2/PDLIM5/TRPM4/COMP/CACNA1D/PPP3CA/NEDD4L/UCN/ADRA2A/ADRB2/CCDC78/GRK2/EZH2/PDE9A/DSC2/PABPN1/CAMK2B/KLF15/MYL5/ATP8A2/KCNN2/F2R/ALDOA/P2RX2/DRD2/SCN7A/NMUR1/CAMK2G/IGFBP5/SLMAP/SCN4B/TBX2/ABCC9/NOTCH1/SULF1/NR4A3/IL6ST/CACNA2D1/TMOD1/TIAM1/RGS2/GPER1/COL6A1/SORBS2/DMPK/CACNA1H/COL14A1/KCNH2/SULF2/PRKG1/ACACB/ANK2/GJC1/GSN/KCNMA1/MEIS1/SLC8A1/CALM1/SGCA/GATA5/DTNA/FBXO32/APBB1/KCNJ5/PPP1R12B/ADRA1A/SSPN/SMTN/EDNRB/ASB2/EDN3/PRKCA/LARGE1/DMD/TPM1/CYBA/ITGA2/KCNJ8/P2RX1/PLN/ASPH/STAC2/ATP1B1/MYOCD/PDE5A/ANXA6/KIT/CALD1/EDNRA/PI16/SYNM/ATP1A2/STAC/GNAO1/ATP2B4/TPM2/MYOF/CD38/FLNA/KCNJ3/MYL9/LMOD1/ACTA2/PTGS2/DES/CNN1/CAV1/GATM/CRYAB/GJA1/MYLK/MYH11",112,"BP"
"GO:0042060","wound healing","111/2448","450/18805",0.045343137254902,1.89483932461874,NA,9.27727780664e-12,8.13219666022043e-09,6.02674287589245e-09,"GP1BB/CLDN3/APOE/COMP/TMEFF2/PPP3CA/SYT7/F5/SCARB1/ERBB3/CORO1B/ADRA2A/F12/CHMP4C/SCRIB/DGKD/ALOX15/EVPL/VAV2/SLC12A2/PDIA2/SLC7A11/PDIA3/MIA3/XBP1/PTPRJ/CLDN4/PPIA/F2R/SRSF6/ITGB1/PDGFRA/F7/SDC4/PROCR/ANGPTL2/TIMP1/AXL/FGF10/IL6ST/CD44/PAK1/ACVRL1/TLN1/KDR/FGF2/CD59/KRT6A/DCBLD2/PTEN/KANK1/NFE2L2/ODAM/PRKG1/EMILIN1/FERMT1/CLDN1/PLAU/PLPP3/PLAT/TGFB2/ITGA5/HSPB1/CX3CL1/FZD7/F10/VAV3/YAP1/DST/AJUBA/SYT11/GAS6/ITGB6/SERPING1/DUOX2/FN1/PRRG4/PRKCA/NPR2/TPM1/VCL/PDPN/ANGPTL1/ITGA2/P2RX1/FBLN1/ARHGEF19/ITGB3/MCAM/CD40/FERMT2/DDR2/ANO6/CNN2/ANO5/SERPINF2/WFDC1/PLA2G4A/ANXA1/ANXA2/CSRP1/DUOX1/NDNF/MYOF/C1QTNF1/FLNA/MYL9/CAV1/ANGPT1/MYLK/HBB",111,"BP"
"GO:0048732","gland development","110/2448","451/18805",0.0449346405228758,1.87360513311015,NA,2.4235417868975e-11,1.35189567312755e-08,1.0018852171672e-08,"HPN/FASN/NKX3-1/HOXB13/FOXA1/RAP1GAP/ALDH1A3/TBX1/ESRP2/NME1/AR/MESP1/HK2/APLN/SCRIB/ZBTB7B/MT-CO2/EZH2/LSR/MPST/FGL1/CCNB2/NKX2-3/HOXA9/SIX1/PPDPF/INSM1/INHBB/HIPK2/LBH/EPHB3/FKBP4/XBP1/SIX4/POLB/MSX1/RPS6KA1/TSPO/PAX8/DRD2/PDGFRA/IGFBP5/TBX2/PITX1/NOTCH1/FGF10/SULF1/TWSG1/UCP2/BMP4/WNT10A/FGF2/SLC7A5/ISL1/BMP2/SFRP1/HOXA13/SULF2/HOXB9/FOXC1/NTN1/STAT6/FOXF1/PERP/TGFBR2/CLDN1/GLI3/TGFB2/MSN/HOXB3/NR3C1/TNC/RCBTB2/PBX1/RARG/CDKN1C/BCL2/MET/ID2/SOX2/MMP2/LIMS2/FGF7/LMO4/PTN/ITGA2/FGFR1/ROBO1/BMP7/CDO1/SOSTDC1/NTN4/TGFBR3/ASS1/EDNRA/ALDH1A2/TGFB3/RGN/EPHA2/DKK3/HOXD13/SERPINB5/SNAI2/GATA3/SERPINF1/TP63/CAV1/FGFR2/GJA1/ID4",110,"BP"
"GO:0006935","chemotaxis","110/2448","466/18805",0.0449346405228758,1.81329595500575,NA,1.9819781913629e-10,6.03717908797662e-08,4.47413258424124e-08,"TRPM4/THBS4/PLA2G7/RAC3/FFAR2/CORO1B/CCL18/PLXNB3/SLIT1/SCRIB/PPIB/STK39/CXCL10/SLC12A2/TRPM2/RPL13A/RPS19/CXCL11/PTPRJ/ARHGEF16/PPIA/HSD3B7/C1QBP/PLXNA3/CXCL9/MMP28/CCL28/PDGFRA/F7/DPP4/SEMA3E/COLEC10/NOTCH1/DUSP1/PARVA/FGF10/PLD1/KDR/BMP4/CX3CR1/FGF2/TIAM1/NTF3/L1CAM/PLEKHG5/ITGA1/EFNA5/CXCL6/CXCR1/HOXB9/NBL1/NTN1/PERP/EPHB1/PADI2/ENPP2/PLAU/SEMA3D/PIK3C2G/ACKR3/TGFB2/APP/CAMK1D/HSPB1/CX3CL1/CXCL12/VAV3/SEMA3B/SLIT2/SEMA5A/ITGA9/MET/GAS6/EDNRB/NRP2/EDN3/MMP2/SLIT3/CCL21/FGF7/PTN/ITGA2/AMOT/RARRES2/FGFR1/S100A12/PDGFD/ROBO1/ITGB3/ADGRA2/ANO6/JAM3/S100A4/KIT/PGF/ANXA1/S100A9/CXCL13/LPAR1/FLRT3/EPHA2/CXCL17/S100A8/LGALS3/PLP2/CXCR2/LGR6/DEFB1/ANGPT1/S100A14",110,"BP"
"GO:0042330","taxis","110/2448","468/18805",0.0449346405228758,1.80554682699291,NA,2.59285388273297e-10,6.91728322802152e-08,5.12637472467113e-08,"TRPM4/THBS4/PLA2G7/RAC3/FFAR2/CORO1B/CCL18/PLXNB3/SLIT1/SCRIB/PPIB/STK39/CXCL10/SLC12A2/TRPM2/RPL13A/RPS19/CXCL11/PTPRJ/ARHGEF16/PPIA/HSD3B7/C1QBP/PLXNA3/CXCL9/MMP28/CCL28/PDGFRA/F7/DPP4/SEMA3E/COLEC10/NOTCH1/DUSP1/PARVA/FGF10/PLD1/KDR/BMP4/CX3CR1/FGF2/TIAM1/NTF3/L1CAM/PLEKHG5/ITGA1/EFNA5/CXCL6/CXCR1/HOXB9/NBL1/NTN1/PERP/EPHB1/PADI2/ENPP2/PLAU/SEMA3D/PIK3C2G/ACKR3/TGFB2/APP/CAMK1D/HSPB1/CX3CL1/CXCL12/VAV3/SEMA3B/SLIT2/SEMA5A/ITGA9/MET/GAS6/EDNRB/NRP2/EDN3/MMP2/SLIT3/CCL21/FGF7/PTN/ITGA2/AMOT/RARRES2/FGFR1/S100A12/PDGFD/ROBO1/ITGB3/ADGRA2/ANO6/JAM3/S100A4/KIT/PGF/ANXA1/S100A9/CXCL13/LPAR1/FLRT3/EPHA2/CXCL17/S100A8/LGALS3/PLP2/CXCR2/LGR6/DEFB1/ANGPT1/S100A14",110,"BP"
"GO:0048568","embryonic organ development","109/2448","457/18805",0.0445261437908497,1.8321972297307,NA,1.25079066761465e-10,4.51461855087264e-08,3.345768225446e-08,"HPN/SLC44A4/ALDH1A3/TBX1/LRIG1/TPRN/ST14/MESP1/HOXC4/SCRIB/GRHL2/DVL1/DLX2/RPL38/PPP1R35/HOXA9/MYO6/OTX1/SIX1/SPINT1/COL2A1/GSC/HIPK2/TWIST1/KRT8/ATP8A2/CTHRC1/MICAL2/SLC39A3/SIX4/FOXL2/MSX1/PAX8/RUNX2/EPAS1/PDGFRA/SPARC/TBX2/NOTCH1/FGF10/KDR/BMP4/HOXB5/HOXA7/RNF112/EYA1/ASCL2/NES/PLCD3/HOXB9/FOXF2/HOXD11/FOXC1/NTN1/FOXF1/TGFBR2/TEAD1/HOXB6/SIX2/OSR2/RSPO3/GLI3/ZEB1/TGFB2/HOXB3/HOXB7/SPRY2/PBX1/HOXD10/YAP1/RARG/SOCS3/CDKN1C/RBPMS2/FOXI1/PRRX1/ZFP36L1/CHST11/ID2/RARB/ASB2/KRT19/VANGL2/TBX4/HOXB8/ITGA8/RARRES2/FGFR1/HOXB2/KITLG/BMP7/MMP14/SOX15/KIT/FOLR1/EDNRA/ALDH1A2/NDRG4/GJB5/RBP4/BMP5/TGFB3/EPHA2/SLITRK6/ID3/EFEMP1/GATA3/FGFR2/GJA1",109,"BP"
"GO:0050673","epithelial cell proliferation","107/2448","488/18805",0.0437091503267974,1.68432494240866,NA,2.57654824840593e-08,3.59311364823154e-06,2.66284412275445e-06,"HPN/OR51E2/NKX3-1/RAP1GAP/THBS4/APOE/TBX1/ESRP2/MYC/NME1/SCARB1/AR/NUPR1/PLXNB3/APLN/SPINK1/TACSTD2/POLD4/FGL1/NKX2-3/SIX1/TWIST1/MYDGF/WDR13/MAGED1/XBP1/SIX4/FMC1/RPS6KA1/NME2/SRSF6/HSPG2/SGPP2/RUNX2/DRD2/LAMB1/IGFBP5/SPARC/TBX2/NOTCH1/FGF10/SULF1/NR4A3/ECM1/ACVRL1/KDR/ATOH8/BMP4/FGF2/DAB2IP/EYA1/SFRP1/ZEB2/ODAM/SULF2/FUT2/STAT6/TGM1/CDH3/PROK1/FERMT1/CLDN1/FGFBP1/OSR2/COL8A2/VSTM4/ZEB1/TGFB2/C1orf54/IGFBP4/FZD7/CXCL12/YAP1/SEMA5A/CDKN1C/ZFP36L1/NGFR/ID2/EDNRB/NRP2/SOX2/PRKCA/FST/LIMS2/FGF7/PTN/FGFR1/ROBO1/ITGB3/MMP14/TGFBR3/KIT/MCC/CAV2/ALDH1A2/KRT4/BMP5/RGN/EPHA2/SERPINB1/SERPINB5/SNAI2/GATA3/SERPINF1/TP63/CAV1/FGFR2",107,"BP"
"GO:0007389","pattern specification process","104/2448","476/18805",0.042483660130719,1.67837232932389,NA,4.88074667984874e-08,5.87220816226508e-06,4.35187320060817e-06,"DLX1/NKX3-1/SIM2/FOXA1/HES4/TBX1/HOXC6/TDRD1/IRX4/BMPR1B/DNAH5/LFNG/MESP1/HOXC4/KAT2A/DVL1/DLX2/PCSK6/IRX2/FOXD1/HOXA9/NCLN/OTX1/SIX1/GSC/HIPK2/PLD6/HES6/ZBTB16/MICAL2/NLE1/RFNG/MSX1/SHROOM3/PAX8/TBX5/CFC1/TBX2/NOTCH1/DCHS1/PGAP1/FGF10/NKD1/ACVRL1/BMP4/FGF2/MID1/HOXB5/ISL1/HOXA7/CYP26B1/SMARCD3/BMP2/EYA1/SFRP1/HOXB9/NBL1/HOXD11/FOXC1/FOXF1/TGFBR2/HOXB6/SIX2/OSR2/BTG2/MEIS1/CELSR2/PLXNA2/GLI3/ZEB1/HOXB3/GATA5/HOXB7/PBX1/HOXD10/RARG/GPR161/NRP2/DKK1/ASB2/FST/VANGL2/HOXB8/ETS2/FGFR1/EMX2/ASPH/HOXB2/ROBO1/BMP7/DAAM2/LRP4/SOSTDC1/MEIS2/FOLR1/ALDH1A2/NDRG4/BMP5/EFNB1/HOXD13/TP63/CHRDL1/FGFR2/GJA1",104,"BP"
"GO:0031589","cell-substrate adhesion","103/2448","361/18805",0.0420751633986928,2.19175470280448,NA,2.8222530831322e-15,1.73173449180992e-11,1.28338245464538e-11,"RAC3/SPOCK1/BCAM/CAMSAP3/APOD/P4HB/TACSTD2/ALOX15/MICALL2/ADAM15/EPHB3/PTPRJ/CDKN2A/C1QBP/MYO1G/CIB1/ABI3BP/EGFL6/GCNT2/CCL28/ITGB1/LAMB1/SDC4/SEMA3E/NOTCH1/AXL/PARVA/CD44/ACVRL1/TLN1/KDR/TIAM1/ATP1B2/L1CAM/COL13A1/PTEN/PEAK1/HOXA7/KANK1/SFRP1/ITGA1/CORO2B/EFNA5/MUC4/EMILIN1/ACTN1/FOXF1/FERMT1/EPHB1/ITGA7/PLAU/ITGA5/GBP1/PIK3R1/HACD1/CX3CL1/FZD7/CORO1C/NID1/EPHA3/AJUBA/ITGA9/BCL2/FAT2/GPM6B/GAS6/ITGB6/SGCE/LYVE1/FN1/VIT/ITGB8/ITGA3/CCDC80/VCL/CCL21/LIMS2/PDPN/ITGA2/FBLN1/ITGA8/ANTXR1/TRIP6/EDIL3/RRAS/ITGB3/MMP14/CEACAM6/FERMT2/PLEKHA2/NTN4/SORBS1/JAM3/ITGB4/MSLN/ANXA2/EFEMP2/FAM107A/NDNF/FLNA/OLFM4/COL17A1/ANGPT1",103,"BP"
"GO:0016049","cell growth","103/2448","492/18805",0.0420751633986928,1.60817773925288,NA,5.04649349141873e-07,3.82287457572164e-05,2.83311915307718e-05,"HPN/PDLIM5/SLC44A4/APOE/SPOCK1/NEDD4L/SLC25A33/UCN/DNPH1/SLIT1/ALCAM/DVL1/CCDC85B/EXOSC4/ADAM15/RACK1/ATAD3A/RNF157/SMARCA4/MLST8/SYT17/BRAT1/FBP1/XBP1/DCAF13/PTPRJ/CDKN2A/FOXL2/PLXNA3/MSX1/RPS6KA1/LAMTOR2/IFRD1/EIF4G1/OGFR/CIB1/DCUN1D5/ITGB1/SYT1/TSPYL2/IGFBP5/NDN/TMEM108/RASAL1/ACVRL1/DACT3/DCBLD2/TIAM1/LTBP4/RGS2/L1CAM/SORBS2/SFRP1/EFNA5/COL14A1/PRKG1/NTN1/TGFBR2/TEAD1/MEIS1/RERG/TGFB2/APP/RND2/CPNE6/S100B/IGFBP4/TNC/CXCL12/SEMA6D/YAP1/SLIT2/RARG/SEMA5A/NLGN3/ADRA1A/BCL2/NRP2/FN1/EDN3/NPR2/SLIT3/VCL/SGK1/ACSL4/MYOCD/MMP14/EDNRA/PI16/WFDC1/MAP1B/S100A9/FLRT3/FAM107A/FHL1/S100A8/CD38/MFSD2A/KRT17/SCGB3A1/CRYAB/GJA1/CRABP2",103,"BP"
