"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0022613","ribonucleoprotein complex biogenesis","68/1127","494/18805",0.0603371783496007,2.29684339851061,NA,1.06676832478451e-10,1.11370613107503e-07,1.05284419086101e-07,"ZNF593/UTP14C/BOP1/RPL26/RPS15/RPS17/RRS1/RPS15A/RPS28/NOP16/EXOSC4/EIF3B/RPL38/RPS3A/RPS24/RPS21/RPL7A/RPL35A/RPLP0/RUVBL1/RSRP1/RPUSD1/BYSL/NHP2/MRPS2/RPS7/LAS1L/RPL13A/RRP9/RPS8/EXOSC5/RPL7/EIF2S3/SNRPF/MYBBP1A/NPM3/GAR1/RPS19/RPS16/RPL24/RPL14/MCAT/EIF3I/NOC2L/POP7/NLE1/DCAF13/CDKN2A/PPAN/RPL35/NPM1/C1QBP/RRP1/NOL6/RPP40/RPSA/RPL11/TXNL4A/MRTO4/YBEY/NSUN5/RPF2/NOA1/RPL27/RPS27A/SRSF6/DKC1/NOP56",68,"BP"
"GO:0042254","ribosome biogenesis","59/1127","317/18805",0.0523513753327418,3.10557606666312,NA,4.77876165335381e-15,1.24725679152535e-11,1.17909655952225e-11,"ZNF593/UTP14C/BOP1/RPL26/RPS15/RPS17/RRS1/RPS15A/RPS28/NOP16/EXOSC4/RPL38/RPS3A/RPS24/RPS21/RPL7A/RPL35A/RPLP0/RPUSD1/BYSL/NHP2/MRPS2/RPS7/LAS1L/RRP9/RPS8/EXOSC5/RPL7/MYBBP1A/NPM3/GAR1/RPS19/RPS16/RPL24/RPL14/MCAT/NOC2L/POP7/NLE1/DCAF13/CDKN2A/PPAN/RPL35/NPM1/C1QBP/RRP1/NOL6/RPP40/RPSA/RPL11/MRTO4/YBEY/NSUN5/RPF2/NOA1/RPL27/RPS27A/DKC1/NOP56",59,"BP"
"GO:0002181","cytoplasmic translation","58/1127","169/18805",0.0514640638864241,5.726519061445,NA,5.25331667233153e-29,2.74223130295706e-25,2.59237353262002e-25,"RPL22L1/RPS2/RPL39/RPL26/RPL36/RPS15/RPS17/RPS15A/RPS28/RPL18A/RPL30/RPL23A/RPL12/RPS10/RPS26/EIF3B/RPL17/RPL37/RPL38/RPS3A/RPL29/RPL37A/RPL28/RPS24/PABPC1/RPS21/RPS29/RPL7A/RPL35A/RPS18/RPLP0/RACK1/RPL6/RPL31/RPS7/RPL13A/RPS8/RPL7/EIF2S3/RPS19/RPS16/RPL24/RPL8/RPL14/EIF3I/EEF1D/RPL36A/RPL32/RPL35/RPSA/RPL11/RPL18/EIF2B4/EIF4G1/RPL41/RPL27/RPS27A/RPL23",58,"BP"
"GO:0043603","amide metabolic process","47/1127","480/18805",0.0417036379769299,1.63382690032535,NA,0.000642288364978057,0.0553588409035397,0.0523335846250845,"ACSM1/FASN/PLA2G7/APOE/SLC19A1/CERS4/MCCC2/SMPDL3B/PLPP1/NUDT8/MPC2/ACSS1/SLC27A2/NAAA/ACACA/P4HB/NUDT19/PCSK6/NANS/ACSL3/ABCA2/AADAT/PCSK1N/SLC7A11/ACLY/SLC25A42/ABCG1/B4GALT3/MLST8/OPLAH/HACD2/HLCS/GGT1/MTHFD2/AMDHD2/CSNK1E/ELOVL7/ACSL1/DEGS1/AGMAT/RTN1/OXSM/ELOVL2/SMPD2/MGST2/SLC5A6/CBR4",47,"BP"
"GO:0016072","rRNA metabolic process","46/1127","265/18805",0.0408163265306122,2.89641894493647,NA,6.0893996764087e-11,7.94666657771336e-08,7.51239623236947e-08,"UTP14C/BOP1/MYC/RPL26/RPS15/RPS17/RRS1/RPS28/EXOSC4/RPS24/RPS21/RPL7A/RPL35A/RPUSD1/BYSL/NHP2/RPS7/GTF3C1/LAS1L/RRP9/SMARCA4/RPS8/EXOSC5/RPL7/NPM3/GAR1/RPS19/GTF3C6/RPS16/RPL14/POP7/DCAF13/CDKN2A/PPAN/RPL35/RRP1/NOL6/RPP40/RPL11/MRTO4/YBEY/NSUN5/RPF2/RPL27/DKC1/NOP56",46,"BP"
"GO:0006631","fatty acid metabolic process","45/1127","413/18805",0.0399290150842946,1.8180753720585,NA,7.76532827357839e-05,0.0161731321177442,0.0152893009413158,"TREX1/GDF15/ACSM1/AMACR/FASN/SLC45A3/APOC1/FABP5/NUDT8/FAAH/ACSS1/ABHD2/CYP2J2/SLC27A2/TRIB3/NAAA/CRAT/SLC27A4/ACACA/ECI2/NUDT19/ALOX15/ACSL3/SREBF1/LYPLA1/DECR2/TWIST1/ACLY/SLC27A5/HACD2/GGT1/ABHD12/CTHRC1/MCAT/DECR1/XBP1/PTGES2/ELOVL7/HSD17B10/ACSL1/SLC25A17/DEGS1/OXSM/ELOVL2/CBR4",45,"BP"
"GO:0140694","membraneless organelle assembly","45/1127","427/18805",0.0399290150842946,1.75846634346642,NA,0.000168051228015748,0.0265826487952183,0.0251299571591013,"MYBPC1/SMIM22/BOP1/MYBL2/AR/CENPX/BIRC5/CDC20/KAT2A/RPS15/CCDC78/TPX2/RRS1/CHMP4C/RPS28/RPL38/PPP1R35/RCC1/CCNB2/BICD1/KIFC1/SAC3D1/MRPS2/KRT8/RPS19/RPL24/CDCA8/MCAT/CENPA/CCDC57/KIF4A/DCAF13/SIX4/KIF9/CENPF/PLK1/NPM1/C1QBP/AURKB/RPSA/RPL11/MRTO4/SPAG5/RPF2/NOA1",45,"BP"
"GO:0051223","regulation of protein transport","43/1127","449/18805",0.0381543921916593,1.59798072419633,NA,0.0016483740383212,0.0921429902779907,0.0871075495912927,"OR51E2/TRPM4/APOE/TMEM132A/FFAR2/PPP3CA/SYT7/MPC2/CPLX1/SLC25A22/SOX4/APOD/ADRA2A/TXN/BAIAP3/ACSL3/SREBF1/CSK/LYPLA1/SLC12A2/INHBB/RACK1/FRAT2/SLC7A11/ABCG1/RHBDF1/B3GAT3/XBP1/RANGAP1/KCNJ11/CDKN2A/PPIA/MYRIP/ATP13A2/SERGEF/CDK1/SERP1/GOLPH3/F2R/PICK1/CEP131/ATP2C1/TENM1",43,"BP"
"GO:0051338","regulation of transferase activity","43/1127","463/18805",0.0381543921916593,1.54966165262236,NA,0.00293301638461138,0.127227276862353,0.120274546063866,"APOE/CAMKK2/TRIB1/EEF1A2/CBLC/RPS2/TRAF4/UBE2C/TRIB3/ADRA2A/CDC20/ADRB2/TPX2/UBE2S/CHTF18/EZH2/PTPRT/JTB/PABPN1/CHI3L1/PPM1E/RPS7/PTK6/MEN1/DTX3L/STRADB/MST1/CDKN3/AKT1S1/PTPRJ/CDKN2A/PNKP/MAP3K11/PPIA/PKMYT1/PLK1/NPM1/YWHAG/RPL11/CIB1/TRIM27/TENM1/RPL23",43,"BP"
"GO:0015711","organic anion transport","43/1127","469/18805",0.0381543921916593,1.5298365568532,NA,0.00370576819303063,0.141197882975328,0.133481684893796,"ABCC4/SLC44A4/APOE/SLC43A1/PLA2G2A/SLC19A1/SLC26A6/FABP5/SLC25A10/MPC2/SLC4A4/SERINC5/SLC25A22/SLC27A2/EMB/SLC37A1/SLC27A4/REPIN1/MFSD12/TTYH3/SLC25A39/SLC25A6/ACSL3/LYPLA1/SLC12A2/TMEM241/SLC13A3/SLC52A2/SLC7A11/SLC6A11/SLC25A42/SLC27A5/SLC7A1/SLC25A29/MFSD10/ACSL1/SLC25A17/SLC25A1/SLC26A1/SLC39A6/SLC35A2/SLC5A6/SFXN2",43,"BP"
