"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:1903522","regulation of blood circulation","9/106","269/18805",0.0849056603773585,5.93550536578523,NA,2.14922681462298e-05,0.0118186570231104,0.00975019921788328,"EDNRB/HTR1A/CAV3/LEP/HTR2A/EDNRA/SREBF1/EGFR/TMEM161B",9,"BP"
"GO:0051054","positive regulation of DNA metabolic process","9/106","293/18805",0.0849056603773585,5.44932062592569,NA,4.19488151623164e-05,0.0119112458198264,0.00982658346455025,"ANXA3/EYA4/CCT3/SMARCB1/HTR2A/TFRC/VEGFA/EGFR/PBRM1",9,"BP"
"GO:0001666","response to hypoxia","9/106","316/18805",0.0849056603773585,5.05269285884882,NA,7.50974701409944e-05,0.0158397894712774,0.0130675678812143,"CAV3/PHB2/LEP/TFRC/EDNRA/VEGFA/PDK3/PSEN2/GATA6",9,"BP"
"GO:0036293","response to decreased oxygen levels","9/106","330/18805",0.0849056603773585,4.83833619210978,NA,0.000104460114669158,0.0184267391934775,0.0152017591948954,"CAV3/PHB2/LEP/TFRC/EDNRA/VEGFA/PDK3/PSEN2/GATA6",9,"BP"
"GO:0070482","response to oxygen levels","9/106","358/18805",0.0849056603773585,4.45991883630231,NA,0.000192553398381764,0.0231750214545462,0.0191190145901262,"CAV3/PHB2/LEP/TFRC/EDNRA/VEGFA/PDK3/PSEN2/GATA6",9,"BP"
"GO:0050878","regulation of body fluid levels","9/106","388/18805",0.0849056603773585,4.1150797510212,NA,0.000348355564012451,0.031839698550738,0.0262672318267634,"PRRG3/CFTR/COL3A1/EDNRB/HTR2A/HSPB1/VEGFA/EGFR/AXL",9,"BP"
"GO:0002697","regulation of immune effector process","9/106","414/18805",0.0849056603773585,3.85664479081214,NA,0.00055680569837722,0.0424100340263982,0.0349875861348727,"TNFRSF4/B2M/TYROBP/PHB2/LEP/HTR2A/TFRC/LAPTM5/AXL",9,"BP"
"GO:0016032","viral process","9/106","421/18805",0.0849056603773585,3.79252005557298,NA,0.000627728421892996,0.0452559293485413,0.0373354033437043,"TNFRSF4/VPS37B/IFITM2/SMARCB1/HTR2A/TFRC/HDAC1/EGFR/AXL",9,"BP"
"GO:0010720","positive regulation of cell development","9/106","447/18805",0.0849056603773585,3.57192604786628,NA,0.000959002387758389,0.051560481318304,0.0425365558574361,"DCSTAMP/TYROBP/SMARCB1/HDAC1/VEGFA/PLXNC1/EGFR/PBRM1/AXL",9,"BP"
"GO:0043269","regulation of monoatomic ion transport","9/106","472/18805",0.0849056603773585,3.38273504956828,NA,0.00139983833682762,0.0581569199936566,0.0479785101410296,"CFTR/B2M/HTR1A/CAV3/PHB2/LEP/HTR2A/EDNRA/PSEN2",9,"BP"
