"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0003018","vascular process in circulatory system","11/101","278/18805",0.108910891089109,7.36715578032623,NA,2.96296111504001e-07,0.000803851350510354,0.000653410898527244,"LEP/TFRC/HTR2A/VEGFA/HTR1A/SLC28A2/EDNRB/SLC6A6/SLC1A2/EGFR/EDNRA",11,"BP"
"GO:0072594","establishment of protein localization to organelle","11/101","467/18805",0.108910891089109,4.38558738100791,NA,4.19084504921251e-05,0.00947480218209462,0.00770159682289492,"FAM53A/TSPAN17/TRAM1L1/VPS37B/SREBF1/LEP/PHB2/CCT3/CSE1L/LAPTM5/VPS54",11,"BP"
"GO:0043434","response to peptide hormone","11/101","494/18805",0.108910891089109,4.1458892852848,NA,6.94645640538283e-05,0.0127735120263652,0.0103829544668885,"SREBF1/LEP/FBP1/REG3A/INSIG1/AXL/COL3A1/EDNRB/LPIN2/EGFR/EDNRA",11,"BP"
"GO:0030900","forebrain development","10/101","413/18805",0.099009900990099,4.50818689617146,NA,7.59331666472384e-05,0.0127735120263652,0.0103829544668885,"GSX1/TYROBP/HDAC1/B2M/AXL/UBA6/COL3A1/ANXA3/SLC1A2/EGFR",10,"BP"
"GO:0009410","response to xenobiotic stimulus","10/101","453/18805",0.099009900990099,4.11011299805477,NA,0.000161941146872104,0.0183060971443341,0.0148801185393447,"GATA6/SREBF1/CRYZ/TFRC/FBP1/HTR2A/SLC28A2/ACSL1/SLC1A2/EGFR",10,"BP"
"GO:1903522","regulation of blood circulation","9/101","269/18805",0.0891089108910891,6.22934226508153,NA,1.45431769730781e-05,0.00854517917533958,0.00694595238222842,"CAV3/SREBF1/LEP/HTR2A/HTR1A/TMEM161B/EDNRB/EGFR/EDNRA",9,"BP"
"GO:0051054","positive regulation of DNA metabolic process","9/101","293/18805",0.0891089108910891,5.71908897374379,NA,2.85471002230792e-05,0.00947480218209462,0.00770159682289492,"TFRC/HTR2A/VEGFA/CCT3/SMARCB1/ANXA3/PBRM1/EYA4/EGFR",9,"BP"
"GO:0001666","response to hypoxia","9/101","316/18805",0.0891089108910891,5.30282616869282,NA,5.13837156346867e-05,0.0107233861936081,0.00871650884653187,"CAV3/GATA6/PSEN2/LEP/TFRC/PHB2/PDK3/VEGFA/EDNRA",9,"BP"
"GO:0036293","response to decreased oxygen levels","9/101","330/18805",0.0891089108910891,5.07785778577858,NA,7.1710643975652e-05,0.0127735120263652,0.0103829544668885,"CAV3/GATA6/PSEN2/LEP/TFRC/PHB2/PDK3/VEGFA/EDNRA",9,"BP"
"GO:0070482","response to oxygen levels","9/101","358/18805",0.0891089108910891,4.68070689750539,NA,0.000133059130110999,0.0168804869415821,0.0137213107038681,"CAV3/GATA6/PSEN2/LEP/TFRC/PHB2/PDK3/VEGFA/EDNRA",9,"BP"
"GO:0050878","regulation of body fluid levels","9/101","388/18805",0.0891089108910891,4.31879657037869,NA,0.000242422223529263,0.0241290461996214,0.0196133050568246,"HSPB1/PRRG3/HTR2A/VEGFA/AXL/COL3A1/EDNRB/CFTR/EGFR",9,"BP"
"GO:0002697","regulation of immune effector process","9/101","414/18805",0.0891089108910891,4.04756780025829,NA,0.00038984732367049,0.0293793274755011,0.0238809983359554,"TNFRSF4/LEP/TFRC/PHB2/HTR2A/TYROBP/B2M/LAPTM5/AXL",9,"BP"
"GO:0016032","viral process","9/101","421/18805",0.0891089108910891,3.98026857317561,NA,0.000440222806601432,0.0322790398462077,0.0262380307206259,"TNFRSF4/VPS37B/IFITM2/TFRC/HTR2A/SMARCB1/HDAC1/AXL/EGFR",9,"BP"
"GO:0010720","positive regulation of cell development","9/101","447/18805",0.0891089108910891,3.74875407003788,NA,0.000676631641236749,0.0390441282050141,0.0317370355557082,"VEGFA/SMARCB1/TYROBP/HDAC1/AXL/PBRM1/EGFR/DCSTAMP/PLXNC1",9,"BP"
"GO:0043269","regulation of monoatomic ion transport","9/101","472/18805",0.0891089108910891,3.55019718073502,NA,0.000993422126627268,0.0449192371589963,0.0365126202681426,"CAV3/PSEN2/LEP/PHB2/HTR2A/HTR1A/B2M/CFTR/EDNRA",9,"BP"
"GO:0050673","epithelial cell proliferation","9/101","488/18805",0.0891089108910891,3.43379727316994,NA,0.00125299588454652,0.0480859031799888,0.0390866460364625,"GATA6/LEP/PHB2/VEGFA/IGFBP4/REG3A/B2M/EDNRB/EGFR",9,"BP"
"GO:0048771","tissue remodeling","8/101","192/18805",0.0792079207920792,7.75783828382838,NA,9.17020849901195e-06,0.00829292521927314,0.00674090765102808,"LEP/TFRC/CST3/AXL/RSPO3/EGFR/DCSTAMP/EDNRA",8,"BP"
"GO:0019058","viral life cycle","8/101","295/18805",0.0792079207920792,5.04916932371203,NA,0.000190818339311509,0.0199111597904663,0.0161847943667049,"TNFRSF4/VPS37B/IFITM2/TFRC/HTR2A/SMARCB1/AXL/EGFR",8,"BP"
"GO:0051251","positive regulation of lymphocyte activation","8/101","337/18805",0.0792079207920792,4.41989599553427,NA,0.000465904634387351,0.0332631387656022,0.0270379559291274,"TNFRSF4/LEP/TFRC/SMARCB1/TYROBP/B2M/AXL/PBRM1",8,"BP"
"GO:0006605","protein targeting","8/101","339/18805",0.0792079207920792,4.39381991296475,NA,0.000484466560704224,0.0337014815177067,0.0273942630141795,"YIF1B/TRAM1L1/VPS37B/ZDHHC24/SREBF1/SSR2/LAPTM5/VPS54",8,"BP"
"GO:0071375","cellular response to peptide hormone stimulus","8/101","369/18805",0.0792079207920792,4.0365987818294,NA,0.00084283992021608,0.0424140723061868,0.0344762959945143,"SREBF1/LEP/FBP1/INSIG1/AXL/LPIN2/EGFR/EDNRA",8,"BP"
"GO:0002696","positive regulation of leukocyte activation","8/101","372/18805",0.0792079207920792,4.00404556584691,NA,0.000888056743904358,0.0424140723061868,0.0344762959945143,"TNFRSF4/LEP/TFRC/SMARCB1/TYROBP/B2M/AXL/PBRM1",8,"BP"
"GO:0050867","positive regulation of cell activation","8/101","392/18805",0.0792079207920792,3.79975752677309,NA,0.00124178410336626,0.0480859031799888,0.0390866460364625,"TNFRSF4/LEP/TFRC/SMARCB1/TYROBP/B2M/AXL/PBRM1",8,"BP"
"GO:0001701","in utero embryonic development","8/101","403/18805",0.0792079207920792,3.69604206078176,NA,0.00147961594455065,0.0514640776611015,0.0418325965429637,"GATA6/VEGFA/SMARCB1/VPS54/COL3A1/RSPO3/EGFR/EDNRA",8,"BP"
"GO:0050678","regulation of epithelial cell proliferation","8/101","410/18805",0.0792079207920792,3.63293890364646,NA,0.00164892428497667,0.0531747103712425,0.0432230850399647,"GATA6/LEP/PHB2/VEGFA/REG3A/B2M/EDNRB/EGFR",8,"BP"
"GO:0060537","muscle tissue development","8/101","446/18805",0.0792079207920792,3.33969719841939,NA,0.00277764762968338,0.0630186506015718,0.0512247358761103,"CAV3/GATA6/ADPRHL1/VEGFA/VPS54/COL3A1/EDNRA/SYNE1",8,"BP"
"GO:0042060","wound healing","8/101","450/18805",0.0792079207920792,3.31001100110011,NA,0.00293328143075695,0.0630186506015718,0.0512247358761103,"CAV3/HSPB1/PRRG3/HTR2A/VEGFA/REG3A/AXL/COL3A1",8,"BP"
"GO:0048732","gland development","8/101","451/18805",0.0792079207920792,3.30267173058769,NA,0.0029732352661265,0.0630186506015718,0.0512247358761103,"CAV3/GATA6/PHB2/GSX1/VEGFA/SMARCB1/EGFR/EDNRA",8,"BP"
"GO:0034762","regulation of transmembrane transport","8/101","478/18805",0.0792079207920792,3.11611914329508,NA,0.00422259029811002,0.0747397418663265,0.0607522296971517,"CAV3/PSEN2/LEP/PHB2/ACSL1/SLC1A2/CFTR/EDNRA",8,"BP"
"GO:0016049","cell growth","8/101","492/18805",0.0792079207920792,3.02744908637205,NA,0.00501279010528183,0.0778683526207302,0.0632953222264844,"CAV3/FBP1/VEGFA/IGFBP4/SGK1/EGFR/DCSTAMP/EDNRA",8,"BP"
"GO:0023061","signal release","8/101","497/18805",0.0792079207920792,2.99699185210272,NA,0.0053209595093393,0.0778683526207302,0.0632953222264844,"SREBF1/LEP/HTR2A/HTR1A/SYT5/EDNRB/CFTR/EGFR",8,"BP"
"GO:0045785","positive regulation of cell adhesion","8/101","499/18805",0.0792079207920792,2.98497986071152,NA,0.00544821657518284,0.0778683526207302,0.0632953222264844,"LEP/TFRC/HTR2A/VEGFA/SMARCB1/DENND6A/B2M/PBRM1",8,"BP"
"GO:0035296","regulation of tube diameter","7/101","156/18805",0.0693069306930693,8.3545950748921,NA,2.11571701174382e-05,0.00854517917533958,0.00694595238222842,"LEP/HTR2A/VEGFA/HTR1A/EDNRB/EGFR/EDNRA",7,"BP"
"GO:0097746","blood vessel diameter maintenance","7/101","156/18805",0.0693069306930693,8.3545950748921,NA,2.11571701174382e-05,0.00854517917533958,0.00694595238222842,"LEP/HTR2A/VEGFA/HTR1A/EDNRB/EGFR/EDNRA",7,"BP"
"GO:0035150","regulation of tube size","7/101","157/18805",0.0693069306930693,8.30138109352336,NA,2.20480111416797e-05,0.00854517917533958,0.00694595238222842,"LEP/HTR2A/VEGFA/HTR1A/EDNRB/EGFR/EDNRA",7,"BP"
"GO:0035051","cardiocyte differentiation","7/101","166/18805",0.0693069306930693,7.85130621495885,NA,3.15499763319433e-05,0.00947480218209462,0.00770159682289492,"CAV3/GATA6/ADPRHL1/VEGFA/EGFR/EDNRA/SYNE1",7,"BP"
"GO:0002700","regulation of production of molecular mediator of immune response","7/101","197/18805",0.0693069306930693,6.61582148062522,NA,9.3244379312726e-05,0.0140540000597459,0.0114237996877287,"TNFRSF4/TFRC/PHB2/HTR2A/B2M/LAPTM5/AXL",7,"BP"
"GO:0002440","production of molecular mediator of immune response","7/101","231/18805",0.0693069306930693,5.64206420642064,NA,0.00024902812148522,0.0241290461996214,0.0196133050568246,"TNFRSF4/TFRC/PHB2/HTR2A/B2M/LAPTM5/AXL",7,"BP"
"GO:0009743","response to carbohydrate","7/101","245/18805",0.0693069306930693,5.31966053748232,NA,0.000355592424767494,0.0285181393588357,0.0231809812236447,"SREBF1/LEP/FBP1/SMARCB1/REG3A/COLEC12/CFTR",7,"BP"
"GO:0032869","cellular response to insulin stimulus","7/101","260/18805",0.0693069306930693,5.01275704493526,NA,0.000507506596352939,0.0343083517642038,0.0278875577418694,"SREBF1/LEP/FBP1/INSIG1/AXL/LPIN2/EGFR",7,"BP"
"GO:0002699","positive regulation of immune effector process","7/101","270/18805",0.0693069306930693,4.82709937660433,NA,0.000634756802153338,0.0390441282050141,0.0317370355557082,"TNFRSF4/TFRC/PHB2/HTR2A/TYROBP/B2M/LAPTM5",7,"BP"
"GO:0001894","tissue homeostasis","7/101","272/18805",0.0693069306930693,4.79160599883518,NA,0.000663008519914665,0.0390441282050141,0.0317370355557082,"TFRC/VEGFA/SLC28A2/VPS54/COL3A1/EGFR/DCSTAMP",7,"BP"
"GO:0060249","anatomical structure homeostasis","7/101","272/18805",0.0693069306930693,4.79160599883518,NA,0.000663008519914665,0.0390441282050141,0.0317370355557082,"TFRC/VEGFA/SLC28A2/VPS54/COL3A1/EGFR/DCSTAMP",7,"BP"
"GO:0043122","regulation of canonical NF-kappaB signal transduction","7/101","300/18805",0.0693069306930693,4.3443894389439,NA,0.00117415376678192,0.0480859031799888,0.0390866460364625,"HSPB1/TFRC/VEGFA/FASLG/HDAC1/EDNRB/EDNRA",7,"BP"
"GO:0007249","canonical NF-kappaB signal transduction","7/101","318/18805",0.0693069306930693,4.09848060277726,NA,0.00163937791924483,0.0531747103712425,0.0432230850399647,"HSPB1/TFRC/VEGFA/FASLG/HDAC1/EDNRB/EDNRA",7,"BP"
"GO:0034504","protein localization to nucleus","7/101","322/18805",0.0693069306930693,4.04756780025829,NA,0.0017599684409313,0.0531747103712425,0.0432230850399647,"FAM53A/LEP/TFRC/PHB2/CCT3/CSE1L/SYNE1",7,"BP"
"GO:0032868","response to insulin","7/101","324/18805",0.0693069306930693,4.02258281383694,NA,0.00182279692758037,0.0531747103712425,0.0432230850399647,"SREBF1/LEP/FBP1/INSIG1/AXL/LPIN2/EGFR",7,"BP"
"GO:0022409","positive regulation of cell-cell adhesion","7/101","337/18805",0.0693069306930693,3.86740899609249,NA,0.00227484120490701,0.0587220450292862,0.0477322382820939,"LEP/TFRC/HTR2A/SMARCB1/DENND6A/B2M/PBRM1",7,"BP"
"GO:0048545","response to steroid hormone","7/101","338/18805",0.0693069306930693,3.85596695764251,NA,0.00231290194520068,0.0587220450292862,0.0477322382820939,"SREBF1/PHB2/HDAC1/VPS54/ANXA3/SGK1/EGFR",7,"BP"
"GO:0062012","regulation of small molecule metabolic process","7/101","347/18805",0.0693069306930693,3.75595628727138,NA,0.0026780365572865,0.0630186506015718,0.0512247358761103,"SREBF1/LEP/FBP1/HTR2A/PDK3/IGFBP4/INSIG1",7,"BP"
"GO:0030522","intracellular receptor signaling pathway","7/101","393/18805",0.0693069306930693,3.31632781598771,NA,0.00528342652976121,0.0778683526207302,0.0632953222264844,"SREBF1/LEP/NR6A1/PHB2/PDK3/HDAC1/COLEC12",7,"BP"
"GO:0046486","glycerolipid metabolic process","7/101","395/18805",0.0693069306930693,3.2995362827422,NA,0.00542890380504683,0.0778683526207302,0.0632953222264844,"CAV3/SREBF1/PHB2/HTR2A/ACSL1/INSIG1/LPIN2",7,"BP"
"GO:0001558","regulation of cell growth","7/101","410/18805",0.0693069306930693,3.17882154069065,NA,0.00661805598416949,0.0859197133617019,0.0698398740926787,"CAV3/FBP1/VEGFA/IGFBP4/SGK1/EGFR/DCSTAMP",7,"BP"
"GO:0001654","eye development","7/101","415/18805",0.0693069306930693,3.14052248598354,NA,0.00705464585719847,0.089019787025951,0.0723597702366257,"NPHP1/VEGFA/FASLG/HDAC1/CPAMD8/EGFR/NHS",7,"BP"
"GO:0150063","visual system development","7/101","419/18805",0.0693069306930693,3.11054136439897,NA,0.00741907932698885,0.0906664964600033,0.073698298672554,"NPHP1/VEGFA/FASLG/HDAC1/CPAMD8/EGFR/NHS",7,"BP"
"GO:0014706","striated muscle tissue development","7/101","423/18805",0.0693069306930693,3.08112726166234,NA,0.00779732114752961,0.0927812819002098,0.0754173028812306,"CAV3/GATA6/ADPRHL1/VEGFA/VPS54/EDNRA/SYNE1",7,"BP"
"GO:0048880","sensory system development","7/101","426/18805",0.0693069306930693,3.05942918235486,NA,0.00809024821190898,0.094201044630511,0.0765713575963375,"NPHP1/VEGFA/FASLG/HDAC1/CPAMD8/EGFR/NHS",7,"BP"
"GO:0042692","muscle cell differentiation","7/101","429/18805",0.0693069306930693,3.03803457268804,NA,0.00839124340351126,0.0968742270371321,0.0787442550071941,"CAV3/GATA6/ADPRHL1/VEGFA/EDNRB/EDNRA/SYNE1",7,"BP"
"GO:0043410","positive regulation of MAPK cascade","7/101","464/18805",0.0693069306930693,2.80887248207579,NA,0.0125421020921015,0.117317683307525,0.0953617267849788,"LEP/PHB2/HTR2A/VEGFA/IGFBP4/LAPTM5/EGFR",7,"BP"
"GO:0003012","muscle system process","7/101","467/18805",0.0693069306930693,2.79082833336867,NA,0.0129563378383372,0.118405593898888,0.0962460353534332,"CAV3/GATA6/LEP/HTR2A/VPS54/EDNRB/EDNRA",7,"BP"
"GO:0015711","organic anion transport","7/101","469/18805",0.0693069306930693,2.77892714644599,NA,0.0132379303364678,0.118405593898888,0.0962460353534332,"LEP/ACSL1/VPS54/SLC6A6/SLC1A2/CFTR/SLC13A5",7,"BP"
"GO:0016055","Wnt signaling pathway","7/101","477/18805",0.0693069306930693,2.73232040185151,NA,0.0144085679148562,0.120278291547707,0.0977682584020199,"IGFBP4/SENP2/HDAC1/EDNRB/RSPO3/EGFR/EDNRA",7,"BP"
"GO:1903829","positive regulation of protein localization","7/101","499/18805",0.0693069306930693,2.61185737812258,NA,0.0180086471794879,0.13686374583185,0.111249751689808,"LEP/TFRC/VEGFA/CCT3/TYROBP/CFTR/EGFR",7,"BP"
"GO:0042310","vasoconstriction","6/101","89/18805",0.0594059405940594,12.5520080097897,NA,8.37552998288169e-06,0.00829292521927314,0.00674090765102808,"LEP/HTR2A/HTR1A/EDNRB/EGFR/EDNRA",6,"BP"
"GO:0002702","positive regulation of production of molecular mediator of immune response","6/101","141/18805",0.0594059405940594,7.92289867284601,NA,0.000112827990010969,0.0153051168449879,0.0124407704775252,"TNFRSF4/TFRC/PHB2/HTR2A/B2M/LAPTM5",6,"BP"
"GO:0051701","biological process involved in interaction with host","6/101","176/18805",0.0594059405940594,6.34732223222322,NA,0.000375076518267583,0.029073788401713,0.0236326407750553,"TNFRSF4/VPS37B/TFRC/HTR2A/AXL/EGFR",6,"BP"
"GO:0071466","cellular response to xenobiotic stimulus","6/101","198/18805",0.0594059405940594,5.64206420642064,NA,0.000698475612155713,0.0390441282050141,0.0317370355557082,"CRYZ/TFRC/FBP1/SLC28A2/ACSL1/EGFR",6,"BP"
