"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0003018","vascular process in circulatory system","9/69","278/18805",0.130434782608696,8.82311542070691,NA,7.73398722423456e-07,0.00167363483532436,0.00133350221824171,"EDNRB/TFRC/EDNRA/LEP/SLC1A2/HTR1A/SLC28A2/HTR2A/SLC6A6",9,"BP"
"GO:0072594","establishment of protein localization to organelle","9/69","467/18805",0.130434782608696,5.25230425472489,NA,5.02870806481705e-05,0.0158915690069221,0.0126619272464921,"SREBF1/VPS37B/CSE1L/PHB2/TSPAN17/VPS54/TRAM1L1/LEP/LAPTM5",9,"BP"
"GO:0002697","regulation of immune effector process","8/69","414/18805",0.115942028985507,5.26640061611706,NA,0.00013333627206844,0.0262308811596458,0.0208999821672827,"TFRC/PHB2/TNFRSF4/LEP/B2M/HTR2A/LAPTM5/TYROBP",8,"BP"
"GO:0043269","regulation of monoatomic ion transport","8/69","472/18805",0.115942028985507,4.61925816752641,NA,0.000324461436746724,0.0330444649748696,0.02632884211929,"CAV3/PHB2/EDNRA/LEP/B2M/HTR1A/HTR2A/CFTR",8,"BP"
"GO:1903522","regulation of blood circulation","7/69","269/18805",0.101449275362319,7.09202090404612,NA,5.73912529362615e-05,0.0158915690069221,0.0126619272464921,"SREBF1/EDNRB/CAV3/EDNRA/LEP/HTR1A/HTR2A",7,"BP"
"GO:0002699","positive regulation of immune effector process","7/69","270/18805",0.101449275362319,7.06575415995706,NA,5.87488687871428e-05,0.0158915690069221,0.0126619272464921,"TFRC/PHB2/TNFRSF4/B2M/HTR2A/LAPTM5/TYROBP",7,"BP"
"GO:0006605","protein targeting","7/69","339/18805",0.101449275362319,5.62759180881536,NA,0.000240608795738702,0.0330444649748696,0.02632884211929,"SREBF1/ZDHHC24/VPS37B/VPS54/YIF1B/TRAM1L1/LAPTM5",7,"BP"
"GO:0043434","response to peptide hormone","7/69","494/18805",0.101449275362319,3.86184943965264,NA,0.00218994968267268,0.0658201543514399,0.0524435318745299,"SREBF1/EDNRB/INSIG1/EDNRA/LEP/LPIN2/COL3A1",7,"BP"
"GO:0023061","signal release","7/69","497/18805",0.101449275362319,3.83853847724025,NA,0.00226568800591787,0.0661985892546727,0.0527450574954538,"SREBF1/EDNRB/LEP/HTR1A/HTR2A/SYT5/CFTR",7,"BP"
"GO:0002702","positive regulation of production of molecular mediator of immune response","6/69","141/18805",0.0869565217391304,11.5972864631514,NA,1.29856340521009e-05,0.00950040843031784,0.0075696415064017,"TFRC/PHB2/TNFRSF4/B2M/HTR2A/LAPTM5",6,"BP"
"GO:0002700","regulation of production of molecular mediator of immune response","6/69","197/18805",0.0869565217391304,8.30059589494593,NA,8.48425441095087e-05,0.0203999183836641,0.0162540452925585,"TFRC/PHB2/TNFRSF4/B2M/HTR2A/LAPTM5",6,"BP"
"GO:0002440","production of molecular mediator of immune response","6/69","231/18805",0.0869565217391304,7.07886316581969,NA,0.000202360036129531,0.0330444649748696,0.02632884211929,"TFRC/PHB2/TNFRSF4/B2M/HTR2A/LAPTM5",6,"BP"
"GO:0006814","sodium ion transport","6/69","252/18805",0.0869565217391304,6.48895790200138,NA,0.000322941003902882,0.0330444649748696,0.02632884211929,"EDNRB/SGK1/CAV3/EDNRA/SLC6A6/SLC13A5",6,"BP"
"GO:0019058","viral life cycle","6/69","295/18805",0.0869565217391304,5.54310980103169,NA,0.000741366336026466,0.0517521532632668,0.0412345690462258,"VPS37B/TFRC/TNFRSF4/HTR2A/IFITM2/SMARCB1",6,"BP"
"GO:0051090","regulation of DNA-binding transcription factor activity","6/69","332/18805",0.0869565217391304,4.92535358826611,NA,0.00136297366510342,0.0640963585004364,0.051070062858116,"SGK1/TFRC/PHB2/TNFRSF4/SMARCB1/ANXA3",6,"BP"
"GO:0051251","positive regulation of lymphocyte activation","6/69","337/18805",0.0869565217391304,4.85227712553219,NA,0.00147071811075765,0.0640963585004364,0.051070062858116,"TFRC/TNFRSF4/LEP/B2M/SMARCB1/TYROBP",6,"BP"
"GO:0002696","positive regulation of leukocyte activation","6/69","372/18805",0.0869565217391304,4.39574567554932,NA,0.00241795830046909,0.0661985892546727,0.0527450574954538,"TFRC/TNFRSF4/LEP/B2M/SMARCB1/TYROBP",6,"BP"
"GO:0050878","regulation of body fluid levels","6/69","388/18805",0.0869565217391304,4.21447781264007,NA,0.00297912050246184,0.0725766638443543,0.0578269167122542,"HSPB1/EDNRB/PRRG3/HTR2A/CFTR/COL3A1",6,"BP"
"GO:0050867","positive regulation of cell activation","6/69","392/18805",0.0869565217391304,4.17147293700089,NA,0.00313352393588196,0.0725766638443543,0.0578269167122542,"TFRC/TNFRSF4/LEP/B2M/SMARCB1/TYROBP",6,"BP"
"GO:0046486","glycerolipid metabolic process","6/69","395/18805",0.0869565217391304,4.13979086406164,NA,0.00325320535716375,0.0725766638443543,0.0578269167122542,"SREBF1/INSIG1/CAV3/PHB2/HTR2A/LPIN2",6,"BP"
"GO:0030900","forebrain development","6/69","413/18805",0.0869565217391304,3.95936414359406,NA,0.00404456402232737,0.081230435713235,0.0647219835092319,"B2M/SLC1A2/GSX1/ANXA3/COL3A1/TYROBP",6,"BP"
"GO:0016032","viral process","6/69","421/18805",0.0869565217391304,3.88412682020035,NA,0.00443881692817815,0.0850053082528983,0.0677296891323317,"VPS37B/TFRC/TNFRSF4/HTR2A/IFITM2/SMARCB1",6,"BP"
"GO:0003012","muscle system process","6/69","467/18805",0.0869565217391304,3.50153616981659,NA,0.00728026306117067,0.1041568285575,0.0829890481453376,"EDNRB/CAV3/EDNRA/VPS54/LEP/HTR2A",6,"BP"
"GO:0015711","organic anion transport","6/69","469/18805",0.0869565217391304,3.48660424585149,NA,0.00742801102023491,0.1041568285575,0.0829890481453376,"VPS54/LEP/SLC1A2/SLC6A6/CFTR/SLC13A5",6,"BP"
"GO:0034762","regulation of transmembrane transport","6/69","478/18805",0.0869565217391304,3.42095688557395,NA,0.00811993504526427,0.1041568285575,0.0829890481453376,"CAV3/PHB2/EDNRA/LEP/SLC1A2/CFTR",6,"BP"
"GO:0002443","leukocyte mediated immunity","6/69","483/18805",0.0869565217391304,3.38554325321811,NA,0.00852388126683278,0.106021240299101,0.0844745557009086,"TFRC/LEP/B2M/ANXA3/BTN3A2/TYROBP",6,"BP"
"GO:0042310","vasoconstriction","5/69","89/18805",0.072463768115942,15.3110242631493,NA,1.87674421046916e-05,0.0101531861786382,0.00808975530723285,"EDNRB/EDNRA/LEP/HTR1A/HTR2A",5,"BP"
