"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0003012","muscle system process","121/2044","467/18805",0.0591976516634051,2.38375126237759,NA,2.11527733459893e-20,1.27128167809396e-16,9.12909165458485e-17,"PDLIM5/TRPM4/CACNA1D/COMP/PPP3CA/NEDD4L/DSC2/ADRB2/ATP8A2/UTRN/KCNN2/ADRA2A/EZH2/ABAT/DOCK4/GRK2/HEY2/CAMK2B/F2R/MTOR/UCN/KLF15/GSTM2/VEGFB/KCNE3/KCNQ1/BIN1/DRD2/SLN/SLC8A1/P2RX2/ITGA2/PPARG/PRKG1/GJC1/NOTCH1/ANK2/CAMK2G/SULF2/NR4A3/TNNI2/MEIS1/GPD1L/PRKCA/PDE5A/ADRA1A/TMOD1/GPER1/CALM1/SLMAP/ACACB/EDN3/CACNA1H/MYH3/LARGE1/FBXO32/KCNMA1/SCNN1B/CKMT2/CASQ2/MYL6/GATA5/ASPH/DMD/MYOCD/DTNA/MYL1/PPP1R12B/GSN/SSPN/TBX2/EDNRB/COL6A1/TNNT3/ATP2B4/KIT/APBB1/MYOZ1/P2RX1/EDNRA/KCNJ5/CALD1/CASQ1/RGS2/KCNH2/TNNC2/MYOF/DMPK/PLN/KCNJ8/STAC2/SGCA/ASB2/SMTN/STAC/TCAP/GNAO1/FLNA/TPM1/ATP1A2/TNNC1/ANXA6/ATP1B1/SYNM/PTGS2/CYBA/LMOD1/MYH11/MYLK/KCNJ3/ACTA2/GJA1/CAV1/MYL9/CNN1/TPM2/ACTA1/PI16/GATM/CRYAB/DES",121,"BP"
"GO:0042692","muscle cell differentiation","109/2044","429/18805",0.0533268101761252,2.3375539985129,NA,8.12952952082184e-18,1.62861574733797e-14,1.16951126439893e-14,"PDLIM5/GDF15/MYBPC1/COMP/BHLHA15/PPP3CA/CXCL10/TBX1/MESP1/EZH2/XBP1/CXCL9/OLFM2/SIX1/SIX4/LOX/PIEZO1/ATP11A/BCL9/HEY2/CACNA2D2/CALR/MTOR/CDK1/KRT8/NLN/KAT2A/NID1/TBX5/PLPP7/ISL1/BIN1/SLC8A1/ACTN1/P2RX2/PRKG1/RARB/PLEKHO1/NOTCH1/ANK2/BCL2/ADAMTS5/BMP4/MEIS1/CDH2/ACTN2/ITGA8/ADRA1A/WNT5B/TMOD1/GPER1/FOXF1/DKK1/CACNA1H/HOPX/IRX3/MYH3/LARGE1/NFATC4/FZD7/MYOM1/DMD/SPEG/MYOCD/KLF5/TBX2/EDNRB/COL6A1/TNNT3/KIT/RBPMS2/MYOZ1/SMARCD3/EDNRA/CD81/FHL2/CASQ1/RGS2/FHOD3/SGCB/CSRP2/ID2/DMPK/KCNJ8/ASB2/POPDC2/CFL2/MMP14/EHD2/TCAP/TPM1/CAV2/RBM38/FGFR2/SDC1/LDB3/CSRP1/FLNC/LMOD1/UCHL1/EFEMP2/MYH11/KRT19/PGM5/MYL9/ACTA1/PI16/SCGB3A1/ACTC1",109,"BP"
"GO:0007015","actin filament organization","103/2044","463/18805",0.0503913894324853,2.04667403515742,NA,7.17287948267459e-13,5.38862571135928e-10,3.86957972091655e-10,"TMEFF2/TMSB15A/MARCKSL1/SPTBN2/PPM1E/RHPN2/MYO6/RAC3/LCP1/PPP1R9A/ALOX15/MICAL2/BAIAP2L1/IQGAP2/SHROOM3/RHPN1/BAIAP2/CORO1B/WASF3/TACSTD2/MYO5C/F2RL1/BBS4/CYFIP2/FAT1/MYO1D/ARFIP2/MTOR/MYO1G/ARHGAP28/SHTN1/SHROOM2/CD2AP/MYO19/DSG3/ARHGEF10L/KANK1/BIN1/PIK3R1/RHOBTB2/MYADM/ACTN1/PAK3/ARHGEF2/PAK1/SEMA5A/RHOV/BCL2/CX3CL1/TMSB4X/AMOT/CAP2/ZYX/ACTN2/CXCL12/ADD3/MET/TMOD1/CORO1C/CDC42EP4/VILL/CDC42EP3/CDC42EP5/SSH3/SDC4/RND2/TAGLN2/POF1B/DAAM2/SYNPO/GSN/TGFB3/DSTN/SVIL/KANK2/CALD1/LPAR1/PYCARD/SERPINF2/FERMT2/SORBS1/CNN2/DPYSL3/AQP2/RHOB/ASB2/CFL2/TCAP/FLNA/CCL21/TPM1/PDLIM1/FAM107A/SYNPO2/PLS3/RND3/LMOD1/MYL9/CNN1/CAPG/TPM2/ACTA1/ACTC1",103,"BP"
"GO:0043269","regulation of monoatomic ion transport","101/2044","472/18805",0.049412915851272,1.96866500547282,NA,1.38683823251751e-11,5.55659851828684e-09,3.99020123040127e-09,"GAL/CACNA1D/PPP3CA/PRSS8/HOMER2/NKAIN1/NEDD4L/MMP9/TSPAN13/CXCL10/ADRB2/LRRC26/UTRN/KCNN2/ADRA2A/STK39/KCNG3/CXCL11/EGF/CXCL9/SPINK1/KCNS3/EPB41/CAMK2B/F2R/UCN/KCNJ11/GSTM2/KCNE3/TRPC6/KCNQ1/PER1/BIN1/DRD2/SLN/SLC8A1/P2RX2/ISCU/FXYD5/ANK2/BCL2/OSR1/PRKG2/CAMK2G/CX3CL1/TRPC1/TMSB4X/GPD1L/ACTN2/CXCL12/KCNIP3/PLP1/RGS9/GPER1/UCP2/CALM1/SLMAP/EDN3/CNTN1/GNAI2/KCNAB1/CASQ2/ACE/HFE/ASPH/DMD/ITGB3/PRNP/ATP2B4/P2RX1/EDNRA/HEPH/KCNJ5/CASQ1/KCNH2/ANO6/JPH2/STOM/KCNG1/DMPK/PLN/KCNJ8/STAC2/KCNJ15/JPH4/KCNMB1/CA2/STAC/FLNA/FXYD6/ATP1A2/ATP1B1/LGALS3/MAOB/PTGS2/CYBA/MYLK/KCNJ3/CAV1/FHL1/SEMG1",101,"BP"
"GO:0042060","wound healing","100/2044","450/18805",0.0489236790606654,2.0444661883018,NA,1.67069309758663e-12,1.1068132225593e-09,7.94804135649902e-10,"TMEFF2/ERBB3/COMP/PPP3CA/SYT7/CLDN3/APOE/SCARB1/F5/MIA3/ADRA2A/ALOX15/SLC12A2/XBP1/CHMP4C/VAV2/PDIA3/DGKD/SLC7A11/EPB41L4B/CORO1B/F12/SMOC2/F2RL1/F2R/MTOR/OCLN/PTPRJ/VEGFB/AXL/KANK1/ANXA8/ACTB/ITGA2/PPARG/KRT6A/PRKG1/ACVRL1/PROCR/PAK1/NDNF/MSX2/CX3CL1/ITGA5/SYT11/DDR2/PRKCA/PLPP3/F7/EMILIN1/CD59/NPR2/CLDN1/PRRG4/VCL/CTSG/VAV3/YAP1/FZD7/SDC4/DUOX2/FBLN1/PLAU/SERPING1/TIMP1/AJUBA/ITGB3/ANGPTL1/ANGPTL4/ANO5/MYOZ1/P2RX1/ARHGEF19/ITGB6/ANO6/SERPINF2/MYOF/PDPN/FERMT2/F10/CNN2/PLA2G4A/MCAM/ODAM/CD40/WFDC1/FLNA/TPM1/ANXA1/GAS6/CSRP1/ANXA2/DUOX1/ANGPT1/MYLK/C1QTNF1/CAV1/HSPB1/MYL9/HBB",100,"BP"
"GO:0006936","muscle contraction","99/2044","359/18805",0.0484344422700587,2.53707433673664,NA,6.43985855437665e-19,1.93517749559018e-15,1.3896536880497e-15,"TRPM4/CACNA1D/COMP/NEDD4L/DSC2/ADRB2/ATP8A2/UTRN/KCNN2/ADRA2A/ABAT/DOCK4/GRK2/F2R/MTOR/UCN/GSTM2/VEGFB/KCNE3/KCNQ1/BIN1/DRD2/SLC8A1/P2RX2/ITGA2/PRKG1/GJC1/ANK2/SULF2/TNNI2/GPD1L/PDE5A/ADRA1A/TMOD1/GPER1/CALM1/SLMAP/EDN3/CACNA1H/MYH3/LARGE1/KCNMA1/SCNN1B/CKMT2/CASQ2/MYL6/ASPH/DMD/MYOCD/DTNA/MYL1/PPP1R12B/GSN/SSPN/TBX2/EDNRB/TNNT3/ATP2B4/KIT/APBB1/P2RX1/EDNRA/KCNJ5/CALD1/CASQ1/RGS2/KCNH2/TNNC2/MYOF/DMPK/PLN/KCNJ8/STAC2/SGCA/SMTN/STAC/TCAP/GNAO1/FLNA/TPM1/ATP1A2/TNNC1/ANXA6/ATP1B1/SYNM/PTGS2/LMOD1/MYH11/MYLK/KCNJ3/ACTA2/GJA1/CAV1/MYL9/CNN1/TPM2/ACTA1/CRYAB/DES",99,"BP"
"GO:0060537","muscle tissue development","99/2044","446/18805",0.0484344422700587,2.04217418584855,NA,2.32040759643503e-12,1.26778633223405e-09,9.10399152668289e-10,"PDLIM5/ERBB3/PPP3CA/TWIST1/TBX1/MESP1/SIX1/CENPF/SIX4/LOX/HMG20B/BCL9/HEY2/CALR/MTOR/CDK1/KCNJ11/NLN/KAT2A/BTG2/TBX5/ISL1/HOXD9/SLC8A1/P2RX2/HOXD10/PRKG1/RARB/GJC1/NOTCH1/BCL2/MSX2/OSR1/SGCG/EPHB1/BMP4/MEIS1/ACTN2/ITGA8/ADRA1A/HLF/NPR2/DKK1/HOPX/IRX3/LARGE1/FGFR1/YAP1/FZD7/MYOM1/MYL6/GATA5/DMD/MYOCD/FES/KLF5/GPC1/TBX2/COL6A1/SVIL/MYOZ1/EDNRA/ALDH1A2/FHL2/TGFBR3/CASQ1/RGS2/FHOD3/JPH2/SGCB/CSRP2/ID2/BMP7/PLN/VAMP5/PITX1/KCNJ8/SOX15/ASB2/POPDC2/BMP5/CFL2/NDRG4/TCAP/TPM1/CAV2/FGFR2/TNNC1/CSRP1/EFEMP2/MYH11/MYLK/PGM5/GJA1/CAV1/ACTA1/PI16/RBP4/ACTC1",99,"BP"
"GO:0048568","embryonic organ development","97/2044","457/18805",0.0474559686888454,1.95275599823575,NA,5.70736421348169e-11,1.55914813286477e-08,1.11962647250119e-08,"HPN/ALDH1A3/SLC44A4/LRIG1/COL2A1/HIPK2/MYO6/TWIST1/ATP8A2/ST14/OTX1/GRHL2/TBX1/MESP1/NECTIN3/MICAL2/HOXA9/HOXC4/DLX2/SIX1/CTHRC1/SIX4/STIL/FZD5/HEY2/TPRN/SATB2/KRT8/SPRY2/TEAD3/KCNQ1/PBX1/NSDHL/RNF112/HOXD9/SPARC/RSPO3/HOXD10/RARB/HOXB4/MFAP2/HOXB9/FOXF2/NOTCH1/HOXA7/OSR1/MFAP5/BMP4/CHST11/ITGA8/CEBPB/HOXB5/FOXF1/OSR2/HOXB3/FGFR1/YAP1/ZFP36L1/NES/HOXB6/PLCD3/TGFB3/TBX2/TBX4/ASCL2/KIT/RBPMS2/KITLG/HOXB7/RARG/EDNRA/ALDH1A2/FOXI1/SIX2/HOXB8/ID2/CDKN1C/BMP7/SOX15/FOLR1/ASB2/BMP5/MMP14/SLITRK6/NDRG4/EPHA2/TCAP/FGFR2/HOXB2/GJB5/KRT19/GATA3/GJA1/RARRES2/ID3/EFEMP1/RBP4",97,"BP"
"GO:0006935","chemotaxis","97/2044","466/18805",0.0474559686888454,1.915041826596,NA,1.76780161274186e-10,3.93499544169576e-08,2.82572577475307e-08,"TRPM4/FFAR2/THBS4/PLA2G7/SLIT1/CCL18/RAC3/CXCL10/STK39/SLC12A2/CXCL11/CXCL9/AGTR1/LOX/DOCK4/CORO1B/SMOC2/TRPM2/ST6GAL1/PLXNB3/F2RL1/PPIB/CALR/ABCC1/PTPRJ/SEMA3D/VEGFB/CMTM5/MPP1/FOSL1/ITGA2/PARVA/L1CAM/COLEC10/EFNA5/HOXB9/SEMA5A/NOTCH1/DUSP3/PLEKHG5/CAMK1D/NBL1/EPHB1/PADI2/CX3CL1/BMP4/TMSB4X/AMOT/MMP28/CXCL12/F7/ADGRA2/NRP2/MET/ROBO1/EDN3/ITGA9/CTSG/VAV3/PIK3C2G/FGFR1/SLIT3/PERP/FLRT3/JAM3/FES/PLAU/MMP2/ITGB3/FGF7/EDNRB/KIT/S100A12/LPAR1/ELANE/ANO6/ACKR3/PDGFD/SEMA3B/EPHA2/CXCL17/CCL21/ANXA1/S100A8/GAS6/CXCR2/LGALS3/PGF/LGR6/PLP2/ANGPT1/HSPB1/RARRES2/S100A4/CXCL13/DEFB1/S100A14",97,"BP"
"GO:0042330","taxis","97/2044","468/18805",0.0474559686888454,1.90685788716611,NA,2.25847821930271e-10,4.52448469933642e-08,3.24903884180389e-08,"TRPM4/FFAR2/THBS4/PLA2G7/SLIT1/CCL18/RAC3/CXCL10/STK39/SLC12A2/CXCL11/CXCL9/AGTR1/LOX/DOCK4/CORO1B/SMOC2/TRPM2/ST6GAL1/PLXNB3/F2RL1/PPIB/CALR/ABCC1/PTPRJ/SEMA3D/VEGFB/CMTM5/MPP1/FOSL1/ITGA2/PARVA/L1CAM/COLEC10/EFNA5/HOXB9/SEMA5A/NOTCH1/DUSP3/PLEKHG5/CAMK1D/NBL1/EPHB1/PADI2/CX3CL1/BMP4/TMSB4X/AMOT/MMP28/CXCL12/F7/ADGRA2/NRP2/MET/ROBO1/EDN3/ITGA9/CTSG/VAV3/PIK3C2G/FGFR1/SLIT3/PERP/FLRT3/JAM3/FES/PLAU/MMP2/ITGB3/FGF7/EDNRB/KIT/S100A12/LPAR1/ELANE/ANO6/ACKR3/PDGFD/SEMA3B/EPHA2/CXCL17/CCL21/ANXA1/S100A8/GAS6/CXCR2/LGALS3/PGF/LGR6/PLP2/ANGPT1/HSPB1/RARRES2/S100A4/CXCL13/DEFB1/S100A14",97,"BP"
