"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0003012","muscle system process","99/1239","467/18805",0.0799031476997579,3.21751326015834,NA,6.60361123803603e-26,3.61613751394853e-22,2.65465171769048e-22,"GSTM2/VEGFB/KCNE3/KCNQ1/BIN1/DRD2/SLN/SLC8A1/P2RX2/ITGA2/PPARG/PRKG1/GJC1/NOTCH1/ANK2/CAMK2G/SULF2/NR4A3/TNNI2/MEIS1/GPD1L/PRKCA/PDE5A/ADRA1A/TMOD1/GPER1/CALM1/SLMAP/ACACB/EDN3/CACNA1H/MYH3/LARGE1/FBXO32/KCNMA1/SCNN1B/CKMT2/CASQ2/MYL6/GATA5/ASPH/DMD/MYOCD/DTNA/MYL1/PPP1R12B/GSN/SSPN/TBX2/EDNRB/COL6A1/TNNT3/ATP2B4/KIT/APBB1/MYOZ1/P2RX1/EDNRA/KCNJ5/CALD1/CASQ1/RGS2/KCNH2/TNNC2/MYOF/DMPK/PLN/KCNJ8/STAC2/SGCA/ASB2/SMTN/STAC/TCAP/GNAO1/FLNA/TPM1/ATP1A2/TNNC1/ANXA6/ATP1B1/SYNM/PTGS2/CYBA/LMOD1/MYH11/MYLK/KCNJ3/ACTA2/GJA1/CAV1/MYL9/CNN1/TPM2/ACTA1/PI16/GATM/CRYAB/DES",99,"BP"
"GO:0006936","muscle contraction","83/1239","359/18805",0.0669895076674738,3.50901863979622,NA,1.69973286169049e-24,4.65386857530855e-21,3.41646305199787e-21,"GSTM2/VEGFB/KCNE3/KCNQ1/BIN1/DRD2/SLC8A1/P2RX2/ITGA2/PRKG1/GJC1/ANK2/SULF2/TNNI2/GPD1L/PDE5A/ADRA1A/TMOD1/GPER1/CALM1/SLMAP/EDN3/CACNA1H/MYH3/LARGE1/KCNMA1/SCNN1B/CKMT2/CASQ2/MYL6/ASPH/DMD/MYOCD/DTNA/MYL1/PPP1R12B/GSN/SSPN/TBX2/EDNRB/TNNT3/ATP2B4/KIT/APBB1/P2RX1/EDNRA/KCNJ5/CALD1/CASQ1/RGS2/KCNH2/TNNC2/MYOF/DMPK/PLN/KCNJ8/STAC2/SGCA/SMTN/STAC/TCAP/GNAO1/FLNA/TPM1/ATP1A2/TNNC1/ANXA6/ATP1B1/SYNM/PTGS2/LMOD1/MYH11/MYLK/KCNJ3/ACTA2/GJA1/CAV1/MYL9/CNN1/TPM2/ACTA1/CRYAB/DES",83,"BP"
"GO:0042692","muscle cell differentiation","82/1239","429/18805",0.066182405165456,2.90107256208951,NA,1.12459693214276e-18,2.05276426680458e-15,1.50695988907129e-15,"NID1/TBX5/PLPP7/ISL1/BIN1/SLC8A1/ACTN1/P2RX2/PRKG1/RARB/PLEKHO1/NOTCH1/ANK2/BCL2/ADAMTS5/BMP4/MEIS1/CDH2/ACTN2/ITGA8/ADRA1A/WNT5B/TMOD1/GPER1/FOXF1/DKK1/CACNA1H/HOPX/IRX3/MYH3/LARGE1/NFATC4/FZD7/MYOM1/DMD/SPEG/MYOCD/KLF5/TBX2/EDNRB/COL6A1/TNNT3/KIT/RBPMS2/MYOZ1/SMARCD3/EDNRA/CD81/FHL2/CASQ1/RGS2/FHOD3/SGCB/CSRP2/ID2/DMPK/KCNJ8/ASB2/POPDC2/CFL2/MMP14/EHD2/TCAP/TPM1/CAV2/RBM38/FGFR2/SDC1/LDB3/CSRP1/FLNC/LMOD1/UCHL1/EFEMP2/MYH11/KRT19/PGM5/MYL9/ACTA1/PI16/SCGB3A1/ACTC1",82,"BP"
"GO:0060537","muscle tissue development","80/1239","446/18805",0.0645682001614205,2.72243274447424,NA,1.43008715672026e-16,1.56623145404003e-13,1.14979007400309e-13,"BTG2/TBX5/ISL1/HOXD9/SLC8A1/P2RX2/HOXD10/PRKG1/RARB/GJC1/NOTCH1/BCL2/MSX2/OSR1/SGCG/EPHB1/BMP4/MEIS1/ACTN2/ITGA8/ADRA1A/HLF/NPR2/DKK1/HOPX/IRX3/LARGE1/FGFR1/YAP1/FZD7/MYOM1/MYL6/GATA5/DMD/MYOCD/FES/KLF5/GPC1/TBX2/COL6A1/SVIL/MYOZ1/EDNRA/ALDH1A2/FHL2/TGFBR3/CASQ1/RGS2/FHOD3/JPH2/SGCB/CSRP2/ID2/BMP7/PLN/VAMP5/PITX1/KCNJ8/SOX15/ASB2/POPDC2/BMP5/CFL2/NDRG4/TCAP/TPM1/CAV2/FGFR2/TNNC1/CSRP1/EFEMP2/MYH11/MYLK/PGM5/GJA1/CAV1/ACTA1/PI16/RBP4/ACTC1",80,"BP"
"GO:0043269","regulation of monoatomic ion transport","74/1239","472/18805",0.059725585149314,2.37953311172214,NA,2.4168126426868e-12,8.82297735423528e-10,6.47705788240063e-10,"GSTM2/KCNE3/TRPC6/KCNQ1/PER1/BIN1/DRD2/SLN/SLC8A1/P2RX2/ISCU/FXYD5/ANK2/BCL2/OSR1/PRKG2/CAMK2G/CX3CL1/TRPC1/TMSB4X/GPD1L/ACTN2/CXCL12/KCNIP3/PLP1/RGS9/GPER1/UCP2/CALM1/SLMAP/EDN3/CNTN1/GNAI2/KCNAB1/CASQ2/ACE/HFE/ASPH/DMD/ITGB3/PRNP/ATP2B4/P2RX1/EDNRA/HEPH/KCNJ5/CASQ1/KCNH2/ANO6/JPH2/STOM/KCNG1/DMPK/PLN/KCNJ8/STAC2/KCNJ15/JPH4/KCNMB1/CA2/STAC/FLNA/FXYD6/ATP1A2/ATP1B1/LGALS3/MAOB/PTGS2/CYBA/MYLK/KCNJ3/CAV1/FHL1/SEMG1",74,"BP"
"GO:0014706","striated muscle tissue development","73/1239","423/18805",0.0589184826472962,2.61929566473382,NA,2.51622460725124e-14,1.53098288325642e-11,1.12391365790555e-11,"BTG2/TBX5/ISL1/HOXD9/SLC8A1/P2RX2/HOXD10/PRKG1/RARB/GJC1/NOTCH1/BCL2/MSX2/SGCG/EPHB1/BMP4/MEIS1/ACTN2/ADRA1A/HLF/DKK1/HOPX/IRX3/LARGE1/FGFR1/YAP1/FZD7/MYOM1/MYL6/GATA5/DMD/MYOCD/FES/KLF5/GPC1/TBX2/COL6A1/SVIL/MYOZ1/EDNRA/ALDH1A2/FHL2/TGFBR3/CASQ1/RGS2/FHOD3/JPH2/SGCB/ID2/BMP7/PLN/VAMP5/PITX1/KCNJ8/SOX15/ASB2/POPDC2/BMP5/CFL2/NDRG4/TCAP/TPM1/CAV2/FGFR2/TNNC1/MYH11/PGM5/GJA1/CAV1/ACTA1/PI16/RBP4/ACTC1",73,"BP"
"GO:0042060","wound healing","72/1239","450/18805",0.0581113801452785,2.42841000807103,NA,1.77740016019428e-12,7.48695636709527e-10,5.49626818767768e-10,"VEGFB/AXL/KANK1/ANXA8/ACTB/ITGA2/PPARG/KRT6A/PRKG1/ACVRL1/PROCR/PAK1/NDNF/MSX2/CX3CL1/ITGA5/SYT11/DDR2/PRKCA/PLPP3/F7/EMILIN1/CD59/NPR2/CLDN1/PRRG4/VCL/CTSG/VAV3/YAP1/FZD7/SDC4/DUOX2/FBLN1/PLAU/SERPING1/TIMP1/AJUBA/ITGB3/ANGPTL1/ANGPTL4/ANO5/MYOZ1/P2RX1/ARHGEF19/ITGB6/ANO6/SERPINF2/MYOF/PDPN/FERMT2/F10/CNN2/PLA2G4A/MCAM/ODAM/CD40/WFDC1/FLNA/TPM1/ANXA1/GAS6/CSRP1/ANXA2/DUOX1/ANGPT1/MYLK/C1QTNF1/CAV1/HSPB1/MYL9/HBB",72,"BP"
"GO:0006935","chemotaxis","72/1239","466/18805",0.0581113801452785,2.34503112367374,NA,9.78031441528633e-12,2.97538898545044e-09,2.18427021941395e-09,"SEMA3D/VEGFB/CMTM5/MPP1/FOSL1/ITGA2/PARVA/L1CAM/COLEC10/EFNA5/HOXB9/SEMA5A/NOTCH1/DUSP3/PLEKHG5/CAMK1D/NBL1/EPHB1/PADI2/CX3CL1/BMP4/TMSB4X/AMOT/MMP28/CXCL12/F7/ADGRA2/NRP2/MET/ROBO1/EDN3/ITGA9/CTSG/VAV3/PIK3C2G/FGFR1/SLIT3/PERP/FLRT3/JAM3/FES/PLAU/MMP2/ITGB3/FGF7/EDNRB/KIT/S100A12/LPAR1/ELANE/ANO6/ACKR3/PDGFD/SEMA3B/EPHA2/CXCL17/CCL21/ANXA1/S100A8/GAS6/CXCR2/LGALS3/PGF/LGR6/PLP2/ANGPT1/HSPB1/RARRES2/S100A4/CXCL13/DEFB1/S100A14",72,"BP"
"GO:0042330","taxis","72/1239","468/18805",0.0581113801452785,2.33500962314522,NA,1.20166771585737e-11,3.46333284843945e-09,2.54247590407717e-09,"SEMA3D/VEGFB/CMTM5/MPP1/FOSL1/ITGA2/PARVA/L1CAM/COLEC10/EFNA5/HOXB9/SEMA5A/NOTCH1/DUSP3/PLEKHG5/CAMK1D/NBL1/EPHB1/PADI2/CX3CL1/BMP4/TMSB4X/AMOT/MMP28/CXCL12/F7/ADGRA2/NRP2/MET/ROBO1/EDN3/ITGA9/CTSG/VAV3/PIK3C2G/FGFR1/SLIT3/PERP/FLRT3/JAM3/FES/PLAU/MMP2/ITGB3/FGF7/EDNRB/KIT/S100A12/LPAR1/ELANE/ANO6/ACKR3/PDGFD/SEMA3B/EPHA2/CXCL17/CCL21/ANXA1/S100A8/GAS6/CXCR2/LGALS3/PGF/LGR6/PLP2/ANGPT1/HSPB1/RARRES2/S100A4/CXCL13/DEFB1/S100A14",72,"BP"
"GO:0031589","cell-substrate adhesion","71/1239","361/18805",0.0573042776432607,2.98506077861916,NA,5.19617058828667e-17,7.11355753536446e-14,5.22215144122811e-14,"NID1/AXL/KANK1/SMAD6/PIK3R1/EGFL6/MYADM/ACTN1/ITGA2/PARVA/L1CAM/EFNA5/ACVRL1/ITGB8/NDNF/NOTCH1/BCL2/HOXA7/FAT2/DUSP3/GBP1/EPHB1/CX3CL1/ITGA5/ZYX/ACTN2/ITGA8/EMILIN1/CORO1C/FOXF1/VIT/ITGA9/SGCE/ANTXR1/HACD1/ITGA7/VCL/FZD7/SDC4/GPM6B/EDIL3/FBLN1/JAM3/PLAU/AJUBA/ITGB3/LYVE1/CCDC80/ITGA3/CEACAM6/ITGB6/PLEKHA2/PDPN/FERMT2/NTN4/SORBS1/ITGB4/MMP14/LIMS2/FLNA/CCL21/RRAS/OLFM4/GAS6/FAM107A/MSLN/TRIP6/ANXA2/ANGPT1/EFEMP2/COL17A1",71,"BP"
