"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"BHLHA15",0.31867118576884,98,0.0776107552702186,0.961953958507263,"Yes"
"GRIN3A",0.317178860548328,101,0.140492291149157,0.961953958507263,"Yes"
"EHF",0.281614581775816,133,0.018685687975865,0.843403251480126,"Yes"
"DLG5",0.275100625288611,143,0.0166003309579691,0.834475471687762,"Yes"
"UPK3A",0.269717043496184,151,0.203408674487983,0.961953958507263,"Yes"
"CERS6",0.256754319596969,172,0.0200312702993078,0.843403251480126,"Yes"
"PFKFB3",0.252635991336941,179,0.0234270112677427,0.843403251480126,"Yes"
"PFKP",0.248320428618092,188,0.0221462926331731,0.843403251480126,"Yes"
"SEC24C",0.225732686664206,235,0.0544813465609865,0.961137546427122,"Yes"
"SELENOM",0.223776341011515,237,0.166129829596785,0.961953958507263,"Yes"
"BCL9L",0.223491999931263,238,0.0258978478737333,0.845493436023088,"Yes"
"PLXNB3",0.211871040731992,277,0.0668616336218374,0.961953958507263,"Yes"
"DNAJB1",0.2083634066235,291,0.0178539170359662,0.841536653297569,"Yes"
"ACO2",0.203500992206617,312,0.013359676729978,0.768631951687148,"Yes"
"GTF2I",0.199237795729545,331,0.0216106518898917,0.843403251480126,"Yes"
"SRXN1",0.191134159792371,357,2.94954756066467e-09,1.25342052502385e-06,"Yes"
"COMTD1",0.190924946490995,360,0.193701245464687,0.961953958507263,"Yes"
"TBC1D14",0.188114659722304,377,0.0700695382504376,0.961953958507263,"Yes"
"CYP51A1",0.187891826198081,378,0.0172449487965222,0.834475471687762,"Yes"
"CSNK1A1",0.184786561741568,393,0.0170551358104024,0.834475471687762,"Yes"
"USP34",0.183920764346962,396,0.0807449262685501,0.961953958507263,"Yes"
"ADAM9",0.182516117620072,404,0.125531807318559,0.961953958507263,"Yes"
"CHCHD10",0.175697416173234,447,0.200071054604002,0.961953958507263,"Yes"
"IRS1",0.165057019515684,514,0.150547284267814,0.961953958507263,"Yes"
"ZNF770",0.164842341459041,515,0.142976279324987,0.961953958507263,"Yes"
"RHBDD2",0.162191408538159,537,0.0458087362100427,0.954822705704888,"Yes"
"HEATR1",0.158523688057211,569,0.0487677524508796,0.958910750271067,"Yes"
"GADD45G",0.15320413770154,617,0.36265820097676,0.961953958507263,"Yes"
"HK2",0.152847530766858,621,0.238595123399051,0.961953958507263,"Yes"
"LDLR",0.151925343044442,630,0.238289606875274,0.961953958507263,"Yes"
"AFF4",0.151046225421599,636,0.0879106892749387,0.961953958507263,"Yes"
"SPG11",0.150662125505167,640,0.0622022376866013,0.961953958507263,"Yes"
"NDUFAF8",0.143934322461526,719,0.196269721613952,0.961953958507263,"Yes"
"GNG12",0.13958168546547,771,0.112786706422834,0.961953958507263,"Yes"
"DAGLA",0.13736177054094,809,0.0732601517064109,0.961953958507263,"Yes"
"EFS",0.1368949361731,818,0.354431174614828,0.961953958507263,"Yes"
"AIDA",0.134893967431835,845,0.360703585274995,0.961953958507263,"Yes"
"BCHE",0.134600344686298,851,0.363835960825188,0.961953958507263,"Yes"
"TLN1",0.133149449649468,875,0.122726771528993,0.961953958507263,"Yes"
"ZNF41",0.131632870208101,903,0.0452616583489926,0.954822705704888,"Yes"
"GNL3L",0.130399755993956,917,0.0757234667845448,0.961953958507263,"Yes"
"FYCO1",0.128665431678312,943,0.106349834937945,0.961953958507263,"Yes"
"HES1",0.12779095533419,964,0.325277182133369,0.961953958507263,"Yes"
"PRRC2B",0.127138393981786,978,0.265360202750512,0.961953958507263,"Yes"
"DUSP23",0.124635943365927,1019,0.378134140955097,0.961953958507263,"Yes"
"SHC1",0.121793543622196,1077,0.11740453612739,0.961953958507263,"Yes"
"DENND4C",0.120482165869358,1110,0.227119834326932,0.961953958507263,"Yes"
"CIB1",0.11991096215298,1121,0.218455119850179,0.961953958507263,"Yes"
"ASAP2",0.119071641410266,1139,0.183721169003327,0.961953958507263,"Yes"
"ZNF275",0.118570679757757,1151,0.0724891496015565,0.961953958507263,"Yes"
"METTL26",0.117405389272408,1180,0.298061852868958,0.961953958507263,"Yes"
"RAB11FIP1",0.114770827482382,1246,0.321691419785325,0.961953958507263,"Yes"
"NEK4",0.112977141764318,1285,0.107089561641682,0.961953958507263,"Yes"
"ACER2",0.112115973599752,1307,0.298246589079947,0.961953958507263,"Yes"
"AP1S1",0.111947727827114,1311,0.16791071790005,0.961953958507263,"Yes"
"CCDC85C",0.111537555768326,1320,0.103018234061627,0.961953958507263,"Yes"
"EP300",0.108989599279875,1384,0.2298466502645,0.961953958507263,"Yes"
"BORCS6",0.108560038694076,1395,0.133591543512787,0.961953958507263,"Yes"
"DDX3X",0.106591905095215,1465,0.102142532410702,0.961953958507263,"Yes"
"GUK1",0.105887952303471,1484,0.211030825085738,0.961953958507263,"Yes"
"CNOT1",0.105494361985042,1498,0.35730461934997,0.961953958507263,"Yes"
"UQCR11",0.104575155257366,1523,0.274207846118616,0.961953958507263,"Yes"
"PRR5",0.10388592600365,1548,0.214439885362395,0.961953958507263,"Yes"
"BAZ2A",0.102292275381293,1602,0.226528054061021,0.961953958507263,"Yes"
"RNF169",0.101419158766004,1632,0.203282669484206,0.961953958507263,"Yes"
"KLHL11",0.101394058731566,1637,0.197259195893384,0.961953958507263,"Yes"
"MZT2A",0.100137101155792,1674,0.403888487684329,0.962613387123402,"Yes"
"MFAP3",0.0987880787645505,1708,0.234496701814027,0.961953958507263,"Yes"
"HSPA4",0.0987532433518492,1710,0.0967676956409179,0.961953958507263,"Yes"
"POM121",0.0982385472294607,1730,0.237731857419139,0.961953958507263,"Yes"
"POP7",0.0964303331659799,1795,0.226034341956183,0.961953958507263,"Yes"
"RAVER1",0.0962210057743556,1801,0.293199507731378,0.961953958507263,"Yes"
"KDM3A",0.0939293378130803,1884,0.17843917988328,0.961953958507263,"Yes"
"SLC4A2",0.0936208111935537,1895,0.240952231442081,0.961953958507263,"Yes"
"ATG9A",0.0929994938611372,1920,0.27011829923721,0.961953958507263,"Yes"
"TBC1D5",0.0919566176925484,1965,0.161630840329442,0.961953958507263,"Yes"
"LSM4",0.090352245946411,2028,0.275311134430933,0.961953958507263,"Yes"
"SAPCD2",0.0899899823230301,2054,0.378220457874005,0.961953958507263,"Yes"
"B4GALT5",0.0897344812100771,2065,0.262721683929094,0.961953958507263,"Yes"
"TAF6",0.0893140335929195,2092,0.201960593706996,0.961953958507263,"Yes"
"POMK",0.0892318619168648,2099,0.38505357744251,0.961953958507263,"Yes"
"VRK2",0.0891787488972398,2101,0.160085012780842,0.961953958507263,"Yes"
"AURKAIP1",0.0869011244872313,2191,0.397288998089959,0.962613387123402,"Yes"
"TMA7",0.0866353409000729,2201,0.387329152982517,0.961953958507263,"Yes"
"SMCR8",0.0852597189719089,2275,0.337134441407248,0.961953958507263,"Yes"
"ZFR",0.0815544605915868,2432,0.18709044237131,0.961953958507263,"Yes"
"PKD1",0.0787451493769935,2576,0.412698615494712,0.962613387123402,"Yes"
"TAX1BP3",0.0783424443489316,2595,0.128987758797673,0.961953958507263,"Yes"
"ZFYVE9",0.0757741300753669,2723,0.294217432250642,0.961953958507263,"Yes"
"STX17",0.0755628537727393,2735,0.225713445970302,0.961953958507263,"Yes"
"USP22",0.0754265747551282,2745,0.433105416810772,0.962613387123402,"Yes"
"CDC42BPB",0.0750435731369294,2770,0.459103195894643,0.962613387123402,"Yes"
"SMC4",0.0735481750417983,2845,0.437767575289572,0.962613387123402,"Yes"
"TCF20",0.0726661124544625,2901,0.243775245666195,0.961953958507263,"Yes"
"BEX2",0.0706710867838845,2991,0.595882277413649,0.974889403904491,"Yes"
"NRIP1",0.0706570681953109,2993,0.547483033792015,0.972817794316773,"Yes"
"EBP",0.0703514475681191,3011,0.572552361062985,0.973952866602945,"Yes"
"UBE4A",0.0687347939764322,3095,0.503693951587058,0.965425622265064,"Yes"
"FPGS",0.0683552675847379,3106,0.326129719382196,0.961953958507263,"Yes"
"SMIM4",0.0680633914124771,3118,0.46975849993187,0.962613387123402,"Yes"
"MRPL41",0.0679260710932006,3129,0.624131313205193,0.978425777047414,"Yes"
"ARPC1A",0.0669871742076502,3176,0.378135711792047,0.961953958507263,"Yes"
"ACACA",0.0662302499637173,3206,0.553441305580392,0.972817794316773,"Yes"
"ARHGAP5",0.0656333925593522,3241,0.521851766677469,0.968868653437711,"Yes"
"NDUFC2",0.0646708896279105,3306,0.396899143534099,0.962613387123402,"Yes"
"TMEM134",0.0644225821062117,3326,0.489605359414536,0.963535743091324,"Yes"
"CA12",0.0630689222121004,3399,0.581841430911808,0.974889403904491,"Yes"
"HIGD2A",0.0630600091609237,3400,0.477051431071499,0.962613387123402,"Yes"
"COPS9",0.0625801062774363,3425,0.547548188910491,0.972817794316773,"Yes"
"NUBP2",0.0623188142021212,3444,0.45687970741915,0.962613387123402,"Yes"
"POLR2J",0.0619200183110165,3468,0.496617667525767,0.965425622265064,"Yes"
"RNF123",0.0608536803070381,3540,0.454216863987114,0.962613387123402,"Yes"
"ZDHHC12",0.0605245406334776,3571,0.485792278528721,0.963535743091324,"Yes"
"TMEM238",0.0603225136514167,3581,0.67556000477665,0.982229028624857,"Yes"
"P4HA1",0.0602719575226116,3583,0.566114370838579,0.973952866602945,"Yes"
"COX6A1",0.0598146255812937,3608,0.551843371520807,0.972817794316773,"Yes"
"USP54",0.059546391215139,3632,0.600247273979278,0.974889403904491,"Yes"
"PCSK6",0.0595424896181136,3633,0.508952140323616,0.967933027026925,"Yes"
"HGS",0.058964792824423,3674,0.388112792835266,0.961953958507263,"Yes"
"RLF",0.0580656035912623,3721,0.337306299031869,0.961953958507263,"No"
"SMG6",0.0568796382907211,3803,0.444329862015246,0.962613387123402,"No"
"FAM53C",0.0541769497443974,3980,0.453033930589479,0.962613387123402,"No"
"NEMF",0.052307481108242,4082,0.449462778646562,0.962613387123402,"No"
"HPS3",0.0522219316392634,4089,0.499186491919542,0.965425622265064,"No"
"IMP3",0.052087179232482,4099,0.460279171475281,0.962613387123402,"No"
"RBL2",0.0517864024291534,4116,0.60717022300126,0.974889403904491,"No"
"PARP4",0.0512825535028418,4146,0.510668465786552,0.967933027026925,"No"
"OXLD1",0.0507130738593347,4179,0.598436262477128,0.974889403904491,"No"
"SDAD1",0.0498116027915518,4255,0.362725190342401,0.961953958507263,"No"
"PRMT5",0.0498007572779695,4257,0.506692573601299,0.96724090743491,"No"
"MYO18A",0.0485666788156935,4354,0.486265101132809,0.963535743091324,"No"
"FAM89B",0.0481450250040485,4380,0.587705022331498,0.974889403904491,"No"
"RGP1",0.0474463147147781,4432,0.525507261141412,0.968868653437711,"No"
"COPRS",0.046749534302263,4474,0.560887287426186,0.97322286537164,"No"
"CHD4",0.0466324849152313,4488,0.415795663647203,0.962613387123402,"No"
"ZNF710",0.0460067285607124,4531,0.496901500830151,0.965425622265064,"No"
"JTB",0.0451782668800869,4595,0.632998271779575,0.979880563677205,"No"
"IL32",0.0449541589467599,4611,0.75826925959696,0.988070096138049,"No"
"SQSTM1",0.0449504894290564,4614,0.603693024498765,0.974889403904491,"No"
"QPCTL",0.0443655707315669,4655,0.560217031443983,0.97322286537164,"No"
"ALYREF",0.0443117891859908,4662,0.538121185705837,0.971231526571388,"No"
"FASTK",0.0441055812281723,4675,0.596327441214541,0.974889403904491,"No"
"RPLP1",0.0439887336717888,4683,0.705698836189228,0.984387797569624,"No"
"LTC4S",0.0438550801064106,4698,0.705158184234361,0.984387797569624,"No"
"MEX3A",0.0438493052837794,4700,0.757514275774211,0.988070096138049,"No"
"TSTD2",0.0432058202669856,4741,0.579269760497209,0.974889403904491,"No"
"MORC2",0.0428713723032228,4770,0.351616951113475,0.961953958507263,"No"
"EPB41",0.0421363908947288,4823,0.672958772348564,0.982229028624857,"No"
"DPM3",0.041071764095272,4892,0.723608976709039,0.98595061929778,"No"
"TM9SF4",0.0410284696346661,4894,0.484361413908372,0.963535743091324,"No"
"ZFP69B",0.0401407271337592,4968,0.444909456637957,0.962613387123402,"No"
"COX14",0.0392318042067741,5040,0.657128595563689,0.981791940588791,"No"
"TIMM17B",0.0384084057228264,5110,0.645515120459236,0.981334617669311,"No"
"SPTBN2",0.0383379989954715,5117,0.700736781717196,0.983432995456014,"No"
"RAB8A",0.0369136523551359,5261,0.511043217462769,0.967933027026925,"No"
"ALG12",0.0368715355807878,5266,0.53436495897457,0.970621361366036,"No"
"COX17",0.035947354611837,5346,0.693583852230051,0.98263152052947,"No"
"OAS3",0.0353839040281776,5399,0.793760250498541,0.988741473863441,"No"
"EHD3",0.0350852331170177,5429,0.692116727600096,0.98263152052947,"No"
"SCAND1",0.0349344932135125,5451,0.772276298336297,0.988741473863441,"No"
"RECQL",0.0343766630805828,5494,0.675030829129883,0.982229028624857,"No"
"CAP1",0.0326362662790514,5624,0.570723842420579,0.973952866602945,"No"
"NDUFB7",0.0326346335920045,5625,0.766985961211466,0.988070096138049,"No"
"DNAJC11",0.0325142993538772,5637,0.616510045571753,0.975842864367127,"No"
"LSM5",0.0323690338699318,5647,0.66093818110233,0.981791940588791,"No"
