"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"TMEM238",0.891854301405491,32,2.85495690986078e-06,0.000501456710311797,"Yes"
"COMTD1",0.803247894559521,34,1.61736834513608e-05,0.00151510090054363,"Yes"
"NDUFAF8",0.734852061229876,51,2.54788450840893e-08,1.25789746797584e-05,"Yes"
"MRPL41",0.700472270764726,56,0.000401246292951914,0.0114167695223561,"Yes"
"CHCHD10",0.677981927281849,63,0.00023716273323756,0.00837921247956714,"Yes"
"SELENOM",0.672354563806453,66,0.00086468841364331,0.0183665851767702,"Yes"
"COPS9",0.661042454893527,74,9.88530156852814e-06,0.00108128625001379,"Yes"
"GADD45G",0.657229155541066,75,0.00296597707589974,0.0394894338523764,"Yes"
"HSF4",0.656855579346905,76,0.00255751352886478,0.0357718986460743,"Yes"
"METTL26",0.642284109337857,83,9.66949434587822e-05,0.00486591331173987,"Yes"
"UPK3A",0.641261772400343,84,0.0251444682993394,0.141327385361241,"Yes"
"NOXA1",0.632703267919739,88,0.000262755188459458,0.00890822675081241,"Yes"
"LTC4S",0.628848259171231,90,5.92618221298994e-06,0.000762349087920333,"Yes"
"BEX2",0.608020784540513,104,0.00103960695233313,0.0204301711223375,"Yes"
"SCAND1",0.603152273267344,110,0.000936102055784712,0.0191486856136835,"Yes"
"RPL21",0.593023064143078,116,8.71835318161022e-05,0.00457638383817454,"Yes"
"JTB",0.591318981461166,118,2.1054924039522e-06,0.00041543820853709,"Yes"
"COX6A1",0.572947640171866,130,5.65624483551093e-05,0.00340120899853836,"Yes"
"PRAC2",0.560961841815736,141,0.00484082280895645,0.0536573484534025,"Yes"
"ROMO1",0.559019567066867,145,0.00154777194910524,0.0263496273945065,"Yes"
"RPS27A",0.557104592791068,147,0.00014143864880387,0.00605961165615627,"Yes"
"LSM7",0.555211172294162,150,1.10265950614702e-05,0.00115098749707358,"Yes"
"SMIM4",0.555031712704064,151,1.13870762933511e-05,0.00117518487373245,"Yes"
"SNRNP70",0.553363964876101,153,5.67703024040522e-06,0.000746059794255267,"Yes"
"AURKAIP1",0.54847203528255,159,0.000318850476928641,0.00991681087315339,"Yes"
"RPS26",0.543864815127493,167,0.000518063051484551,0.0132913732604892,"Yes"
"RPLP1",0.543696519949206,168,0.0049840572294634,0.0547643605214869,"Yes"
"RPS19",0.542789705045102,171,0.00107629189358136,0.0208497317721121,"Yes"
"RASSF7",0.540604238097123,175,0.000358108098158453,0.0107151263678566,"Yes"
"DUSP23",0.531403290755663,190,0.00321703402683274,0.0413550742914522,"Yes"
"FAM89B",0.53050947954809,192,3.1930180794212e-06,0.000525467218529613,"Yes"
"ARL16",0.526570072109734,195,3.01485957864957e-08,1.44927473482084e-05,"Yes"
"DPM3",0.52480890886972,199,0.00664682385179637,0.0652482620886159,"Yes"
"RPS29",0.522605908207657,204,0.000576023060560315,0.0141808803871365,"Yes"
"C4orf48",0.520130752694132,206,0.0120654035778571,0.0935081574699687,"Yes"
"CLEC11A",0.518084107228636,210,0.000653786151327643,0.0155504057634141,"Yes"
"RPL39",0.513350586442371,213,0.00294298062779757,0.0392691213498745,"Yes"
"NDUFB7",0.507253315462664,221,0.00465988443761803,0.0525320533201596,"Yes"
"SNRPN",0.504374815006761,225,0.00182775761868796,0.0292874108952394,"Yes"
"RPL38",0.504344698873636,226,0.000209970399300064,0.00785969115576694,"Yes"
"GOLGA8B",0.4994537269733,238,0.00237780861138557,0.0343906808425813,"Yes"
"COX17",0.498928295480159,241,0.000101181383093614,0.00499535222965148,"Yes"
"FASTK",0.496099917320186,247,2.69175029906027e-05,0.00216939277234377,"Yes"
"ADCK5",0.495435747702664,249,0.000147669484928982,0.00622268155663297,"Yes"
"FBXL15",0.491004655288463,264,0.000140926714028767,0.00605961165615627,"Yes"
"PSMG3",0.489912469331605,269,8.84424136415951e-06,0.000997270104932727,"Yes"
"CAPS",0.483532648035892,286,0.00191905393796552,0.0302201364524278,"Yes"
"UQCR11",0.479959205592606,294,6.60288638591407e-05,0.00385063186753388,"Yes"
"SCX",0.479241309611016,297,0.000434008671205809,0.0119398138507779,"Yes"
"PAQR6",0.476901343210082,307,0.00462176790220247,0.0522406113716994,"Yes"
"COX14",0.476399082222855,310,9.46755641098349e-06,0.00104814456339052,"Yes"
"LSM4",0.473263844844686,321,3.67025130283263e-05,0.00254170060807543,"Yes"
"AP1S1",0.472002187813974,323,0.000220175958048875,0.0080943870686514,"Yes"
"GUK1",0.469989098973078,325,2.94855591795627e-05,0.00228701956836205,"Yes"
"VKORC1",0.469905781888586,326,6.35508545831838e-05,0.00373274424653061,"Yes"
"NDUFA2",0.466301994285879,333,0.00133840939690662,0.023969337699307,"Yes"
"NDUFA11",0.462168432858197,351,6.49663383780261e-06,0.000813463595088206,"Yes"
"MZT2A",0.461657853652294,354,0.00298862258370581,0.0396464551463718,"Yes"
"IL32",0.458374205867327,363,0.018617451816619,0.11907737826827,"Yes"
"TMSB10",0.449321711107237,398,0.00851150191151744,0.0755856127455951,"Yes"
"OXLD1",0.44597822003918,410,0.000436391767301653,0.0119693219418908,"Yes"
"NDUFB1",0.444373822614338,416,0.00256521268137515,0.0358237183807417,"Yes"
"SIVA1",0.439870158308926,427,8.07870352137109e-05,0.0043276738189116,"Yes"
"TMEM141",0.439726521817169,428,0.0126438571190416,0.0961024406497605,"Yes"
"HRAS",0.439265300583949,430,0.000110538504609009,0.00526606827196663,"Yes"
"UBE2S",0.435158448464892,442,0.00070255545452726,0.016154335988216,"Yes"
"COX8A",0.430871121987837,457,0.00118510826285837,0.0220227595499836,"Yes"
"MACROD1",0.430482579351224,459,0.00470257892438372,0.0527238526542536,"Yes"
"PARL",0.429546793794402,464,7.55627257744709e-06,0.000908094941922539,"Yes"
"AMH",0.429479412163705,465,0.0033036928646649,0.0419962126366275,"Yes"
"NDUFC2",0.428658689916518,468,4.87418028417428e-05,0.00313509335390886,"Yes"
"NDUFB8",0.42009282053388,499,0.00027267032037583,0.00913920870147759,"Yes"
"TMEM134",0.417295181931478,518,0.00189123188723212,0.0298850630485027,"Yes"
"GLI4",0.415175304611241,526,0.000284167303889719,0.0093698269677861,"Yes"
"PSMA1",0.414027786582237,532,7.18674684992188e-07,0.000205125476105505,"Yes"
"MRPL55",0.413924467081847,533,0.000693436934262899,0.0160885879093737,"Yes"
"TMEM256",0.413814117771796,535,0.0141666385621553,0.102325815189755,"Yes"
"NEDD8",0.413529536876345,537,4.07348335399065e-05,0.00274576828145193,"Yes"
"FPGS",0.407346438151048,571,0.000158468019741615,0.00644707197465497,"Yes"
"CIB1",0.406606484880391,577,0.00151575194628649,0.0260203713430848,"Yes"
"POP7",0.403356916036784,588,0.00114405103430608,0.0215447219006899,"Yes"
"MYL6",0.40316984643671,591,9.03295647309691e-05,0.00467436305648899,"Yes"
"RABAC1",0.398424780831919,617,0.00309400701913993,0.040389114247993,"Yes"
"ALYREF",0.397807398616647,620,0.000941509306466276,0.019216257543262,"Yes"
"NUBP2",0.397278914483469,623,0.00119918940595379,0.0221769770659392,"Yes"
"ETFB",0.394481978344703,634,0.000151453073428929,0.00633087709914472,"Yes"
"NUDT1",0.389105115504386,663,0.000206330967036937,0.00775524233511054,"Yes"
"NAA38",0.38732975700357,677,0.00699439418350976,0.0671395683395548,"Yes"
"LDHB",0.386663261767256,682,0.0538567178922997,0.218428211753694,"Yes"
"RPLP2",0.386506369884827,683,0.00943138601171196,0.0808101437049422,"Yes"
"RPL34",0.385118787332219,689,0.00942231357843447,0.0808101437049422,"Yes"
"POLR2J",0.380677690875381,716,0.0044242262997505,0.0509347349415071,"Yes"
"ARPC1A",0.380181087888647,718,0.000326705473798144,0.00999653080380353,"Yes"
"SAC3D1",0.379814972278142,721,0.002752992485222,0.0374789533206566,"Yes"
"S100A13",0.378198949534036,730,0.00761909847165502,0.0706846479338356,"Yes"
"LUC7L",0.376383622943467,741,0.00313856739289432,0.040656172126001,"Yes"
"CTSD",0.375830352849756,746,0.00447691006224872,0.0512095965651661,"Yes"
"LTB4R",0.372606326417494,768,0.0043052856463122,0.0501560286359599,"Yes"
"PRPF31",0.372356087144556,769,6.76791630093877e-05,0.00389998508104885,"Yes"
"COPRS",0.37032875213028,780,0.00194555240516729,0.030454081711578,"Yes"
"RPL18",0.366277332936882,799,0.0171906513294502,0.113858458243317,"Yes"
"POLR2I",0.361876768155278,830,0.00181897208209341,0.0292235382793319,"Yes"
"BABAM1",0.359775893620236,842,2.69740691177236e-05,0.00216939277234377,"Yes"
"ITPA",0.357717444158444,858,0.000907632648183496,0.0188620313815335,"Yes"
"PRR13",0.357357533375955,864,1.03211046434237e-05,0.00111559537586639,"Yes"
"C6orf226",0.356753351045288,870,0.0203726865912077,0.126066350257992,"Yes"
"HIGD2A",0.35571893056977,882,0.00232098724000466,0.033917979130532,"Yes"
"SF3B5",0.35551047291725,885,0.0131285042595863,0.0981655289847985,"Yes"
"GPX1",0.355382900483773,887,0.0169233906206934,0.112907076869323,"Yes"
"PRR5",0.350545750651757,916,0.000888975718865137,0.0186818708024404,"Yes"
"NDUFA3",0.3471317509961,937,0.00577276002038339,0.0601889311029357,"Yes"
"VAMP5",0.343160326021127,964,0.0177444653874578,0.116012222345272,"Yes"
"TMA7",0.33889576940229,999,0.0172845650181617,0.114149367023413,"Yes"
"TMEM219",0.335653792868064,1025,0.000420730701797917,0.0118026769766377,"Yes"
