"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"GRIN3A",0.314463279385697,103,0.139631185364666,0.97196958734216,"Yes"
"UPK3A",0.304717633900299,113,0.1493915961417,0.97196958734216,"Yes"
"BHLHA15",0.284621908162663,133,0.113386489454228,0.97196958734216,"Yes"
"SELENOM",0.266033709825622,150,0.0934293944082076,0.97196958734216,"Yes"
"PFKP",0.249880378277485,179,0.0200435832713996,0.831096748670774,"Yes"
"COMTD1",0.248607543048243,183,0.0868502991670873,0.97196958734216,"Yes"
"EHF",0.244572476525166,192,0.0376824310291102,0.97196958734216,"Yes"
"DLG5",0.240121100441318,202,0.0357768020238025,0.97196958734216,"Yes"
"PFKFB3",0.239821595548379,203,0.0300000459877762,0.950070780475971,"Yes"
"CHCHD10",0.223014073016897,240,0.105543036776739,0.97196958734216,"Yes"
"CERS6",0.222874010866925,241,0.0415871351866484,0.97196958734216,"Yes"
"PLXNB3",0.216137257622854,255,0.0585267200785971,0.97196958734216,"Yes"
"DNAJB1",0.214767116265588,262,0.0150752094050943,0.782658715378425,"Yes"
"BCL9L",0.202391463958024,300,0.0423268103689792,0.97196958734216,"Yes"
"GADD45G",0.200684755324203,303,0.23508770459398,0.97196958734216,"Yes"
"NDUFAF8",0.199600486258602,309,0.070741527081565,0.97196958734216,"Yes"
"ACO2",0.197734120807993,319,0.0168824019941281,0.795722682959717,"Yes"
"SRXN1",0.197657676052175,320,3.3277775585752e-10,1.44782093637725e-07,"Yes"
"SEC24C",0.188694981229319,352,0.105919727468609,0.97196958734216,"Yes"
"CYP51A1",0.179759421310457,401,0.0217831353787782,0.856944552897059,"Yes"
"GTF2I",0.176210426867563,417,0.0418174656321087,0.97196958734216,"Yes"
"RHBDD2",0.175694286225062,419,0.0313482017781403,0.962732253936063,"Yes"
"METTL26",0.166850486090271,477,0.148670357980313,0.97196958734216,"Yes"
"CSNK1A1",0.165149730055266,493,0.0317378821359011,0.966082188151801,"Yes"
"DUSP23",0.162954606525924,504,0.245220624212643,0.97196958734216,"Yes"
"TBC1D14",0.157238948674766,560,0.129509765754852,0.97196958734216,"Yes"
"ADAM9",0.151420419920925,615,0.200105137723567,0.97196958734216,"Yes"
"CIB1",0.146918511395539,663,0.133381719226187,0.97196958734216,"Yes"
"AP1S1",0.145865901594098,673,0.080665523497552,0.97196958734216,"Yes"
"BCHE",0.145251682987702,680,0.316180082743651,0.97196958734216,"Yes"
"GUK1",0.140187335685491,746,0.102156852197223,0.97196958734216,"Yes"
"UQCR11",0.139937420868725,753,0.144534343378979,0.97196958734216,"Yes"
"TMEM238",0.138655218294986,766,0.338611590687059,0.97196958734216,"Yes"
"USP34",0.138196264066206,773,0.191216780763584,0.97196958734216,"Yes"
"HES1",0.13693970882778,797,0.290733433239641,0.97196958734216,"Yes"
"MZT2A",0.134193403927303,836,0.26338894808934,0.97196958734216,"Yes"
"AIDA",0.133536683239897,853,0.349622519815875,0.97196958734216,"Yes"
"AURKAIP1",0.130382442170958,910,0.215542905546355,0.97196958734216,"Yes"
"IRS1",0.129353226402849,928,0.256053854942714,0.97196958734216,"Yes"
"HEATR1",0.128167541038075,939,0.110918579543265,0.97196958734216,"Yes"
"MRPL41",0.127513756569615,955,0.367646274462709,0.97196958734216,"Yes"
"BORCS6",0.127473341560351,957,0.0741746689922011,0.97196958734216,"Yes"
"PRR5",0.127121996441562,962,0.125420890741004,0.97196958734216,"Yes"
"LSM4",0.126423628451418,980,0.134593837608514,0.97196958734216,"Yes"
"POP7",0.125343706914768,995,0.128238632691283,0.97196958734216,"Yes"
"HK2",0.124144039184488,1017,0.333798994183643,0.97196958734216,"Yes"
"EFS",0.122983991848313,1040,0.400399695900399,0.97196958734216,"Yes"
"BEX2",0.121290985848018,1070,0.369358856884493,0.97196958734216,"Yes"
"SPG11",0.11988550608238,1098,0.138226688548079,0.97196958734216,"Yes"
"COPS9",0.118956994190643,1124,0.262526500878208,0.97196958734216,"Yes"
"LDLR",0.118387491052865,1142,0.35472078980858,0.97196958734216,"Yes"
