"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"TFF3",1.75699843878767,47,1.04993622864591e-05,6.79484913772052e-05,"Yes"
"SPTBN2",1.42553485722702,96,4.78841763686654e-11,1.64435528906082e-09,"Yes"
"RALGAPA2",1.39846308301737,101,2.59674373699822e-16,6.46197900360406e-14,"Yes"
"BHLHA15",1.35992343804226,106,1.16568172624769e-07,1.35829212565847e-06,"Yes"
"CHDH",1.20546220340318,150,2.16846105047655e-11,8.45327541694355e-10,"Yes"
"ACACA",1.14137228697172,178,6.20190452286159e-14,6.08993500336776e-12,"Yes"
"SAPCD2",1.12190007372979,187,1.15453158418395e-08,1.83172233696818e-07,"Yes"
"HK2",1.10298802915978,192,1.92632887558211e-07,2.11921419695646e-06,"Yes"
"SLC22A23",1.06245710313956,213,2.99856823251931e-09,5.62727174710184e-08,"Yes"
"PLEKHH1",1.03309186411257,233,1.16127687551783e-07,1.35489760569408e-06,"Yes"
"PCSK6",0.949907443041494,283,1.64825723394637e-17,6.50918280692823e-15,"Yes"
"USP54",0.947367780562427,286,1.25718001745771e-08,1.96878725837386e-07,"Yes"
"CCDC154",0.925566236961422,306,2.94709270189232e-06,2.28692379421512e-05,"Yes"
"ADRA2A",0.898879302827783,327,3.4608412113253e-06,2.62394162958829e-05,"Yes"
"PRAC2",0.894822038644916,331,0.000428852684566473,0.00173508638481839,"Yes"
"SIPA1L3",0.880170841023519,353,3.88661192338556e-11,1.38711576031871e-09,"Yes"
"PEX10",0.863861059805321,369,2.57912897184723e-05,0.000149592774273872,"Yes"
"CENPM",0.852967769283328,383,3.48973875698208e-09,6.42947203441547e-08,"Yes"
"MEX3A",0.850254145090551,391,4.6050696829742e-07,4.55145244074588e-06,"Yes"
"GRIN3A",0.8261172008919,411,0.000252184149056607,0.00109388186527276,"Yes"
"P4HA1",0.80655255461532,437,2.1575530185379e-08,3.17104434747245e-07,"Yes"
"MYO10",0.726321092259862,552,4.12242386559634e-10,1.03436397710529e-08,"Yes"
"EPB41",0.709851891896757,584,1.13890338672356e-09,2.4431695856892e-08,"Yes"
"ATP11A",0.702761191913422,596,2.77589167291579e-06,2.16982995396679e-05,"Yes"
"PLXNB3",0.681750910553573,636,1.22896830980832e-05,7.8006423186506e-05,"Yes"
"TMEM238",0.662953485976988,675,4.43178067152683e-05,0.000238979868263616,"Yes"
"GRPR",0.629439447665231,742,5.99235367045735e-06,4.17879483835232e-05,"Yes"
"RPL39",0.624506827691475,756,0.000536149297788793,0.00210133509031957,"Yes"
"NRIP1",0.606089954927403,814,4.46004828996162e-05,0.00024013407597938,"Yes"
"POMK",0.597250387176562,842,4.72479260967278e-07,4.65458690603665e-06,"Yes"
"DPYSL4",0.580980135624541,898,0.00178856188470738,0.00596493761659525,"Yes"
"HSF4",0.579039314736558,901,0.00207867500321339,0.00679280627961403,"Yes"
"ZFP69B",0.570423915066553,932,5.92409045764805e-14,5.84875148117578e-12,"Yes"
"CASKIN1",0.566761577365133,945,5.88962160217992e-13,4.08362084065651e-11,"Yes"
"PAQR6",0.566173287179085,948,4.26082532391214e-05,0.00023127300513724,"Yes"
"MRPL41",0.556585174168145,987,0.00282549490188832,0.00887105779255156,"Yes"
"SLC26A1",0.523659845921552,1115,5.83394973556433e-09,1.0054983956002e-07,"Yes"
"GNL3L",0.522163962424641,1123,4.6993083247347e-06,3.39839489486412e-05,"Yes"
"CCDC57",0.519271139829774,1139,1.70012674378397e-08,2.57585508153292e-07,"Yes"
"C4orf48",0.508805704024621,1190,0.00220317430490224,0.00714566406406964,"Yes"
"UBE2S",0.499764940765026,1222,3.40473546592856e-05,0.00019077860726113,"Yes"
"METTL26",0.4922359043011,1259,0.0019124105580774,0.0063222657321263,"Yes"
"RPS18",0.492009237539305,1260,0.00862366591535393,0.0229501761122951,"Yes"
"KPNB1",0.482344296377944,1314,2.20843386198072e-10,5.96113068896608e-09,"Yes"
"SLC35E2B",0.476745644167174,1333,1.53491283993663e-05,9.47038142189466e-05,"Yes"
"QPCTL",0.476320597981448,1337,1.07694230342921e-05,6.94241798583923e-05,"Yes"
"MT-ND2",0.438402924592912,1532,0.103163960854778,0.182108299765611,"Yes"
"USP22",0.432912704283797,1564,0.000175205809954983,0.000794505427768903,"Yes"
"SMCR8",0.402673017920276,1772,0.000938158599571895,0.00342014632145756,"Yes"
"TUT1",0.392965549655853,1839,2.3498650647685e-05,0.000138058372466315,"Yes"
"SAC3D1",0.387788242389925,1879,0.000194562973719331,0.000870763976493068,"Yes"
"ADAM9",0.386162959268897,1890,0.00455919976159143,0.0133133616571403,"Yes"
"IL1RAPL1",0.383729230274331,1904,0.00012642377994495,0.000599638221013044,"Yes"
"TM9SF4",0.380935276713146,1926,8.77823791328803e-07,8.01736902628408e-06,"Yes"
"C19orf18",0.380295280264879,1928,0.000152631878162347,0.000704806990009454,"Yes"
"SNRPN",0.377543203688918,1949,0.0148611563759258,0.0365661339191478,"Yes"
"PCLAF",0.37406682491222,1985,0.00230387838516175,0.00742983396855112,"Yes"
"MZT2A",0.372539331799729,1994,0.0121788547222985,0.0308221057237773,"Yes"
"ATP6V0B",0.362956987042406,2078,0.0133051902371091,0.0332295782615468,"Yes"
