"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"BHLHA15",0.31867118576884,98,0.0776107552702186,0.961953958507263,"Yes"
"GRIN3A",0.317178860548328,101,0.140492291149157,0.961953958507263,"Yes"
"EHF",0.281614581775816,133,0.018685687975865,0.843403251480126,"Yes"
"DLG5",0.275100625288611,143,0.0166003309579691,0.834475471687762,"Yes"
"CERS6",0.256754319596969,172,0.0200312702993078,0.843403251480126,"Yes"
"PFKFB3",0.252635991336941,179,0.0234270112677427,0.843403251480126,"Yes"
"PFKP",0.248320428618092,188,0.0221462926331731,0.843403251480126,"Yes"
"SEC24C",0.225732686664206,235,0.0544813465609865,0.961137546427122,"Yes"
"BCL9L",0.223491999931263,238,0.0258978478737333,0.845493436023088,"Yes"
"PLXNB3",0.211871040731992,277,0.0668616336218374,0.961953958507263,"Yes"
"DNAJB1",0.2083634066235,291,0.0178539170359662,0.841536653297569,"Yes"
"ACO2",0.203500992206617,312,0.013359676729978,0.768631951687148,"Yes"
"GTF2I",0.199237795729545,331,0.0216106518898917,0.843403251480126,"Yes"
"SRXN1",0.191134159792371,357,2.94954756066467e-09,1.25342052502385e-06,"Yes"
"TBC1D14",0.188114659722304,377,0.0700695382504376,0.961953958507263,"Yes"
"CYP51A1",0.187891826198081,378,0.0172449487965222,0.834475471687762,"Yes"
"CSNK1A1",0.184786561741568,393,0.0170551358104024,0.834475471687762,"Yes"
"USP34",0.183920764346962,396,0.0807449262685501,0.961953958507263,"Yes"
"ADAM9",0.182516117620072,404,0.125531807318559,0.961953958507263,"Yes"
"IRS1",0.165057019515684,514,0.150547284267814,0.961953958507263,"Yes"
"ZNF770",0.164842341459041,515,0.142976279324987,0.961953958507263,"Yes"
"HEATR1",0.158523688057211,569,0.0487677524508796,0.958910750271067,"Yes"
"HK2",0.152847530766858,621,0.238595123399051,0.961953958507263,"Yes"
"LDLR",0.151925343044442,630,0.238289606875274,0.961953958507263,"Yes"
"AFF4",0.151046225421599,636,0.0879106892749387,0.961953958507263,"Yes"
"SPG11",0.150662125505167,640,0.0622022376866013,0.961953958507263,"Yes"
"GNG12",0.13958168546547,771,0.112786706422834,0.961953958507263,"Yes"
"DAGLA",0.13736177054094,809,0.0732601517064109,0.961953958507263,"Yes"
"EFS",0.1368949361731,818,0.354431174614828,0.961953958507263,"Yes"
"AIDA",0.134893967431835,845,0.360703585274995,0.961953958507263,"Yes"
"BCHE",0.134600344686298,851,0.363835960825188,0.961953958507263,"Yes"
"TLN1",0.133149449649468,875,0.122726771528993,0.961953958507263,"Yes"
"ZNF41",0.131632870208101,903,0.0452616583489926,0.954822705704888,"Yes"
"GNL3L",0.130399755993956,917,0.0757234667845448,0.961953958507263,"Yes"
"FYCO1",0.128665431678312,943,0.106349834937945,0.961953958507263,"Yes"
"PRRC2B",0.127138393981786,978,0.265360202750512,0.961953958507263,"Yes"
"SHC1",0.121793543622196,1077,0.11740453612739,0.961953958507263,"Yes"
"DENND4C",0.120482165869358,1110,0.227119834326932,0.961953958507263,"Yes"
"ASAP2",0.119071641410266,1139,0.183721169003327,0.961953958507263,"Yes"
"ZNF275",0.118570679757757,1151,0.0724891496015565,0.961953958507263,"Yes"
"RAB11FIP1",0.114770827482382,1246,0.321691419785325,0.961953958507263,"Yes"
"NEK4",0.112977141764318,1285,0.107089561641682,0.961953958507263,"Yes"
"ACER2",0.112115973599752,1307,0.298246589079947,0.961953958507263,"Yes"
"CCDC85C",0.111537555768326,1320,0.103018234061627,0.961953958507263,"Yes"
"EP300",0.108989599279875,1384,0.2298466502645,0.961953958507263,"Yes"
"DDX3X",0.106591905095215,1465,0.102142532410702,0.961953958507263,"Yes"
"CNOT1",0.105494361985042,1498,0.35730461934997,0.961953958507263,"Yes"
"BAZ2A",0.102292275381293,1602,0.226528054061021,0.961953958507263,"Yes"
"RNF169",0.101419158766004,1632,0.203282669484206,0.961953958507263,"Yes"
"KLHL11",0.101394058731566,1637,0.197259195893384,0.961953958507263,"Yes"
"MFAP3",0.0987880787645505,1708,0.234496701814027,0.961953958507263,"Yes"
"HSPA4",0.0987532433518492,1710,0.0967676956409179,0.961953958507263,"Yes"
"POM121",0.0982385472294607,1730,0.237731857419139,0.961953958507263,"Yes"
"RAVER1",0.0962210057743556,1801,0.293199507731378,0.961953958507263,"Yes"
"KDM3A",0.0939293378130803,1884,0.17843917988328,0.961953958507263,"Yes"
"SLC4A2",0.0936208111935537,1895,0.240952231442081,0.961953958507263,"Yes"
"ATG9A",0.0929994938611372,1920,0.27011829923721,0.961953958507263,"Yes"
"TBC1D5",0.0919566176925484,1965,0.161630840329442,0.961953958507263,"Yes"
"SAPCD2",0.0899899823230301,2054,0.378220457874005,0.961953958507263,"Yes"
"B4GALT5",0.0897344812100771,2065,0.262721683929094,0.961953958507263,"Yes"
"TAF6",0.0893140335929195,2092,0.201960593706996,0.961953958507263,"Yes"
"POMK",0.0892318619168648,2099,0.38505357744251,0.961953958507263,"Yes"
"VRK2",0.0891787488972398,2101,0.160085012780842,0.961953958507263,"Yes"
"SMCR8",0.0852597189719089,2275,0.337134441407248,0.961953958507263,"Yes"
"ZFR",0.0815544605915868,2432,0.18709044237131,0.961953958507263,"Yes"
"PKD1",0.0787451493769935,2576,0.412698615494712,0.962613387123402,"Yes"
"ZFYVE9",0.0757741300753669,2723,0.294217432250642,0.961953958507263,"Yes"
"STX17",0.0755628537727393,2735,0.225713445970302,0.961953958507263,"Yes"
"USP22",0.0754265747551282,2745,0.433105416810772,0.962613387123402,"Yes"
"CDC42BPB",0.0750435731369294,2770,0.459103195894643,0.962613387123402,"Yes"
"SMC4",0.0735481750417983,2845,0.437767575289572,0.962613387123402,"Yes"
"TCF20",0.0726661124544625,2901,0.243775245666195,0.961953958507263,"Yes"
"NRIP1",0.0706570681953109,2993,0.547483033792015,0.972817794316773,"Yes"
"UBE4A",0.0687347939764322,3095,0.503693951587058,0.965425622265064,"Yes"
"ACACA",0.0662302499637173,3206,0.553441305580392,0.972817794316773,"Yes"
"ARHGAP5",0.0656333925593522,3241,0.521851766677469,0.968868653437711,"Yes"
"CA12",0.0630689222121004,3399,0.581841430911808,0.974889403904491,"Yes"
"RNF123",0.0608536803070381,3540,0.454216863987114,0.962613387123402,"Yes"
"P4HA1",0.0602719575226116,3583,0.566114370838579,0.973952866602945,"Yes"
"USP54",0.059546391215139,3632,0.600247273979278,0.974889403904491,"Yes"
"PCSK6",0.0595424896181136,3633,0.508952140323616,0.967933027026925,"Yes"
"HGS",0.058964792824423,3674,0.388112792835266,0.961953958507263,"Yes"
"RLF",0.0580656035912623,3721,0.337306299031869,0.961953958507263,"Yes"
"SMG6",0.0568796382907211,3803,0.444329862015246,0.962613387123402,"Yes"
"FAM53C",0.0541769497443974,3980,0.453033930589479,0.962613387123402,"Yes"
"NEMF",0.052307481108242,4082,0.449462778646562,0.962613387123402,"Yes"
"HPS3",0.0522219316392634,4089,0.499186491919542,0.965425622265064,"Yes"
"RBL2",0.0517864024291534,4116,0.60717022300126,0.974889403904491,"Yes"
"PARP4",0.0512825535028418,4146,0.510668465786552,0.967933027026925,"Yes"
"SDAD1",0.0498116027915518,4255,0.362725190342401,0.961953958507263,"Yes"
"PRMT5",0.0498007572779695,4257,0.506692573601299,0.96724090743491,"Yes"
"MYO18A",0.0485666788156935,4354,0.486265101132809,0.963535743091324,"No"
"RGP1",0.0474463147147781,4432,0.525507261141412,0.968868653437711,"No"
"ZNF710",0.0460067285607124,4531,0.496901500830151,0.965425622265064,"No"
"SQSTM1",0.0449504894290564,4614,0.603693024498765,0.974889403904491,"No"
"MEX3A",0.0438493052837794,4700,0.757514275774211,0.988070096138049,"No"
"TSTD2",0.0432058202669856,4741,0.579269760497209,0.974889403904491,"No"
"MORC2",0.0428713723032228,4770,0.351616951113475,0.961953958507263,"No"
"EPB41",0.0421363908947288,4823,0.672958772348564,0.982229028624857,"No"
"TM9SF4",0.0410284696346661,4894,0.484361413908372,0.963535743091324,"No"
"ZFP69B",0.0401407271337592,4968,0.444909456637957,0.962613387123402,"No"
"SPTBN2",0.0383379989954715,5117,0.700736781717196,0.983432995456014,"No"
"RAB8A",0.0369136523551359,5261,0.511043217462769,0.967933027026925,"No"
"ALG12",0.0368715355807878,5266,0.53436495897457,0.970621361366036,"No"
"OAS3",0.0353839040281776,5399,0.793760250498541,0.988741473863441,"No"
"EHD3",0.0350852331170177,5429,0.692116727600096,0.98263152052947,"No"
"RECQL",0.0343766630805828,5494,0.675030829129883,0.982229028624857,"No"
"CAP1",0.0326362662790514,5624,0.570723842420579,0.973952866602945,"No"
"DNAJC11",0.0325142993538772,5637,0.616510045571753,0.975842864367127,"No"
"TUB",0.0315189617581486,5713,0.747207639346152,0.987904232899193,"No"
"MYO10",0.0304616106236408,5809,0.710234859984543,0.985753432058228,"No"
"RNMT",0.0296556895873303,5886,0.604312780051144,0.974889403904491,"No"
"ZNF384",0.0294514211843997,5907,0.693044812242065,0.98263152052947,"No"
"RNF31",0.0291664490927952,5927,0.451498120917062,0.962613387123402,"No"
"PEX10",0.0253967051671968,6238,0.882246527906553,0.995430762001019,"No"
"ZSCAN21",0.0247727484297202,6295,0.600271411168671,0.974889403904491,"No"
"CEBPZ",0.0218976708438476,6562,0.79071171732413,0.988741473863441,"No"
"PPP2R5D",0.0211391871014683,6629,0.778382397805836,0.988741473863441,"No"
"CCDC154",0.0202863918534493,6702,0.876471299397034,0.995379202197669,"No"
"SIPA1L3",0.0158419459065136,7155,0.866589411321049,0.994615736889418,"No"
"KLHDC2",0.0117698927800736,7529,0.814067567335097,0.990022694949667,"No"
"SLC35E2B",0.00999901813020099,7724,0.906806358007455,0.996396890482989,"No"
"EDC4",0.00810517230285956,7921,0.91583628374621,0.996396890482989,"No"
"FERMT1",0.00543485880019867,8200,0.962708212661204,0.997726456533199,"No"
"SERF1B",0.00476541626542959,8264,0.839629413609919,0.993371139928155,"No"
"TRIM32",0.00410265693030176,8343,0.954897343690298,0.996725389280917,"No"
"DHX38",0.00330792934550983,8439,0.960076112996143,0.997222784565065,"No"
"FAN1",0.00295091586226959,8487,0.964611960925095,0.997726456533199,"No"
"RALGAPA2",0.00222446313737112,8578,0.986858321470503,0.998713329255063,"No"
"SMARCC2",0.00203882162592839,8604,0.981297132130663,0.998196402937929,"No"
"KBTBD4",0.00100640485834314,8722,0.985085940086933,0.998595814612682,"No"
"KLF13",0.000976806095061455,8725,0.99263095918679,0.999135969933079,"No"
"KPNB1",-0.000701720267013428,8944,0.9906984214786,0.998927071480386,"No"
"IL1RAPL1",-0.00205944909714956,9141,0.979183459016177,0.997885184331778,"No"
"TRIM49D1",-0.00365356313951948,9387,0.301537559942069,0.961953958507263,"No"
"EXOC7",-0.00412584525359216,9453,0.95198700102995,0.996725389280917,"No"
"HEATR6",-0.00470698153346838,9553,0.924625674473228,0.996624672772691,"No"
"KAT5",-0.00480036747560542,9578,0.925440045461913,0.996624672772691,"No"
"SEMA3G",-0.00740399138584213,10051,0.94006701795933,0.996725389280917,"No"
"SLITRK3",-0.0139972605287745,11326,0.739235898827863,0.98671061370522,"No"
"CASKIN1",-0.0154182926601411,11601,0.834312689545178,0.993371139928155,"No"
"CHDH",-0.016262588991482,11741,0.874015105194276,0.995379202197669,"No"
"PLEKHH1",-0.0174733714818269,11928,0.901666259140863,0.99632022454381,"No"
"ADRA2A",-0.0183868964354708,12083,0.916666254591698,0.996396890482989,"No"
"VPS52",-0.0207970278433143,12449,0.745831875721974,0.987904232899193,"No"
"NT5C2",-0.0229727537365267,12765,0.805938453695435,0.988741473863441,"No"
"ITPR3",-0.0230063647479279,12768,0.870368526420158,0.995118942329703,"No"
"TTC3",-0.0268611759481328,13233,0.685599577293051,0.98263152052947,"No"
"DPYSL4",-0.0319892226139724,13757,0.837328348156228,0.993371139928155,"No"
"ULBP3",-0.0396950286169989,14441,0.435539774778695,0.962613387123402,"No"
"EVC",-0.0400684594869838,14467,0.694332060407712,0.98263152052947,"No"
"SLC26A1",-0.0413134828314417,14566,0.59490186283597,0.974889403904491,"No"
"PTPRS",-0.0453754640216752,14861,0.674029130999115,0.982229028624857,"No"
"ATP11A",-0.0530393514897631,15343,0.701953630795439,0.984387797569624,"No"
"SLC22A23",-0.0537942016235422,15389,0.595104151771129,0.974889403904491,"No"
"TNC",-0.0781682785326647,16513,0.634543105992585,0.979880563677205,"No"
"GPR153",-0.110778889974961,17301,0.182343261847018,0.961953958507263,"No"
"SCD5",-0.137982340986149,17659,0.275694886234281,0.961953958507263,"No"
"GRPR",-0.155398960410415,17815,0.182184785704391,0.961953958507263,"No"
"PRKG2",-0.19140844907235,18026,0.167041944869196,0.961953958507263,"No"
