"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"GRIN3A",0.314463279385697,103,0.139631185364666,0.97196958734216,"Yes"
"BHLHA15",0.284621908162663,133,0.113386489454228,0.97196958734216,"Yes"
"PFKP",0.249880378277485,179,0.0200435832713996,0.831096748670774,"Yes"
"EHF",0.244572476525166,192,0.0376824310291102,0.97196958734216,"Yes"
"DLG5",0.240121100441318,202,0.0357768020238025,0.97196958734216,"Yes"
"PFKFB3",0.239821595548379,203,0.0300000459877762,0.950070780475971,"Yes"
"CERS6",0.222874010866925,241,0.0415871351866484,0.97196958734216,"Yes"
"PLXNB3",0.216137257622854,255,0.0585267200785971,0.97196958734216,"Yes"
"DNAJB1",0.214767116265588,262,0.0150752094050943,0.782658715378425,"Yes"
"BCL9L",0.202391463958024,300,0.0423268103689792,0.97196958734216,"Yes"
"ACO2",0.197734120807993,319,0.0168824019941281,0.795722682959717,"Yes"
"SRXN1",0.197657676052175,320,3.3277775585752e-10,1.44782093637725e-07,"Yes"
"SEC24C",0.188694981229319,352,0.105919727468609,0.97196958734216,"Yes"
"CYP51A1",0.179759421310457,401,0.0217831353787782,0.856944552897059,"Yes"
"GTF2I",0.176210426867563,417,0.0418174656321087,0.97196958734216,"Yes"
"CSNK1A1",0.165149730055266,493,0.0317378821359011,0.966082188151801,"Yes"
"TBC1D14",0.157238948674766,560,0.129509765754852,0.97196958734216,"Yes"
"ADAM9",0.151420419920925,615,0.200105137723567,0.97196958734216,"Yes"
"BCHE",0.145251682987702,680,0.316180082743651,0.97196958734216,"Yes"
"USP34",0.138196264066206,773,0.191216780763584,0.97196958734216,"Yes"
"AIDA",0.133536683239897,853,0.349622519815875,0.97196958734216,"Yes"
"IRS1",0.129353226402849,928,0.256053854942714,0.97196958734216,"Yes"
"HEATR1",0.128167541038075,939,0.110918579543265,0.97196958734216,"Yes"
"HK2",0.124144039184488,1017,0.333798994183643,0.97196958734216,"Yes"
"EFS",0.122983991848313,1040,0.400399695900399,0.97196958734216,"Yes"
"SPG11",0.11988550608238,1098,0.138226688548079,0.97196958734216,"Yes"
"LDLR",0.118387491052865,1142,0.35472078980858,0.97196958734216,"Yes"
"AFF4",0.116370594177095,1191,0.187544196118889,0.97196958734216,"Yes"
"ZNF770",0.115988533700345,1202,0.300635428737774,0.97196958734216,"Yes"
"SHC1",0.113377082859587,1264,0.132547084227001,0.97196958734216,"Yes"
"GNG12",0.112870261441815,1279,0.192756451375451,0.97196958734216,"Yes"
"TLN1",0.112817363277693,1281,0.183675471269587,0.97196958734216,"Yes"
"DAGLA",0.110137091209001,1342,0.154826035404519,0.97196958734216,"Yes"
"ZNF41",0.109188672667966,1370,0.0955790807880709,0.97196958734216,"Yes"
"GNL3L",0.105247266703757,1475,0.16058449475022,0.97196958734216,"Yes"
"SLC4A2",0.100462927812733,1612,0.220245062137811,0.97196958734216,"Yes"
"ZNF275",0.0993304154423131,1649,0.128012140177343,0.97196958734216,"Yes"
"FYCO1",0.0974222933913729,1715,0.220386573556741,0.97196958734216,"Yes"
"PRRC2B",0.0957380865369792,1790,0.399825637062038,0.97196958734216,"Yes"
"SAPCD2",0.095207252441047,1815,0.351376864996637,0.97196958734216,"Yes"
"ASAP2",0.0951974587988982,1816,0.285802448795713,0.97196958734216,"Yes"
"NEK4",0.0933438430618896,1886,0.177574774591721,0.97196958734216,"Yes"
"DDX3X",0.0928092790381685,1901,0.151546319152463,0.97196958734216,"Yes"
"CCDC85C",0.0925408126620983,1914,0.174958444065178,0.97196958734216,"Yes"
"HSPA4",0.0881539382361751,2091,0.138065052704834,0.97196958734216,"Yes"
"TAF6",0.0872367893360599,2127,0.208352581564551,0.97196958734216,"Yes"
"RAVER1",0.0839499208036627,2280,0.353074009392117,0.97196958734216,"Yes"
"POM121",0.0800964681959857,2468,0.333665097565604,0.97196958734216,"Yes"
"KDM3A",0.0790136077310746,2510,0.261656978004083,0.97196958734216,"Yes"
"BAZ2A",0.0787586124486923,2524,0.351742717100206,0.97196958734216,"Yes"
"DENND4C",0.0755255991787718,2684,0.452456303640914,0.97196958734216,"Yes"
"RAB11FIP1",0.0744150073041534,2755,0.519627623506836,0.97196958734216,"Yes"
"ATG9A",0.0743801601955849,2757,0.378784827789088,0.97196958734216,"Yes"
"B4GALT5",0.0733766263168865,2814,0.358259360991856,0.97196958734216,"Yes"
"POMK",0.0726538286280594,2849,0.467447196365525,0.97196958734216,"Yes"
"ACER2",0.0723495143267461,2873,0.503461786404606,0.97196958734216,"Yes"
"VRK2",0.0709315094868841,2936,0.257825703381584,0.97196958734216,"Yes"
"PKD1",0.0689534206803333,3045,0.469478264734976,0.97196958734216,"Yes"
"EP300",0.0689207818467543,3046,0.447867634075014,0.97196958734216,"Yes"
"TBC1D5",0.067642481894032,3112,0.304305200435051,0.97196958734216,"Yes"
"RNF169",0.0674569698404084,3123,0.407521248584885,0.97196958734216,"Yes"
"MFAP3",0.0670558749339978,3152,0.419422154109853,0.97196958734216,"Yes"
"KLHL11",0.0662363867409945,3209,0.408419824132762,0.97196958734216,"Yes"
