"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"TMEM238",1.55480778738247,73,1.12980899738627e-15,1.00180054108047e-13,"Yes"
"PRAC2",1.45578388046064,91,7.31906532311462e-09,7.64379915334544e-08,"Yes"
"TFF3",1.27215398105489,149,0.000419680189483261,0.00129569964400619,"Yes"
"MRPL41",1.25705744493285,160,4.4991682416008e-14,2.37519673702544e-12,"Yes"
"HSF4",1.23589489408346,169,2.022785717291e-08,1.85018547381259e-07,"Yes"
"RPL39",1.13785741413383,208,3.99926691324428e-11,8.16921761027587e-10,"Yes"
"METTL26",1.13452001363893,210,2.72466839461792e-15,2.09994906734561e-13,"Yes"
"PAQR6",1.04307463038916,269,3.4476495781962e-10,5.32781448353062e-09,"Yes"
"C4orf48",1.02893645671875,280,9.75505151656169e-08,7.39974132066096e-07,"Yes"
"CENPM",1.01044520628412,292,2.77256981103023e-12,7.96773515783907e-11,"Yes"
"UBE2S",0.934923389229905,366,4.94280145045969e-12,1.32772369550142e-10,"Yes"
"GADD45G",0.930827257907804,373,1.15384493601403e-05,5.28223849654945e-05,"Yes"
"COMTD1",0.892410544748743,427,2.63093095671883e-07,1.77658354363867e-06,"Yes"
"SNRNP70",0.883330835761337,442,3.81830140631395e-12,1.04565357552819e-10,"Yes"
"SNRPN",0.881918018695671,444,1.08459666274825e-10,1.95570016206905e-09,"Yes"
"RASSF7",0.876190859862667,451,1.26334147952977e-09,1.64829967607792e-08,"Yes"
"NDUFAF8",0.873150224190216,455,7.67807316513707e-12,1.95059366389977e-10,"Yes"
"RPS26",0.852047716751518,481,4.41944806101754e-07,2.81314875061197e-06,"Yes"
"SCAND1",0.848541248469378,486,1.33562063764093e-09,1.73024443738647e-08,"Yes"
"FAM89B",0.841704488588092,496,5.75543828453047e-15,3.99729413327885e-13,"Yes"
"MZT2A",0.834197185452016,504,2.00533145271441e-09,2.46496529712526e-08,"Yes"
"RPL38",0.833903930544471,505,6.47697650537441e-10,9.14740958929069e-09,"Yes"
"RPS29",0.797076583633459,561,1.75983418101388e-07,1.24545258234791e-06,"Yes"
"RPS18",0.795049816243246,564,2.77347794711248e-06,1.45995239717454e-05,"Yes"
"JTB",0.787902192957795,578,9.34953564355352e-12,2.32036165849387e-10,"Yes"
"OXLD1",0.778453890776384,598,1.25700253554312e-12,4.07473829830841e-11,"Yes"
"LSM7",0.770168296041573,628,1.55637276956729e-10,2.62742190470573e-09,"Yes"
"SAC3D1",0.767603214668061,635,2.31090007363741e-11,5.18561434214509e-10,"Yes"
"NOXA1",0.765804704081678,638,2.08601628100714e-06,1.12864850085535e-05,"Yes"
"TMEM256",0.761807397562801,644,4.70050247776689e-07,2.97606163808978e-06,"Yes"
"AP1S1",0.751861354660683,670,2.469888210159e-08,2.20395593779991e-07,"Yes"
"COX6A1",0.749902244252431,677,6.60829821286396e-09,6.96923644088759e-08,"Yes"
"QPCTL",0.722614457801924,732,2.47391704095441e-11,5.48404959588267e-10,"Yes"
"MACROD1",0.719774580849707,740,1.61047666503466e-07,1.1527024593857e-06,"Yes"
"RPS19",0.700918163006157,802,1.12635189366206e-06,6.48406671592538e-06,"Yes"
"POP7",0.675766869798784,885,2.87694936330496e-11,6.21738547231549e-10,"Yes"
"CCDC57",0.673526524363143,893,2.05486800763013e-10,3.36027027997958e-09,"Yes"
"ATP6V0B",0.672907813297774,894,1.28705178557981e-07,9.44791143473464e-07,"Yes"
"TMEM134",0.663116566696305,940,9.3799114128223e-07,5.5020379533273e-06,"Yes"
"SMIM4",0.64946594102422,979,2.6918720211876e-09,3.1886987249684e-08,"Yes"
"AMH",0.648961251543386,982,5.31963182743309e-06,2.63186335210977e-05,"Yes"
"EEF1E1",0.637121600586569,1035,2.2037815561697e-08,1.99432002650266e-07,"Yes"
"GLI4",0.622082613519316,1095,9.15677173799984e-09,9.29208847590584e-08,"Yes"
"PSMG3",0.618506273170469,1110,3.53883116933549e-10,5.45091724291257e-09,"Yes"
"GOLGA8B",0.618139466471217,1115,0.000105032813512087,0.000379006197473682,"Yes"
"LAGE3",0.616813397154988,1120,1.80027018892058e-06,9.89299839595489e-06,"Yes"
"TUT1",0.615280383867202,1131,1.50171875497009e-10,2.54239277559027e-09,"Yes"
"RPL18",0.610282141993718,1149,1.37675080436393e-06,7.7856749822017e-06,"Yes"
"CIB1",0.599189887410958,1184,1.2948385775846e-06,7.36348737800759e-06,"Yes"
"AURKAIP1",0.589938398144938,1223,2.08300718948327e-07,1.44067434014015e-06,"Yes"
"RPS27A",0.58814989882192,1232,3.70045571546735e-06,1.8986664072676e-05,"Yes"
"TMSB10",0.584382007082072,1251,0.000501709140032727,0.00151876353195853,"Yes"
"RHBDD3",0.58398335822068,1255,5.08589265008817e-09,5.58286749678548e-08,"Yes"
"PSMA1",0.57823016787411,1284,1.4862092987909e-13,6.57048643605421e-12,"Yes"
"FASTK",0.574627529810502,1300,3.38048078309647e-10,5.23730805632231e-09,"Yes"
"NDUFA11",0.569422077994046,1323,2.27176656883361e-09,2.74519016450969e-08,"Yes"
"TMEM141",0.564565367812338,1339,0.00366674522887096,0.00890919821370338,"Yes"
"ROMO1",0.561736969523936,1357,1.28404628467322e-05,5.8170608719844e-05,"Yes"
"NNMT",0.560564988646261,1358,0.0216899162000381,0.0423436083459205,"Yes"
"NDUFB9",0.547309235829954,1433,2.53876526837482e-08,2.25550031090148e-07,"Yes"
"RPL27A",0.545451356200084,1450,1.04435348942502e-05,4.8392087361333e-05,"Yes"
"AP2S1",0.544317906434219,1459,8.18924969493797e-07,4.87882697089814e-06,"Yes"
"PRR22",0.538380079046831,1489,2.96456907993087e-06,1.5529342934906e-05,"Yes"
"ITPA",0.537526488988711,1494,7.58686981048022e-08,5.96820688881273e-07,"Yes"
"RPL34",0.531324727997551,1522,0.00014177996714152,0.000494227648818129,"Yes"
"RPLP2",0.529091442821608,1536,4.85657869952218e-06,2.42047111938533e-05,"Yes"
"COX17",0.524222762244118,1563,6.22323818644442e-06,3.03372481221227e-05,"Yes"
"TFPT",0.523834517153559,1568,1.52446054047377e-05,6.77019115786382e-05,"Yes"
"IMP3",0.520698121999606,1595,8.19752367329711e-08,6.37445582871201e-07,"Yes"
"RPLP1",0.518610610618905,1606,0.000325080942958604,0.00103257490532586,"Yes"
"NDUFB1",0.518268476886401,1609,1.02832233655458e-05,4.7721889734517e-05,"Yes"
"NDUFA2",0.513698600312188,1631,1.73377896829263e-05,7.59453396518781e-05,"Yes"
"ADCK5",0.513220809383669,1634,2.07430565744236e-05,8.89105890114297e-05,"Yes"
"TARBP2",0.500816584913643,1707,2.17774398172293e-10,3.52960706035058e-09,"Yes"
"C19orf18",0.493339228889371,1757,3.53155613957626e-06,1.81915974183587e-05,"Yes"
"ARPC1A",0.4899900172177,1782,2.45555521875072e-07,1.6711315806893e-06,"Yes"
"ZDHHC12",0.489499866743057,1785,9.85342307883375e-05,0.000357392029304959,"Yes"
"FPGS",0.483215285926825,1827,1.6977467157672e-07,1.20571701050559e-06,"Yes"
"CSNK2B",0.478784080423412,1855,1.51639986467091e-08,1.42997211812488e-07,"Yes"
"PCLAF",0.477576196067764,1864,4.30614185007489e-05,0.000170066998991282,"Yes"
"LSM4",0.475197417878774,1881,4.16632226490875e-07,2.6730608532077e-06,"Yes"
"RPL21",0.473940649448583,1886,0.000939753440666864,0.00265761516445594,"Yes"
"PRR5",0.469403131176922,1912,5.90447466380405e-06,2.88758056784591e-05,"Yes"
"NDUFB8",0.463194178386657,1953,6.29394178276848e-06,3.06491977083575e-05,"Yes"
"SNRPB",0.458031348024404,1993,6.91927330144612e-05,0.000260646413949711,"Yes"
"VKORC1",0.454200204063152,2023,2.12244091415045e-05,9.07502475137455e-05,"Yes"
"LUC7L",0.444914135301499,2097,0.000170442993718066,0.000582689822806323,"Yes"
"NUBP2",0.435938453515796,2166,1.91847497501644e-06,1.04668052251046e-05,"Yes"
"PARL",0.431471248008659,2198,2.18242442313345e-06,1.17385643442154e-05,"Yes"
"POLR2I",0.427803388262223,2228,2.87926763774754e-05,0.000119116788136155,"Yes"
"LTC4S",0.424648679786975,2253,0.000648751902087143,0.00191501329080862,"Yes"
"NAA38",0.423811589007795,2263,0.000486030886725562,0.00147595015410293,"Yes"
"LSM5",0.422560886585859,2276,7.88382186819495e-05,0.000292813928923239,"Yes"
"COX8A",0.419953657464998,2299,0.000198998030075316,0.00066830263235075,"Yes"
"ST20",0.419270021465815,2305,1.33446258986281e-08,1.27820103127604e-07,"Yes"
"COPS9",0.415600020076076,2333,0.000661246850425732,0.00194874717164834,"Yes"
"SCX",0.413767679419136,2354,0.00475217171867114,0.0112004088533222,"Yes"
"CDC34",0.406701377873574,2417,1.33023790444544e-05,6.00250137416019e-05,"Yes"
"RABAC1",0.400759320340529,2461,0.000179187916694015,0.000608146875944421,"Yes"
"ETFB",0.400677604764044,2463,4.8274031252576e-05,0.000188695368041847,"Yes"
"NDUFA3",0.394153091439368,2521,2.46784786031934e-05,0.000103650745037004,"Yes"
"FBXL15",0.39330730279081,2530,0.000791656144943936,0.00228586644697217,"Yes"
"PSMD13",0.384186996358777,2615,6.76559155339941e-05,0.000255648107808013,"Yes"
"BLOC1S1",0.383588191138549,2628,0.000316423388297139,0.00100886535357576,"Yes"
"UPK3A",0.373561922178161,2712,0.261879405559864,0.355808481252342,"Yes"
"CLEC11A",0.371076417009152,2734,0.00417428222676984,0.00997480888987152,"Yes"
"GUK1",0.361862448400146,2821,3.5926859597618e-05,0.000144769472184004,"Yes"
"ALYREF",0.360589469411661,2832,8.00560036919386e-05,0.000296793781903177,"Yes"
"BABAM1",0.3533216520223,2905,1.15257518931775e-05,5.28033099024715e-05,"Yes"
"NUDT1",0.34530090799693,2993,0.00103893199870629,0.00289904245162987,"Yes"
"NDUFB7",0.336625998356969,3071,0.00519483415058608,0.0121047124116093,"Yes"
"TIMM17B",0.334469095836063,3095,0.00395974491945833,0.00953198480480045,"Yes"
"POLR2J",0.333647409266657,3106,0.00267455616412633,0.00672912436555531,"Yes"
"HRAS",0.330000565972153,3148,0.000192144950634425,0.000648028003746012,"Yes"
"PMF1",0.324583766155695,3209,0.000361478728574885,0.00113196819066498,"Yes"
"MAD2L1",0.32093355989862,3252,0.00225907817386477,0.00581023964007516,"Yes"
"ARL16",0.313002560710355,3340,0.000581275112818629,0.00173319804289015,"Yes"
"MGMT",0.296183013567652,3506,0.00164926558906369,0.00438699362892636,"Yes"
"NEDD8",0.294653975860506,3520,0.00254815200385753,0.0064493387514237,"Yes"
"CHCHD5",0.289864869279068,3584,0.000243264453418192,0.000798036728832022,"Yes"
"CHD4",0.289800304452509,3585,4.70778136576328e-05,0.000184374644997925,"Yes"
"SDHAF2",0.289666893840233,3588,0.00147739735141794,0.00397205475728587,"Yes"
"PRPF31",0.289316879311238,3595,6.34053667430462e-05,0.000241183346299142,"Yes"
"HIGD2A",0.28893622814256,3597,0.00299300006119782,0.0074421643231472,"Yes"
"DPM3",0.28803480471491,3607,0.0169743291575002,0.0341825579019734,"Yes"
"MRPL55",0.286969439339009,3619,0.001805795307083,0.0047548878591867,"Yes"
"CTSD",0.282999558482647,3664,0.00891308724897665,0.0194604890855615,"Yes"
"GPX1",0.282852820841732,3666,0.0123191718037565,0.025882446764138,"Yes"
"ATOX1",0.280259381947233,3704,0.000339051621919561,0.00107073252523906,"Yes"
"TMEM208",0.279573636589106,3715,0.00589386981366471,0.0135350045280864,"Yes"
"PRR13",0.278821983448936,3723,0.000188390842735033,0.000636542200036647,"Yes"
"COPRS",0.278448673130135,3725,0.0182594198219186,0.0364390432062893,"Yes"
"MRPL2",0.270365905412727,3845,7.24202749781734e-06,3.47290297388111e-05,"Yes"
"MT-ND1",0.263579982224652,3925,0.232671892580438,0.323217338951577,"Yes"
"MT-ND2",0.2628117488594,3938,0.255231801481083,0.348409243393877,"Yes"
"ARPC4",0.260711581098239,3969,0.00249688285601148,0.00633797418675733,"Yes"
"COX6B1",0.258360944525482,3989,0.00682613676901747,0.0153990631373191,"Yes"
"C6orf226",0.255026760898881,4048,0.0348573031777797,0.0641579504076304,"No"
"ZNF688",0.228928477312906,4388,0.00487062098888006,0.0114456146896801,"No"
"C3orf33",0.228131506493129,4404,0.00173727885726601,0.00459250740411073,"No"
"IL32",0.227196763176242,4417,0.247029628482732,0.338960576462258,"No"
"SF3B5",0.22658581241579,4429,0.0282281997088069,0.0532056852627248,"No"
"NDUFC2",0.217012684863032,4566,0.0288434640798031,0.054189463105732,"No"
"COMMD4",0.216990108712459,4567,0.00837213081641174,0.0184158648232872,"No"
"CHCHD10",0.208402890525289,4696,0.150579980282974,0.225026091781789,"No"
"TMA7",0.204303754550205,4757,0.0902900200172854,0.145976058208155,"No"
"RPA3",0.18273006719314,5071,0.0361764554295551,0.0663386341608526,"No"
"NAGLU",0.167776952985644,5328,0.136546331978685,0.207448665052205,"No"
"BORCS6",0.167059634499759,5340,0.0193585458537936,0.0383856522924983,"No"
"DUSP23",0.16093404397175,5445,0.300516092887398,0.397971938858929,"No"
"TMEM86B",0.155431360284085,5529,0.101050166274754,0.160558658418115,"No"
"HLA-B",0.153812266537794,5559,0.396579332862534,0.497590197421833,"No"
"TRAPPC2L",0.128763910132407,5971,0.14298244521169,0.21549156567407,"No"
"TMEM219",0.12482457376633,6028,0.127358539196718,0.195572179652564,"No"
"TCTEX1D4",0.08797368809588,6701,0.119359842165962,0.18520445778147,"No"
"NDUFS3",0.0841548597417745,6789,0.220724583482117,0.30932601211327,"No"
"CAPS",0.0509153402673257,7520,0.74764741503123,0.811343137058011,"No"
"UQCR11",0.0344374167409622,7936,0.752948397019161,0.816174435935672,"No"
"TAX1BP3",0.033422225276845,7972,0.675208118548205,0.753411820000092,"No"
"NENF",0.0288223760641921,8099,0.795226814834323,0.850346153832323,"No"
"COX14",0.0211766653068954,8346,0.819238959446541,0.868549443800337,"No"
"S100A13",0.00411332986304602,8979,0.976157603425534,0.983425888487718,"No"
"CNFN",-0.0244279794221232,10763,0.893624290365804,0.925284353938086,"No"
"DHRS4L2",-0.0304348257198752,11008,0.736695664531279,0.802796981764011,"No"
"VAMP8",-0.0315751907576169,11040,0.859359131835256,0.899905629886074,"No"
"YPEL3",-0.0389486208087639,11252,0.726545587371051,0.795199334826509,"No"
"EBP",-0.0481590718855092,11517,0.795824540121334,0.850636728296347,"No"
"HES1",-0.0507269603836162,11584,0.704646375830631,0.77752027914234,"No"
"CD63",-0.0521356179089221,11629,0.54579240046437,0.641328014595188,"No"
"TMEM14B",-0.0660820874734274,11976,0.603826767422954,0.69305176106411,"No"
"CDNF",-0.107475680286376,12786,0.144717679989039,0.217654437437611,"No"
"RHBDD2",-0.112361663833256,12877,0.446100199816397,0.546774545028962,"No"
"SIVA1",-0.114810701782954,12927,0.224584566374857,0.314132911356394,"No"
"LTB4R",-0.146771280719713,13427,0.258017943275344,0.351529481007491,"No"
"GSTO1",-0.189844694675098,14057,0.0840634600470569,0.137294631725639,"No"
"LDHB",-0.25795413623153,14846,0.149027592280706,0.223089493574772,"No"
"BEX2",-0.380297555670714,15816,0.00654394921646358,0.0148320854185288,"No"
"MYL6",-0.421007286366772,16085,0.00031977387166857,0.00101848117522199,"No"
"HLA-A",-0.431650730474445,16145,0.0159256599126174,0.0323076525948323,"No"
"MT1G",-0.62032806746874,16950,0.131757246670982,0.201244072890055,"No"
"SFN",-0.672366041356725,17127,0.0987538028064528,0.15763671782423,"No"
"VAMP5",-0.72394550844547,17284,9.36857474612713e-06,4.38560703005531e-05,"No"
"SELENOM",-0.790231980361948,17439,4.92628330514268e-05,0.000192149243757711,"No"
"SEMA3B",-0.86056054584112,17597,2.77453401940256e-08,2.4447485961605e-07,"No"
"MSMB",-1.02367333373141,17839,0.107773885820021,0.169750607776882,"No"
