"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"TFF3",1.75699843878767,47,1.04993622864591e-05,6.79484913772052e-05,"Yes"
"PRAC2",0.894822038644916,331,0.000428852684566473,0.00173508638481839,"Yes"
"CENPM",0.852967769283328,383,3.48973875698208e-09,6.42947203441547e-08,"Yes"
"TMEM238",0.662953485976988,675,4.43178067152683e-05,0.000238979868263616,"Yes"
"RPL39",0.624506827691475,756,0.000536149297788793,0.00210133509031957,"Yes"
"HSF4",0.579039314736558,901,0.00207867500321339,0.00679280627961403,"Yes"
"PAQR6",0.566173287179085,948,4.26082532391214e-05,0.00023127300513724,"Yes"
"MRPL41",0.556585174168145,987,0.00282549490188832,0.00887105779255156,"Yes"
"CCDC57",0.519271139829774,1139,1.70012674378397e-08,2.57585508153292e-07,"Yes"
"C4orf48",0.508805704024621,1190,0.00220317430490224,0.00714566406406964,"Yes"
"UBE2S",0.499764940765026,1222,3.40473546592856e-05,0.00019077860726113,"Yes"
"METTL26",0.4922359043011,1259,0.0019124105580774,0.0063222657321263,"Yes"
"RPS18",0.492009237539305,1260,0.00862366591535393,0.0229501761122951,"Yes"
"QPCTL",0.476320597981448,1337,1.07694230342921e-05,6.94241798583923e-05,"Yes"
"MT-ND2",0.438402924592912,1532,0.103163960854778,0.182108299765611,"Yes"
"TUT1",0.392965549655853,1839,2.3498650647685e-05,0.000138058372466315,"Yes"
"SAC3D1",0.387788242389925,1879,0.000194562973719331,0.000870763976493068,"Yes"
"C19orf18",0.380295280264879,1928,0.000152631878162347,0.000704806990009454,"Yes"
"SNRPN",0.377543203688918,1949,0.0148611563759258,0.0365661339191478,"Yes"
"PCLAF",0.37406682491222,1985,0.00230387838516175,0.00742983396855112,"Yes"
"MZT2A",0.372539331799729,1994,0.0121788547222985,0.0308221057237773,"Yes"
"ATP6V0B",0.362956987042406,2078,0.0133051902371091,0.0332295782615468,"Yes"
"TMEM256",0.347993279791016,2223,0.0236442930828686,0.0542874403619049,"Yes"
"RASSF7",0.335586621765564,2329,0.037979654943266,0.0808458415396497,"Yes"
"OXLD1",0.332475670737221,2360,0.006089789149519,0.0170931875293823,"Yes"
"SNRNP70",0.32996687088525,2381,0.00126135427385836,0.00440310563776151,"Yes"
"RPL38",0.329559231670859,2387,0.00656252364209756,0.0181924011112993,"Yes"
"FAM89B",0.311195009040008,2559,0.000491374834261671,0.00195452490457576,"Yes"
"EEF1E1",0.308951573368718,2584,0.00981455219999191,0.0256349612171176,"Yes"
"RPS26",0.308182901624047,2594,0.0841092043484332,0.15450781739242,"Yes"
"MT-ND1",0.305842932672284,2621,0.251327514225836,0.362321690613963,"Yes"
"TARBP2",0.299907057821984,2684,0.000123668346978829,0.000588258494689029,"Yes"
"MACROD1",0.289292001498495,2791,0.0226362602322214,0.0522902216910648,"Yes"
"NNMT",0.287455742333346,2807,0.227395214600367,0.335951648375916,"Yes"
"LAGE3",0.282194987085557,2866,0.0219274290498619,0.0508727555708546,"Yes"
"MAD2L1",0.281927952433436,2873,0.0247548737048433,0.056353011995261,"Yes"
"AP1S1",0.279859166846725,2894,0.0554302785771235,0.110350294863784,"Yes"
"RPS29",0.274470675425811,2951,0.0316280081691855,0.0692772306823945,"Yes"
"GADD45G",0.273598102366749,2959,0.253661085250395,0.364875071237522,"Yes"
"POP7",0.272409953762013,2983,0.0303501155943083,0.0668048224750037,"Yes"
"RHBDD3",0.266388592653947,3054,0.0285602572159056,0.063565992720429,"Yes"
"TMEM134",0.245821384764841,3360,0.088229226285097,0.160421591902219,"Yes"
"SCAND1",0.245388975202048,3366,0.151193472214701,0.245691082945904,"Yes"
