"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"SPON2",2.40928640452803,22,3.53933521807872e-08,3.02949845798622e-07,"Yes"
"LRRC26",2.08917326115555,33,3.17170376388255e-09,3.66209487680649e-08,"Yes"
"ABCC4",1.91679239366796,42,1.2630261128429e-09,1.64829967607792e-08,"Yes"
"PHGR1",1.88892629088744,43,1.88835306891924e-11,4.31697836756931e-10,"Yes"
"PRR36",1.78636297858038,49,1.34743706032901e-18,3.19640069402205e-16,"Yes"
"HES4",1.73501008833565,55,2.02099144442508e-13,8.48630568364794e-12,"Yes"
"BIK",1.60135097585573,68,1.35781693301597e-11,3.22521249655002e-10,"Yes"
"TMEM238",1.55480778738247,73,1.12980899738627e-15,1.00180054108047e-13,"Yes"
"RAC3",1.54780532324458,74,3.70423154819139e-14,1.972638293273e-12,"Yes"
"PTP4A3",1.52842352080434,80,4.25839848024866e-11,8.55708543896831e-10,"Yes"
"TBX1",1.4416486519547,92,3.18131949368755e-13,1.24432509361235e-11,"Yes"
"ASPHD1",1.42327827233858,99,3.53524415826955e-12,9.78405602953812e-11,"Yes"
"FNDC10",1.41881041953153,101,4.0314877239086e-14,2.13446825405549e-12,"Yes"
"CERS4",1.38882836936034,112,6.36839692458477e-14,3.21340160841065e-12,"Yes"
"PRR7",1.38342293514307,113,1.67098338451887e-16,2.04846862426991e-14,"Yes"
"SYNGR2",1.32963447746225,128,9.78469245007115e-13,3.26144511483576e-11,"Yes"
"PPP1R14B",1.32759192896461,129,6.99836818404263e-17,9.6114431014829e-15,"Yes"
"LRIG1",1.31909142623794,133,2.94898644350873e-09,3.44192884198916e-08,"Yes"
"BHLHA15",1.31714844614478,134,5.20084449291195e-08,4.27921736520404e-07,"Yes"
"ARFGEF3",1.30105198474965,138,4.62717364338247e-10,6.82713681502618e-09,"Yes"
"TP53INP1",1.29671343367391,140,1.17593577584345e-14,7.42433183545609e-13,"Yes"
"TFF3",1.27215398105489,149,0.000419680189483261,0.00129569964400619,"Yes"
"MRPL41",1.25705744493285,160,4.4991682416008e-14,2.37519673702544e-12,"Yes"
"CENPN",1.21367340239698,175,8.80539797003137e-10,1.20478950801942e-08,"Yes"
