"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"ALDOA",0.708747921602366,55,2.05199005736199e-09,1.44168086068582e-06,"No"
"GRIN3A",0.288351922052304,1474,0.317918968307448,0.562480337201044,"No"
"AKAP8L",0.268170020940643,1697,0.000411378345441239,0.0116258388424495,"No"
"SRXN1",0.260383793934281,1789,1.96285804292463e-05,0.00172382345529348,"No"
"PLXNB3",0.257158573880532,1838,0.083823208760804,0.280186030272508,"No"
"NGRN",0.237312236808653,2108,0.0119400796738677,0.0928915823690549,"No"
"VHL",0.208966038332004,2501,0.0165671933605207,0.11150807705108,"No"
"SQSTM1",0.206448440235497,2545,0.097250400483521,0.301659545870687,"No"
"SLC25A25",0.179962028094214,2985,0.122921454199293,0.340111922337973,"No"
"ACO2",0.142283434282004,3743,0.25853909240145,0.502933631770449,"No"
"MEX3A",0.136664836299581,3859,0.447720180599734,0.673959994974483,"No"
"NRP1",0.123010151111699,4183,0.498500430891248,0.716226787092215,"No"
"AIDA",0.120485873701455,4237,0.502036814655615,0.718456495223338,"No"
"BMX",0.10906342958212,4509,0.465852950541287,0.688824336048056,"No"
"SNN",0.101614807194315,4703,0.328967735258836,0.572027352334326,"No"
"CYP51A1",0.101563220467474,4705,0.354537138575657,0.593722067437137,"No"
"KAT5",0.074281966778353,5436,0.262094309162225,0.506954335606349,"No"
"TBC1D9B",0.0737394569682062,5457,0.439487935765991,0.666528963360591,"No"
"SKI",0.0722763711080079,5496,0.47868119261055,0.700426595320337,"No"
"TAF6",0.0672632868655789,5621,0.454992670134506,0.679761412746709,"No"
"TP53INP1",0.0572502989165677,5930,0.673117800053489,0.835315411248443,"No"
"RELL1",0.0571417200603159,5937,0.629089500618355,0.809340259998053,"No"
"ZSCAN21",0.0545626920577655,6029,0.355720218633898,0.594995076804818,"No"
"CCDC154",0.0491399688894201,6213,0.787385113940587,0.899509935982033,"No"
"RAB8A",0.0473114968438249,6274,0.495478805984987,0.713756542098126,"No"
"CBY3",0.0451213988880344,6345,0.426058859928954,0.655032063831127,"No"
"CLIP1",0.0378621221225393,6619,0.721613870015599,0.863016928347188,"No"
"B3GALNT2",0.0375688439319335,6629,0.701271793092114,0.851907417996518,"No"
"FAM219B",0.036727412569725,6666,0.641676629490059,0.816690198862647,"No"
"EGLN1",0.0360286395706348,6691,0.66820518623149,0.832556042349815,"No"
"RNF40",0.0299863231038362,6941,0.759499093720967,0.884702464322716,"No"
"ACBD7",0.0265052027006694,7070,0.786616640019926,0.898969354557307,"No"
"DTWD2",0.0255513606507609,7107,0.786045475320094,0.898822704079634,"No"
"ZNF79",0.0131390454591929,7693,0.799540452439806,0.905706791342207,"No"
"PCDH11Y",0.0112471495177382,7804,0.831260843420565,0.920428904340092,"No"
"GRHL2",0.00075331709481663,8429,0.994813565376797,0.997307942288443,"No"
"BCL9L",-0.00049830501593684,8538,0.99698467642278,0.998624723595708,"No"
"SMAD1",-0.00358504848577157,8794,0.969054438184629,0.987047921396153,"No"
"GINS4",-0.0054935123602543,8978,0.934999367681471,0.972373833962139,"No"
"RNASEH1",-0.00564682937304894,8987,0.928075052392779,0.96894539359982,"No"
"SLC7A11",-0.00685611635583894,9115,0.959861467649163,0.982945926087412,"No"
"WASHC2C",-0.00797497730669505,9225,0.93203861254133,0.970911653421339,"No"
"KLF13",-0.00882283068295431,9298,0.943593055068447,0.975547076536152,"No"
"AP1S3",-0.00931045149565968,9348,0.904495048227131,0.955439255534898,"No"
