"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"ABCC4",1.91679239366796,42,1.2630261128429e-09,1.64829967607792e-08,"Yes"
"LRIG1",1.31909142623794,133,2.94898644350873e-09,3.44192884198916e-08,"Yes"
"BHLHA15",1.31714844614478,134,5.20084449291195e-08,4.27921736520404e-07,"Yes"
"ARFGEF3",1.30105198474965,138,4.62717364338247e-10,6.82713681502618e-09,"Yes"
"TP53INP1",1.29671343367391,140,1.17593577584345e-14,7.42433183545609e-13,"Yes"
"CENPN",1.21367340239698,175,8.80539797003137e-10,1.20478950801942e-08,"Yes"
"ABHD2",1.13574191978053,209,3.30775599261287e-07,2.1835732186869e-06,"Yes"
"GRIN3A",1.1144691229442,223,2.87916448470559e-06,1.51079627916209e-05,"Yes"
"ENTPD5",1.09636548772797,235,1.73963573109914e-05,7.61471034369923e-05,"Yes"
"MEX3A",0.986918981390128,320,8.11224709350438e-09,8.38112587160356e-08,"Yes"
"CCDC154",0.974706205850833,328,5.94608482110455e-07,3.68173509634901e-06,"Yes"
"PLXNB3",0.938909484434097,362,1.6068981263627e-09,2.03972211092016e-08,"Yes"
"ACACA",0.931686102656,370,2.16143210094804e-11,4.89835220296735e-10,"Yes"
"GRHL2",0.908918492734352,401,1.06540591357306e-08,1.06284568090254e-07,"Yes"
"CHDH",0.905557989738568,406,8.12836372405739e-08,6.34046168712687e-07,"Yes"
"PCSK6",0.873281961181978,454,1.21189230856789e-13,5.52614950872707e-12,"Yes"
"RAB19",0.791107770601786,573,1.47518522265337e-11,3.47238830889001e-10,"Yes"
"DDAH1",0.782503284910349,591,4.43580617523954e-08,3.70482101494858e-07,"Yes"
"HIPK2",0.772882388560887,614,4.98541538640501e-08,4.12239010629578e-07,"Yes"
"SLC22A23",0.768282298805815,633,9.81920141225566e-06,4.57778287381985e-05,"Yes"
"SLC7A11",0.753112333217402,666,1.3989253780901e-09,1.79949091240801e-08,"Yes"
"SLC7A1",0.719153382064834,743,1.44596273401204e-08,1.37276274945239e-07,"Yes"
"SIPA1L3",0.636899969559022,1036,1.52770052739516e-06,8.55980915134968e-06,"Yes"
"TRAM2",0.633959352724579,1052,1.08758043805503e-08,1.08083483577329e-07,"Yes"
"RASEF",0.620791272834171,1099,0.000116045803784174,0.00041367928413773,"Yes"
"DHTKD1",0.619300415888378,1107,7.80998312303674e-06,3.7179346292778e-05,"Yes"
"ALDOA",0.60776168771685,1155,1.49823320203207e-07,1.08383079874526e-06,"Yes"
