"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"ABCC4",2.61320481141037,6,3.36490524365597e-14,3.77326349729965e-12,"Yes"
"ENTPD5",1.66809882578752,58,2.27891054756323e-11,8.78953057474175e-10,"Yes"
"ARFGEF3",1.60091819096054,67,5.73937102180427e-14,5.82465999899979e-12,"Yes"
"LRIG1",1.58084754043387,73,9.81167956139514e-12,4.2539133869285e-10,"Yes"
"ABHD2",1.4031192334255,98,6.64688364337408e-09,1.12847932958443e-07,"Yes"
"BHLHA15",1.35992343804226,106,1.16568172624769e-07,1.35829212565847e-06,"Yes"
"CENPN",1.310443022861,116,4.32080484072593e-11,1.51236494675582e-09,"Yes"
"TP53INP1",1.23946313475736,140,4.90538678907273e-13,3.49455907491354e-11,"Yes"
"CHDH",1.20546220340318,150,2.16846105047655e-11,8.45327541694355e-10,"Yes"
"ACACA",1.14137228697172,178,6.20190452286159e-14,6.08993500336776e-12,"Yes"
"HIPK2",1.12589846239958,186,1.89917940682522e-12,1.06812672149805e-10,"Yes"
"DDAH1",1.06379870630825,211,1.45684089908575e-12,8.50963722597806e-11,"Yes"
"SLC22A23",1.06245710313956,213,2.99856823251931e-09,5.62727174710184e-08,"Yes"
"SLC7A1",1.02589312111666,238,1.91932974061232e-12,1.07281674055272e-10,"Yes"
"SLC2A12",0.969584614304043,269,5.9185073079539e-05,0.000308332674953515,"Yes"
"PCSK6",0.949907443041494,283,1.64825723394637e-17,6.50918280692823e-15,"Yes"
"USP54",0.947367780562427,286,1.25718001745771e-08,1.96878725837386e-07,"Yes"
"UTRN",0.942353780450138,291,5.76469873601085e-08,7.43760775840719e-07,"Yes"
"RAB19",0.934642714485767,297,1.69861033330252e-16,4.40813647353907e-14,"Yes"
"CCDC154",0.925566236961422,306,2.94709270189232e-06,2.28692379421512e-05,"Yes"
"GRHL2",0.908165175639547,318,1.83857527629634e-07,2.03407786048717e-06,"Yes"
"DHTKD1",0.893941201653508,332,1.54645554606551e-11,6.29885906946771e-10,"Yes"
"SIPA1L3",0.880170841023519,353,3.88661192338556e-11,1.38711576031871e-09,"Yes"
"RASEF",0.873955889109935,360,1.25149939660935e-08,1.96158222940513e-07,"Yes"
"MEX3A",0.850254145090551,391,4.6050696829742e-07,4.55145244074588e-06,"Yes"
"GRIN3A",0.8261172008919,411,0.000252184149056607,0.00109388186527276,"Yes"
"TRAM2",0.812374185667886,426,3.8990555097467e-11,1.38882828215801e-09,"Yes"
"ABAT",0.800017941755243,448,0.000228437113390865,0.00100212233804841,"Yes"
"SLC7A11",0.759968449573243,507,1.79572814329013e-09,3.63669982731422e-08,"Yes"
"EPB41",0.709851891896757,584,1.13890338672356e-09,2.4431695856892e-08,"Yes"
"ATP11A",0.702761191913422,596,2.77589167291579e-06,2.16982995396679e-05,"Yes"
"PLXNB3",0.681750910553573,636,1.22896830980832e-05,7.8006423186506e-05,"Yes"
"SASH1",0.649447297426885,699,4.12121207823514e-07,4.12939540061883e-06,"Yes"
"SOWAHB",0.646825262500289,707,3.38785080605563e-06,2.57397313855318e-05,"Yes"
"GRPR",0.629439447665231,742,5.99235367045735e-06,4.17879483835232e-05,"Yes"
"TOM1L1",0.626902655800244,748,5.49735855966782e-08,7.15365441224396e-07,"Yes"
"SLC25A15",0.624584710023458,755,8.54054019140757e-09,1.40532113330715e-07,"Yes"
"CHD6",0.616910776315169,778,6.45793108361205e-08,8.19253566793698e-07,"Yes"
"NRIP1",0.606089954927403,814,4.46004828996162e-05,0.00024013407597938,"Yes"
"POMK",0.597250387176562,842,4.72479260967278e-07,4.65458690603665e-06,"Yes"
"SOGA1",0.581168982414602,896,9.24065580462871e-06,6.07338237011106e-05,"Yes"
