"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"PSCA",0.631998144473747,25,0.0899576077339655,0.961953958507263,"Yes"
"TUBA3D",0.457674968772285,46,0.00267153706818793,0.387436482912683,"Yes"
"TNNC2",0.416374838016864,53,0.0186265033131963,0.843403251480126,"Yes"
"LRRC26",0.3796085078114,66,0.147769539530024,0.961953958507263,"Yes"
"METRN",0.324596620909708,93,0.010027151373907,0.701123973008511,"Yes"
"CITED4",0.321376128368636,96,0.0203264818499628,0.843403251480126,"Yes"
"CLDN7",0.266668691516409,157,0.094823535172193,0.961953958507263,"Yes"
"CTXN1",0.257357311903919,170,0.109527441977818,0.961953958507263,"Yes"
"CEBPB",0.25253669387149,181,0.0346664190230413,0.910142923574761,"Yes"
"SREBF1",0.246910081907367,190,0.0549545923700655,0.961137546427122,"Yes"
"TUBA4A",0.244303814236233,194,0.073385884135994,0.961953958507263,"Yes"
"TBX1",0.236995487369403,209,0.145651308824898,0.961953958507263,"Yes"
"PITX1",0.218833070953868,255,0.0746886669021704,0.961953958507263,"Yes"
"PHGR1",0.213701846333916,269,0.355629064396891,0.961953958507263,"Yes"
"BTG1",0.204190564061551,310,0.0415607418220989,0.950487403398265,"Yes"
"MCRIP2",0.201896400647576,319,0.0903959257654627,0.961953958507263,"Yes"
"HAGHL",0.197498475574919,341,0.126001136672359,0.961953958507263,"Yes"
"COMTD1",0.190924946490995,360,0.193701245464687,0.961953958507263,"Yes"
"ALDH4A1",0.190846360427928,362,0.0982778391600495,0.961953958507263,"Yes"
"PRR7",0.190499719152833,364,0.142073875366832,0.961953958507263,"Yes"
"MT1X",0.184311696025455,395,0.320913581045663,0.961953958507263,"Yes"
"TUBA3E",0.183571864035222,400,0.00377846979655154,0.451267833937165,"Yes"
"APRT",0.180294189699523,415,0.105696197059599,0.961953958507263,"Yes"
"CLDN4",0.179530275572455,423,0.183790094903172,0.961953958507263,"Yes"
"TMEM52",0.179165429651992,426,0.086911575766709,0.961953958507263,"Yes"
"CHCHD10",0.175697416173234,447,0.200071054604002,0.961953958507263,"Yes"
"DCXR",0.171034228170926,472,0.204387165808525,0.961953958507263,"Yes"
"FZD9",0.169268194198839,482,0.122875626848427,0.961953958507263,"Yes"
"RAC3",0.167131672430798,493,0.203749984048924,0.961953958507263,"Yes"
"NME3",0.165724910009343,505,0.192385987692771,0.961953958507263,"Yes"
"TMEM120A",0.165330386531154,510,0.0432088255382554,0.954822705704888,"Yes"
"GNB2",0.163440500384616,525,0.0467530572448983,0.95668377943564,"Yes"
"GADD45G",0.15320413770154,617,0.36265820097676,0.961953958507263,"Yes"
"CCDC85B",0.149063827048094,652,0.350639455712394,0.961953958507263,"Yes"
"NDUFAF8",0.143934322461526,719,0.196269721613952,0.961953958507263,"Yes"
"ENDOG",0.141072682795082,753,0.190567325776656,0.961953958507263,"Yes"
"LRFN4",0.138529631787087,790,0.17806563099651,0.961953958507263,"Yes"
"TPRN",0.136022457354721,831,0.135540583191562,0.961953958507263,"Yes"
"MRPL12",0.135923102069258,834,0.290145991381473,0.961953958507263,"Yes"
"SLC52A2",0.133536974962995,868,0.13521299048744,0.961953958507263,"Yes"
