"Gene","log2FC","rank","in_gene_set"
"TOMM6",7.31234950634894,1,FALSE
"PYURF",5.55449269589027,2,FALSE
"ADIRF",4.65703953578037,3,FALSE
"TREX1",4.0407034798756,4,FALSE
"EVA1B",3.91628613828294,5,FALSE
"ZNF593",3.33491667719466,6,FALSE
"SERINC4",3.22549048767981,7,FALSE
"PGAM2",3.20954935417056,8,FALSE
"PTPRCAP",2.88916005078616,9,FALSE
"UTP14C",2.69320672378358,10,FALSE
"GP1BB",2.69166237706698,11,FALSE
"CPLX3",2.51499099124043,12,FALSE
"CMC4",2.4583546552001,13,FALSE
"ABHD16B",2.32399500439663,14,FALSE
"OVCA2",2.26923023973765,15,FALSE
"TNFRSF6B",2.04533313424358,16,FALSE
"NPFF",1.8573990012446,17,FALSE
"BOLA2",1.83971705165282,18,FALSE
"C19orf33",1.7829574615864,19,FALSE
"DND1",0.919802237776481,20,FALSE
"ACTA1",0.886699365658006,21,FALSE
"AR",0.771203090379355,22,FALSE
"MYL2",0.707663968183056,23,FALSE
"CKM",0.691263760002926,24,FALSE
"PSCA",0.631998144473747,25,FALSE
"MYL1",0.616659121859768,26,FALSE
"ACTC1",0.580479184757506,27,FALSE
"MYH7",0.563882165783533,28,FALSE
"CYP4F8",0.546193708123353,29,FALSE
"CDR1",0.544522096749855,30,FALSE
"HSPB8",0.529500727522146,31,FALSE
"MYBPC1",0.525411983452276,32,FALSE
"AZGP1",0.507174253874588,33,FALSE
"ORM2",0.501422274053989,34,FALSE
"FASN",0.494048182559196,35,FALSE
"TCAP",0.490632958762512,36,FALSE
"SLN",0.489709079060675,37,FALSE
"FKBP5",0.485000129248039,38,FALSE
"FAM43A",0.482955217229249,39,FALSE
"AQP3",0.482084236728054,40,FALSE
"EEF1A2",0.471775994098919,41,FALSE
"KLK3",0.467733102851883,42,FALSE
"ANGPTL4",0.467649924482489,43,FALSE
"PGC",0.46242406865821,44,FALSE
"DDIT4",0.460023427339347,45,FALSE
"TUBA3D",0.457674968772285,46,FALSE
"ORM1",0.453613818377293,47,FALSE
"PLPP1",0.443659348312544,48,FALSE
"SDC1",0.442669561261718,49,FALSE
"ICAM4",0.436165508530237,50,FALSE
"FLNC",0.430288938426924,51,FALSE
"SCNN1G",0.424837816718437,52,FALSE
"TNNC2",0.416374838016864,53,FALSE
"CASQ1",0.416349018308795,54,FALSE
"KRT19",0.415529269219574,55,FALSE
"NRAP",0.409176086898443,56,FALSE
"CSRP3",0.40851937063806,57,FALSE
"G0S2",0.407951311761443,58,FALSE
"MB",0.399098759220869,59,FALSE
"KLHL41",0.394041454272761,60,FALSE
"DES",0.393308833759418,61,FALSE
"SEMA3C",0.392325124785806,62,FALSE
"LDB3",0.387227000005579,63,FALSE
"ACTN2",0.386439350812716,64,FALSE
"F3",0.382337261305461,65,FALSE
"LRRC26",0.3796085078114,66,FALSE
"KLK2",0.379464647175928,67,FALSE
"MYH2",0.379227784419558,68,FALSE
"ARHGAP6",0.374622683025655,69,FALSE
"FADS2",0.372064655216868,70,FALSE
"CSRNP1",0.367542271717609,71,FALSE
"TNNT3",0.364804190105831,72,FALSE
"PROM2",0.360261675948947,73,FALSE
"GMPR",0.36021706128781,74,FALSE
"TNNI1",0.359974348436835,75,FALSE
"XIRP2",0.357056577721289,76,FALSE
"MYOZ1",0.355909026984282,77,FALSE
"HSPB6",0.351610145302026,78,FALSE
"TNNI2",0.348394394406727,79,FALSE
"HOMER2",0.342083293533609,80,FALSE
"SYNM",0.341791930588116,81,FALSE
"IGF1R",0.339577870161423,82,FALSE
"METTL7A",0.339348920607044,83,FALSE
"ECHDC3",0.339115928336814,84,FALSE
"RGS2",0.337544645846312,85,FALSE
"PDLIM3",0.336572050364868,86,FALSE
"CCND1",0.336112459805604,87,FALSE
"NDRG1",0.33543839163752,88,FALSE
"SYNPO2",0.335112025252836,89,FALSE
"FBXL16",0.33358733259425,90,FALSE
"AKAP12",0.330650689090275,91,TRUE
"GATA2",0.326849670293767,92,FALSE
"METRN",0.324596620909708,93,FALSE
"KLK4",0.324306480259569,94,FALSE
"BBX",0.321385237947408,95,FALSE
"CITED4",0.321376128368636,96,FALSE
"SCNN1B",0.320738360271232,97,FALSE
"BHLHA15",0.31867118576884,98,FALSE
"RHOB",0.318362583928024,99,FALSE
"DDIT4L",0.317540175672283,100,FALSE
"GRIN3A",0.317178860548328,101,FALSE
"MYOZ2",0.316955863562961,102,FALSE
"PYGM",0.315538584274372,103,FALSE
"SMOX",0.31505215639269,104,FALSE
"FHL1",0.313461333055662,105,FALSE
