"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"PLXNB3",0.257158573880532,1838,0.083823208760804,0.280186030272508
"ANKRD13B",0.218021307557667,2366,0.097224811584315,0.301659545870687
"FEM1A",0.197075440669528,2696,0.000277808327097977,0.0092604465530999
"FASTKD2",0.181810927485098,2950,0.176907526610559,0.412190024055496
"SAPCD2",0.145373311267562,3682,0.312225645923394,0.557410660094082
"MEX3A",0.136664836299581,3859,0.447720180599734,0.673959994974483
"HELZ2",0.110632864456668,4476,0.440819777465897,0.667588697974593
"GPR27",0.105372830658007,4602,0.443069856565394,0.669885537980472
"SLC26A1",0.0825076835521938,5186,0.421640621850915,0.650900806165018
"ADRA2A",0.0780136967655136,5320,0.73100357587414,0.868391721300448
"AKAP12",0.0665774341080847,5644,0.749084874951013,0.879065489575366
"SHANK3",0.00241797339362004,8313,0.982305435445584,0.992923255349109
"PRIMA1",-0.00608644461959429,9030,0.967704340611279,0.986674274690618
"PPP2R2C",-0.0202355532338905,10271,0.903459280052054,0.95500785074422
"PCDHB12",-0.031515823647008,11108,0.678842852926216,0.839109162688555
"FOXO4",-0.0337424458187963,11252,0.764244548406922,0.886884897131646
"ARHGEF17",-0.035060867128923,11341,0.783088258213908,0.897225083679386
"LRRC32",-0.0431644009790095,11847,0.78899393047232,0.900615642563136
"GTF2I",-0.0452065814212417,11958,0.68770508789575,0.844638528917613
"CADPS2",-0.0656078138467673,13019,0.592373039264116,0.783308496613444
"TTYH2",-0.0693505910581595,13199,0.390554289096981,0.624278543833966
"HR",-0.0700974207555577,13234,0.340644422479966,0.581982011358169
"PCDHGB5",-0.0823315400289468,13728,0.550548275536488,0.753065441713679
"COBL",-0.0841165464829716,13809,0.531798859162386,0.739973321169966
"NOS1AP",-0.0890336728574671,13994,0.338195760802097,0.579823041626901
"ZNF728",-0.096187619379757,14270,0.0202914223856239,0.125691221674531
"DUSP4",-0.0996770936449407,14389,0.519922903767477,0.730852765149711
"EBF2",-0.100403724621027,14411,0.364301525245869,0.602671251735762
"PCSK7",-0.104302367589589,14547,0.293979856031411,0.539874336998671
"ATG9A",-0.10465189428152,14565,0.314316607196027,0.559400684194952
"TM9SF4",-0.106419419300235,14639,0.115880429890336,0.330386735259366
"STX17",-0.107202636312499,14660,0.207257977755416,0.447198379359579
"TAF4B",-0.10901619415022,14712,0.222541087847333,0.465166987950952
"FAM169A",-0.109372652373735,14727,0.200675302524303,0.439780786149953
"SLC35E2B",-0.114726033181763,14905,0.279015914164804,0.525627157964687
"P4HA1",-0.116415955364079,14962,0.429205718117465,0.657798544580228
"PLEKHH1",-0.127898136196953,15326,0.489671408583176,0.709231495447897
"ZFR",-0.133870574143765,15482,0.0715136193200705,0.256951078701756
"ASAP2",-0.134361989387663,15498,0.23825041207663,0.482229393618149
"CHST3",-0.135967019032928,15527,0.255675278947889,0.500473673439893
"ANKS1B",-0.146348998945452,15784,0.0927373488190837,0.294512022058102
"TUBGCP4",-0.161566184286404,16133,0.00896452948536041,0.078314232476843
"ZNF384",-0.163119029192329,16156,0.0730576268071494,0.260398764660722
"TBC1D5",-0.166147285400005,16218,0.064681272617551,0.242240334702263
"SPG11",-0.176043526829751,16391,0.0981536453717059,0.302901812576894
"ZBTB16",-0.179330073712886,16448,0.356630987301814,0.595685764051916
"ABL2",-0.181898098190218,16505,0.0179311084728202,0.11664799090919
"ZNF354C",-0.196677344878136,16740,0.0254861226000981,0.142273304792098
"PCNX2",-0.203000511841513,16823,0.0133552722509936,0.0990886791169019
"LDLR",-0.204091855020693,16836,0.232229521804816,0.476002768717299
"RALGAPA1",-0.208643498681946,16905,0.0282399719605981,0.151426478732599
"ACACA",-0.209686184315708,16915,0.134021567208153,0.35600655466808
"BTN3A2",-0.216355107029541,16999,0.111158324102773,0.323295101913088
"PRDM1",-0.231986110752597,17173,0.111735506502274,0.324008886632108
"RALGAPA2",-0.232746148852586,17184,0.190200341728675,0.427954428227633
"TRAPPC10",-0.234082764626224,17205,0.00797726779840351,0.0723538981496708
"BMP6",-0.243847326045848,17324,0.249166029938206,0.493282309405139
"PARP4",-0.249919718317392,17385,0.0234323340113489,0.136231204769354
"MICAL3",-0.252598563486522,17412,0.0253231685472242,0.141721298974309
"TANC2",-0.261579452636517,17508,0.00744035472827846,0.0696989537545962
"SPRED1",-0.270704136332728,17581,0.0121735126277534,0.0940734186795467
"PTGER4",-0.272322835097285,17592,0.126951170475867,0.346323634863433
"CAPN5",-0.293438697628002,17738,0.148839429975872,0.377146603879768
"DCHS1",-0.309306641320715,17830,0.0256444307899288,0.142775622444263
"ZNF770",-0.353759617826139,17982,0.00820118046293729,0.0738230960536373
"IGFBP5",-0.432049197287667,18143,0.0519636207421408,0.21334102753242
"TNC",-0.464000380507773,18174,0.0259786123571613,0.143716327052776
