"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"AKAP12",0.30577422304128,110,0.0342936450434452,0.971546939347093,"Yes"
"ZBTB16",0.222148381183745,242,0.121805071760486,0.97196958734216,"Yes"
"PLXNB3",0.216137257622854,255,0.0585267200785971,0.97196958734216,"Yes"
"GTF2I",0.176210426867563,417,0.0418174656321087,0.97196958734216,"Yes"
"CADPS2",0.140022816138841,751,0.156548925511439,0.97196958734216,"Yes"
"FEM1A",0.126112366407027,983,0.00230447836021259,0.334204230763212,"Yes"
"SPG11",0.11988550608238,1098,0.138226688548079,0.97196958734216,"Yes"
"LDLR",0.118387491052865,1142,0.35472078980858,0.97196958734216,"Yes"
"ZNF770",0.115988533700345,1202,0.300635428737774,0.97196958734216,"Yes"
"PPP2R2C",0.109241441183779,1366,0.39787280771374,0.97196958734216,"Yes"
"FASTKD2",0.0977116115478438,1705,0.300184629353774,0.97196958734216,"Yes"
"PRIMA1",0.0953344115491284,1809,0.369937861003491,0.97196958734216,"Yes"
"SAPCD2",0.095207252441047,1815,0.351376864996637,0.97196958734216,"Yes"
"ASAP2",0.0951974587988982,1816,0.285802448795713,0.97196958734216,"Yes"
"GPR27",0.0823083862296379,2362,0.417130711770264,0.97196958734216,"Yes"
"ATG9A",0.0743801601955849,2757,0.378784827789088,0.97196958734216,"Yes"
"FAM169A",0.0742465428348318,2765,0.242332556123088,0.97196958734216,"Yes"
"COBL",0.0731677225173133,2825,0.45407880770691,0.97196958734216,"Yes"
"NOS1AP",0.0724602608714536,2865,0.202603529011624,0.97196958734216,"Yes"
"TBC1D5",0.067642481894032,3112,0.304305200435051,0.97196958734216,"Yes"
"ARHGEF17",0.0652015176068863,3284,0.482550881864386,0.97196958734216,"Yes"
"ZFR",0.0612607978992115,3526,0.315926521024163,0.97196958734216,"Yes"
"STX17",0.0583458148517217,3735,0.353620429652669,0.97196958734216,"Yes"
"PTGER4",0.0541087705915462,3995,0.637944077569518,0.985433361581401,"Yes"
"MEX3A",0.0525927973360307,4112,0.707270236209065,0.987466104627567,"Yes"
"TAF4B",0.0487951717071504,4390,0.471362126843464,0.97196958734216,"No"
"P4HA1",0.0436274439898821,4756,0.675095628299988,0.986876452660118,"No"
"HELZ2",0.043033367785251,4806,0.662924716401603,0.985433361581401,"No"
"ACACA",0.0402381220968993,5048,0.716509760217517,0.987705571113768,"No"
"RALGAPA1",0.0352213610147132,5445,0.613805957851027,0.980640428811616,"No"
"SHANK3",0.0273676758060504,6161,0.739862060533415,0.990191979852221,"No"
"TM9SF4",0.0271384511119175,6191,0.638061273588746,0.985433361581401,"No"
"CHST3",0.0243447778610051,6459,0.792339072359609,0.993714391242088,"No"
"EBF2",0.0239293202816629,6499,0.755934440766538,0.990206305218199,"No"
"PARP4",0.0229084264473793,6601,0.771780550500129,0.991138493812497,"No"
"MICAL3",0.0203406414709384,6846,0.773491784997845,0.99191000724915,"No"
"FOXO4",0.0182887741239584,7058,0.823399549943719,0.994594115304049,"No"
"ABL2",0.016687571031567,7180,0.747442013248817,0.990191979852221,"No"
"LRRC32",0.0161876442170947,7235,0.893625364844574,0.997662723953238,"No"
"ANKRD13B",0.0122275730495367,7637,0.904495262546817,0.998732430581662,"No"
"ZNF384",0.0113107265837464,7739,0.877687782275928,0.996933934133807,"No"
"TRAPPC10",0.00947560112021595,7922,0.89051359643361,0.996986062670989,"No"
"PCDHGB5",0.00806464416807584,8091,0.936946915431177,0.99954299627195,"No"
"ZNF728",0.00689694645723397,8222,0.756807069393667,0.990206305218199,"No"
"PCSK7",0.00651273614967329,8263,0.913269494120077,0.999539998987926,"No"
"SLC35E2B",-0.00175044322520579,9347,0.983510786367296,0.999566892237458,"No"
"ADRA2A",-0.00930568113388963,10552,0.956901724728642,0.99954299627195,"No"
"PCDHB12",-0.0123962423418321,11116,0.828498698462331,0.994613649720483,"No"
"ANKS1B",-0.0126580898993698,11162,0.801619259214087,0.993714391242088,"No"
"TUBGCP4",-0.0182454637282936,12177,0.687425779761362,0.987151709333159,"No"
"RALGAPA2",-0.0199104495862632,12444,0.880856184581176,0.996933934133807,"No"
"PLEKHH1",-0.0278757043897104,13442,0.84165786565787,0.995245270667715,"No"
"SLC26A1",-0.0296491700561472,13655,0.698834370866654,0.987151709333159,"No"
"TTYH2",-0.0307914948115673,13778,0.613510388205436,0.980623998515575,"No"
"TANC2",-0.0327396301282281,13973,0.676117170272579,0.986876452660118,"No"
"ZNF354C",-0.0440541305382238,14958,0.465452256318498,0.97196958734216,"No"
"PRDM1",-0.0553816148796751,15677,0.563477393584746,0.976755229736762,"No"
"DCHS1",-0.076466924863142,16566,0.460360416175637,0.97196958734216,"No"
"HR",-0.0799546038480101,16675,0.24389413909717,0.97196958734216,"No"
"SPRED1",-0.0900310449977269,16943,0.272650576867037,0.97196958734216,"No"
"PCNX2",-0.108846546162874,17310,0.0735809968690741,0.97196958734216,"No"
"TNC",-0.11451478089257,17424,0.480314356339573,0.97196958734216,"No"
"DUSP4",-0.132161650304287,17646,0.284502343759587,0.97196958734216,"No"
"BTN3A2",-0.140490882884286,17725,0.179821263603332,0.97196958734216,"No"
"BMP6",-0.164501065994111,17888,0.284506095757049,0.97196958734216,"No"
"IGFBP5",-0.189620568092796,18013,0.288267962774045,0.97196958734216,"No"
"CAPN5",-0.220247529028298,18107,0.159798290202396,0.97196958734216,"No"
