"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"SAPCD2",1.26727338499734,154,7.3337669806015e-12,1.88144083802903e-10
"RALGAPA2",1.16571693416477,195,8.14013515902755e-11,1.5203242210102e-09
"MEX3A",0.986918981390128,320,8.11224709350438e-09,8.38112587160356e-08
"ADRA2A",0.976892999593293,327,9.43048069381879e-06,4.41006554923948e-05
"PLXNB3",0.938909484434097,362,1.6068981263627e-09,2.03972211092016e-08
"ACACA",0.931686102656,370,2.16143210094804e-11,4.89835220296735e-10
"PLEKHH1",0.905193727915609,407,2.75599899610367e-06,1.45200685499941e-05
"ANKRD13B",0.723432555686269,728,4.0681752653716e-08,3.43071511529444e-07
"ZBTB16",0.695827248047595,818,0.00035920801318256,0.00112620898880753
"P4HA1",0.690136599251226,838,2.87542523403103e-06,1.5092677392187e-05
"HELZ2",0.672535406300222,895,3.01833444904403e-06,1.57973917037932e-05
"SLC26A1",0.60616752947374,1162,6.3484263007694e-10,8.98917479146155e-09
"COBL",0.486861881904451,1804,0.00051506491303598,0.00155481336994137
"EBF2",0.475536581579361,1876,1.18054572620615e-05,5.38390480505894e-05
"BMP6",0.381867105364014,2642,0.0353774437842885,0.0650432197447221
"SLC35E2B",0.362019610985403,2819,0.00020692774542078,0.00069112126492155
"TAF4B",0.357116972921377,2870,3.61350433166917e-05,0.000145479987044896
"FASTKD2",0.296912671299634,3501,0.0144323612777822,0.0296737405560523
"GPR27",0.295173803265204,3518,0.027827523952037,0.052578461248382
"TM9SF4",0.274515857412902,3786,0.000210915216445519,0.000702640405543288
"ABL2",0.225272879548753,4451,0.00113094970274117,0.00313046329296411
"PCNX2",0.205895123087369,4738,0.00177834473693906,0.00468869009309019
"RALGAPA1",0.189111472181749,4977,0.0220926686796734,0.0430539513606012
"CADPS2",0.187195292230764,5008,0.0887422259240901,0.143850922907488
"TANC2",0.138807629479067,5810,0.0794779239817301,0.130470365727535
"GTF2I",0.131573540954161,5915,0.177624510788278,0.257990562504667
"FEM1A",0.11680390202789,6167,0.0415583112837727,0.0747885826511716
"PCDHGB5",0.0946764795504833,6570,0.421950695407213,0.522815859605763
"PCDHB12",0.080701838463611,6852,0.27370297571764,0.368664446166095
"SPG11",0.0758240705624242,6964,0.427523812412648,0.5283150336032
"PPP2R2C",0.075568205336612,6968,0.591447818518748,0.682161132352305
"STX17",0.05528246562606,7423,0.39109054663466,0.492207947534671
"PCSK7",0.0531959738889056,7475,0.426829599654765,0.527679828581654
"LRRC32",0.0329244040840186,7984,0.847372378933957,0.890928675163049
"TUBGCP4",-0.0104195066179567,10130,0.853316707712078,0.895631959034006
"NOS1AP",-0.0488067404394584,11534,0.50106372986992,0.599883993563869
"ATG9A",-0.051016785841421,11592,0.541239983583142,0.637372802535599
"SHANK3",-0.0517402615778135,11618,0.681421151523155,0.758924211495725
"TRAPPC10",-0.0606808776408208,11838,0.423156164828478,0.523954074481899
"ZNF770",-0.0653952771239523,11958,0.574984135102395,0.667768324757143
"PTGER4",-0.0759960900012875,12156,0.619541677982071,0.706357174334967
"CAPN5",-0.10066154455364,12664,0.620730375825227,0.707364589008052
"ASAP2",-0.103451145851653,12717,0.314851055843516,0.412914229324933
"ANKS1B",-0.112418111834599,12880,0.0820914854532516,0.134398411157936
"ZNF384",-0.144944242852616,13390,0.0831174605581679,0.135956258131593
"ZNF354C",-0.171427364305478,13784,0.0424066328891987,0.076172638052326
"ZFR",-0.172538813222951,13798,0.0154097368025905,0.0314285677128314
"ZNF728",-0.18556708188806,14003,2.06685588031989e-07,1.4311292460168e-06
"TBC1D5",-0.195949022634595,14148,0.0173530711097807,0.0348234151616193
"PRDM1",-0.213309437067315,14364,0.11991107877428,0.185870312702901
"LDLR",-0.218204323710149,14419,0.276382553672925,0.371643383788991
"MICAL3",-0.226278303448314,14521,0.0161103691489039,0.0326461063760682
"PARP4",-0.320516410624514,15385,0.00254835674320929,0.0064493387514237
"FAM169A",-0.395758741785183,15925,1.93356875950116e-05,8.34954301679627e-05
"TTYH2",-0.396950483500546,15930,6.39578352744859e-06,3.10705802958447e-05
"BTN3A2",-0.411516246897518,16025,0.00388054527821412,0.00936725783690485
"AKAP12",-0.530900906312689,16648,0.0092606502822479,0.020142300316211
"FOXO4",-0.562111207535549,16777,8.70779807920903e-07,5.16250047759922e-06
"IGFBP5",-0.622710486180898,16955,0.00829684325179338,0.0182898597613137
"DCHS1",-0.646093784671639,17048,1.65318760298994e-05,7.27291058675679e-05
"ARHGEF17",-0.692286870508402,17182,8.88412382522585e-07,5.24660219177418e-06
"SPRED1",-0.721222368948241,17277,2.14734013267462e-09,2.62012791338908e-08
"HR",-0.744930621936223,17335,6.91697841703303e-14,3.42399804242616e-12
"TNC",-0.849768916531119,17568,0.000293840538553047,0.000944945647396119
"CHST3",-0.88681314981814,17639,2.87961683432547e-11,6.21738547231549e-10
"PRIMA1",-1.00257332137344,17817,5.41721875973737e-09,5.87019401385934e-08
"DUSP4",-1.01115298321974,17828,1.93258591221509e-05,8.34727223280228e-05
