"Gene","log2FC","rank","in_gene_set"
"TOMM6",7.31234950634923,1,FALSE
"PYURF",5.55449269589049,2,FALSE
"ADIRF",4.65703953578026,3,FALSE
"TREX1",4.04070347987575,4,FALSE
"EVA1B",3.91628613828308,5,FALSE
"ZNF593",3.3349166771947,6,FALSE
"SERINC4",3.22549048767995,7,FALSE
"PGAM2",3.20954935417071,8,FALSE
"PTPRCAP",2.88916005078617,9,FALSE
"UTP14C",2.69320672378359,10,FALSE
"GP1BB",2.69166237706716,11,FALSE
"CPLX3",2.51499099124055,12,FALSE
"CMC4",2.45835465520013,13,FALSE
"ABHD16B",2.32399500439679,14,FALSE
"OVCA2",2.26923023973764,15,FALSE
"TNFRSF6B",2.04533313424365,16,FALSE
"NPFF",1.85739900124467,17,FALSE
"BOLA2",1.83971705165283,18,FALSE
"C19orf33",1.78295746158647,19,FALSE
"LRRC26",1.14637293616052,20,FALSE
"ACTA1",1.12898654918731,21,FALSE
"CYP4F8",1.07336218404036,22,FALSE
"HES4",1.00454774879262,23,FALSE
"CCDC85B",1.00229881543931,24,FALSE
"TMEM160",0.965218957581361,25,FALSE
"FTH1",0.941659916417465,26,FALSE
"EEF1A2",0.939305375423849,27,FALSE
"TCAP",0.932935799673151,28,FALSE
"MYL2",0.925950761547093,29,FALSE
"DND1",0.919802237776492,30,FALSE
"NME3",0.907617189610881,31,FALSE
"TMEM238",0.891854301405491,32,FALSE
"NUPR1",0.880581249277578,33,FALSE
"COMTD1",0.803247894559521,34,FALSE
"MYL1",0.778738719831975,35,FALSE
"PSCA",0.77815155661807,36,FALSE
"CLDN3",0.777877163663287,37,FALSE
"ISG15",0.7738799614035,38,FALSE
"METRN",0.763561080783325,39,FALSE
"KIFC2",0.758978157206045,40,FALSE
"C19orf81",0.753753595735285,41,FALSE
"RPS3A",0.749874162285471,42,FALSE
"RSRP1",0.749565546960796,43,FALSE
"MCRIP2",0.748643822016661,44,FALSE
"MYH7",0.748472870751745,45,FALSE
"CTXN1",0.745014553051186,46,FALSE
"TNNC2",0.744194202040338,47,FALSE
"RHPN1",0.742668963687936,48,FALSE
"MB",0.740758127389911,49,FALSE
"CKM",0.736474281271111,50,FALSE
"NDUFAF8",0.734852061229876,51,FALSE
"PPDPF",0.72683089921405,52,FALSE
"ENDOG",0.723106965939705,53,FALSE
"TNNC1",0.720226315409867,54,TRUE
"ALDOA",0.708747921602366,55,FALSE
"MRPL41",0.700472270764726,56,FALSE
"TNNI2",0.699381363093806,57,FALSE
"RPL30",0.699221444810381,58,FALSE
"STUB1",0.696889810775764,59,FALSE
"AQP3",0.692178486510077,60,FALSE
"HAGHL",0.683697509225709,61,FALSE
"MZT2B",0.682156695928052,62,FALSE
"CHCHD10",0.677981927281849,63,FALSE
"SDC1",0.676833239228094,64,FALSE
"RPL26",0.674671249159429,65,FALSE
"SELENOM",0.672354563806453,66,FALSE
"RPL39L",0.669401923518619,67,FALSE
"HSPB1",0.66876650414638,68,FALSE
"TOMM7",0.666236127393761,69,FALSE
"RPS28",0.666224285500953,70,FALSE
"SLN",0.663588328834712,71,FALSE
"ALB",0.66334886686024,72,FALSE
"MAP1LC3A",0.662200436335298,73,FALSE
"COPS9",0.661042454893527,74,FALSE
"GADD45G",0.657229155541066,75,FALSE
"HSF4",0.656855579346905,76,FALSE
"PCSK1N",0.655191368088294,77,FALSE
"NR2F6",0.651735057703303,78,FALSE
"TNNT1",0.65156887258802,79,FALSE
"COX6C",0.647784636196014,80,FALSE
"NDUFS6",0.645055603547392,81,FALSE
"NAPRT",0.644625685328571,82,FALSE
"METTL26",0.642284109337857,83,FALSE
"UPK3A",0.641261772400343,84,TRUE
"RPS15A",0.63738523326655,85,FALSE
"HSPE1",0.637146613470456,86,FALSE
"ALKBH7",0.635074611499875,87,FALSE
"NOXA1",0.632703267919739,88,FALSE
"TSPO",0.632242299768816,89,FALSE
"LTC4S",0.628848259171231,90,FALSE
"NPDC1",0.6275304291857,91,FALSE
"TNNT3",0.627335637145926,92,FALSE
"MRPL12",0.624467315146333,93,FALSE
"SEC61G",0.622792917358406,94,FALSE
"RPS21",0.62163995038232,95,FALSE
"BICDL2",0.617415520042196,96,FALSE
"CTU1",0.617224548880681,97,FALSE
"SELENOH",0.615896454918357,98,FALSE
"ACAP3",0.614651398467087,99,FALSE
"FAM43A",0.613756297652364,100,FALSE
"RPL36",0.611888179221135,101,FALSE
"RNF208",0.609705724857095,102,FALSE
"EME2",0.608849975231538,103,FALSE
"BEX2",0.608020784540513,104,TRUE
"IRX4",0.605927125578331,105,FALSE
"TSR3",0.605338949924117,106,FALSE
"IER5L",0.604927333297284,107,FALSE
"ODF3B",0.604191421517121,108,FALSE
"C7orf50",0.603982475167145,109,FALSE
"SCAND1",0.603152273267344,110,FALSE
"HSPB6",0.602315533623915,111,FALSE
"UQCRQ",0.60109570858735,112,FALSE
"TPGS1",0.600945947527011,113,FALSE
"PRR7",0.597300890953913,114,FALSE
"MAMDC4",0.596506745233608,115,FALSE
"RPL21",0.593023064143078,116,TRUE
"SH3GLB2",0.592432192145266,117,FALSE
"JTB",0.591318981461166,118,FALSE
"NDUFAB1",0.589663063607334,119,TRUE
"NDUFA1",0.587637564749033,120,FALSE
"EPS8L2",0.587620530752326,121,FALSE
"CRIP2",0.586563455330057,122,FALSE
"ANGPTL4",0.584308652226448,123,FALSE
"PMVK",0.583563749453512,124,FALSE
"GATA2",0.582505070888379,125,FALSE
"RPL35",0.582162835794678,126,FALSE
"ZNF428",0.581154067770414,127,FALSE
"HOPX",0.579437291098298,128,FALSE
"RGS11",0.579236095737555,129,FALSE
"COX6A1",0.572947640171866,130,TRUE
"MYOZ1",0.56987384694016,131,FALSE
"ENO3",0.569391539348735,132,FALSE
"HPX",0.568451704529391,133,FALSE
"UQCRH",0.567011564232149,134,FALSE
"COMMD6",0.566337689051486,135,FALSE
"HSPA1B",0.565589843594058,136,FALSE
"IDUA",0.563791022238454,137,FALSE
"BEX3",0.563561269667542,138,FALSE
"TMEM54",0.562550646012548,139,FALSE
"POLR2L",0.561530779331895,140,FALSE
"PRAC2",0.560961841815736,141,FALSE
"PPP1R35",0.559982324704364,142,FALSE
"CCNL2",0.559656771665087,143,FALSE
"NHP2",0.559102325821534,144,FALSE
"ROMO1",0.559019567066867,145,FALSE
"LMNTD2",0.55761080657639,146,FALSE
