"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"TNNC1",0.32584774199182,91,0.146140465748016,0.97196958734216,"Yes"
"UPK3A",0.304717633900299,113,0.1493915961417,0.97196958734216,"Yes"
"FBXO2",0.232925056283024,216,0.064543041815698,0.97196958734216,"Yes"
"RHBDD2",0.175694286225062,419,0.0313482017781403,0.962732253936063,"Yes"
"RPL3L",0.166913837726628,476,0.0592959848628058,0.97196958734216,"Yes"
"UQCR11",0.139937420868725,753,0.144534343378979,0.97196958734216,"Yes"
"HES1",0.13693970882778,797,0.290733433239641,0.97196958734216,"Yes"
"EMC8",0.128006951649109,942,0.0197985490125153,0.831096748670774,"Yes"
"NDUFAB1",0.124087403675197,1019,0.144319502408067,0.97196958734216,"Yes"
"BEX2",0.121290985848018,1070,0.369358856884493,0.97196958734216,"Yes"
"SMIM4",0.113937218780585,1244,0.228835935694118,0.97196958734216,"Yes"
"GATM",0.112969623098732,1275,0.36735030785734,0.97196958734216,"Yes"
"TMA7",0.110399004454734,1337,0.276223668739828,0.97196958734216,"Yes"
"TMED3",0.109807041215287,1355,0.234430379686085,0.97196958734216,"Yes"
"COX6A1",0.108153242897914,1399,0.288185078651397,0.97196958734216,"Yes"
"NDUFC2",0.0989595954523077,1665,0.201429444654692,0.97196958734216,"Yes"
"ARPC1B",0.0949227160025252,1827,0.154584926051932,0.97196958734216,"Yes"
"COX14",0.0804142289475278,2452,0.363877757869874,0.97196958734216,"No"
"MUC1",0.062777383690348,3431,0.755082524560231,0.990191979852221,"No"
"LYRM9",0.0610112289935494,3545,0.334137241812207,0.97196958734216,"No"
"MORN2",0.05583195760489,3893,0.546211732438282,0.976755229736762,"No"
"BANP",0.055758934709643,3897,0.255849459926139,0.97196958734216,"No"
"OAZ3",0.0554682721364517,3911,0.426801344199029,0.97196958734216,"No"
"LCN2",0.0524972493786122,4115,0.860562098395008,0.996794844179341,"No"
"GNG10",0.0507260634624833,4237,0.427299312194735,0.97196958734216,"No"
"DCTN3",0.0505234583533181,4257,0.497861585476219,0.97196958734216,"No"
"PRR13",0.0504407362903674,4263,0.466387764296593,0.97196958734216,"No"
"COX8A",0.0485434047446347,4407,0.604673277770595,0.979660576859647,"No"
"RPL21",0.0439609863548309,4730,0.701605413044724,0.987151709333159,"No"
"VKORC1",0.0407452403897497,4992,0.652138957836103,0.985433361581401,"No"
"VAMP5",0.0405104212723568,5018,0.747108653870631,0.990191979852221,"No"
"MYPOP",0.0335715878579412,5586,0.567388765006961,0.976972326375653,"No"
"C8orf76",0.031491999857078,5778,0.627431688493456,0.98446327012201,"No"
"PSENEN",0.030364943323038,5876,0.72757817740063,0.98937569137247,"No"
"MYL6",0.0297741739491464,5931,0.738286924362118,0.990053174824569,"No"
"KRT10",0.0264514852411022,6244,0.771394860097811,0.991138493812497,"No"
"CKS1B",0.0245823634029469,6438,0.777432932408198,0.992086666502925,"No"
"SDCBP2",0.0218172677782182,6699,0.815343747146449,0.993714391242088,"No"
"GDPGP1",0.0214385763202216,6732,0.573920252073388,0.977887950397921,"No"
"TARDBP",0.0196963978095726,6907,0.651880855790625,0.985433361581401,"No"
"KRTCAP2",0.0175743174870822,7118,0.811867577963498,0.993714391242088,"No"
"HYKK",0.0121542794204301,7647,0.739738682898972,0.990191979852221,"No"
"CARD9",0.00736208237304048,8165,0.907925572695597,0.999179803991831,"No"
"SNRPN",0.00282456778391538,8722,0.980600457459141,0.99954299627195,"No"
"CALML6",0.00188072094828007,8838,0.974377847392113,0.99954299627195,"No"
"LTB4R",-0.00219752345853008,9416,0.982630665671385,0.99954299627195,"No"
"TEX19",-0.0071888657327564,10192,0.712382353121332,0.987644737617191,"No"
"RENBP",-0.00851819134425202,10421,0.943276933449002,0.99954299627195,"No"
"FCHSD1",-0.0092533969852322,10545,0.903929385229162,0.998643649745408,"No"
"NDUFS5",-0.00931002295979422,10554,0.916505206418849,0.99954299627195,"No"
"TSGA13",-0.0139012570828778,11413,0.261957064017237,0.97196958734216,"No"
"ABTB1",-0.014320673300225,11492,0.883604178733338,0.996986062670989,"No"
"AXDND1",-0.0177844701318383,12102,0.165260288501359,0.97196958734216,"No"
"KISS1",-0.0194297774744196,12369,0.709503623635805,0.987546193059754,"No"
"C1QTNF12",-0.0198717089516108,12435,0.723949008929909,0.98825042881938,"No"
"SNRPA1",-0.0231269717411524,12877,0.670181595056893,0.985566028470153,"No"
"FKBP6",-0.0269600188813272,13334,0.189850606778361,0.97196958734216,"No"
"BLOC1S1",-0.0300824995139259,13708,0.756252931914113,0.990206305218199,"No"
"SPATA33",-0.0301013327043873,13710,0.507023347958649,0.97196958734216,"No"
"SLC6A16",-0.0304719735638106,13746,0.618859551181758,0.981856183079061,"No"
"RAB13",-0.0307482523613491,13771,0.737226373912742,0.990003659646851,"No"
"EFHB",-0.0310906306556865,13810,0.425472824792978,0.97196958734216,"No"
"DLGAP2",-0.0441462308760113,14963,0.0800894650664338,0.97196958734216,"No"
"IL3RA",-0.045976772410449,15109,0.5361015084574,0.975351660655361,"No"
"NDUFB1",-0.0487016203359358,15297,0.640107339535228,0.985433361581401,"No"
"ZNF684",-0.052608909967285,15537,0.185709028798435,0.97196958734216,"No"
"SPATA6L",-0.0569600009093125,15759,0.366105742113042,0.97196958734216,"No"
"DDB2",-0.0607569355352022,15942,0.424934828474819,0.97196958734216,"No"
"PCLAF",-0.0607696641097277,15943,0.533003383593954,0.974705909375835,"No"
"TMEM14B",-0.0633663271694012,16086,0.379125681866075,0.97196958734216,"No"
"DSN1",-0.0652278007351024,16162,0.337275905207899,0.97196958734216,"No"
"HELLS",-0.0707386776779674,16366,0.32172904936436,0.97196958734216,"No"
"MMP10",-0.0800094266904268,16676,0.610691159910864,0.980164524505264,"No"
"POLG2",-0.0837171864474133,16782,0.177576048620535,0.97196958734216,"No"
"SNCAIP",-0.0874054964203258,16884,0.227603401547599,0.97196958734216,"No"
"CIRBP",-0.0935686345797988,17031,0.235050603242887,0.97196958734216,"No"
"HOXB7",-0.100392429546986,17161,0.318608388278668,0.97196958734216,"No"
"DENND2A",-0.102124415895215,17202,0.202335307034259,0.97196958734216,"No"
"KCNAB3",-0.111744079069476,17375,0.0672804860727437,0.97196958734216,"No"
"HLA-B",-0.136309807440121,17691,0.341868013330738,0.97196958734216,"No"
"HEXA",-0.156921743860021,17842,0.112664721201309,0.97196958734216,"No"
"CEACAM19",-0.165513448706689,17899,0.0698224593653196,0.97196958734216,"No"
"C19orf18",-0.173819987524537,17934,0.0656026139884557,0.97196958734216,"No"
"AGER",-0.181675637322953,17980,0.088559318559429,0.97196958734216,"No"
"HLA-A",-0.224208064069144,18115,0.131505942178565,0.97196958734216,"No"
"HOXC4",-0.25430300750307,18168,0.0303704263292083,0.953068306029269,"No"
"MSMB",-0.331735149434434,18245,0.308622639407151,0.97196958734216,"No"
