"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"HOXC4",0.996060066986268,307,3.93801348541047e-11,8.07314863350254e-10
"SNRPN",0.881918018695671,444,1.08459666274825e-10,1.95570016206905e-09
"MMP10",0.848878696110702,484,0.000120402509911664,0.000427790750057664
"TMED3",0.757580466167632,653,4.92069683602668e-10,7.20781462765544e-09
"COX6A1",0.749902244252431,677,6.60829821286396e-09,6.96923644088759e-08
"SMIM4",0.64946594102422,979,2.6918720211876e-09,3.1886987249684e-08
"OAZ3",0.559477529678618,1361,1.17161763599415e-08,1.15243768115612e-07
"NDUFAB1",0.525887648212222,1554,6.23397911666353e-09,6.62419212012659e-08
"SNRPA1",0.522763115877192,1577,1.21589023498572e-12,3.96597339861594e-11
"NDUFB1",0.518268476886401,1609,1.02832233655458e-05,4.7721889734517e-05
"KRTCAP2",0.513329934915369,1633,8.73566430773744e-09,8.93424659827167e-08
"C19orf18",0.493339228889371,1757,3.53155613957626e-06,1.81915974183587e-05
"PCLAF",0.477576196067764,1864,4.30614185007489e-05,0.000170066998991282
"RPL21",0.473940649448583,1886,0.000939753440666864,0.00265761516445594
"RENBP",0.463447188155326,1952,0.00146048197651266,0.00393352459200536
"VKORC1",0.454200204063152,2023,2.12244091415045e-05,9.07502475137455e-05
"COX8A",0.419953657464998,2299,0.000198998030075316,0.00066830263235075
"CEACAM19",0.414576010052061,2344,0.000206658889418734,0.000690475813814267
"C8orf76",0.394152148321247,2522,1.67238040005045e-08,1.56254221930034e-07
"RAB13",0.385153967007901,2599,0.00104679245258134,0.00291963825604685
"BLOC1S1",0.383588191138549,2628,0.000316423388297139,0.00100886535357576
"UPK3A",0.373561922178161,2712,0.261879405559864,0.355808481252342
"POLG2",0.314932598505897,3317,9.62918826745116e-06,4.49838242693767e-05
"GDPGP1",0.313595699963722,3329,1.80739361279192e-08,1.67243423157331e-07
"TARDBP",0.311987523995874,3354,6.97807168191578e-07,4.24871524472912e-06
"CIRBP",0.304757429610703,3419,0.00182392793140357,0.00479848301815031
"C1QTNF12",0.288551788607789,3601,6.51676641861393e-07,3.99447165779873e-06
"PRR13",0.278821983448936,3723,0.000188390842735033,0.000636542200036647
"MORN2",0.234436950245567,4327,0.0462863693672038,0.0821799011334899
"HYKK",0.229993218130895,4376,8.5645793014403e-07,5.08254079012698e-06
"ARPC1B",0.226075863864784,4438,0.0113542633558567,0.0241019145215664
"GNG10",0.223994913235869,4464,0.00235453945718376,0.00601594876555021
"MYPOP",0.221032508570679,4515,0.00204989775005163,0.00532472017952831
"NDUFC2",0.217012684863032,4566,0.0288434640798031,0.054189463105732
"BANP",0.20664462677907,4727,0.000889966420690042,0.00253290242702342
"TMA7",0.204303754550205,4757,0.0902900200172854,0.145976058208155
"CALML6",0.179942121245098,5118,0.0121621213469705,0.0255878033314631
"KCNAB3",0.177135878755577,5164,0.00588294404426991,0.0135116127137727
"HLA-B",0.153812266537794,5559,0.396579332862534,0.497590197421833
"NDUFS5",0.120328447643571,6101,0.212979872513884,0.300663911534013
"HELLS",0.120276908722458,6103,0.105274770406082,0.166489087120129
"PSENEN",0.114500255669668,6198,0.26330282627492,0.357423411469805
"SPATA33",0.110445085398739,6273,0.010173831650358,0.021899034754353
"RPL3L",0.0844670661617097,6784,0.613357247513493,0.700881043671033
"DLGAP2",0.0724139918438071,7036,0.00158562345567192,0.00423435643878704
"MUC1",0.0655791076576206,7181,0.80430777600139,0.857246226890034
"ABTB1",0.0590035056330271,7324,0.583438086356222,0.675482036216185
"IL3RA",0.0588167672196689,7330,0.568387566685676,0.661605874707141
"KRT10",0.0538184939419413,7460,0.610396903377431,0.698415800369091
"AGER",0.0476244852548138,7611,0.695866720416692,0.770252182470688
"EFHB",0.0455529664942689,7661,0.304107305578006,0.401891731849754
"TEX19",0.0345556281670416,7928,0.0733916930259721,0.122158981666886
"UQCR11",0.0344374167409622,7936,0.752948397019161,0.816174435935672
"FKBP6",0.034166302985343,7949,0.0176631207908624,0.0353688406452414
"COX14",0.0211766653068954,8346,0.819238959446541,0.868549443800337
"TSGA13",0.00832944655414979,8803,0.219265289948392,0.3076113507064
"DCTN3",0.00687818350349456,8860,0.944656116726805,0.961556200370499
"CARD9",0.00655693942846514,8871,0.936156832664958,0.955906396083564
"EMC8",0.00374401385940182,9001,0.951099910272823,0.966013732264424
"KISS1",-0.0366006737465719,11190,0.580261891425239,0.67258432251438
"HES1",-0.0507269603836162,11584,0.704646375830631,0.77752027914234
"AXDND1",-0.0530888771430864,11654,0.356089384702937,0.455644742625839
"FCHSD1",-0.0558013728226607,11711,0.582080816417997,0.674252532988214
"TMEM14B",-0.0660820874734274,11976,0.603826767422954,0.69305176106411
"DSN1",-0.0893932534972541,12423,0.245103317461009,0.336772769425515
"SPATA6L",-0.100604905601841,12662,0.168002299181089,0.246288039193529
"RHBDD2",-0.112361663833256,12877,0.446100199816397,0.546774545028962
"HEXA",-0.138810127956282,13295,0.187009503997668,0.26956404671886
"LTB4R",-0.146771280719713,13427,0.258017943275344,0.351529481007491
"LYRM9",-0.156943020339536,13571,0.0373316572825011,0.0681695543259188
"ZNF684",-0.188088917532549,14036,0.000450422631796683,0.00137858910730533
"CKS1B",-0.299143019563127,15198,0.00265377220614222,0.00668235499274797
"SLC6A16",-0.329503710396786,15444,5.68302798044394e-06,2.79199002395882e-05
"SNCAIP",-0.375335250584289,15787,1.29425885200826e-05,5.8575154090146e-05
"BEX2",-0.380297555670714,15816,0.00654394921646358,0.0148320854185288
"SDCBP2",-0.390388499778621,15892,0.00295511025123733,0.00736198088503833
"MYL6",-0.421007286366772,16085,0.00031977387166857,0.00101848117522199
"HLA-A",-0.431650730474445,16145,0.0159256599126174,0.0323076525948323
"TNNC1",-0.496138284750808,16487,0.23236933324122,0.322895263673193
"DENND2A",-0.594630840667343,16871,8.71033307773081e-06,4.10059134015028e-05
"DDB2",-0.62997770517601,16980,1.84204673518287e-09,2.29201809706064e-08
"FBXO2",-0.715440728386825,17265,2.36785486690699e-05,9.98873833693375e-05
"VAMP5",-0.72394550844547,17284,9.36857474612713e-06,4.38560703005531e-05
"LCN2",-0.776959028976207,17417,0.051513750898323,0.09014659646568
"HOXB7",-0.837333340702817,17545,0.0016552219547943,0.00440027422882736
"MSMB",-1.02367333373141,17839,0.107773885820021,0.169750607776882
"GATM",-1.6826503426312,18227,4.81312796570826e-14,2.52633894889733e-12
