"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"MMP10",0.982458122589297,262,5.08318751735094e-05,0.000269137815331382,"No"
"HOXC4",0.823293667782005,414,3.04697688003683e-09,5.69458662579722e-08,"No"
"TMED3",0.571059789245159,926,1.34684412354656e-05,8.4426398717553e-05,"No"
"CEACAM19",0.402670760852763,1773,0.000291815830101169,0.00124293701515072,"No"
"C19orf18",0.380295280264879,1928,0.000152631878162347,0.000704806990009454,"No"
"SNRPN",0.377543203688918,1949,0.0148611563759258,0.0365661339191478,"No"
"PCLAF",0.37406682491222,1985,0.00230387838516175,0.00742983396855112,"No"
"OAZ3",0.348507597995666,2220,7.97092569165214e-05,0.000400442024653077,"No"
"SNRPA1",0.333089844010811,2356,2.03515202137522e-06,1.66159872450796e-05,"No"
"GDPGP1",0.27011267898864,3000,1.63551701204208e-07,1.8351329240739e-06,"No"
"HYKK",0.254087978685646,3237,7.06839278653043e-06,4.83086619112535e-05,"No"
"KRTCAP2",0.191046296763572,4181,0.0194482283488576,0.045919715647584,"No"
"POLG2",0.187801940204529,4235,0.0208017700309513,0.0485492172861106,"No"
"COX6A1",0.176954604080576,4412,0.162003374648563,0.259213183447895,"No"
"HELLS",0.155874675838747,4820,0.0716821367623757,0.13579911319484,"No"
"KCNAB3",0.144696179727171,5028,0.0458667097477202,0.0945009242686952,"No"
"DLGAP2",0.126234670495503,5445,3.70926360981591e-06,2.78555116725571e-05,"No"
"SMIM4",0.0944342283201678,6212,0.338721897360226,0.453553931129666,"No"
"TARDBP",0.090228073846025,6322,0.189166849394985,0.291616173295087,"No"
"BANP",0.0874532851771996,6403,0.188726983048942,0.291135731493467,"No"
"HLA-B",0.0823881841140954,6550,0.6280802105599,0.717489954860562,"No"
"NDUFB1",0.0738946542720775,6773,0.591276129484862,0.68760784637488,"No"
"TSGA13",0.0689755027553691,6911,0.0117379006419848,0.0298475228250695,"No"
"RAB13",0.0630830037045285,7108,0.539503815118593,0.641738233724749,"No"
"C8orf76",0.0570377825921617,7270,0.419379080185471,0.530753822673071,"No"
"BLOC1S1",0.0567455563890449,7279,0.600661160994878,0.694874269288222,"No"
"RENBP",0.0518175158406986,7444,0.692212097322106,0.772260944540526,"No"
"SPATA33",0.038109954879588,7947,0.421542384844045,0.532713341696961,"No"
"FKBP6",0.0366089117070692,8007,0.0527146178187177,0.105825367144969,"No"
"CIRBP",0.0274891059093614,8378,0.723676263619206,0.798342321303607,"No"
"TEX19",0.0274490900603978,8380,0.018682515598675,0.0444281422130553,"No"
"C1QTNF12",0.0254333378346162,8479,0.574122944520108,0.67326301789118,"No"
"EFHB",0.0235183503697991,8574,0.588267956254915,0.685169198411946,"No"
"SPATA6L",-0.00650298703447194,10208,0.953131397164688,0.970602890346641,"No"
"COX8A",-0.0109174645228238,10385,0.93183786918965,0.955643929296885,"No"
"VKORC1",-0.015705577825424,10545,0.874279922239799,0.91597952981188,"No"
"HEXA",-0.0173458936687179,10594,0.885408797150709,0.924015408113965,"No"
"PSENEN",-0.0303385437440178,10953,0.816789856194925,0.871527951441354,"No"
"AXDND1",-0.0354598169355691,11083,0.574085111603063,0.673262113452631,"No"
"GNG10",-0.0391649169962069,11178,0.503317855507003,0.608820892471716,"No"
"CALML6",-0.0486116589694232,11380,0.306637703510797,0.422126441495692,"No"
"IL3RA",-0.0496524510781697,11401,0.609437021839077,0.702164834066638,"No"
"NDUFAB1",-0.0637754153951047,11697,0.563968997088341,0.66425137112956,"No"
"PRR13",-0.0785355499270048,12010,0.307001334880676,0.422498958291087,"No"
"ARPC1B",-0.08135944408449,12069,0.309111875047232,0.424631452065034,"No"
"MYPOP",-0.0854326393363514,12148,0.231619214396789,0.34061318292982,"No"
"RPL21",-0.119082414694476,12813,0.403029430188659,0.51552123847396,"No"
"TMEM14B",-0.121024200586264,12854,0.404040257583748,0.516595954340256,"No"
"TMA7",-0.134592014852069,13086,0.354883117729883,0.469165760620119,"No"
"ZNF684",-0.143569239473858,13234,0.0150335023745683,0.0369151938546104,"No"
"MSMB",-0.147873103276789,13302,0.818174925364883,0.87259823250035,"No"
"FCHSD1",-0.152369028054346,13360,0.128721151463562,0.217157172872127,"No"
"KISS1",-0.154206100801984,13396,0.00343665536070007,0.0104907211027521,"No"
"MORN2",-0.154268502750974,13397,0.19147687498405,0.294303148401748,"No"
"RPL3L",-0.158170428328924,13460,0.183038866369702,0.284706228827126,"No"
"SNCAIP",-0.186072551289959,13903,0.0712595605668856,0.135153599630199,"Yes"
"CARD9",-0.188195119515716,13934,0.00670984188363719,0.0185216513688122,"Yes"
"DSN1",-0.193103180021625,14006,0.0311618435708055,0.0684257283098336,"Yes"
"NDUFC2",-0.21164600505348,14247,0.0615278278397252,0.120093963740888,"Yes"
"AGER",-0.222562276529097,14359,0.0906574399166147,0.16396685120721,"Yes"
"NDUFS5",-0.230338101438692,14441,0.0365031928223192,0.078206982050979,"Yes"
"MUC1",-0.235398639476887,14494,0.293771043994484,0.408656465671475,"Yes"
"SLC6A16",-0.248005121632381,14635,0.0157618541904472,0.0384283778316552,"Yes"
"UPK3A",-0.267699850222175,14843,0.456314328981862,0.565019841884295,"Yes"
"EMC8",-0.270371244475915,14864,0.000216611255202201,0.000957877327654133,"Yes"
"HES1",-0.275635452802462,14908,0.110547244832104,0.192688663367876,"Yes"
"ABTB1",-0.358458966319257,15594,0.000567657180898383,0.00220899995232723,"Yes"
"HLA-A",-0.366688587833133,15648,0.0293785301222997,0.0650049181731664,"Yes"
"DCTN3",-0.392269110180693,15819,0.000493215743117,0.00196055956005764,"Yes"
"KRT10",-0.401992714670309,15892,0.000516494005884027,0.00203704518256388,"Yes"
"RHBDD2",-0.417891312431074,16005,0.00819485258746608,0.0219893193654223,"Yes"
"UQCR11",-0.445521788851637,16175,0.000636782913462213,0.00244562334163944,"Yes"
"COX14",-0.455222416915948,16215,1.59968292286959e-05,9.82415144585836e-05,"Yes"
"LYRM9",-0.459422248198496,16235,2.07616345570736e-11,8.16354660960605e-10,"Yes"
"LCN2",-0.465466808140418,16278,0.249356579355455,0.360080414989762,"Yes"
"LTB4R",-0.519377607137203,16542,2.44678487264915e-05,0.000143012528946411,"Yes"
"DENND2A",-0.526692315038009,16574,0.000131802519020831,0.000622387460497117,"Yes"
"SDCBP2",-0.608490724437803,16915,3.1551093264703e-06,2.42452267447798e-05,"Yes"
"CKS1B",-0.621316251000628,16953,2.28837966594622e-07,2.45835038507268e-06,"Yes"
"DDB2",-0.658383085302795,17053,2.98073172713825e-09,5.60538018169705e-08,"Yes"
"MYL6",-0.824177132803457,17462,3.60581928538666e-11,1.30745136004659e-09,"Yes"
"HOXB7",-0.920090492691109,17630,0.000748607488671632,0.00282199701996449,"Yes"
"BEX2",-0.988318340211217,17725,4.22225775917546e-08,5.70695940871886e-07,"Yes"
"VAMP5",-1.06710583446659,17811,3.8039586387749e-10,9.61094751487966e-09,"Yes"
"FBXO2",-1.15740493993653,17904,5.41936371211752e-14,5.65794029852453e-12,"Yes"
"TNNC1",-1.21636460016067,17951,0.000381568367770896,0.00157142846722423,"Yes"
"GATM",-1.77315183370875,18137,6.52509143909589e-17,1.9446175532089e-14,"Yes"
