"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"AR",0.714870619010262,23,0.000257306692447303,0.0681415245085446,"Yes"
"FASN",0.478802937816553,37,0.00837464856452593,0.682203012047495,"Yes"
"FKBP5",0.43270960939309,49,0.00205328175164433,0.32068049100681,"Yes"
"TNNC1",0.32584774199182,91,0.146140465748016,0.97196958734216,"Yes"
"AKAP12",0.30577422304128,110,0.0342936450434452,0.971546939347093,"Yes"
"UPK3A",0.304717633900299,113,0.1493915961417,0.97196958734216,"Yes"
"MAOA",0.287814016861241,128,0.0963025360149652,0.97196958734216,"Yes"
"ACSL3",0.273472830043128,145,0.0560521213412219,0.97196958734216,"Yes"
"KCNH2",0.264612862385968,152,0.0331653532411572,0.97138876680809,"Yes"
"FBXO2",0.232925056283024,216,0.064543041815698,0.97196958734216,"Yes"
"ZBTB16",0.222148381183745,242,0.121805071760486,0.97196958734216,"Yes"
"ALDH1B1",0.217531053088476,251,0.00768883374086012,0.656532985732416,"Yes"
"PLXNB3",0.216137257622854,255,0.0585267200785971,0.97196958734216,"Yes"
"DDX21",0.206028418133864,284,0.0352390560118382,0.97196958734216,"Yes"
"NFIC",0.199444215936417,311,0.0242151351003082,0.897531772186473,"Yes"
"KIAA1549",0.182737071300252,381,0.0507288434808674,0.97196958734216,"Yes"
"NEK6",0.178851956320622,406,0.054298403447261,0.97196958734216,"Yes"
"GTF2I",0.176210426867563,417,0.0418174656321087,0.97196958734216,"Yes"
"RHBDD2",0.175694286225062,419,0.0313482017781403,0.962732253936063,"Yes"
"MGST1",0.172784548685097,443,0.378818192768534,0.97196958734216,"Yes"
"EDA",0.169399615203533,461,0.115888464529849,0.97196958734216,"Yes"
"KLK15",0.167554308256511,474,0.254439097228459,0.97196958734216,"Yes"
"RPL3L",0.166913837726628,476,0.0592959848628058,0.97196958734216,"Yes"
"PRKAR2A",0.166657441023282,481,0.0154935717854332,0.790821333059276,"Yes"
"BMI1",0.15219915442685,606,0.0252431167428108,0.908006835120828,"Yes"
"HLTF",0.148437778605684,644,0.183585541663049,0.97196958734216,"Yes"
"FKBP4",0.147283783253651,661,0.0958303537716566,0.97196958734216,"Yes"
"MLEC",0.146281425863172,668,0.0760032837523896,0.97196958734216,"Yes"
"RMND5A",0.145481801434896,676,0.0286100327029188,0.93155312358673,"Yes"
"PTPRF",0.141930179739834,718,0.167483857315117,0.97196958734216,"Yes"
"CADPS2",0.140022816138841,751,0.156548925511439,0.97196958734216,"Yes"
"UQCR11",0.139937420868725,753,0.144534343378979,0.97196958734216,"Yes"
"HES1",0.13693970882778,797,0.290733433239641,0.97196958734216,"Yes"
"PRR15L",0.134554279550924,834,0.27957914446363,0.97196958734216,"Yes"
"SLC25A23",0.133139845871656,858,0.0964581810412776,0.97196958734216,"Yes"
"RAB10",0.132791991529578,863,0.0540790263689352,0.97196958734216,"Yes"
"UQCRQ",0.129462781013724,926,0.250172204935464,0.97196958734216,"Yes"
"FEM1A",0.126112366407027,983,0.00230447836021259,0.334204230763212,"Yes"
"NDUFAB1",0.124087403675197,1019,0.144319502408067,0.97196958734216,"Yes"
"ALDH2",0.122313607231024,1047,0.375329260749521,0.97196958734216,"Yes"
"ME2",0.122183460266366,1052,0.0319025616175092,0.966082188151801,"Yes"
"LRP5",0.122069766565909,1054,0.17326717261881,0.97196958734216,"Yes"
"BEX2",0.121290985848018,1070,0.369358856884493,0.97196958734216,"Yes"
"SPG11",0.11988550608238,1098,0.138226688548079,0.97196958734216,"Yes"
"WDR43",0.119663501536403,1106,0.0471800316573731,0.97196958734216,"Yes"
"LDLR",0.118387491052865,1142,0.35472078980858,0.97196958734216,"Yes"
"KMT2E",0.118275453869345,1144,0.143173093778387,0.97196958734216,"Yes"
"HSBP1L1",0.117857499754204,1152,0.278716633321992,0.97196958734216,"Yes"
"ZNF770",0.115988533700345,1202,0.300635428737774,0.97196958734216,"Yes"
"SMIM4",0.113937218780585,1244,0.228835935694118,0.97196958734216,"Yes"
"CLTB",0.113272890484819,1268,0.201790817625118,0.97196958734216,"Yes"
"BLCAP",0.113013101110799,1274,0.0710898912294647,0.97196958734216,"Yes"
"GATM",0.112969623098732,1275,0.36735030785734,0.97196958734216,"Yes"
"TMA7",0.110399004454734,1337,0.276223668739828,0.97196958734216,"Yes"
"EARS2",0.109956897249388,1349,0.0817850326531146,0.97196958734216,"Yes"
"PPP2R2C",0.109241441183779,1366,0.39787280771374,0.97196958734216,"Yes"
"FLII",0.108920253228314,1379,0.0904579975799979,0.97196958734216,"Yes"
"COX6A1",0.108153242897914,1399,0.288185078651397,0.97196958734216,"Yes"
"SBDS",0.107736558046822,1410,0.0460412961909582,0.97196958734216,"Yes"
"DIAPH2",0.107050579873237,1426,0.156315548670491,0.97196958734216,"Yes"
"ISCU",0.106663681904273,1435,0.0682909508199921,0.97196958734216,"Yes"
"ZKSCAN1",0.1066461473784,1436,0.200706118118147,0.97196958734216,"Yes"
"BEX3",0.105129250911047,1479,0.300848455689084,0.97196958734216,"Yes"
"ABHD12",0.102272389367879,1561,0.350537104714385,0.97196958734216,"Yes"
"PSMD10",0.101347729215429,1587,0.206715762812674,0.97196958734216,"Yes"
"DGAT2",0.101086970008506,1593,0.332083511126905,0.97196958734216,"Yes"
"PSMA7",0.100837287692633,1600,0.193130392115332,0.97196958734216,"Yes"
"SNX17",0.0998392111247277,1633,0.0857218606322795,0.97196958734216,"Yes"
"MEAF6",0.0991077677858154,1657,0.29881730089446,0.97196958734216,"Yes"
"C2CD2",0.0990603462531015,1661,0.152097451352911,0.97196958734216,"Yes"
"NDUFC2",0.0989595954523077,1665,0.201429444654692,0.97196958734216,"Yes"
"EEF2",0.0989516841962281,1666,0.271930418497766,0.97196958734216,"Yes"
"FASTKD2",0.0977116115478438,1705,0.300184629353774,0.97196958734216,"Yes"
"GEMIN5",0.0974462350951848,1713,0.0764240271919158,0.97196958734216,"Yes"
"DYNLT3",0.0973768615426445,1716,0.208460626202575,0.97196958734216,"Yes"
"PRIMA1",0.0953344115491284,1809,0.369937861003491,0.97196958734216,"Yes"
"SAPCD2",0.095207252441047,1815,0.351376864996637,0.97196958734216,"Yes"
"ASAP2",0.0951974587988982,1816,0.285802448795713,0.97196958734216,"Yes"
"ARPC1B",0.0949227160025252,1827,0.154584926051932,0.97196958734216,"Yes"
"RNF144B",0.0946993290078155,1831,0.4010863455308,0.97196958734216,"Yes"
"RIOX2",0.0929033519241962,1895,0.152279034622547,0.97196958734216,"Yes"
"DDX3X",0.0928092790381685,1901,0.151546319152463,0.97196958734216,"Yes"
"PLXNB2",0.0924949762046001,1917,0.260639990116314,0.97196958734216,"Yes"
"HIGD1A",0.0919053542965829,1939,0.288142199775021,0.97196958734216,"Yes"
"SOWAHC",0.0918933483757263,1940,0.177684283406567,0.97196958734216,"Yes"
"WIZ",0.0918550214991232,1943,0.170602351276269,0.97196958734216,"Yes"
"TRRAP",0.0917702599058514,1947,0.25110969348129,0.97196958734216,"Yes"
"RTF1",0.0916908593675481,1952,0.0871004746204469,0.97196958734216,"Yes"
"RREB1",0.0895821098403968,2041,0.190773560645716,0.97196958734216,"Yes"
"DDX18",0.0890997284656185,2060,0.15157041052516,0.97196958734216,"Yes"
"OSCP1",0.0888387846187579,2065,0.168909004079336,0.97196958734216,"Yes"
"AMER1",0.0880925527530751,2093,0.183249378646875,0.97196958734216,"Yes"
"RPRD1A",0.0859611298534877,2184,0.245011179531945,0.97196958734216,"Yes"
"RBAK",0.0839931706344879,2278,0.128832778702663,0.97196958734216,"Yes"
"ANXA6",0.0836618963622948,2288,0.463417553631498,0.97196958734216,"Yes"
"LMBRD2",0.0831739612961635,2315,0.270930825284839,0.97196958734216,"Yes"
"GPR27",0.0823083862296379,2362,0.417130711770264,0.97196958734216,"Yes"
"COX7C",0.0819532693076468,2377,0.372255613078845,0.97196958734216,"Yes"
"ENPP3",0.081923837203788,2379,0.52947522041154,0.97360313913447,"Yes"
"PIGN",0.0819053808597692,2380,0.199361199832617,0.97196958734216,"Yes"
"IBTK",0.0812603467801147,2404,0.256925595133078,0.97196958734216,"Yes"
"POLR3E",0.0812397578394508,2406,0.152369275198328,0.97196958734216,"Yes"
"COX14",0.0804142289475278,2452,0.363877757869874,0.97196958734216,"Yes"
"PRKDC",0.0802028953630751,2460,0.436966666161613,0.97196958734216,"Yes"
"MORC4",0.0787471428128268,2526,0.295978436070523,0.97196958734216,"Yes"
"TSPYL4",0.0785746129361442,2535,0.384655563726848,0.97196958734216,"Yes"
"C1orf210",0.0781480727514854,2559,0.358452341205669,0.97196958734216,"Yes"
"MPRIP",0.0747583372450746,2735,0.24416052333617,0.97196958734216,"Yes"
"ATG9A",0.0743801601955849,2757,0.378784827789088,0.97196958734216,"Yes"
"FAM169A",0.0742465428348318,2765,0.242332556123088,0.97196958734216,"Yes"
"NOP9",0.0737400824068271,2793,0.245188744021925,0.97196958734216,"Yes"
"NOS1AP",0.0724602608714536,2865,0.202603529011624,0.97196958734216,"Yes"
"WDR35",0.0718299366334354,2896,0.221511714351744,0.97196958734216,"Yes"
"KTN1",0.0718280007095577,2897,0.251601897343394,0.97196958734216,"Yes"
"IPO5",0.0715255130893828,2912,0.26558295437123,0.97196958734216,"Yes"
"NCAPD3",0.0708001897315693,2943,0.723084378661721,0.987814026003266,"Yes"
"MYO1C",0.0704380490172722,2960,0.375296715069938,0.97196958734216,"Yes"
"ATP6V0E1",0.0695983011141443,2998,0.378312431007945,0.97196958734216,"Yes"
"NAA15",0.0690228214567248,3039,0.248046834089632,0.97196958734216,"Yes"
"WASF2",0.0675222914544653,3118,0.338931774730166,0.97196958734216,"Yes"
"CSDE1",0.0672267495497962,3137,0.22988949011908,0.97196958734216,"Yes"
"SKP1",0.0667649380755444,3172,0.295302719231722,0.97196958734216,"Yes"
"PIFO",0.0666283851635252,3179,0.59804821111089,0.97900238947488,"Yes"
"CENPH",0.0664525939454479,3193,0.403430626853273,0.97196958734216,"Yes"
"NDUFC1",0.0660583338133396,3224,0.406669231551394,0.97196958734216,"Yes"
"ARHGEF17",0.0652015176068863,3284,0.482550881864386,0.97196958734216,"Yes"
"PEX2",0.0641138570963111,3349,0.34859266955621,0.97196958734216,"Yes"
"ZNF561",0.0637636555995398,3367,0.236372522112232,0.97196958734216,"Yes"
"MTX2",0.0635212017193627,3378,0.419326822512042,0.97196958734216,"Yes"
"PSMD2",0.0629990848698636,3414,0.332067814842373,0.97196958734216,"Yes"
"MECP2",0.0628126530129198,3429,0.298871763153741,0.97196958734216,"Yes"
"MUC1",0.062777383690348,3431,0.755082524560231,0.990191979852221,"Yes"
"NUP88",0.0626137313908317,3435,0.274390902018477,0.97196958734216,"Yes"
"EMB",0.0625079329520046,3442,0.576907025599439,0.978321129890853,"Yes"
"SELENOK",0.06211667488191,3462,0.499052940863999,0.97196958734216,"Yes"
"PDCD7",0.0614728057906664,3509,0.17093753063867,0.97196958734216,"Yes"
"EXOC4",0.0613985942097708,3513,0.224226699931411,0.97196958734216,"Yes"
"ZFR",0.0612607978992115,3526,0.315926521024163,0.97196958734216,"Yes"
"LYRM9",0.0610112289935494,3545,0.334137241812207,0.97196958734216,"Yes"
"KBTBD11",0.0605768696006468,3572,0.574999725723775,0.978181311799006,"Yes"
"RB1CC1",0.0600461955089062,3606,0.452914873031069,0.97196958734216,"Yes"
"AVL9",0.0592707181008967,3660,0.393333766420607,0.97196958734216,"Yes"
"SHANK2",0.0585074656175963,3725,0.490645371532185,0.97196958734216,"Yes"
"CCNE1",0.0581048254869814,3752,0.519929278356958,0.97196958734216,"Yes"
"PREPL",0.0574146918515144,3791,0.391277931706979,0.97196958734216,"Yes"
"KIF3B",0.0560881482965119,3878,0.332275759593378,0.97196958734216,"Yes"
"MORN2",0.05583195760489,3893,0.546211732438282,0.976755229736762,"Yes"
"BANP",0.055758934709643,3897,0.255849459926139,0.97196958734216,"Yes"
"DAZAP2",0.0556942686908437,3903,0.361662737819592,0.97196958734216,"Yes"
"OAZ3",0.0554682721364517,3911,0.426801344199029,0.97196958734216,"Yes"
"TGFBRAP1",0.055071580006377,3932,0.397376676359491,0.97196958734216,"Yes"
"FKTN",0.0550191396464461,3937,0.30754420497816,0.97196958734216,"Yes"
"HMGB1",0.0548491198612497,3946,0.410761031094405,0.97196958734216,"Yes"
"NDUFB6",0.0546771126781334,3958,0.568791283088735,0.977143590174758,"Yes"
"SERINC2",0.0542056951178225,3991,0.633952144525908,0.985433361581401,"Yes"
"PTGER4",0.0541087705915462,3995,0.637944077569518,0.985433361581401,"Yes"
"MEX3A",0.0525927973360307,4112,0.707270236209065,0.987466104627567,"No"
"LCN2",0.0524972493786122,4115,0.860562098395008,0.996794844179341,"No"
"HSP90AA1",0.0520659694871091,4143,0.491796608026662,0.97196958734216,"No"
"GNG10",0.0507260634624833,4237,0.427299312194735,0.97196958734216,"No"
"RABL3",0.0507222001755179,4238,0.406484111362551,0.97196958734216,"No"
"PLOD1",0.0505420386623134,4254,0.50516018766411,0.97196958734216,"No"
"DCTN3",0.0505234583533181,4257,0.497861585476219,0.97196958734216,"No"
"ZBTB2",0.0504682451806362,4259,0.283583793661092,0.97196958734216,"No"
"PRR13",0.0504407362903674,4263,0.466387764296593,0.97196958734216,"No"
"EMC10",0.0492865958132072,4357,0.438542118553996,0.97196958734216,"No"
"MAPT",0.0489273245788704,4382,0.686300708939893,0.987151709333159,"No"
"TAF4B",0.0487951717071504,4390,0.471362126843464,0.97196958734216,"No"
"COX8A",0.0485434047446347,4407,0.604673277770595,0.979660576859647,"No"
"DCAF1",0.0485178696758695,4412,0.401561401649252,0.97196958734216,"No"
"KDM4C",0.0478644968169442,4465,0.41556353226024,0.97196958734216,"No"
"CDC42SE1",0.0471918281533048,4511,0.537281576625588,0.975683920476232,"No"
"IGIP",0.0465584002669672,4556,0.457598871621467,0.97196958734216,"No"
"RBM3",0.0464086755502544,4566,0.569088471631384,0.977143590174758,"No"
"PKP4",0.0461467662751489,4583,0.434449334249316,0.97196958734216,"No"
"ADAR",0.0455639902737728,4616,0.519448666346276,0.97196958734216,"No"
"ERCC6",0.0453662631712002,4626,0.404476338668653,0.97196958734216,"No"
"SLC25A16",0.045217377606249,4642,0.576319047296726,0.978321129890853,"No"
"RPL21",0.0439609863548309,4730,0.701605413044724,0.987151709333159,"No"
"HMGCS2",0.0438050806343879,4740,0.869413124438748,0.996794844179341,"No"
"TMEM42",0.0437713955902388,4743,0.68580492485752,0.987151709333159,"No"
