"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"FASN",2.30400633497224,28,2.49299594139256e-16,2.86396628084758e-14,"Yes"
"ABCC4",1.91679239366796,42,1.2630261128429e-09,1.64829967607792e-08,"Yes"
"GCNT1",1.39187238420357,110,9.92760610341402e-10,1.34324187470341e-08,"Yes"
"KLK15",1.37282560183721,121,8.32050183074277e-12,2.08766876978499e-10,"Yes"
"SMPDL3B",1.29888636972905,139,2.05515479872069e-13,8.60996732876885e-12,"Yes"
"SAPCD2",1.26727338499734,154,7.3337669806015e-12,1.88144083802903e-10,"Yes"
"PKIB",1.26229950948228,158,3.67964581230643e-10,5.62953275245214e-09,"Yes"
"RALGAPA2",1.16571693416477,195,8.14013515902755e-11,1.5203242210102e-09,"Yes"
"ENTPD5",1.09636548772797,235,1.73963573109914e-05,7.61471034369923e-05,"Yes"
"AR",1.06697119357047,250,4.32418057594328e-06,2.17770836504494e-05,"Yes"
"ZNF350",1.0645349212725,253,2.76619118400275e-09,3.25562166024447e-08,"Yes"
"PRR15L",1.02406736663486,282,2.70853329870115e-09,3.20635575075017e-08,"Yes"
"MAOA",1.01195170311896,291,6.68540033458218e-07,4.08686487655549e-06,"Yes"
"IMPDH2",0.996242314844194,306,8.19148157710004e-12,2.06380141361806e-10,"Yes"
"HOXC4",0.996060066986268,307,3.93801348541047e-11,8.07314863350254e-10,"Yes"
"EMB",0.990946512884895,313,2.36044696488152e-07,1.61181025272994e-06,"Yes"
"TMTC4",0.990348404049193,315,5.44213448143023e-12,1.44695820142365e-10,"Yes"
"MEX3A",0.986918981390128,320,8.11224709350438e-09,8.38112587160356e-08,"Yes"
"ADRA2A",0.976892999593293,327,9.43048069381879e-06,4.41006554923948e-05,"Yes"
"SLC12A8",0.963230223258821,337,8.39821216264226e-13,2.86732230584717e-11,"Yes"
"PLXNB3",0.938909484434097,362,1.6068981263627e-09,2.03972211092016e-08,"Yes"
"ACACA",0.931686102656,370,2.16143210094804e-11,4.89835220296735e-10,"Yes"
"EEF2",0.929377574142737,374,1.71944638386387e-14,1.02304259438624e-12,"Yes"
"PLEKHH1",0.905193727915609,407,2.75599899610367e-06,1.45200685499941e-05,"Yes"
"SNRPN",0.881918018695671,444,1.08459666274825e-10,1.95570016206905e-09,"Yes"
"MMP10",0.848878696110702,484,0.000120402509911664,0.000427790750057664,"Yes"
"ACSL3",0.829451128915058,514,3.80603588936024e-05,0.000152291460142506,"Yes"
"MON1B",0.759318028561461,650,7.83946175385243e-06,3.73002366230447e-05,"Yes"
"ZMYND19",0.750032534258077,676,3.67039360613581e-16,3.89787265172539e-14,"Yes"
