"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"ABCC4",2.61320481141037,6,3.36490524365597e-14,3.77326349729965e-12,"Yes"
"FASN",1.97179228891321,23,6.81693106184118e-11,2.17256788893696e-09,"Yes"
"ENTPD5",1.66809882578752,58,2.27891054756323e-11,8.78953057474175e-10,"Yes"
"SMPDL3B",1.6477414292951,60,7.57849878744066e-19,5.73629204052696e-16,"Yes"
"GCNT1",1.61753222283986,65,5.4534930594626e-14,5.66103742389701e-12,"Yes"
"RALGAPA2",1.39846308301737,101,2.59674373699822e-16,6.46197900360406e-14,"Yes"
"MON1B",1.2901457879337,120,1.02653626893449e-07,1.22282346632551e-06,"Yes"
"TMTC4",1.24168803537107,138,4.28405105650418e-18,2.42065198687689e-15,"Yes"
"KLK15",1.23317296913689,141,6.5945021517542e-11,2.12781041010243e-09,"Yes"
"EMB",1.20507906826826,151,1.43353388820236e-09,2.98984806120367e-08,"Yes"
"ZNF350",1.18894588592902,161,1.16582445028228e-10,3.47186343669309e-09,"Yes"
"ACACA",1.14137228697172,178,6.20190452286159e-14,6.08993500336776e-12,"Yes"
"SAPCD2",1.12190007372979,187,1.15453158418395e-08,1.83172233696818e-07,"Yes"
"SLC12A8",1.07312173269194,209,1.13794086474312e-13,1.00838213409383e-11,"Yes"
"PLEKHH1",1.03309186411257,233,1.16127687551783e-07,1.35489760569408e-06,"Yes"
"ACLY",1.01967457598795,242,3.86758520557383e-09,7.05407157072834e-08,"Yes"
"IMPDH2",1.01309890450292,245,1.69662471409107e-11,6.77382078157767e-10,"Yes"
"MMP10",0.982458122589297,262,5.08318751735094e-05,0.000269137815331382,"Yes"
"MIA3",0.977830106458017,264,2.46211607860884e-10,6.54812174192649e-09,"Yes"
"PKIB",0.949269311634383,285,1.59508621826907e-06,1.34821209957534e-05,"Yes"
"NCAPD3",0.922679321948723,308,0.00209049530986254,0.00682774861541943,"Yes"
"SLC25A42",0.906675173752034,319,4.30630574674715e-13,3.16713968402464e-11,"Yes"
"MAOA",0.90556984262629,320,1.9647837244073e-05,0.000117835130860294,"Yes"
"ADRA2A",0.898879302827783,327,3.4608412113253e-06,2.62394162958829e-05,"Yes"
"AR",0.893758953110215,333,0.000550171630790927,0.00214748986784443,"Yes"
"ATP2C1",0.88299934817993,349,4.88115372710812e-07,4.78268816648577e-06,"Yes"
"EEF2",0.881254144740074,352,4.87570451306543e-09,8.64961408050259e-08,"Yes"
"ZBTB16",0.875157321760489,359,6.87688627260691e-05,0.000351605730448008,"Yes"
"MEX3A",0.850254145090551,391,4.6050696829742e-07,4.55145244074588e-06,"Yes"
"HOXC4",0.823293667782005,414,3.04697688003683e-09,5.69458662579722e-08,"Yes"
"P4HA1",0.80655255461532,437,2.1575530185379e-08,3.17104434747245e-07,"Yes"
"ACSL3",0.804319760049535,442,3.03217115665734e-05,0.000172563976290217,"Yes"
"ZKSCAN1",0.799592815004409,449,4.79844902309656e-09,8.54594362289923e-08,"Yes"
"ZNF614",0.777059798317251,482,3.60283628915068e-08,4.96202608254065e-07,"Yes"
"MGST1",0.765824037635907,501,0.0160154048668159,0.0389628826584408,"Yes"
"PRR15L",0.758819096412968,509,1.06975226696353e-05,6.90096579604388e-05,"Yes"
"LRBA",0.715957780078238,572,4.89798465343226e-08,6.45695132178886e-07,"Yes"
"SHANK2",0.710558717308736,583,1.05307484064649e-09,2.29103683295618e-08,"Yes"
"BCL9",0.697326050645959,610,2.06827877541619e-10,5.64997777958053e-09,"Yes"
"HDLBP",0.68690789692705,629,1.44383281325796e-10,4.1501055198804e-09,"Yes"
"PLXNB3",0.681750910553573,636,1.22896830980832e-05,7.8006423186506e-05,"Yes"
"TRIM14",0.658272447952876,683,1.62066284870876e-05,9.93955479731373e-05,"Yes"
"NEK6",0.654109153903755,688,5.98963824990064e-05,0.000311359376228136,"Yes"
"AVL9",0.649716959550814,698,7.27706454205975e-13,4.81557843521799e-11,"Yes"
"TWNK",0.629010023651209,744,1.18904578557538e-10,3.52039999999403e-09,"Yes"
"PLPP5",0.626919273169293,747,0.000175251910589702,0.000794516148682938,"Yes"
"BMP6",0.625714431409868,753,0.00324516469164035,0.0099749004718001,"Yes"
"RORC",0.621532186431021,763,8.91571411244799e-05,0.000441817240852404,"Yes"
"FARP1",0.612216894037902,794,8.73706232739259e-08,1.06307752337183e-06,"Yes"
"DDX21",0.595103208463445,851,2.65165571307042e-07,2.8136669207732e-06,"Yes"
"MLEC",0.594108401899951,854,5.95518053669265e-08,7.66160124855231e-07,"Yes"
"ATP13A2",0.578570140910046,902,4.29578364867004e-06,3.16068067078736e-05,"Yes"
"EBF2",0.57594030620039,906,3.22363221060323e-08,4.51159497209694e-07,"Yes"
"KCND3",0.570443838636672,930,0.000158831567390973,0.000729910005875137,"Yes"
"THBS2",0.560852166887473,968,0.00805466096079487,0.0216675508683251,"Yes"
"PDCD2L",0.559053026049261,981,3.37476597417508e-12,1.70294440796846e-10,"Yes"
"EARS2",0.556718648256259,986,9.19545642999039e-11,2.83126544927467e-09,"Yes"
"SLC26A1",0.523659845921552,1115,5.83394973556433e-09,1.0054983956002e-07,"Yes"
"HSP90B1",0.514235498699123,1167,8.54028595108436e-06,5.67457332068027e-05,"Yes"
"FKBP5",0.510096933801876,1182,0.0149540237707998,0.0367398966486814,"Yes"
"KIAA1549",0.508883145478654,1189,0.00145660543075999,0.00499918652091175,"Yes"
"ANKRD13B",0.505411248128609,1200,4.67712536737835e-06,3.38639535367856e-05,"Yes"
"TRRAP",0.500223532064505,1220,5.72757021542302e-06,4.0234741118861e-05,"Yes"
"STT3A",0.498037739621815,1228,1.04542402285524e-06,9.30898003630092e-06,"Yes"
"POLR3E",0.495315807189659,1240,1.49902167729232e-11,6.17488158496425e-10,"Yes"
"FKBP4",0.4839538843034,1305,0.000158129171637293,0.000727049995434842,"Yes"
"ANKH",0.478863307447346,1327,0.0151681269333334,0.0371954905333334,"Yes"
"PFAS",0.478099989458729,1330,4.47421090895392e-08,5.98516313490846e-07,"Yes"
"SLC35E2B",0.476745644167174,1333,1.53491283993663e-05,9.47038142189466e-05,"Yes"
"LRRC8D",0.475429011622734,1342,1.37406878396548e-08,2.12436881102271e-07,"Yes"
"SLC46A1",0.469328438713368,1376,4.00104288500977e-09,7.26103347143731e-08,"Yes"
"KIF3B",0.466955522323309,1388,5.94830807284445e-07,5.70522515582325e-06,"Yes"
"TAF4B",0.466133167071601,1391,4.71718211867701e-09,8.41771418152128e-08,"Yes"
"MTHFD2L",0.462472547000314,1402,3.8046649225054e-06,2.84660391195359e-05,"Yes"
"PSD3",0.456352954566897,1436,3.75265449892459e-05,0.000207331878429027,"Yes"
"ZMYND19",0.444327499458523,1503,1.98156581748974e-06,1.62662108633162e-05,"Yes"
"RIOX2",0.443852219012163,1506,1.37318167434684e-07,1.56691069699653e-06,"Yes"
"COG5",0.440826724379523,1527,9.37974383755043e-05,0.000461893267966769,"Yes"
"HMGCS2",0.438394431037518,1533,0.255867932757168,0.36726429096608,"Yes"
"NSMAF",0.435721114711083,1545,9.84754411927403e-06,6.42105120139024e-05,"Yes"
"RREB1",0.434325639238014,1555,4.32317798056748e-06,3.17826188567337e-05,"Yes"
"SLC51A",0.426034561835487,1605,1.50556775146779e-05,9.31227230955527e-05,"Yes"
"PPIA",0.422462813648916,1634,0.000241914462489101,0.00105462398022006,"Yes"
"KBTBD11",0.416762452519822,1666,0.0138591869135828,0.0344083626448195,"Yes"
"MIPOL1",0.416639005368028,1668,2.38575446639125e-06,1.90546509373112e-05,"Yes"
"CCDC88C",0.415689903701778,1674,0.000357909427182294,0.00148374775312496,"Yes"
"SLC25A16",0.409317143990226,1724,0.00767843760646627,0.0207785636167237,"Yes"
"PCNX2",0.408895634928886,1727,6.20323328194685e-07,5.91227365161839e-06,"Yes"
"ABL2",0.407170977738975,1743,8.07563897843216e-07,7.4430267723084e-06,"Yes"
"WDR43",0.403546392688638,1769,1.86727879068546e-06,1.54046260270627e-05,"Yes"
"CEACAM19",0.402670760852763,1773,0.000291815830101169,0.00124293701515072,"Yes"
"TANC2",0.40038708211559,1785,3.55614583910899e-05,0.000198284055596237,"Yes"
"BTBD9",0.399548286827806,1797,5.77361823958403e-06,4.04799494173228e-05,"Yes"
"RALGAPA1",0.397754970863704,1805,4.13179246358567e-05,0.000225196945375029,"Yes"
"UBE2E3",0.38754227116799,1880,0.005455809139349,0.0155613485359419,"Yes"
"TM9SF4",0.380935276713146,1926,8.77823791328803e-07,8.01736902628408e-06,"Yes"
"C19orf18",0.380295280264879,1928,0.000152631878162347,0.000704806990009454,"Yes"
"PRKDC",0.378142365860264,1944,0.00406035104276158,0.0120839346400405,"Yes"
"SNRPN",0.377543203688918,1949,0.0148611563759258,0.0365661339191478,"Yes"
"HLTF",0.377505029118872,1950,0.00379559906441362,0.0114157040735327,"Yes"
"PCLAF",0.37406682491222,1985,0.00230387838516175,0.00742983396855112,"Yes"
"UTP14A",0.374008753670256,1986,5.5839931673672e-08,7.25080914069997e-07,"Yes"
"HMGXB4",0.372473886123094,1996,5.5297063686576e-06,3.90562386831392e-05,"Yes"
"SRRM2",0.370865528938598,2005,0.0122953509073229,0.0310691311692239,"Yes"
"PHKB",0.366119675456577,2048,6.372482753561e-05,0.000328497507665122,"Yes"
"FKTN",0.360496215293159,2105,2.10313162675013e-07,2.28638474754895e-06,"Yes"
"MAP3K21",0.356066587162952,2140,4.69684449196187e-05,0.000250875851340721,"Yes"
"PSMG4",0.355112613340082,2152,2.08467011192682e-07,2.27039072261766e-06,"Yes"
"CDC42SE1",0.353545530760494,2170,0.000817739050400845,0.0030366000796365,"Yes"
"EIF2A",0.352716727864524,2175,1.92172401297075e-05,0.000115672758182991,"Yes"
"SERBP1",0.352230556556244,2182,4.34516464230884e-05,0.000234993334004711,"Yes"
"GEMIN4",0.34891612471032,2216,0.0001102836068741,0.000531973447284889,"Yes"
"OAZ3",0.348507597995666,2220,7.97092569165214e-05,0.000400442024653077,"Yes"
"EMC10",0.347540854467408,2226,0.000110498638551253,0.000532869197749419,"Yes"
"CDK12",0.341831138566921,2275,0.000190262300672717,0.000854041253773308,"Yes"
"GDF11",0.341288428462466,2282,0.0363741288243231,0.0779856513894314,"Yes"
"ABHD12",0.33479130573736,2341,0.0101381543359396,0.026368725444113,"Yes"
"ZBTB45",0.333896167116762,2349,0.0050733648945283,0.0146499358884122,"Yes"
"ULBP2",0.327785768859556,2408,0.000871218103724094,0.00320505226250545,"Yes"
"MTMR4",0.327750778414238,2409,8.30049851228536e-05,0.000414819411208187,"Yes"
"PDCD5",0.322283580006385,2454,0.000367337047623913,0.00151798107532666,"Yes"
"NDUFAF6",0.322131257513006,2457,5.66962492159279e-05,0.000296642875361908,"Yes"
"TRIM44",0.31631231165303,2513,0.000419958067991874,0.00170593878871654,"Yes"
"CASP7",0.315499206073955,2518,0.00599232223629792,0.0168560739771737,"Yes"
"MORC4",0.312081521174526,2548,0.00331314802197683,0.0101546561442941,"Yes"
"MTCH2",0.306445809479025,2613,0.00285974920445007,0.00896775488486795,"Yes"
"SLC35D2",0.300700895079887,2675,7.97006757145977e-06,5.35444702304505e-05,"Yes"
"GCA",0.29748121493983,2704,0.0200329268957541,0.0470604099299455,"Yes"
"IGBP1",0.293515134014751,2740,0.0103734141268001,0.0268782543185637,"Yes"
"PLXNB2",0.291276578881011,2763,0.0434769504475568,0.0903870773438221,"Yes"
"ZNF770",0.288364340702196,2800,0.0152345144313428,0.0373330890543333,"Yes"
"DAP3",0.286876821445713,2812,0.00181764433596737,0.00604528140007016,"Yes"
"RAPGEF6",0.286292907162435,2819,2.80810368391827e-05,0.000161328309683932,"Yes"
"ZFAT",0.28610794645268,2821,4.67279833033284e-06,3.38594121281246e-05,"Yes"
"TGFBRAP1",0.284572470566236,2837,0.0013634380717967,0.0047168569819575,"Yes"
"RNF144B",0.284391825750379,2840,0.0327159310213397,0.0712098733445551,"Yes"
"PLOD1",0.283037917088763,2858,0.0199079162509473,0.0468248521187954,"Yes"
"PIGN",0.282708531654981,2861,0.00334188503751244,0.0102272041090719,"Yes"
"BRPF3",0.28014937525049,2893,0.00218408640429051,0.00709008463551489,"Yes"
"GPHN",0.279652669382112,2895,6.19484884608938e-06,4.30675943888479e-05,"Yes"
"ATP8B2",0.279025118475119,2900,0.0711021750674843,0.134915798936275,"Yes"
"LMAN1",0.276834887101069,2921,0.00377207692318144,0.011358121894002,"Yes"
"HERC6",0.276501938186393,2925,0.0390542627520685,0.0827744413900452,"Yes"
"MAPT",0.275999419529839,2933,0.0561912468840606,0.111583973644058,"Yes"
"GDPGP1",0.27011267898864,3000,1.63551701204208e-07,1.8351329240739e-06,"No"
"PTPRF",0.262828410473055,3098,0.106787965478075,0.187557786026753,"No"
"SGPP1",0.26212354800024,3118,0.0336767223833395,0.0729254188599052,"No"
"ERCC6",0.260835473767948,3138,0.00148529140248519,0.00508080751625193,"No"
"HDAC8",0.258087512982373,3182,0.0103406417187151,0.0268086338607363,"No"
"PHRF1",0.255084602304466,3227,0.0132407164552248,0.0330990580880162,"No"
"HYKK",0.254087978685646,3237,7.06839278653043e-06,4.83086619112535e-05,"No"
"CADPS2",0.252803106077546,3254,0.0138407624811105,0.0343767146885225,"No"
"SPG11",0.251867597392186,3264,0.0121603396759689,0.0307881157566065,"No"
"MTX2",0.244911750156112,3371,0.0248662784489049,0.0565570069241025,"No"
"MEGF8",0.244035598678473,3385,0.0330555892911764,0.0718372813809679,"No"
"TMEM63C",0.238267415875787,3474,0.00153995197195372,0.00523577906092295,"No"
"RMND5A",0.236592137176039,3504,0.00173092523283405,0.00580147376008548,"No"
"NAA15",0.22760684628321,3632,0.00400153135815906,0.0119460671573242,"No"
"ARPC3",0.226508524611605,3651,0.037574909702626,0.080087505533017,"No"
"ADAR",0.222831255994317,3705,0.00855907895184018,0.0228142829866844,"No"
"DCAF1",0.222733033284962,3707,0.00247478746834976,0.00789827637913593,"No"
"ARNT2",0.220845497462392,3731,0.075226803989153,0.141291369030909,"No"
"AARS2",0.218918429864484,3767,0.00888340559530411,0.0235104816498098,"No"
"SAT1",0.218351665880124,3778,0.149258275160146,0.243199015746633,"No"
"OCIAD2",0.209602316012427,3909,0.10977205297857,0.191613252081167,"No"
"BMF",0.205760262959114,3957,0.0668183422366385,0.128175502119406,"No"
"WIPF2",0.203933593201858,3981,0.00104111893104372,0.00374218822270698,"No"
"RBAK",0.197448180304704,4085,0.00876286844874673,0.0232592443366355,"No"
"PTGER4",0.196326745096003,4100,0.291374298930575,0.406255699928837,"No"
"CAPN5",0.192777153074374,4150,0.287161372710565,0.401769369736608,"No"
"EPM2AIP1",0.192451222605081,4157,0.00311761142240337,0.00964156096346264,"No"
"KRTCAP2",0.191046296763572,4181,0.0194482283488576,0.045919715647584,"No"
"USP48",0.190436381213757,4192,0.00810029878191528,0.0217838679011507,"No"
"CRAMP1",0.189839551394879,4202,0.0162848184585539,0.0394861201438988,"No"
"GPR27",0.189800972607204,4204,0.191209592362409,0.29396694777044,"No"
"POLG2",0.187801940204529,4235,0.0208017700309513,0.0485492172861106,"No"
"TMEM42",0.186402455512901,4258,0.0899092697060309,0.162895605699515,"No"
"C1orf210",0.179615488259692,4357,0.262759727012567,0.374964116332309,"No"
"PCDHGB5",0.177008019579434,4406,0.0939450700824728,0.168887297686116,"No"
"COX6A1",0.176954604080576,4412,0.162003374648563,0.259213183447895,"No"
"GTF2I",0.176780122375411,4416,0.101318370955289,0.179723499045425,"No"
"ZNF644",0.176068438434517,4427,0.0162939588403214,0.0394945262121217,"No"
"TRAPPC10",0.173401886985409,4485,0.0470014890600565,0.0963788020827469,"No"
"NCBP1",0.173132186193083,4490,0.010868407819278,0.0280010631747277,"No"
"ERH",0.172501631502699,4504,0.224412861987472,0.332681903938667,"No"
"RB1CC1",0.162602981291719,4696,0.0574296496600575,0.11365450818809,"No"
"PRKAR2A",0.159724650928295,4744,0.0305109810457496,0.0671182467518875,"No"
"PCSK7",0.157498341478499,4784,0.109349091251774,0.191027403929976,"No"
"HELLS",0.155874675838747,4820,0.0716821367623757,0.13579911319484,"No"
"NECAP1",0.153289263954974,4871,0.0750695471408021,0.141037141475885,"No"
"TICRR",0.152022416604577,4893,0.0405040523609459,0.0852109571730102,"No"
"TUBGCP4",0.151146677668452,4908,0.0198235447280862,0.0466598088369379,"No"
"KCNAB3",0.144696179727171,5028,0.0458667097477202,0.0945009242686952,"No"
"NOP9",0.141695930499231,5084,0.0944774062067041,0.169693154157701,"No"
"DYNC2H1",0.141279320464381,5090,0.137052368268831,0.227973017303505,"No"
"WIZ",0.140949880728328,5101,0.0893030709697285,0.161952639236906,"No"
