"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"ISYNA1",0.333991772903296,1040,0.0285439032688106,0.152148083166432,"No"
"FASN",0.332214046059049,1059,0.167755563269316,0.400341133511957,"No"
"ZBTB45",0.265091633806424,1733,0.0239925139828597,0.138038189897606,"No"
"DGAT2",0.261116852024222,1781,0.0398362070266181,0.184085044126109,"No"
"PLXNB3",0.257158573880532,1838,0.083823208760804,0.280186030272508,"No"
"KCNH2",0.237389065455684,2106,0.161956434473869,0.39341199315614,"No"
"ANKRD13B",0.218021307557667,2366,0.097224811584315,0.301659545870687,"No"
"ALDH1B1",0.214843588472491,2410,0.0449786857770731,0.196539319326384,"No"
"FKBP4",0.213493380022341,2429,0.080246421957739,0.273532634801646,"No"
"PSMD2",0.209350876877182,2493,0.0275120059870696,0.149446224085383,"No"
"FEM1A",0.197075440669528,2696,0.000277808327097977,0.0092604465530999,"No"
"FLII",0.183658508969997,2916,0.0476639664885174,0.203191989695624,"No"
"FASTKD2",0.181810927485098,2950,0.176907526610559,0.412190024055496,"No"
"AR",0.17321224046027,3088,0.476699285115729,0.698529266902698,"No"
"NUMBL",0.154813283247643,3457,0.106432161933046,0.316438200200351,"No"
"SAPCD2",0.145373311267562,3682,0.312225645923394,0.557410660094082,"No"
"MEX3A",0.136664836299581,3859,0.447720180599734,0.673959994974483,"No"
"ANXA6",0.122878868493014,4187,0.397468570624803,0.631009131912193,"No"
"WIZ",0.115827367103675,4348,0.19259110692143,0.431029373944347,"No"
"TWNK",0.11105097735482,4466,0.318371012111767,0.562480337201044,"No"
"MAOA",0.106381860492687,4577,0.629565825151944,0.809593729535415,"No"
"GPR27",0.105372830658007,4602,0.443069856565394,0.669885537980472,"No"
"IGBP1",0.103941226501122,4642,0.344090922390167,0.584377523900391,"No"
"AARS2",0.0960721197877086,4816,0.155262623842446,0.385560406434198,"No"
"POLR3E",0.087321375167277,5050,0.199891932536135,0.438745442964833,"No"
"SLC26A1",0.0825076835521938,5186,0.421640621850915,0.650900806165018,"No"
"ADRA2A",0.0780136967655136,5320,0.73100357587414,0.868391721300448,"No"
"ATP13A2",0.0694422562608858,5566,0.545354689513247,0.749642118544547,"No"
"C2CD2",0.0676951956360594,5611,0.458824655002598,0.682909636839604,"No"
"AKAP12",0.0665774341080847,5644,0.749084874951013,0.879065489575366,"No"
"PHRF1",0.0621391656628782,5783,0.48526462279455,0.705861957360052,"No"
"PDCD7",0.0584405748636931,5900,0.3401280493963,0.581589354893028,"No"
"MLEC",0.0583899249050539,5903,0.552493431383453,0.754108957359466,"No"
"SOWAHC",0.0538211117405671,6068,0.554870664109063,0.756178873992773,"No"
"TXNL1",0.0530139723143153,6096,0.544990529895847,0.749423517736181,"No"
"MPRIP",0.0490535347346523,6217,0.596365349303028,0.785956663386417,"No"
"EEF2",0.0481234294026986,6248,0.723346886215454,0.864353867370818,"No"
"UTP14A",0.0441481755905055,6372,0.542045525656232,0.747552729119248,"No"
"MORC4",0.0370615221534969,6651,0.73704156107377,0.872047295558945,"No"
"LRP5",0.0367497120899429,6662,0.771861952483638,0.891061387128715,"No"
"CHTF8",0.0352598860137985,6720,0.562292232671643,0.7612385840223,"No"
"HSP90AA1",0.0329941032402417,6812,0.764215383884951,0.886884897131646,"No"
"EDA",0.0302025857494954,6936,0.843851365827849,0.926471504963176,"No"
"TMEM63C",0.0290310051799628,6974,0.796098068806235,0.9038112755055,"No"
"PLXNB2",0.0276090803804818,7027,0.830005125004894,0.920152201172764,"No"
