"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"FASN",2.30400633497224,28,2.49299594139256e-16,2.86396628084758e-14,"Yes"
"ABCC4",1.91679239366796,42,1.2630261128429e-09,1.64829967607792e-08,"Yes"
"GCNT1",1.39187238420357,110,9.92760610341402e-10,1.34324187470341e-08,"Yes"
"SMPDL3B",1.29888636972905,139,2.05515479872069e-13,8.60996732876885e-12,"Yes"
"SAPCD2",1.26727338499734,154,7.3337669806015e-12,1.88144083802903e-10,"Yes"
"RALGAPA2",1.16571693416477,195,8.14013515902755e-11,1.5203242210102e-09,"Yes"
"ENTPD5",1.09636548772797,235,1.73963573109914e-05,7.61471034369923e-05,"Yes"
"AR",1.06697119357047,250,4.32418057594328e-06,2.17770836504494e-05,"Yes"
"ZNF350",1.0645349212725,253,2.76619118400275e-09,3.25562166024447e-08,"Yes"
"MAOA",1.01195170311896,291,6.68540033458218e-07,4.08686487655549e-06,"Yes"
"IMPDH2",0.996242314844194,306,8.19148157710004e-12,2.06380141361806e-10,"Yes"
"EMB",0.990946512884895,313,2.36044696488152e-07,1.61181025272994e-06,"Yes"
"TMTC4",0.990348404049193,315,5.44213448143023e-12,1.44695820142365e-10,"Yes"
"MEX3A",0.986918981390128,320,8.11224709350438e-09,8.38112587160356e-08,"Yes"
"ADRA2A",0.976892999593293,327,9.43048069381879e-06,4.41006554923948e-05,"Yes"
"SLC12A8",0.963230223258821,337,8.39821216264226e-13,2.86732230584717e-11,"Yes"
"PLXNB3",0.938909484434097,362,1.6068981263627e-09,2.03972211092016e-08,"Yes"
"ACACA",0.931686102656,370,2.16143210094804e-11,4.89835220296735e-10,"Yes"
"EEF2",0.929377574142737,374,1.71944638386387e-14,1.02304259438624e-12,"Yes"
"PLEKHH1",0.905193727915609,407,2.75599899610367e-06,1.45200685499941e-05,"Yes"
"ACSL3",0.829451128915058,514,3.80603588936024e-05,0.000152291460142506,"Yes"
"MON1B",0.759318028561461,650,7.83946175385243e-06,3.73002366230447e-05,"Yes"
"TWNK",0.740061001006022,700,2.373559593659e-11,5.28080871349273e-10,"Yes"
"ACLY",0.738701293462762,704,2.1597833005826e-05,9.20271992193149e-05,"Yes"
"ANKRD13B",0.723432555686269,728,4.0681752653716e-08,3.43071511529444e-07,"Yes"
"FKBP4",0.697447264325727,813,1.16891374258961e-09,1.54272965477903e-08,"Yes"
"ZBTB16",0.695827248047595,818,0.00035920801318256,0.00112620898880753,"Yes"
"P4HA1",0.690136599251226,838,2.87542523403103e-06,1.5092677392187e-05,"Yes"
"TRIM14",0.678087254287597,880,8.25846547928607e-06,3.9120625115311e-05,"Yes"
