"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"ABCC4",2.61320481141037,6,3.36490524365597e-14,3.77326349729965e-12
"FASN",1.97179228891321,23,6.81693106184118e-11,2.17256788893696e-09
"ENTPD5",1.66809882578752,58,2.27891054756323e-11,8.78953057474175e-10
"SMPDL3B",1.6477414292951,60,7.57849878744066e-19,5.73629204052696e-16
"GCNT1",1.61753222283986,65,5.4534930594626e-14,5.66103742389701e-12
"RALGAPA2",1.39846308301737,101,2.59674373699822e-16,6.46197900360406e-14
"MON1B",1.2901457879337,120,1.02653626893449e-07,1.22282346632551e-06
"TMTC4",1.24168803537107,138,4.28405105650418e-18,2.42065198687689e-15
"EMB",1.20507906826826,151,1.43353388820236e-09,2.98984806120367e-08
"ZNF350",1.18894588592902,161,1.16582445028228e-10,3.47186343669309e-09
"ACACA",1.14137228697172,178,6.20190452286159e-14,6.08993500336776e-12
"SAPCD2",1.12190007372979,187,1.15453158418395e-08,1.83172233696818e-07
"SLC12A8",1.07312173269194,209,1.13794086474312e-13,1.00838213409383e-11
"PLEKHH1",1.03309186411257,233,1.16127687551783e-07,1.35489760569408e-06
"ACLY",1.01967457598795,242,3.86758520557383e-09,7.05407157072834e-08
"IMPDH2",1.01309890450292,245,1.69662471409107e-11,6.77382078157767e-10
"MIA3",0.977830106458017,264,2.46211607860884e-10,6.54812174192649e-09
"NCAPD3",0.922679321948723,308,0.00209049530986254,0.00682774861541943
"MAOA",0.90556984262629,320,1.9647837244073e-05,0.000117835130860294
"ADRA2A",0.898879302827783,327,3.4608412113253e-06,2.62394162958829e-05
"AR",0.893758953110215,333,0.000550171630790927,0.00214748986784443
"ATP2C1",0.88299934817993,349,4.88115372710812e-07,4.78268816648577e-06
"EEF2",0.881254144740074,352,4.87570451306543e-09,8.64961408050259e-08
"ZBTB16",0.875157321760489,359,6.87688627260691e-05,0.000351605730448008
"MEX3A",0.850254145090551,391,4.6050696829742e-07,4.55145244074588e-06
"P4HA1",0.80655255461532,437,2.1575530185379e-08,3.17104434747245e-07
"ACSL3",0.804319760049535,442,3.03217115665734e-05,0.000172563976290217
"ZKSCAN1",0.799592815004409,449,4.79844902309656e-09,8.54594362289923e-08
"ZNF614",0.777059798317251,482,3.60283628915068e-08,4.96202608254065e-07
"LRBA",0.715957780078238,572,4.89798465343226e-08,6.45695132178886e-07
"SHANK2",0.710558717308736,583,1.05307484064649e-09,2.29103683295618e-08
"BCL9",0.697326050645959,610,2.06827877541619e-10,5.64997777958053e-09
"HDLBP",0.68690789692705,629,1.44383281325796e-10,4.1501055198804e-09
"PLXNB3",0.681750910553573,636,1.22896830980832e-05,7.8006423186506e-05
"TRIM14",0.658272447952876,683,1.62066284870876e-05,9.93955479731373e-05
"NEK6",0.654109153903755,688,5.98963824990064e-05,0.000311359376228136
"AVL9",0.649716959550814,698,7.27706454205975e-13,4.81557843521799e-11
"TWNK",0.629010023651209,744,1.18904578557538e-10,3.52039999999403e-09
"BMP6",0.625714431409868,753,0.00324516469164035,0.0099749004718001
"RORC",0.621532186431021,763,8.91571411244799e-05,0.000441817240852404
"FARP1",0.612216894037902,794,8.73706232739259e-08,1.06307752337183e-06
"DDX21",0.595103208463445,851,2.65165571307042e-07,2.8136669207732e-06
"MLEC",0.594108401899951,854,5.95518053669265e-08,7.66160124855231e-07
"ATP13A2",0.578570140910046,902,4.29578364867004e-06,3.16068067078736e-05
"EBF2",0.57594030620039,906,3.22363221060323e-08,4.51159497209694e-07
"KCND3",0.570443838636672,930,0.000158831567390973,0.000729910005875137
"EARS2",0.556718648256259,986,9.19545642999039e-11,2.83126544927467e-09
"SLC26A1",0.523659845921552,1115,5.83394973556433e-09,1.0054983956002e-07
"HSP90B1",0.514235498699123,1167,8.54028595108436e-06,5.67457332068027e-05
"FKBP5",0.510096933801876,1182,0.0149540237707998,0.0367398966486814
"KIAA1549",0.508883145478654,1189,0.00145660543075999,0.00499918652091175
"ANKRD13B",0.505411248128609,1200,4.67712536737835e-06,3.38639535367856e-05
"TRRAP",0.500223532064505,1220,5.72757021542302e-06,4.0234741118861e-05
"STT3A",0.498037739621815,1228,1.04542402285524e-06,9.30898003630092e-06
"POLR3E",0.495315807189659,1240,1.49902167729232e-11,6.17488158496425e-10
"FKBP4",0.4839538843034,1305,0.000158129171637293,0.000727049995434842
"ANKH",0.478863307447346,1327,0.0151681269333334,0.0371954905333334
"PFAS",0.478099989458729,1330,4.47421090895392e-08,5.98516313490846e-07
"SLC35E2B",0.476745644167174,1333,1.53491283993663e-05,9.47038142189466e-05
"LRRC8D",0.475429011622734,1342,1.37406878396548e-08,2.12436881102271e-07
"SLC46A1",0.469328438713368,1376,4.00104288500977e-09,7.26103347143731e-08
"KIF3B",0.466955522323309,1388,5.94830807284445e-07,5.70522515582325e-06
"TAF4B",0.466133167071601,1391,4.71718211867701e-09,8.41771418152128e-08
"PSD3",0.456352954566897,1436,3.75265449892459e-05,0.000207331878429027
"RIOX2",0.443852219012163,1506,1.37318167434684e-07,1.56691069699653e-06
"COG5",0.440826724379523,1527,9.37974383755043e-05,0.000461893267966769
"NSMAF",0.435721114711083,1545,9.84754411927403e-06,6.42105120139024e-05
"RREB1",0.434325639238014,1555,4.32317798056748e-06,3.17826188567337e-05
"KBTBD11",0.416762452519822,1666,0.0138591869135828,0.0344083626448195
"MIPOL1",0.416639005368028,1668,2.38575446639125e-06,1.90546509373112e-05
"CCDC88C",0.415689903701778,1674,0.000357909427182294,0.00148374775312496
"PCNX2",0.408895634928886,1727,6.20323328194685e-07,5.91227365161839e-06
"ABL2",0.407170977738975,1743,8.07563897843216e-07,7.4430267723084e-06
"WDR43",0.403546392688638,1769,1.86727879068546e-06,1.54046260270627e-05
