"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"TNNC1",0.720226315409867,54,0.0406363688133743,0.186181226263834,"Yes"
"UPK3A",0.641261772400343,84,0.0251444682993394,0.141327385361241,"Yes"
"BEX2",0.608020784540513,104,0.00103960695233313,0.0204301711223375,"Yes"
"UQCRQ",0.60109570858735,112,0.000130293899409092,0.00581926322862073,"Yes"
"RPL21",0.593023064143078,116,8.71835318161022e-05,0.00457638383817454,"Yes"
"NDUFAB1",0.589663063607334,119,1.96893337869458e-07,7.65014463569811e-05,"Yes"
"COX6A1",0.572947640171866,130,5.65624483551093e-05,0.00340120899853836,"Yes"
"BEX3",0.563561269667542,138,0.000161679380019422,0.00653406467879375,"Yes"
"SMIM4",0.555031712704064,151,1.13870762933511e-05,0.00117518487373245,"Yes"
"COX7C",0.518891805952397,208,0.000358402704919275,0.0107151263678566,"Yes"
"SNRPN",0.504374815006761,225,0.00182775761868796,0.0292874108952394,"Yes"
"NDUFB6",0.493152098988655,257,0.00232594715260002,0.0339361634477193,"Yes"
"NDUFB3",0.489076047888091,270,0.00013544176237746,0.00591893462523701,"Yes"
"UQCR11",0.479959205592606,294,6.60288638591407e-05,0.00385063186753388,"Yes"
"COX14",0.476399082222855,310,9.46755641098349e-06,0.00104814456339052,"Yes"
"VKORC1",0.469905781888586,326,6.35508545831838e-05,0.00373274424653061,"Yes"
"CLTB",0.456871508099482,368,0.00022821272661338,0.00822241001389866,"Yes"
"KRT10",0.455811208612257,371,0.000157848311964359,0.00644707197465497,"Yes"
"PSMA7",0.449228542719379,400,0.000218047535493741,0.00806290350377362,"Yes"
"NDUFB1",0.444373822614338,416,0.00256521268137515,0.0358237183807417,"Yes"
"FBXO2",0.441964211549711,422,0.0150789880471319,0.106023046442247,"Yes"
"COX8A",0.430871121987837,457,0.00118510826285837,0.0220227595499836,"Yes"
"NDUFC2",0.428658689916518,468,4.87418028417428e-05,0.00313509335390886,"Yes"
"LAMTOR5",0.42306502709933,484,0.000374973609962978,0.0110835646168183,"Yes"
"ABTB1",0.417462471952291,517,0.000890984486128246,0.0186861235454704,"Yes"
"HSBP1L1",0.414611938759382,528,0.0055403065079813,0.0584998722435228,"Yes"
"RENBP",0.411629672314634,552,0.00626679144324203,0.0631549822014496,"Yes"
"SEM1",0.410833832646806,555,0.00136423719536641,0.0241244151478783,"Yes"
"SURF2",0.404597130636579,583,0.00337313396789483,0.0425806937142693,"Yes"
"MYL6",0.40316984643671,591,9.03295647309691e-05,0.00467436305648899,"Yes"
"CDKN2D",0.401664840548358,601,0.000180719217514247,0.00702426124912605,"Yes"
"DCTN3",0.399147293684196,610,0.000315152613123038,0.00991681087315339,"Yes"
"ELOC",0.392068799676454,646,0.000202676240358679,0.00764935306328924,"Yes"
"MORN2",0.388705452996552,665,0.00305375474622604,0.040102759129627,"Yes"
"NDUFC1",0.388120140783144,670,0.000978242830096294,0.0196906817436924,"Yes"
"LTB4R",0.372606326417494,768,0.0043052856463122,0.0501560286359599,"Yes"
