"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"TNNC1",0.32584774199182,91,0.146140465748016,0.97196958734216,"Yes"
"UPK3A",0.304717633900299,113,0.1493915961417,0.97196958734216,"Yes"
"FBXO2",0.232925056283024,216,0.064543041815698,0.97196958734216,"Yes"
"RHBDD2",0.175694286225062,419,0.0313482017781403,0.962732253936063,"Yes"
"MGST1",0.172784548685097,443,0.378818192768534,0.97196958734216,"Yes"
"KLK15",0.167554308256511,474,0.254439097228459,0.97196958734216,"Yes"
"RPL3L",0.166913837726628,476,0.0592959848628058,0.97196958734216,"Yes"
"BMI1",0.15219915442685,606,0.0252431167428108,0.908006835120828,"Yes"
"UQCR11",0.139937420868725,753,0.144534343378979,0.97196958734216,"Yes"
"HES1",0.13693970882778,797,0.290733433239641,0.97196958734216,"Yes"
"PRR15L",0.134554279550924,834,0.27957914446363,0.97196958734216,"Yes"
"UQCRQ",0.129462781013724,926,0.250172204935464,0.97196958734216,"Yes"
"NDUFAB1",0.124087403675197,1019,0.144319502408067,0.97196958734216,"Yes"
"ALDH2",0.122313607231024,1047,0.375329260749521,0.97196958734216,"Yes"
"BEX2",0.121290985848018,1070,0.369358856884493,0.97196958734216,"Yes"
"HSBP1L1",0.117857499754204,1152,0.278716633321992,0.97196958734216,"Yes"
"SMIM4",0.113937218780585,1244,0.228835935694118,0.97196958734216,"Yes"
"CLTB",0.113272890484819,1268,0.201790817625118,0.97196958734216,"Yes"
"BLCAP",0.113013101110799,1274,0.0710898912294647,0.97196958734216,"Yes"
"GATM",0.112969623098732,1275,0.36735030785734,0.97196958734216,"Yes"
"TMA7",0.110399004454734,1337,0.276223668739828,0.97196958734216,"Yes"
"COX6A1",0.108153242897914,1399,0.288185078651397,0.97196958734216,"Yes"
"SBDS",0.107736558046822,1410,0.0460412961909582,0.97196958734216,"Yes"
"ISCU",0.106663681904273,1435,0.0682909508199921,0.97196958734216,"Yes"
"BEX3",0.105129250911047,1479,0.300848455689084,0.97196958734216,"Yes"
"ABHD12",0.102272389367879,1561,0.350537104714385,0.97196958734216,"Yes"
"PSMD10",0.101347729215429,1587,0.206715762812674,0.97196958734216,"Yes"
"PSMA7",0.100837287692633,1600,0.193130392115332,0.97196958734216,"Yes"
"SNX17",0.0998392111247277,1633,0.0857218606322795,0.97196958734216,"Yes"
"MEAF6",0.0991077677858154,1657,0.29881730089446,0.97196958734216,"Yes"
"NDUFC2",0.0989595954523077,1665,0.201429444654692,0.97196958734216,"Yes"
"DYNLT3",0.0973768615426445,1716,0.208460626202575,0.97196958734216,"Yes"
"ARPC1B",0.0949227160025252,1827,0.154584926051932,0.97196958734216,"Yes"
"RNF144B",0.0946993290078155,1831,0.4010863455308,0.97196958734216,"Yes"
"HIGD1A",0.0919053542965829,1939,0.288142199775021,0.97196958734216,"Yes"
"OSCP1",0.0888387846187579,2065,0.168909004079336,0.97196958734216,"No"
"COX7C",0.0819532693076468,2377,0.372255613078845,0.97196958734216,"No"
"ENPP3",0.081923837203788,2379,0.52947522041154,0.97360313913447,"No"
"COX14",0.0804142289475278,2452,0.363877757869874,0.97196958734216,"No"
"C1orf210",0.0781480727514854,2559,0.358452341205669,0.97196958734216,"No"
"ATP6V0E1",0.0695983011141443,2998,0.378312431007945,0.97196958734216,"No"
"SKP1",0.0667649380755444,3172,0.295302719231722,0.97196958734216,"No"
"PIFO",0.0666283851635252,3179,0.59804821111089,0.97900238947488,"No"
"CENPH",0.0664525939454479,3193,0.403430626853273,0.97196958734216,"No"
"NDUFC1",0.0660583338133396,3224,0.406669231551394,0.97196958734216,"No"
"PEX2",0.0641138570963111,3349,0.34859266955621,0.97196958734216,"No"
"MTX2",0.0635212017193627,3378,0.419326822512042,0.97196958734216,"No"
"MUC1",0.062777383690348,3431,0.755082524560231,0.990191979852221,"No"
"SELENOK",0.06211667488191,3462,0.499052940863999,0.97196958734216,"No"
"LYRM9",0.0610112289935494,3545,0.334137241812207,0.97196958734216,"No"
"CCNE1",0.0581048254869814,3752,0.519929278356958,0.97196958734216,"No"
"MORN2",0.05583195760489,3893,0.546211732438282,0.976755229736762,"No"
"BANP",0.055758934709643,3897,0.255849459926139,0.97196958734216,"No"
"DAZAP2",0.0556942686908437,3903,0.361662737819592,0.97196958734216,"No"
"OAZ3",0.0554682721364517,3911,0.426801344199029,0.97196958734216,"No"
"HMGB1",0.0548491198612497,3946,0.410761031094405,0.97196958734216,"No"
"NDUFB6",0.0546771126781334,3958,0.568791283088735,0.977143590174758,"No"
"SERINC2",0.0542056951178225,3991,0.633952144525908,0.985433361581401,"No"
"LCN2",0.0524972493786122,4115,0.860562098395008,0.996794844179341,"No"
"GNG10",0.0507260634624833,4237,0.427299312194735,0.97196958734216,"No"
"DCTN3",0.0505234583533181,4257,0.497861585476219,0.97196958734216,"No"
"PRR13",0.0504407362903674,4263,0.466387764296593,0.97196958734216,"No"
"EMC10",0.0492865958132072,4357,0.438542118553996,0.97196958734216,"No"
"COX8A",0.0485434047446347,4407,0.604673277770595,0.979660576859647,"No"
"IGIP",0.0465584002669672,4556,0.457598871621467,0.97196958734216,"No"
"RBM3",0.0464086755502544,4566,0.569088471631384,0.977143590174758,"No"
"SLC25A16",0.045217377606249,4642,0.576319047296726,0.978321129890853,"No"
"RPL21",0.0439609863548309,4730,0.701605413044724,0.987151709333159,"No"
"HMGCS2",0.0438050806343879,4740,0.869413124438748,0.996794844179341,"No"
"TMEM42",0.0437713955902388,4743,0.68580492485752,0.987151709333159,"No"
"RAPGEF6",0.041032782985349,4970,0.39847815769834,0.97196958734216,"No"
"VKORC1",0.0407452403897497,4992,0.652138957836103,0.985433361581401,"No"
"VAMP5",0.0405104212723568,5018,0.747108653870631,0.990191979852221,"No"
"ELOC",0.0402641705080957,5047,0.61913551862694,0.981856183079061,"No"
"MSRA",0.0401485979417082,5057,0.586557818790065,0.978378444627821,"No"
"ARPC3",0.0398050498652438,5080,0.582138278875199,0.978378444627821,"No"
"ZNF500",0.0380192798587029,5226,0.432047263897386,0.97196958734216,"No"
"FAM177A1",0.0378666513237325,5236,0.560332977104555,0.976755229736762,"No"
"DAP3",0.0367942745281233,5319,0.507553700212494,0.97196958734216,"No"
"GPN2",0.0363304673534182,5356,0.358931205593115,0.97196958734216,"No"
"NDUFAF6",0.0357365144517137,5403,0.596335529160728,0.978871525070443,"No"
"ATP6V1E1",0.035619294708841,5412,0.577786470945699,0.978321129890853,"No"
"IDH3B",0.0347645547820168,5488,0.554164169553904,0.976755229736762,"No"
"MYPOP",0.0335715878579412,5586,0.567388765006961,0.976972326375653,"No"
"INPP5J",0.0335536325987145,5587,0.736189994876664,0.9899548009778,"No"
"C8orf76",0.031491999857078,5778,0.627431688493456,0.98446327012201,"No"
"PSENEN",0.030364943323038,5876,0.72757817740063,0.98937569137247,"No"
"MYL6",0.0297741739491464,5931,0.738286924362118,0.990053174824569,"No"
"ENSA",0.027121576457187,6193,0.683735094274543,0.987151709333159,"No"
"KRT10",0.0264514852411022,6244,0.771394860097811,0.991138493812497,"No"
"NDUFB3",0.0264069039438182,6249,0.757181687018297,0.990264884546617,"No"
"LSM8",0.0262638271274116,6263,0.592797983253872,0.978378444627821,"No"
"PSMB2",0.0259895247693178,6278,0.598312157361192,0.97900238947488,"No"
"CTSL",0.0257278194351329,6304,0.765515214486855,0.991138493812497,"No"
"ZCCHC10",0.024881095738003,6396,0.661785596556624,0.985433361581401,"No"
"CHCHD7",0.0248550903474087,6400,0.721628162717203,0.987814026003266,"No"
"CKS1B",0.0245823634029469,6438,0.777432932408198,0.992086666502925,"No"
"EMC7",0.0243817532163586,6456,0.752722692523204,0.990191979852221,"No"
"CHTOP",0.0233254560920253,6560,0.605994813138258,0.979709768899355,"No"
"SDCBP2",0.0218172677782182,6699,0.815343747146449,0.993714391242088,"No"
"GDPGP1",0.0214385763202216,6732,0.573920252073388,0.977887950397921,"No"
"ORMDL1",0.0207751539143142,6799,0.712396544954728,0.987644737617191,"No"
"TARDBP",0.0196963978095726,6907,0.651880855790625,0.985433361581401,"No"
"MGME1",0.0189544126081729,6983,0.751159400891685,0.990191979852221,"No"
"ITGAE",0.0179232720974518,7087,0.774966180486581,0.992086666502925,"No"
"KRTCAP2",0.0175743174870822,7118,0.811867577963498,0.993714391242088,"No"
"AKTIP",0.016897390874286,7168,0.768309751614809,0.991138493812497,"No"
"CRAMP1",0.0162123501233,7233,0.784512812171055,0.993616180594329,"No"
"PHYH",0.0158915625043781,7265,0.870039994504532,0.996794844179341,"No"
"TAMM41",0.0154129486147057,7312,0.732586844575669,0.989613115053247,"No"
"SURF2",0.0146353381774835,7390,0.879939851760659,0.996933934133807,"No"
"TMEM128",0.0141469521006212,7443,0.848674159197986,0.995942644083539,"No"
"CASP7",0.013635060409849,7500,0.882338135970333,0.996933934133807,"No"
"SEM1",0.0136008509330119,7507,0.882390844581292,0.996933934133807,"No"
"MTCH2",0.0122150438454955,7639,0.846198529138283,0.995458570989534,"No"
"HYKK",0.0121542794204301,7647,0.739738682898972,0.990191979852221,"No"
"GCA",0.0120338687399841,7659,0.900202017208347,0.99854018005281,"No"
"ZMYND19",0.0119769890848676,7670,0.864148170586766,0.996794844179341,"No"
"NEU1",0.0110745995238899,7765,0.939807816631137,0.99954299627195,"No"
"CCAR2",0.0102329232410958,7850,0.85973974469879,0.996794844179341,"No"
"BAK1",0.00943438483832892,7929,0.881928230502717,0.996933934133807,"No"
"SLC35D2",0.00865876330489357,8023,0.869371724643781,0.996794844179341,"No"
"DNTTIP1",0.00835919987750477,8059,0.888633466447718,0.996986062670989,"No"
"SULT1A1",0.00825000921171348,8074,0.913121393033436,0.999539998987926,"No"
"LTN1",0.00761570303583392,8139,0.919291584950364,0.99954299627195,"No"
"CARD9",0.00736208237304048,8165,0.907925572695597,0.999179803991831,"No"
"PDCD2L",0.0072670304461937,8170,0.907069617293032,0.999102736917795,"No"
"POLR2K",0.00578473095346244,8339,0.945047311078874,0.99954299627195,"No"
"TRAPPC1",0.00557149908808618,8374,0.942711344475897,0.99954299627195,"No"
"SAP18",0.00553720834632454,8379,0.932773807974907,0.99954299627195,"No"
"ZNF747",0.0055174948813983,8382,0.917363092648383,0.99954299627195,"No"
"LAMTOR5",0.00539830135677999,8397,0.948514640528838,0.99954299627195,"No"
"ZNF517",0.00414685936730796,8550,0.950093713093198,0.99954299627195,"No"
"MTHFD2L",0.00409582148976306,8558,0.949394003164201,0.99954299627195,"No"
"C19orf25",0.00400352389870084,8573,0.948549679287257,0.99954299627195,"No"
"SRP14",0.00347816060248274,8637,0.964131925466283,0.99954299627195,"No"
"SNRPN",0.00282456778391538,8722,0.980600457459141,0.99954299627195,"No"
"UBE2E3",0.00275409376804969,8736,0.979858449689247,0.99954299627195,"No"
"CNIH4",0.00275108542227898,8737,0.967171319078446,0.99954299627195,"No"
"CALML6",0.00188072094828007,8838,0.974377847392113,0.99954299627195,"No"
"MRPS6",0.00177830494936471,8853,0.981194062031684,0.99954299627195,"No"
"RBX1",-0.000237308383185919,9133,0.997683675603466,0.999966150221938,"No"
"OARD1",-0.00104237236677562,9255,0.983819488024156,0.999566892237458,"No"
"LTB4R",-0.00219752345853008,9416,0.982630665671385,0.99954299627195,"No"
"PAAF1",-0.00259960584291674,9484,0.953359484721695,0.99954299627195,"No"
"CNEP1R1",-0.00351368825246579,9630,0.946235800805872,0.99954299627195,"No"
"SRA1",-0.00543964768667315,9897,0.937472065534251,0.99954299627195,"No"
"SGPP1",-0.00549352906332512,9908,0.956928856827055,0.99954299627195,"No"
"LSM3",-0.00632345402765644,10045,0.926036939532509,0.99954299627195,"No"
"GINS1",-0.00668880232029578,10100,0.936638501549581,0.99954299627195,"No"
"HMGB2",-0.00683333897274707,10130,0.953221542294138,0.99954299627195,"No"
"TEX19",-0.0071888657327564,10192,0.712382353121332,0.987644737617191,"No"
"C15orf40",-0.00774674381167784,10295,0.823955107910665,0.994594115304049,"No"
"NECAP1",-0.00839742568718149,10398,0.887952497573574,0.996986062670989,"No"
"RENBP",-0.00851819134425202,10421,0.943276933449002,0.99954299627195,"No"
"IKBIP",-0.00899786339025432,10504,0.888172063646773,0.996986062670989,"No"
"FCHSD1",-0.0092533969852322,10545,0.903929385229162,0.998643649745408,"No"
"PSMG4",-0.00954110351106152,10597,0.862639867798402,0.996794844179341,"No"
"MORN3",-0.0120579783350383,11064,0.713691466278688,0.987644737617191,"No"
"UROD",-0.0131361975594526,11245,0.873901955117781,0.996933934133807,"No"
"ZCCHC17",-0.013762676620658,11378,0.814891795948814,0.993714391242088,"No"
"ZCRB1",-0.013845096088466,11399,0.812770985515256,0.993714391242088,"No"
"TSGA13",-0.0139012570828778,11413,0.261957064017237,0.97196958734216,"No"
"ABTB1",-0.014320673300225,11492,0.883604178733338,0.996986062670989,"No"
"DGUOK",-0.0156908398100093,11752,0.807858717628396,0.993714391242088,"No"
"DHRS1",-0.0160208233967314,11803,0.807440558156042,0.993714391242088,"No"
"AXDND1",-0.0177844701318383,12102,0.165260288501359,0.97196958734216,"No"
"KISS1",-0.0194297774744196,12369,0.709503623635805,0.987546193059754,"No"
"PPIA",-0.0197956553750398,12420,0.78293929057201,0.993360480622283,"No"
"C1QTNF12",-0.0198717089516108,12435,0.723949008929909,0.98825042881938,"No"
"RAD51C",-0.0215162051738584,12661,0.650264213960256,0.985433361581401,"No"
"MFSD11",-0.0219204489279967,12725,0.633184998949373,0.985433361581401,"No"
"ZNF226",-0.0223162028553956,12786,0.647077227470925,0.985433361581401,"No"
"FKBP6",-0.0269600188813272,13334,0.189850606778361,0.97196958734216,"No"
"CDKN2D",-0.0276358766308267,13408,0.769402347186338,0.991138493812497,"No"
"CYSTM1",-0.0287079389896228,13537,0.755022999580345,0.990191979852221,"No"
"MAGEF1",-0.0289011563971524,13562,0.698525281086963,0.987151709333159,"No"
"BLOC1S1",-0.0300824995139259,13708,0.756252931914113,0.990206305218199,"No"
"SPATA33",-0.0301013327043873,13710,0.507023347958649,0.97196958734216,"No"
"SLC6A16",-0.0304719735638106,13746,0.618859551181758,0.981856183079061,"No"
"EFHB",-0.0310906306556865,13810,0.425472824792978,0.97196958734216,"No"
"PRPF3",-0.0315802703184795,13859,0.651917323673168,0.985433361581401,"No"
"C17orf75",-0.0327451083857357,13974,0.54657751639097,0.976755229736762,"No"
"HDAC8",-0.0333523637700668,14036,0.511054598286707,0.97196958734216,"No"
"PDCD5",-0.0342820039822067,14124,0.615618710883512,0.981434366076986,"No"
"GLOD4",-0.0354818208539958,14240,0.561980816302826,0.976755229736762,"No"
"RPA2",-0.037104473374387,14414,0.549824587993228,0.976755229736762,"No"
"EID2B",-0.0409486600575215,14694,0.436054262627082,0.97196958734216,"No"
"NHLRC3",-0.0419434952083733,14778,0.515743349691284,0.97196958734216,"No"
"GRB7",-0.0421690669663821,14798,0.650675158281023,0.985433361581401,"No"
"PHF1",-0.0432946764163562,14895,0.499603324033868,0.97196958734216,"No"
"LRR1",-0.0440530943426318,14957,0.473408065396995,0.97196958734216,"No"
"DLGAP2",-0.0441462308760113,14963,0.0800894650664338,0.97196958734216,"No"
"IL3RA",-0.045976772410449,15109,0.5361015084574,0.975351660655361,"No"
"PKIB",-0.0470034050272812,15194,0.769554889414901,0.991138493812497,"No"
"DNASE1L3",-0.0472830373801149,15209,0.603192822914095,0.979660576859647,"No"
"NDUFB1",-0.0487016203359358,15297,0.640107339535228,0.985433361581401,"No"
