"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"TOMM6",7.31234950634929,1,0,0,"Yes"
"PYURF",5.55449269589051,2,0,0,"Yes"
"ADIRF",4.65703953578004,3,6.26493306573987e-240,9.53992682585538e-237,"Yes"
"TREX1",4.04070347987579,4,0,0,"Yes"
"EVA1B",3.91628613828317,5,0,0,"Yes"
"ZNF593",3.33491667719471,6,0,0,"Yes"
"SERINC4",3.2254904876799,7,0,0,"Yes"
"PGAM2",3.20954935417065,8,6.15200007461078e-244,1.02195906693966e-240,"Yes"
"PTPRCAP",2.88916005078619,9,6.76718694499884e-238,8.8326290747117e-235,"Yes"
"UTP14C",2.69320672378367,10,0,0,"Yes"
"GP1BB",2.69166237706712,11,1.75705521775126e-232,2.14044466626458e-229,"Yes"
"CPLX3",2.51499099124053,12,1.10373665346446e-107,9.60408565178859e-105,"Yes"
"CMC4",2.45835465520001,13,0,0,"Yes"
"ABHD16B",2.32399500439677,14,1.68192889774256e-267,3.07338867484499e-264,"Yes"
"OVCA2",2.26923023973765,15,4.94986834366681e-222,5.65305901523898e-219,"Yes"
"TNFRSF6B",2.04533313424375,16,1.28123325379077e-199,1.30066529147326e-196,"Yes"
"NPFF",1.8573990012447,17,1.54039163031108e-239,2.16519817389803e-236,"Yes"
"BOLA2",1.83971705165284,18,7.43777207655476e-277,1.5101156572765e-273,"Yes"
"C19orf33",1.78295746158651,19,6.21738322076767e-171,5.97948650489935e-168,"Yes"
"DND1",0.919802237776498,20,5.56010893169186e-216,5.9764629711062e-213,"Yes"
"CFAP126",-2.90627540449286,18273,1.64554971719851e-128,1.50345649911841e-125,"No"
