"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"KLF15",0.744723977207664,688,1.32731435026566e-05,5.99078920730231e-05
"RPS6",0.56361000231994,1344,7.5094894460063e-05,0.000280335855754652
"GGACT",0.418972472230271,2307,1.01298043685277e-06,5.89083115554048e-06
"E2F3",0.405042179215906,2433,1.83074549007856e-05,7.9544236731149e-05
"HPRT1",0.345421849906985,2990,0.00123119726181627,0.00337774845063623
"POLR2J",0.333647409266657,3106,0.00267455616412633,0.00672912436555531
"MTMR3",0.327508458241077,3177,1.19781513481909e-05,5.45754334063497e-05
"RPL5",0.322607508497656,3237,0.00760447228295693,0.0169291030737954
"GABARAP",0.318103255209083,3284,3.25517457397865e-06,1.69157948131704e-05
"SAMM50",0.308919203743325,3384,0.000281182953587135,0.000907756774517958
"GPX1",0.282852820841732,3666,0.0123191718037565,0.025882446764138
"MAPK9",0.209125763635383,4684,0.000329673226889209,0.00104509044817048
"NUP50",0.177994124594379,5148,0.022951697882581,0.0445190308509319
"STAT1",0.146502363833621,5679,0.337839383415003,0.43722362033856
"EIF1AD",0.132960377126075,5900,0.0208313622269727,0.0408487023551136
"PATJ",0.111451637775737,6260,0.2314431240292,0.321951115948318
"OSER1",0.101087468573708,6446,0.258221361118177,0.351757485251833
"DRD4",0.0907640506788763,6642,0.181545081565196,0.263057469448665
"MFSD11",0.055843134822934,7409,0.358424073114558,0.458086630248426
"MTF2",0.0480942115295191,7592,0.464487033344708,0.564849630410177
"WDPCP",0.0041748020345872,8975,0.898334455615569,0.928950247184895
"XPNPEP1",-0.00274044411359808,9513,0.974760085147763,0.982641906568811
"OTOL1",-0.00725958543531199,9927,0.135953953210083,0.206703421785865
"ANKRD26",-0.0120142783828898,10213,0.828117622026443,0.876029216652285
"PRMT9",-0.0936327540192008,12503,0.148975664209324,0.223040695125303
"SPRYD7",-0.100204434771593,12650,0.200838676156523,0.286222927258723
"COPS3",-0.121301431501197,13037,0.185513699242577,0.267724834507776
"HSPA1L",-0.223247829284052,14490,0.000274643036775427,0.000889315672706957
"SCGB1D2",-0.247529383759476,14726,0.355165078415592,0.454745493267581
"THBD",-0.403820137255438,15977,0.0260559018989922,0.049664729634456
"LZTFL1",-0.415438687413535,16057,1.70141802385342e-08,1.58642683122545e-07
"CTSE",-0.503356698511093,16521,0.00128288032776562,0.00350532416858142
"PLEK2",-0.540194021929404,16686,8.07331105394164e-05,0.00029912190610811
"MFAP5",-0.552708819528708,16747,0.0126477629064838,0.0264632345074264
"TRIM2",-0.677510794219703,17138,2.3252667721522e-07,1.59135716973144e-06
"MAT1A",-0.849940327321645,17569,0.015582173908632,0.031712979232877
"WFDC2",-2.2250073558573,18260,8.90347703532722e-16,8.25537621965924e-14
