"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"KLF15",0.60256256338843,829,0.00134467513381734,0.00466171154216141,"No"
"GGACT",0.463161363910839,1401,3.56229989262457e-09,6.54987245439452e-08,"No"
"E2F3",0.447053491737333,1491,4.37168923942466e-07,4.33730784944775e-06,"No"
"RPS6",0.336672865909367,2317,0.0332390264852304,0.0721668644831714,"No"
"PATJ",0.318355218641843,2494,0.0049727775674773,0.0143869210528416,"No"
"MTMR3",0.244226754638332,3382,0.00070835390735876,0.00269147815960662,"No"
"NUP50",0.18594642154041,4263,0.0126446046321455,0.0318278907783781,"No"
"STAT1",0.141909322957313,5078,0.271545968518768,0.384721889261577,"No"
"MAPK9",0.132836262229229,5272,0.0259186854932574,0.0585911947076298,"No"
"ANKRD26",0.131225854587737,5319,0.128680074698508,0.21710803724093,"No"
"GABARAP",0.121776909301318,5533,0.0934664468516843,0.168159995395434,"No"
"RPL5",0.121249212858846,5545,0.350916628596362,0.465480209936584,"No"
"HPRT1",0.114070395594547,5700,0.3779323661694,0.491476027995345,"No"
"WDPCP",0.101652729092412,6023,0.0351003959656374,0.0755848498235857,"No"
"MFSD11",0.0981923060239001,6121,0.0987512082796482,0.175839487317005,"No"
"EIF1AD",0.065835709894067,7015,0.266108639751019,0.378676227749179,"No"
"MTF2",0.0582174554022683,7241,0.440066348347827,0.549357152562302,"No"
"SAMM50",0.0371545984113113,7985,0.63222124347372,0.72118876665266,"No"
"XPNPEP1",0.0105680181239785,9197,0.910024049955796,0.941278356876161,"No"
"OTOL1",0.00412271710348151,9587,0.609939134486782,0.702565107925108,"No"
"PRMT9",-0.000786708401947944,9914,0.990649668688266,0.994591681297173,"No"
"POLR2J",-0.0470302816087118,11351,0.695896301323275,0.775513907725821,"No"
"GPX1",-0.0725300796420241,11881,0.635902946366382,0.724478703273233,"No"
"OSER1",-0.0856053212426797,12156,0.363731601767925,0.477596550611936,"No"
"DRD4",-0.0975026803085776,12400,0.138945676828498,0.230152928354746,"No"
"SPRYD7",-0.136865206857276,13127,0.117445748700735,0.202095242104533,"No"
"COPS3",-0.161021370961633,13515,0.131336166768702,0.220435643537372,"No"
"SCGB1D2",-0.202117065353669,14112,0.494566178050955,0.60095579869389,"No"
"HSPA1L",-0.207436157828006,14182,0.00100797414478017,0.00363166567117743,"No"
"PLEK2",-0.314074136665391,15258,0.0253236409064575,0.0574677402506818,"Yes"
"LZTFL1",-0.377173740019736,15718,6.21623612460309e-08,7.95240460841829e-07,"Yes"
"THBD",-0.434470449717662,16104,0.0133421005486861,0.0333158211089253,"Yes"
"TRIM2",-0.465548387965344,16279,6.34826046116899e-05,0.000327372361152793,"Yes"
"CTSE",-0.548700668422316,16675,0.000233653940496421,0.00102178803661643,"Yes"
"MFAP5",-0.683371120508341,17139,0.000491705125158607,0.00195541053056726,"Yes"
"MAT1A",-0.872554889464057,17564,0.0191104384786056,0.0452502900680851,"Yes"
"WFDC2",-1.91449637676761,18146,1.04303783447823e-12,6.55634093464757e-11,"Yes"
