"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"RPS6",0.56361000231994,1344,7.5094894460063e-05,0.000280335855754652,"No"
"GGACT",0.418972472230271,2307,1.01298043685277e-06,5.89083115554048e-06,"No"
"E2F3",0.405042179215906,2433,1.83074549007856e-05,7.9544236731149e-05,"No"
"POLR2J",0.333647409266657,3106,0.00267455616412633,0.00672912436555531,"No"
"RPL5",0.322607508497656,3237,0.00760447228295693,0.0169291030737954,"No"
"MAPK9",0.209125763635383,4684,0.000329673226889209,0.00104509044817048,"No"
"NUP50",0.177994124594379,5148,0.022951697882581,0.0445190308509319,"No"
"EIF1AD",0.132960377126075,5900,0.0208313622269727,0.0408487023551136,"No"
"PATJ",0.111451637775737,6260,0.2314431240292,0.321951115948318,"No"
"DRD4",0.0907640506788763,6642,0.181545081565196,0.263057469448665,"No"
"MTF2",0.0480942115295191,7592,0.464487033344708,0.564849630410177,"No"
"WDPCP",0.0041748020345872,8975,0.898334455615569,0.928950247184895,"No"
"OTOL1",-0.00725958543531199,9927,0.135953953210083,0.206703421785865,"No"
"ANKRD26",-0.0120142783828898,10213,0.828117622026443,0.876029216652285,"No"
"SCGB1D2",-0.247529383759476,14726,0.355165078415592,0.454745493267581,"No"
"LZTFL1",-0.415438687413535,16057,1.70141802385342e-08,1.58642683122545e-07,"Yes"
"CTSE",-0.503356698511093,16521,0.00128288032776562,0.00350532416858142,"Yes"
"PLEK2",-0.540194021929404,16686,8.07331105394164e-05,0.00029912190610811,"Yes"
"MFAP5",-0.552708819528708,16747,0.0126477629064838,0.0264632345074264,"Yes"
"MAT1A",-0.849940327321645,17569,0.015582173908632,0.031712979232877,"Yes"
"WFDC2",-2.2250073558573,18260,8.90347703532722e-16,8.25537621965924e-14,"Yes"
