"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"MAOA",0.306682961123469,113,0.079623503185066,0.961953958507263,"Yes"
"HSPB1",0.267167112125045,155,0.127819302490738,0.961953958507263,"Yes"
"SREBF1",0.246910081907367,190,0.0549545923700655,0.961137546427122,"Yes"
"PDK3",0.198502024242524,336,0.0301901673351948,0.894459929084208,"Yes"
"EDNRB",0.190134187957253,367,0.130352623687196,0.961953958507263,"Yes"
"VEGFA",0.175478093744421,450,0.306034072319655,0.961953958507263,"Yes"
"INSIG1",0.173317306122193,460,0.154655595422542,0.961953958507263,"Yes"
"KLK15",0.17045608251431,474,0.252391950964813,0.961953958507263,"Yes"
"PHLDA1",0.132306268506424,887,0.205392589507207,0.961953958507263,"Yes"
"EGFR",0.116966182394744,1188,0.248631510206147,0.961953958507263,"Yes"
"ZDHHC24",0.112762012868644,1292,0.051112519606196,0.958910750271067,"Yes"
"SGK1",0.110566411179226,1343,0.526345918105481,0.969216780600122,"Yes"
"CRYZ",0.110112768240267,1357,0.248208865855957,0.961953958507263,"Yes"
"ACSL1",0.109068984835979,1380,0.373620390771056,0.961953958507263,"Yes"
"CPAMD8",0.107143321354906,1440,0.408269209766613,0.962613387123402,"Yes"
"CFAP97",0.106794533169949,1456,0.160203457674171,0.961953958507263,"Yes"
"CAV3",0.103521517773592,1565,0.0956854276308579,0.961953958507263,"Yes"
"COQ10B",0.101388417495488,1638,0.0892779262038036,0.961953958507263,"Yes"
"VPS37B",0.10038649236271,1666,0.155207978902624,0.961953958507263,"Yes"
"TFRC",0.0964013760881124,1797,0.405917617598006,0.962613387123402,"Yes"
"CSE1L",0.0801431014977716,2512,0.177694406965401,0.961953958507263,"No"
"PBRM1",0.0689293664190616,3087,0.309507312175692,0.961953958507263,"No"
"ADPRHL1",0.066126867296223,3208,0.345598846668622,0.961953958507263,"No"
"FBXL17",0.065666442348316,3239,0.333171505825907,0.961953958507263,"No"
"PHB2",0.064448165336743,3322,0.43604919010272,0.962613387123402,"No"
"TSPAN17",0.0549397317882661,3928,0.3689902524717,0.961953958507263,"No"
"RNF217",0.052333548160318,4081,0.27648826443212,0.961953958507263,"No"
"DENND6A",0.0507390008383908,4176,0.305193049424851,0.961953958507263,"No"
"KIF27",0.0451302150154027,4597,0.348156524248432,0.961953958507263,"No"
"FAM53A",0.0417922306226982,4848,0.300416259505362,0.961953958507263,"No"
"TRMT112",0.0414447285753816,4872,0.588032369453663,0.974889403904491,"No"
"EDNRA",0.0387335137103504,5081,0.765577551475792,0.988070096138049,"No"
"SERINC2",0.0371491196877107,5236,0.737819555812986,0.986318354041964,"No"
"IGFBP4",0.0370674395699453,5242,0.808406200290722,0.988741473863441,"No"
"HBS1L",0.0356995954569901,5370,0.455273921188769,0.962613387123402,"No"
"SENP2",0.0352727835952531,5410,0.494465053764497,0.965419374659541,"No"
"VPS54",0.0333230616402518,5572,0.609761438726776,0.974932181681848,"No"
"GATA6",0.0330896993205991,5585,0.678818095903077,0.98263152052947,"No"
"PATL1",0.0296388592061025,5888,0.684878814331157,0.98263152052947,"No"
"CCT3",0.0289179070336232,5941,0.660027667828663,0.981791940588791,"No"
"YIF1B",0.0288755600291708,5945,0.675693007225549,0.982229028624857,"No"
"PSEN2",0.0250054426622508,6270,0.626638200188054,0.978425777047414,"No"
"UBA6",0.0208333898824424,6658,0.724175183528841,0.98595061929778,"No"
"WDR45",0.0208040818797248,6663,0.746632236602988,0.987904232899193,"No"
"CES5A",0.0163170951463828,7106,0.233693158762984,0.961953958507263,"No"
"TRAM1L1",0.0159601945670285,7138,0.89644087587525,0.995443154842405,"No"
"NR6A1",0.0150764696632872,7208,0.744090757768294,0.987904232899193,"No"
"FNDC3B",0.0120693775024012,7503,0.878073190553619,0.995379202197669,"No"
"TNFRSF4",0.0116552169220652,7549,0.910601011064957,0.996396890482989,"No"
"TUBA1C",0.009760497262298,7747,0.928890531517753,0.996624672772691,"No"
