"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"HSPB1",0.304998938909817,112,0.0780322943372153,0.97196958734216,"Yes"
"MAOA",0.287814016861241,128,0.0963025360149652,0.97196958734216,"Yes"
"SREBF1",0.238889464495117,206,0.0621267366222708,0.97196958734216,"Yes"
"PDK3",0.18469800949048,371,0.0432916597321111,0.97196958734216,"Yes"
"EDNRB",0.168263738378627,469,0.174649758219743,0.97196958734216,"Yes"
"KLK15",0.167554308256511,474,0.254439097228459,0.97196958734216,"Yes"
"VEGFA",0.164938235090541,495,0.333822864416011,0.97196958734216,"Yes"
"INSIG1",0.157275688305221,559,0.195688751431336,0.97196958734216,"Yes"
"PHLDA1",0.131926120930878,876,0.200558590476152,0.97196958734216,"Yes"
"ZDHHC24",0.113645290075874,1253,0.0457919441197609,0.97196958734216,"Yes"
"VPS37B",0.110389426664887,1338,0.110286628827255,0.97196958734216,"Yes"
"CAV3",0.108691634990194,1386,0.068746379041162,0.97196958734216,"Yes"
"ACSL1",0.106798134791995,1432,0.379353033531304,0.97196958734216,"Yes"
"CRYZ",0.106286774448789,1447,0.263331226434527,0.97196958734216,"Yes"
"COQ10B",0.102419923666449,1556,0.0893405034205963,0.97196958734216,"Yes"
"TFRC",0.0963908253768264,1757,0.402192523589908,0.97196958734216,"Yes"
"CPAMD8",0.0912709730029873,1970,0.474258665539983,0.97196958734216,"Yes"
"SGK1",0.0823074079913568,2364,0.634135945192209,0.985433361581401,"Yes"
"EGFR",0.0811954315775609,2410,0.423949594580587,0.97196958734216,"Yes"
"CSE1L",0.078450895795716,2539,0.194561823855104,0.97196958734216,"Yes"
"CFAP97",0.0762090946493168,2642,0.312250823943661,0.97196958734216,"Yes"
"TSPAN17",0.0760382335714467,2650,0.214099227763559,0.97196958734216,"Yes"
"PHB2",0.0749496814092927,2723,0.366602687214707,0.97196958734216,"Yes"
"TRMT112",0.0732566141148787,2818,0.359349644538134,0.97196958734216,"Yes"
"ADPRHL1",0.0705519291607317,2953,0.308507613402654,0.97196958734216,"Yes"
"SERINC2",0.0542056951178225,3991,0.633952144525908,0.985433361581401,"No"
"FAM53A",0.0518483432578938,4158,0.191846096864271,0.97196958734216,"No"
"YIF1B",0.0516900786653474,4167,0.461719596527271,0.97196958734216,"No"
"IGFBP4",0.0496582671960573,4324,0.739276186866711,0.990191979852221,"No"
"WDR45",0.048439632912348,4419,0.444962586274662,0.97196958734216,"No"
"FBXL17",0.0474057307949178,4493,0.478232917270702,0.97196958734216,"No"
"RNF217",0.0448818264089386,4663,0.35416025731349,0.97196958734216,"No"
"DENND6A",0.0447288241250443,4675,0.364009668821125,0.97196958734216,"No"
"GATA6",0.0446985559197712,4677,0.567933164044995,0.977098747953086,"No"
"KIF27",0.0427752307897205,4823,0.37804977107229,0.97196958734216,"No"
"TNFRSF4",0.0418431812649753,4900,0.681270203108978,0.987151709333159,"No"
"PBRM1",0.0411687991128415,4957,0.546743481990422,0.976755229736762,"No"
"CCT3",0.0392444717792753,5127,0.555688181940224,0.976755229736762,"No"
"SENP2",0.0326140068476799,5670,0.528633361884697,0.973312852067474,"No"
"TRAM1L1",0.0276306133496569,6144,0.818830640346404,0.994053434164884,"No"
"PSEN2",0.0264021956504275,6250,0.64391765522445,0.985433361581401,"No"
"VPS54",0.0248266129873622,6407,0.697111759628716,0.987151709333159,"No"
"HBS1L",0.0167351283799921,7178,0.725854595343377,0.988722427687616,"No"
"CES5A",0.0162377383390683,7226,0.225881822665923,0.97196958734216,"No"
"PATL1",0.0143511213230116,7425,0.841480706943325,0.995245270667715,"No"
"NR6A1",0.0139163204406537,7473,0.763608737882878,0.991138493812497,"No"
"TUBA1C",0.0136947440524815,7498,0.901103441627021,0.99854018005281,"No"
"B2M",0.0118990377842483,7682,0.920122169430888,0.99954299627195,"No"
"EDNRA",0.00963446824313063,7903,0.939996379733714,0.99954299627195,"No"
"UBA6",0.00698449424759628,8205,0.904479711671885,0.998732430581662,"No"
"SSR2",0.00683183950570143,8234,0.933735519676925,0.99954299627195,"No"
"PRRG3",0.00545987041484221,8392,0.754787441114995,0.990191979852221,"No"
"CDH22",0.00538629298178722,8399,0.937914602397385,0.99954299627195,"No"
"LEP",0.00453036707517222,8502,0.855228069431445,0.99647254651972,"No"
"AXL",0.00241231384207419,8782,0.981621777724833,0.99954299627195,"No"
"TMEM161B",-6.82091118628936e-05,9101,0.999074290234681,0.999966150221938,"No"
"SPPL2B",-0.000707752696108788,9197,0.993533477939629,0.99981451838626,"No"
"GSX1",-0.00217097970245599,9409,0.678426221187609,0.987151709333159,"No"
"HDAC1",-0.00368872765637906,9660,0.961108176901218,0.99954299627195,"No"
"SYT15",-0.00616999547793481,10019,0.665459684282579,0.985433361581401,"No"
"TAAR9",-0.00656451032661199,10091,0.223824868974165,0.97196958734216,"No"
"NPHP1",-0.00712755684796007,10173,0.860861908138192,0.996794844179341,"No"
"GLT6D1",-0.00838723263828461,10397,0.44280133070939,0.97196958734216,"No"
"SLC1A2",-0.0132251963012645,11264,0.839944587077929,0.995245270667715,"No"
